5481-T,東証1部,山特鋼,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,458,470,451,464,261000,120792000
2015-10-01,455,469,449,462,254000,117182000
2015-09-30,450,458,447,453,289000,130816000
2015-09-29,450,454,443,447,399000,178748000
2015-09-28,461,465,456,462,273000,125892000
2015-09-25,452,467,452,467,311000,143306000
2015-09-24,473,473,457,457,388000,179061000
2015-09-18,493,493,481,481,340000,164467000
2015-09-17,487,504,483,497,755000,374266000
2015-09-16,475,477,467,477,199000,94180000
2015-09-15,475,479,466,469,322000,151829000
2015-09-14,481,481,467,468,183000,85987000
2015-09-11,468,480,468,474,463000,218871000
2015-09-10,470,477,463,476,364000,171708000
2015-09-09,469,481,466,481,489000,232929000
2015-09-08,455,466,450,453,220000,100592000
2015-09-07,442,459,442,452,283000,127632000
2015-09-04,464,464,444,450,234000,105896000
2015-09-03,464,478,460,462,196000,91477000
2015-09-02,460,466,454,461,441000,203530000
2015-09-01,480,483,465,466,366000,173341000
2015-08-31,487,492,476,484,421000,203727000
2015-08-28,482,502,478,496,693000,342247000
2015-08-27,475,475,465,468,506000,238332000
2015-08-26,463,472,453,469,450000,208145000
2015-08-25,453,477,446,455,567000,262603000
2015-08-24,491,498,476,477,568000,275895000
2015-08-21,500,511,500,501,385000,193758000
2015-08-20,532,533,514,517,646000,335033000
2015-08-19,540,540,531,540,295000,158322000
2015-08-18,548,552,538,540,478000,259527000
2015-08-17,551,561,539,558,660000,365365000
2015-08-14,539,544,533,543,377000,203250000
2015-08-13,541,549,537,542,339000,183855000
2015-08-12,555,555,543,547,464000,254362000
2015-08-11,559,576,554,565,568000,320700000
2015-08-10,558,561,548,559,332000,184239000
2015-08-07,556,562,551,557,395000,220182000
2015-08-06,548,563,547,556,723000,401885000
2015-08-05,526,551,520,538,833000,448361000
2015-08-04,539,539,524,527,219000,116129000
2015-08-03,544,544,533,537,315000,169182000
2015-07-31,546,547,533,545,317000,171704000
2015-07-30,535,554,535,540,531000,288036000
2015-07-29,529,536,524,530,557000,295347000
2015-07-28,527,535,517,529,782000,411779000
2015-07-27,563,566,528,535,1442000,779582000
2015-07-24,546,579,541,573,1587000,894250000
2015-07-23,555,559,539,547,564000,307915000
2015-07-22,544,565,540,556,1176000,654589000
2015-07-21,545,545,532,534,228000,121975000
2015-07-17,541,544,536,541,446000,241208000
2015-07-16,531,534,525,534,465000,246930000
2015-07-15,528,534,521,524,530000,279775000
2015-07-14,509,523,508,520,815000,420483000
2015-07-13,507,509,499,500,742000,371910000
2015-07-10,515,520,501,503,682000,346252000
2015-07-09,500,521,491,521,847000,428525000
2015-07-08,528,528,510,510,509000,262515000
2015-07-07,544,551,526,529,709000,377794000
2015-07-06,529,541,529,535,293000,156912000
2015-07-03,554,554,530,540,1113000,599388000
2015-07-02,579,580,540,553,1534000,853964000
2015-07-01,569,582,567,573,361000,207283000
2015-06-30,569,572,565,570,427000,242596000
2015-06-29,567,576,556,572,441000,251261000
2015-06-26,603,603,587,587,256000,151518000
2015-06-25,598,608,592,603,718000,433473000
2015-06-24,590,602,589,599,542000,323265000
2015-06-23,581,587,575,587,383000,222465000
2015-06-22,582,582,569,575,327000,188011000
2015-06-19,571,581,568,577,424000,244351000
2015-06-18,576,581,570,570,575000,330404000
2015-06-17,587,590,567,571,1076000,619642000
2015-06-16,610,610,585,587,699000,413030000
2015-06-15,612,614,605,610,393000,239790000
2015-06-12,613,616,610,611,698000,427578000
2015-06-11,612,618,608,617,621000,381037000
2015-06-10,609,615,604,607,486000,295841000
2015-06-09,629,629,606,606,609000,374242000
2015-06-08,632,642,622,629,1157000,733889000
2015-06-05,612,634,602,634,1383000,864170000
2015-06-04,617,623,603,605,836000,512652000
2015-06-03,616,619,605,608,477000,291907000
2015-06-02,586,617,584,611,1138000,687772000
2015-06-01,589,594,584,586,489000,287221000
2015-05-29,593,598,587,589,522000,309502000
2015-05-28,595,600,590,597,287000,171204000
2015-05-27,596,600,590,595,393000,234069000
2015-05-26,585,602,583,596,778000,462713000
2015-05-25,588,591,584,586,339000,199008000
2015-05-22,580,588,579,586,415000,242600000
2015-05-21,581,598,579,580,605000,355471000
2015-05-20,590,593,576,584,679000,396366000
2015-05-19,588,592,583,586,522000,306591000
2015-05-18,595,598,586,588,293000,173086000
2015-05-15,596,597,586,588,454000,268353000
2015-05-14,593,603,586,587,673000,399448000
2015-05-13,606,609,585,587,660000,393027000
