5603-T,東証1部,虹技,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,158,160,158,159,40000,6350000
2015-10-01,161,161,159,160,25000,4004000
2015-09-30,157,159,155,159,42000,6607000
2015-09-29,161,161,152,155,148000,23022000
2015-09-28,163,166,161,164,31000,5050000
2015-09-25,163,166,162,165,31000,5071000
2015-09-24,163,168,163,163,78000,12800000
2015-09-18,166,167,165,167,50000,8316000
2015-09-17,167,169,165,168,66000,11016000
2015-09-16,170,170,165,167,31000,5192000
2015-09-15,170,171,165,167,61000,10262000
2015-09-14,172,173,170,170,33000,5631000
2015-09-11,170,173,170,171,62000,10566000
2015-09-10,169,171,168,171,15000,2548000
2015-09-09,167,173,167,173,67000,11396000
2015-09-08,167,167,163,164,27000,4449000
2015-09-07,165,169,156,165,110000,17800000
2015-09-04,172,172,165,165,163000,27238000
2015-09-03,174,174,171,171,44000,7570000
2015-09-02,173,173,169,170,95000,16193000
2015-09-01,177,177,175,175,43000,7559000
2015-08-31,179,180,176,180,152000,27138000
2015-08-28,176,181,176,179,44000,7909000
2015-08-27,174,177,172,173,75000,13091000
2015-08-26,160,173,160,173,105000,17176000
2015-08-25,151,171,151,160,167000,26349000
2015-08-24,179,179,169,169,230000,40374000
2015-08-21,186,186,183,184,88000,16266000
2015-08-20,189,190,187,188,76000,14317000
2015-08-19,192,192,189,190,66000,12570000
2015-08-18,192,193,192,192,34000,6542000
2015-08-17,192,192,191,191,22000,4208000
2015-08-14,192,192,191,191,39000,7483000
2015-08-13,192,193,191,192,42000,8072000
2015-08-12,195,196,192,192,74000,14351000
2015-08-11,196,197,195,195,31000,6069000
2015-08-10,195,197,195,197,33000,6454000
2015-08-07,196,196,194,195,39000,7601000
2015-08-06,198,198,194,195,68000,13279000
2015-08-05,194,196,194,196,37000,7222000
2015-08-04,195,196,193,196,49000,9546000
2015-08-03,200,200,195,196,89000,17592000
2015-07-31,198,201,197,201,38000,7554000
2015-07-30,194,197,194,196,38000,7458000
2015-07-29,196,196,193,194,28000,5435000
2015-07-28,193,194,192,193,59000,11414000
2015-07-27,197,198,195,195,78000,15332000
2015-07-24,201,202,197,197,70000,13934000
2015-07-23,203,203,199,201,118000,23726000
2015-07-22,201,202,196,201,92000,18330000
2015-07-21,201,203,201,202,47000,9495000
2015-07-17,202,204,201,201,36000,7275000
2015-07-16,200,201,199,201,69000,13822000
2015-07-15,200,200,198,198,62000,12350000
2015-07-14,197,201,197,200,49000,9768000
2015-07-13,194,196,194,196,65000,12668000
2015-07-10,193,197,193,195,87000,16940000
2015-07-09,193,194,186,194,235000,45182000
2015-07-08,205,206,198,198,143000,28864000
2015-07-07,206,208,206,206,42000,8682000
2015-07-06,205,209,202,205,130000,26707000
2015-07-03,208,209,207,207,89000,18456000
2015-07-02,209,210,209,210,55000,11504000
2015-07-01,211,211,205,207,180000,37380000
2015-06-30,211,211,209,211,74000,15568000
2015-06-29,211,211,207,208,76000,15859000
2015-06-26,213,213,210,211,84000,17846000
2015-06-25,214,214,213,213,20000,4268000
2015-06-24,211,213,211,213,54000,11454000
2015-06-23,211,213,209,210,108000,22746000
2015-06-22,208,211,208,210,19000,3985000
2015-06-19,208,210,208,210,26000,5428000
2015-06-18,211,211,207,207,65000,13567000
2015-06-17,210,211,209,210,63000,13239000
2015-06-16,212,213,209,209,134000,28234000
2015-06-15,215,215,212,212,41000,8749000
2015-06-12,214,217,214,215,81000,17376000
2015-06-11,212,215,212,215,63000,13433000
2015-06-10,213,215,211,211,150000,31971000
2015-06-09,215,220,213,213,255000,55198000
2015-06-08,217,217,216,216,37000,8020000
2015-06-05,217,217,216,216,43000,9323000
2015-06-04,220,221,216,217,209000,45625000
2015-06-03,215,218,215,218,50000,10824000
2015-06-02,217,219,215,215,113000,24504000
2015-06-01,213,216,213,216,71000,15234000
2015-05-29,215,215,213,215,31000,6634000
2015-05-28,217,217,215,215,74000,15986000
2015-05-27,215,216,214,216,48000,10318000
2015-05-26,214,216,214,215,44000,9446000
2015-05-25,215,218,215,215,35000,7571000
2015-05-22,215,215,213,215,47000,10056000
2015-05-21,216,216,214,215,41000,8817000
2015-05-20,218,218,215,216,32000,6916000
2015-05-19,216,217,215,217,72000,15519000
2015-05-18,217,217,214,215,53000,11377000
2015-05-15,219,219,215,217,53000,11517000
2015-05-14,221,221,219,219,52000,11432000
2015-05-13,219,221,218,220,39000,8550000
2015-05-12,220,221,217,220,79000,17322000
2015-05-11,212,222,212,221,255000,55502000
2015-05-08,206,218,205,211,166000,34898000
2015-05-07,210,211,208,211,31000,6489000
2015-05-01,210,210,209,209,89000,18648000
2015-04-30,210,212,210,211,113000,23771000
2015-04-28,212,213,212,212,48000,10180000
2015-04-27,212,213,212,212,69000,14641000
2015-04-24,214,214,212,212,38000,8078000
2015-04-23,214,214,213,214,17000,3637000
2015-04-22,214,214,213,213,114000,24370000
2015-04-21,214,215,213,215,37000,7909000
2015-04-20,215,215,212,214,51000,10859000
2015-04-17,216,218,214,215,56000,12080000
2015-04-16,216,216,214,216,33000,7094000
2015-04-15,216,216,215,216,20000,4317000
2015-04-14,215,215,213,214,45000,9631000
2015-04-13,215,217,214,216,55000,11845000
2015-04-10,215,215,212,214,79000,16849000
2015-04-09,214,215,213,214,46000,9864000
2015-04-08,214,216,210,213,150000,31949000
2015-04-07,214,214,213,214,50000,10675000
2015-04-06,213,214,211,213,69000,14678000
2015-04-03,214,214,210,213,76000,16061000
2015-04-02,211,214,211,214,65000,13801000
2015-04-01,211,212,209,211,80000,16806000
2015-03-31,213,214,212,212,81000,17251000
2015-03-30,214,214,212,212,33000,7014000
2015-03-27,216,218,212,214,94000,20312000
2015-03-26,218,220,218,220,76000,16649000
2015-03-25,223,223,220,221,99000,21893000
2015-03-24,223,227,222,223,139000,31102000
2015-03-23,221,223,221,223,74000,16416000
2015-03-20,217,220,217,219,55000,11981000
2015-03-19,217,219,217,217,67000,14567000
2015-03-18,217,218,215,215,77000,16701000
2015-03-17,216,219,216,218,53000,11508000
2015-03-16,219,220,216,216,124000,26973000
2015-03-13,220,221,218,218,133000,29182000
2015-03-12,218,220,218,219,55000,12031000
2015-03-11,215,218,215,218,53000,11491000
2015-03-10,219,220,217,218,86000,18831000
2015-03-09,221,222,219,219,105000,23145000
2015-03-06,221,222,220,221,45000,9938000
2015-03-05,221,222,220,220,90000,19885000
2015-03-04,220,223,219,222,74000,16350000
2015-03-03,221,222,220,221,34000,7508000
2015-03-02,219,223,219,222,108000,23794000
2015-02-27,225,225,218,221,149000,33005000
2015-02-26,227,227,220,225,179000,40062000
2015-02-25,218,230,217,227,264000,59299000
2015-02-24,220,223,218,218,112000,24638000
2015-02-23,225,225,222,223,45000,10066000
2015-02-20,226,226,223,225,79000,17757000
2015-02-19,222,226,222,224,97000,21769000
2015-02-18,222,226,222,223,113000,25281000
