5612-T,東証1部,鋳鉄管,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,183,183,181,182,89000,16169000
2015-10-01,183,185,182,183,110000,20128000
2015-09-30,185,186,181,183,277000,50749000
2015-09-29,198,199,195,195,139000,27428000
2015-09-28,200,200,195,196,35000,6978000
2015-09-25,200,200,198,200,24000,4766000
2015-09-24,199,201,198,199,29000,5772000
2015-09-18,199,201,198,200,31000,6167000
2015-09-17,202,202,200,201,28000,5633000
2015-09-16,199,200,199,200,34000,6770000
2015-09-15,203,203,198,198,28000,5599000
2015-09-14,204,204,199,201,29000,5834000
2015-09-11,205,205,200,200,44000,8960000
2015-09-10,198,202,196,201,34000,6794000
2015-09-09,201,201,199,201,95000,19008000
2015-09-08,194,197,194,196,74000,14371000
2015-09-07,196,197,190,197,48000,9346000
2015-09-04,198,199,196,198,29000,5736000
2015-09-03,198,199,198,198,23000,4559000
2015-09-02,201,201,198,198,139000,27787000
2015-09-01,204,204,202,202,28000,5673000
2015-08-31,204,205,201,204,44000,8935000
2015-08-28,203,206,201,206,70000,14229000
2015-08-27,202,203,198,199,54000,10822000
2015-08-26,200,202,194,202,71000,14083000
2015-08-25,198,204,190,196,203000,39872000
2015-08-24,210,211,205,207,155000,32254000
2015-08-21,218,220,215,215,64000,13902000
2015-08-20,222,222,219,220,36000,7948000
2015-08-19,222,224,221,221,22000,4886000
2015-08-18,223,224,222,223,17000,3793000
2015-08-17,224,225,222,223,27000,6018000
2015-08-14,225,225,219,223,13000,2891000
2015-08-13,221,221,220,221,15000,3307000
2015-08-12,221,224,221,221,14000,3100000
2015-08-11,224,226,222,224,57000,12811000
2015-08-10,220,224,220,224,38000,8421000
2015-08-07,218,219,217,219,161000,35097000
2015-08-06,223,223,222,223,10000,2227000
2015-08-05,219,222,219,221,36000,7958000
2015-08-04,222,222,219,222,26000,5743000
2015-08-03,221,222,220,222,40000,8832000
2015-07-31,220,220,218,220,110000,24107000
2015-07-30,223,223,217,217,58000,12712000
2015-07-29,222,223,219,223,45000,9891000
2015-07-28,221,223,221,222,16000,3550000
2015-07-27,224,224,221,221,24000,5321000
2015-07-24,222,222,219,220,85000,18660000
2015-07-23,221,224,220,221,32000,7103000
2015-07-22,223,224,220,221,69000,15342000
2015-07-21,225,225,223,224,6000,1345000
2015-07-17,224,224,221,222,11000,2448000
2015-07-16,221,225,221,224,30000,6702000
2015-07-15,221,223,221,223,68000,15062000
2015-07-14,222,223,221,222,25000,5548000
2015-07-13,218,220,218,220,8000,1753000
2015-07-10,216,220,216,217,24000,5229000
2015-07-09,218,219,211,218,109000,23571000
2015-07-08,226,226,223,224,46000,10340000
2015-07-07,225,227,225,225,14000,3159000
2015-07-06,225,226,224,224,68000,15266000
2015-07-03,227,230,227,227,19000,4326000
2015-07-02,230,230,227,227,29000,6634000
2015-07-01,225,229,225,227,56000,12703000
2015-06-30,225,228,224,227,56000,12632000
2015-06-29,225,226,223,226,95000,21351000
2015-06-26,230,230,228,229,19000,4352000
2015-06-25,232,232,229,229,26000,5971000
2015-06-24,231,233,230,232,59000,13646000
2015-06-23,228,231,228,231,91000,20798000
2015-06-22,228,229,227,229,27000,6158000
2015-06-19,228,229,228,228,12000,2742000
2015-06-18,230,230,227,227,41000,9349000
2015-06-17,229,230,228,230,37000,8468000
2015-06-16,232,232,229,229,15000,3446000
2015-06-15,230,231,229,231,28000,6444000
2015-06-12,230,231,229,230,47000,10810000
2015-06-11,229,230,229,229,52000,11920000
