5631-T,東証1部,日製鋼,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,382,385,373,379,1412000,535712000
2015-10-01,378,391,374,386,1920000,736950000
2015-09-30,381,382,375,378,1056000,399400000
2015-09-29,378,379,372,373,2287000,856060000
2015-09-28,390,390,380,383,1039000,400022000
2015-09-25,379,390,375,390,2095000,799464000
2015-09-24,389,392,378,381,1505000,575008000
2015-09-18,403,405,395,398,1440000,573724000
2015-09-17,411,415,407,410,1092000,448355000
2015-09-16,405,412,404,408,1947000,794475000
2015-09-15,396,406,394,400,1709000,686605000
2015-09-14,400,402,388,391,1241000,487390000
2015-09-11,391,399,391,396,2828000,1111731000
2015-09-10,402,403,396,399,1937000,772954000
2015-09-09,403,410,397,410,2607000,1056206000
2015-09-08,388,398,387,389,1494000,585036000
2015-09-07,379,389,376,387,1795000,689155000
2015-09-04,389,390,375,381,2717000,1036374000
2015-09-03,389,399,387,388,1822000,714474000
2015-09-02,385,395,382,383,2689000,1039568000
2015-09-01,401,403,390,391,1764000,700039000
2015-08-31,414,414,403,403,2048000,831957000
2015-08-28,402,431,401,419,4655000,1946358000
2015-08-27,408,410,392,394,2367000,941552000
2015-08-26,386,407,384,403,2812000,1111847000
2015-08-25,384,405,376,386,3886000,1515350000
2015-08-24,405,410,395,400,3586000,1440583000
2015-08-21,408,415,407,410,2151000,883107000
2015-08-20,423,423,417,418,1668000,699952000
2015-08-19,435,436,425,426,1497000,642770000
2015-08-18,432,440,432,437,1100000,480164000
2015-08-17,439,439,431,434,1309000,568308000
2015-08-14,441,442,436,439,1443000,633609000
2015-08-13,442,452,442,444,1779000,792660000
2015-08-12,456,457,439,444,2219000,987321000
2015-08-11,449,463,449,462,2830000,1298328000
2015-08-10,439,446,434,446,2210000,977596000
2015-08-07,441,447,438,439,1575000,695931000
2015-08-06,440,447,439,441,2467000,1090952000
2015-08-05,439,447,434,440,1991000,876787000
2015-08-04,445,454,438,438,2731000,1211213000
2015-08-03,457,463,454,460,1382000,633477000
2015-07-31,459,465,457,460,1255000,577906000
2015-07-30,451,465,450,462,2070000,951252000
2015-07-29,453,453,446,452,839000,378187000
2015-07-28,447,457,446,454,1285000,582242000
2015-07-27,452,459,448,454,1358000,613941000
2015-07-24,466,468,451,454,2082000,949991000
2015-07-23,476,476,464,468,1396000,653125000
2015-07-22,484,484,475,475,1797000,857199000
2015-07-21,484,489,480,488,1251000,607881000
2015-07-17,477,483,474,483,1192000,572582000
2015-07-16,484,484,476,479,1283000,613853000
