5632-T,東証1部,菱製鋼,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,223,226,222,223,189000,42262000
2015-10-01,221,226,213,223,270000,59283000
2015-09-30,221,222,217,219,227000,49874000
2015-09-29,225,226,216,217,364000,79861000
2015-09-28,222,225,220,225,207000,46099000
2015-09-25,222,224,218,224,240000,53162000
2015-09-24,225,226,218,219,334000,73719000
2015-09-18,232,232,225,226,240000,54533000
2015-09-17,233,235,231,234,199000,46477000
2015-09-16,231,232,229,230,162000,37323000
2015-09-15,229,234,228,228,217000,50024000
2015-09-14,238,238,230,230,215000,49853000
2015-09-11,239,239,233,237,442000,105086000
2015-09-10,228,236,227,234,245000,56811000
2015-09-09,225,231,225,231,395000,90235000
2015-09-08,226,230,223,223,240000,54300000
2015-09-07,220,226,218,223,201000,44668000
2015-09-04,225,226,218,220,265000,58675000
2015-09-03,225,228,225,225,139000,31391000
2015-09-02,220,227,219,222,330000,73615000
2015-09-01,234,234,224,224,364000,82851000
2015-08-31,236,236,231,235,255000,59627000
2015-08-28,227,235,227,233,282000,65438000
2015-08-27,228,230,223,223,353000,79904000
2015-08-26,217,226,217,224,274000,60726000
2015-08-25,217,228,214,217,479000,105476000
2015-08-24,231,236,228,228,688000,159562000
2015-08-21,242,246,241,241,421000,102446000
2015-08-20,249,251,246,246,481000,119455000
2015-08-19,257,258,254,256,339000,86808000
2015-08-18,256,257,255,256,191000,48870000
2015-08-17,257,257,255,257,171000,43829000
2015-08-14,260,260,256,257,144000,37028000
2015-08-13,258,261,257,260,335000,86849000
2015-08-12,264,265,255,256,474000,123032000
2015-08-11,260,264,260,264,428000,112448000
2015-08-10,258,259,254,259,395000,101594000
2015-08-07,255,258,254,257,341000,87404000
2015-08-06,252,256,251,255,285000,72279000
2015-08-05,254,254,249,251,248000,62423000
2015-08-04,253,253,249,253,377000,94704000
2015-08-03,255,255,250,254,219000,55446000
2015-07-31,250,256,249,254,367000,92722000
2015-07-30,248,257,248,253,393000,99325000
2015-07-29,248,252,247,247,404000,100527000
2015-07-28,240,249,240,247,649000,158684000
2015-07-27,251,252,248,248,322000,80351000
2015-07-24,255,256,251,252,362000,91612000
2015-07-23,256,258,253,257,290000,74049000
2015-07-22,253,256,253,254,258000,65656000
2015-07-21,255,256,252,255,283000,71927000
2015-07-17,255,256,251,253,229000,57878000
2015-07-16,252,253,250,253,432000,108769000
2015-07-15,258,258,252,254,427000,108794000
2015-07-14,256,261,252,255,545000,139950000
2015-07-13,247,251,246,248,265000,65907000
2015-07-10,247,249,243,245,409000,100554000
2015-07-09,239,246,233,245,800000,191995000
2015-07-08,255,255,243,244,936000,232546000
2015-07-07,256,256,253,253,647000,164783000
2015-07-06,259,259,252,254,818000,208264000
2015-07-03,266,266,262,263,254000,67078000
2015-07-02,270,270,265,266,348000,93206000
2015-07-01,267,269,265,266,489000,130181000
2015-06-30,264,266,261,265,667000,176098000
2015-06-29,269,271,264,264,745000,198872000
2015-06-26,283,284,275,275,793000,220081000
2015-06-25,284,284,281,281,427000,120594000
2015-06-24,288,288,284,285,471000,134683000
2015-06-23,281,287,281,287,567000,161274000
2015-06-22,288,288,279,280,1442000,406893000
2015-06-19,277,290,277,290,1158000,330904000
2015-06-18,277,280,274,275,591000,163655000
2015-06-17,282,283,278,281,351000,98365000
2015-06-16,283,283,277,280,366000,102245000
2015-06-15,283,283,278,281,250000,70076000
2015-06-12,283,284,281,281,574000,162103000
2015-06-11,288,292,283,283,868000,248679000
2015-06-10,283,286,280,282,436000,123595000
2015-06-09,286,287,281,281,531000,150064000
2015-06-08,288,292,286,288,334000,96383000
2015-06-05,292,294,284,287,616000,177504000
2015-06-04,299,299,296,296,600000,178428000
2015-06-03,302,303,295,296,1007000,300680000
2015-06-02,293,306,292,301,1896000,568617000
2015-06-01,282,290,282,289,990000,282801000
2015-05-29,274,281,273,281,920000,256654000
2015-05-28,274,276,272,274,430000,117908000
2015-05-27,277,277,273,275,421000,115750000
2015-05-26,275,277,274,277,284000,78336000
2015-05-25,276,276,272,273,364000,99747000
2015-05-22,274,277,273,276,326000,89728000
2015-05-21,275,275,272,274,297000,81328000
2015-05-20,276,277,273,275,490000,134767000
2015-05-19,276,278,272,272,378000,103750000
2015-05-18,279,279,275,279,283000,78509000
2015-05-15,276,279,276,278,423000,117465000
2015-05-14,275,276,272,276,343000,94252000
2015-05-13,271,275,270,275,517000,141476000
2015-05-12,271,272,268,272,199000,53854000
2015-05-11,269,272,269,271,538000,145330000
2015-05-08,262,264,260,264,322000,84477000
2015-05-07,260,265,259,261,918000,240189000
2015-05-01,261,263,256,258,843000,218293000
2015-04-30,272,274,268,272,413000,112167000
2015-04-28,272,275,270,273,294000,80159000
2015-04-27,270,272,269,272,188000,50826000
2015-04-24,268,273,268,271,323000,87269000
2015-04-23,270,274,269,270,207000,56118000
2015-04-22,269,271,269,271,210000,56644000
2015-04-21,271,273,269,272,294000,79622000
2015-04-20,274,275,272,274,213000,58386000
2015-04-17,275,277,270,274,395000,108178000
2015-04-16,277,277,271,277,445000,122508000
2015-04-15,277,278,273,273,326000,89702000
2015-04-14,272,278,270,278,441000,121265000
2015-04-13,275,275,266,270,339000,91640000
2015-04-10,273,275,271,275,951000,260256000
2015-04-09,272,273,269,271,553000,149921000
2015-04-08,264,270,264,270,751000,201076000
2015-04-07,258,265,257,265,923000,241569000
2015-04-06,252,257,252,256,160000,40797000
2015-04-03,251,254,251,253,221000,55668000
2015-04-02,250,256,249,253,321000,81143000
2015-04-01,254,254,250,250,582000,146477000
2015-03-31,252,254,251,253,349000,88151000
2015-03-30,249,251,246,250,301000,74675000
2015-03-27,256,260,249,250,590000,149395000
2015-03-26,261,263,258,261,490000,127543000
2015-03-25,264,265,261,263,364000,95818000
2015-03-24,262,265,261,265,358000,94295000
2015-03-23,266,266,262,265,307000,81002000
