5659-T,東証1部,日精線,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,486,487,470,486,57000,27381000
2015-10-01,484,490,478,486,47000,22872000
2015-09-30,482,485,479,484,12000,5789000
2015-09-29,488,488,474,482,38000,18221000
2015-09-28,500,505,489,489,36000,17805000
2015-09-25,494,504,494,502,35000,17412000
2015-09-24,505,505,494,494,39000,19449000
2015-09-18,510,515,495,515,62000,31460000
2015-09-17,508,520,508,519,41000,21107000
2015-09-16,493,515,486,508,101000,50638000
2015-09-15,506,506,493,493,44000,22010000
2015-09-14,499,506,499,501,90000,45175000
2015-09-11,500,503,491,498,76000,37871000
2015-09-10,478,484,474,484,51000,24398000
2015-09-09,468,482,467,479,81000,38269000
2015-09-08,460,462,450,450,57000,25928000
2015-09-07,461,464,451,460,48000,22051000
2015-09-04,479,480,466,472,71000,33611000
2015-09-03,491,497,479,479,55000,26747000
2015-09-02,492,496,488,491,62000,30526000
2015-09-01,514,514,493,494,51000,25559000
2015-08-31,505,521,504,509,64000,32631000
2015-08-28,495,515,495,505,56000,28291000
2015-08-27,493,497,489,489,54000,26637000
2015-08-26,480,495,478,486,92000,44676000
2015-08-25,500,505,478,481,77000,37925000
2015-08-24,540,543,512,512,103000,54341000
2015-08-21,550,554,547,549,63000,34641000
2015-08-20,560,562,557,561,48000,26868000
2015-08-19,566,572,561,561,33000,18711000
2015-08-18,573,577,569,570,32000,18353000
2015-08-17,571,572,567,567,31000,17647000
2015-08-14,570,570,564,565,45000,25459000
2015-08-13,566,572,560,566,49000,27765000
2015-08-12,569,572,555,559,77000,43430000
2015-08-11,567,576,567,569,69000,39436000
2015-08-10,573,573,568,569,31000,17666000
2015-08-07,558,574,558,568,71000,40259000
2015-08-06,548,564,548,556,84000,46723000
2015-08-05,543,547,542,545,57000,31039000
2015-08-04,550,551,536,543,118000,64066000
2015-08-03,563,563,552,558,72000,40134000
2015-07-31,560,564,558,563,80000,44901000
2015-07-30,566,568,556,560,91000,51274000
2015-07-29,570,570,563,566,36000,20369000
2015-07-28,565,565,558,563,53000,29800000
2015-07-27,564,581,561,562,103000,58782000
2015-07-24,567,571,554,562,78000,43936000
2015-07-23,579,584,571,573,54000,31135000
2015-07-22,578,582,572,577,63000,36417000
2015-07-21,581,584,578,582,34000,19753000
2015-07-17,575,585,574,581,87000,50318000
2015-07-16,577,577,571,575,43000,24661000
2015-07-15,564,571,564,570,64000,36295000
2015-07-14,560,570,560,563,79000,44554000
2015-07-13,556,556,551,554,20000,11087000
2015-07-10,558,558,544,546,57000,31224000
2015-07-09,544,558,533,552,116000,63351000
2015-07-08,580,580,558,558,100000,56768000
2015-07-07,581,590,577,578,50000,29092000
2015-07-06,592,593,578,581,69000,40394000
2015-07-03,600,600,595,596,25000,14938000
2015-07-02,598,602,595,595,61000,36437000
2015-07-01,593,598,593,596,36000,21455000
2015-06-30,599,600,591,595,55000,32795000
2015-06-29,599,603,597,601,73000,43788000
2015-06-26,617,617,613,613,15000,9215000
2015-06-25,614,617,613,617,22000,13516000
2015-06-24,620,621,608,618,46000,28294000
2015-06-23,614,619,613,617,27000,16639000
2015-06-22,613,615,612,615,25000,15333000
2015-06-19,613,616,612,613,50000,30720000
2015-06-18,622,622,615,616,38000,23501000
2015-06-17,624,625,621,623,30000,18708000
2015-06-16,623,629,622,624,28000,17472000
2015-06-15,623,627,621,627,17000,10609000
2015-06-12,619,626,617,623,77000,47757000
2015-06-11,621,626,621,622,34000,21218000
2015-06-10,622,627,622,622,38000,23678000
2015-06-09,625,630,621,622,58000,36333000
2015-06-08,637,638,629,629,46000,29142000
2015-06-05,637,639,637,638,30000,19138000
2015-06-04,637,638,633,638,37000,23541000
2015-06-03,640,641,636,637,29000,18508000
2015-06-02,646,647,642,643,54000,34817000
2015-06-01,644,647,642,647,77000,49623000
2015-05-29,641,642,639,640,56000,35885000
2015-05-28,639,643,636,637,104000,66608000
2015-05-27,637,638,631,634,102000,64707000
2015-05-26,613,628,611,627,121000,75027000
2015-05-25,613,614,609,612,55000,33635000
2015-05-22,615,615,612,613,63000,38649000
2015-05-21,620,620,616,618,36000,22236000
2015-05-20,613,621,613,617,59000,36308000
2015-05-19,617,618,613,613,45000,27707000
2015-05-18,619,624,618,618,20000,12381000
2015-05-15,621,623,618,619,25000,15491000
2015-05-14,623,628,621,621,50000,31214000
2015-05-13,624,626,621,623,18000,11225000
2015-05-12,620,623,620,622,16000,9938000
2015-05-11,620,627,616,620,32000,19836000
2015-05-08,619,621,619,620,16000,9923000
2015-05-07,620,624,618,618,32000,19855000
2015-05-01,626,626,621,624,61000,38035000
2015-04-30,624,634,621,621,76000,47393000
2015-04-28,626,641,625,628,101000,63681000
2015-04-27,628,631,626,626,56000,35146000
2015-04-24,633,633,629,630,33000,20821000
2015-04-23,629,634,628,629,30000,18903000
2015-04-22,628,634,626,631,36000,22706000
2015-04-21,633,633,624,628,30000,18831000
2015-04-20,633,635,630,630,33000,20864000
2015-04-17,637,639,636,638,23000,14669000
2015-04-16,635,637,635,637,11000,6997000
2015-04-15,635,636,634,634,19000,12059000
2015-04-14,630,636,630,634,19000,12035000
2015-04-13,630,632,627,632,21000,13234000
2015-04-10,636,636,628,630,26000,16436000
2015-04-09,636,636,629,631,26000,16397000
2015-04-08,630,634,629,630,45000,28422000
