5706-T,東証1部,三井金,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,219,223,214,220,4963000,1082940000
2015-10-01,217,224,216,221,5589000,1231340000
2015-09-30,216,217,212,214,7067000,1518060000
2015-09-29,221,222,212,213,10358000,2223505000
2015-09-28,232,233,225,226,5844000,1327885000
2015-09-25,232,236,227,236,5470000,1268546000
2015-09-24,237,238,229,231,7852000,1822094000
2015-09-18,248,249,241,243,6744000,1637725000
2015-09-17,247,253,246,251,8154000,2042392000
2015-09-16,243,247,241,244,3412000,834904000
2015-09-15,243,247,240,240,5125000,1248362000
2015-09-14,242,244,238,240,5070000,1216533000
2015-09-11,252,252,242,244,9452000,2344613000
2015-09-10,246,249,244,248,6965000,1720044000
2015-09-09,244,253,241,252,10772000,2668242000
2015-09-08,233,246,232,237,11841000,2837506000
2015-09-07,231,235,227,231,8439000,1947880000
2015-09-04,239,241,231,233,8127000,1901453000
2015-09-03,241,243,239,240,4323000,1042914000
2015-09-02,237,243,235,238,9219000,2200203000
2015-09-01,249,250,242,243,6475000,1589645000
2015-08-31,253,257,248,249,11517000,2893244000
2015-08-28,248,261,247,258,15840000,4047691000
2015-08-27,247,248,238,240,10331000,2498262000
2015-08-26,237,246,233,244,12925000,3096685000
2015-08-25,240,248,232,236,12581000,3006198000
2015-08-24,253,257,248,249,10085000,2536635000
2015-08-21,258,268,258,261,7073000,1858431000
2015-08-20,265,267,261,266,8350000,2207097000
2015-08-19,272,273,268,268,7314000,1975175000
2015-08-18,278,283,276,279,3479000,974796000
2015-08-17,277,279,273,279,7232000,2001591000
2015-08-14,276,279,274,278,5002000,1384043000
2015-08-13,277,283,276,279,9408000,2633535000
2015-08-12,283,284,272,277,14543000,4018695000
2015-08-11,285,288,282,285,8182000,2330510000
2015-08-10,291,296,282,284,14451000,4150360000
2015-08-07,301,308,301,306,3551000,1085579000
2015-08-06,299,305,296,304,4460000,1344153000
2015-08-05,293,302,289,299,6427000,1907935000
2015-08-04,299,299,290,294,6356000,1865270000
2015-08-03,304,305,298,302,3405000,1026458000
2015-07-31,306,308,302,305,4423000,1345662000
2015-07-30,299,312,299,310,7725000,2372941000
2015-07-29,302,307,298,299,5197000,1564079000
2015-07-28,294,300,293,298,6868000,2036853000
2015-07-27,301,302,296,302,5508000,1649244000
2015-07-24,310,310,301,304,6317000,1925632000
2015-07-23,309,310,302,310,8740000,2679496000
2015-07-22,306,312,305,309,4276000,1319896000
2015-07-21,311,312,304,308,6247000,1917037000
2015-07-17,310,312,306,310,4696000,1450290000
2015-07-16,306,311,304,311,7022000,2163323000
2015-07-15,310,312,303,304,7028000,2152602000
2015-07-14,304,315,304,307,11163000,3448088000
2015-07-13,293,303,293,296,7541000,2246863000
2015-07-10,296,301,290,297,8144000,2409697000
2015-07-09,292,297,281,297,12218000,3550810000
2015-07-08,305,308,298,298,11464000,3461096000
2015-07-07,312,313,306,307,6160000,1901434000
2015-07-06,315,316,306,308,11402000,3543804000
2015-07-03,321,323,318,319,7379000,2358825000
2015-07-02,326,328,322,323,7671000,2486306000
2015-07-01,329,330,324,325,4762000,1554211000
2015-06-30,329,333,327,331,6138000,2027634000
2015-06-29,326,332,325,329,3975000,1307842000
2015-06-26,337,338,332,336,3546000,1187866000
2015-06-25,341,343,338,339,3867000,1312584000
2015-06-24,346,349,341,344,5929000,2048344000
2015-06-23,340,345,335,342,8871000,3027640000
2015-06-22,337,340,333,339,7023000,2366938000
2015-06-19,340,342,334,336,5649000,1903540000
2015-06-18,346,346,337,338,7098000,2429262000
2015-06-17,350,351,344,346,6512000,2257991000
2015-06-16,350,352,345,347,10163000,3538606000
2015-06-15,356,361,350,353,7940000,2820579000
2015-06-12,374,374,356,361,20047000,7310128000
2015-06-11,366,374,360,373,23580000,8682331000
2015-06-10,343,360,343,358,30434000,10788388000
2015-06-09,344,351,338,339,12830000,4425480000
2015-06-08,336,349,335,347,13819000,4755722000
2015-06-05,334,335,331,332,5959000,1982183000
2015-06-04,341,341,334,335,7735000,2602660000
2015-06-03,337,342,336,339,12399000,4214306000
2015-06-02,336,339,335,337,3720000,1253609000
2015-06-01,338,339,335,336,4820000,1621520000
2015-05-29,339,343,337,339,4475000,1522345000
2015-05-28,342,347,337,340,6679000,2287370000
2015-05-27,334,340,334,340,3806000,1286896000
2015-05-26,336,339,334,336,6336000,2135038000
2015-05-25,344,344,336,337,6295000,2137426000
2015-05-22,335,343,335,342,7126000,2426976000
