5721-T,東証1部,S･サイエンス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,42,43,42,42,53600,2277300
2015-10-01,42,43,42,43,48300,2050100
2015-09-30,43,43,41,43,327000,13768200
2015-09-29,44,44,42,42,220700,9509200
2015-09-28,44,45,43,44,100200,4390800
2015-09-25,44,45,43,44,219600,9635000
2015-09-24,44,45,44,44,147400,6493100
2015-09-18,45,46,44,46,69600,3135700
2015-09-17,46,46,44,46,187100,8452100
2015-09-16,46,46,45,46,78000,3571000
2015-09-15,45,46,45,46,63600,2872700
2015-09-14,46,46,45,45,53100,2405100
2015-09-11,44,46,44,45,390300,17524500
2015-09-10,44,45,43,44,81400,3574000
2015-09-09,44,45,43,45,119900,5283600
2015-09-08,44,45,43,43,145300,6364400
2015-09-07,44,45,42,45,426700,18497300
2015-09-04,47,47,45,45,89500,4112900
2015-09-03,46,47,45,47,136300,6331300
2015-09-02,44,45,44,44,127700,5658000
2015-09-01,46,47,45,45,237600,10848200
2015-08-31,46,48,46,47,233300,11021500
2015-08-28,47,47,46,46,270600,12658200
2015-08-27,45,46,45,46,101200,4617200
2015-08-26,43,46,43,45,440700,19651000
2015-08-25,45,45,43,43,779800,34455500
2015-08-24,46,48,45,45,1072500,49213200
2015-08-21,48,49,46,47,1049000,49972100
2015-08-20,49,49,48,48,247400,11917600
2015-08-19,49,50,48,49,311600,15256500
2015-08-18,50,50,49,49,267600,13214700
2015-08-17,50,50,49,49,337900,16648500
2015-08-14,49,50,49,50,206100,10221100
2015-08-13,49,49,48,49,88000,4281800
2015-08-12,49,49,48,49,104700,5127800
2015-08-11,49,50,48,49,207400,10161700
2015-08-10,49,49,48,49,155300,7550800
2015-08-07,50,50,48,50,471500,23101200
2015-08-06,49,50,49,50,130300,6495100
2015-08-05,50,50,49,49,183500,9132500
2015-08-04,50,50,49,49,165900,8163600
2015-08-03,49,50,49,50,52500,2586400
2015-07-31,49,50,48,50,974300,47752600
2015-07-30,51,51,49,49,398700,19868000
2015-07-29,50,51,50,50,88300,4428600
2015-07-28,50,51,50,50,264500,13248800
2015-07-27,51,51,50,50,354200,17934000
2015-07-24,53,56,50,50,6168000,321366300
2015-07-23,51,53,50,53,1606000,82445200
2015-07-22,51,52,50,51,271000,13811100
2015-07-21,51,52,51,51,77700,3966900
2015-07-17,51,52,50,52,253400,12957300
2015-07-16,50,51,50,51,96500,4887500
2015-07-15,51,51,49,50,311400,15591700
2015-07-14,50,50,49,50,256400,12815900
2015-07-13,49,51,49,50,509700,25266300
2015-07-10,49,50,49,49,306900,15162600
2015-07-09,49,50,48,49,595100,29128900
2015-07-08,52,52,49,50,769300,38765600
2015-07-07,52,52,50,52,256700,13105200
2015-07-06,53,53,51,51,623300,32367700
2015-07-03,54,55,52,53,1188100,63519300
2015-07-02,51,55,50,54,2369700,123163000
2015-07-01,52,52,51,51,339500,17370000
2015-06-30,50,53,50,52,694400,35624000
2015-06-29,51,52,50,50,597200,30380800
2015-06-26,52,53,51,52,494400,25699800
2015-06-25,52,53,51,51,329800,17133300
2015-06-24,51,53,51,52,1188900,61601700
2015-06-23,51,52,50,52,431700,22023000
2015-06-22,50,51,50,50,130400,6538400
2015-06-19,50,51,50,50,115000,5772500
2015-06-18,51,51,50,50,239800,12047000
2015-06-17,50,52,50,52,300900,15339000
2015-06-16,50,52,50,50,1272600,64786600
2015-06-15,50,51,50,50,230700,11610600
2015-06-12,50,51,49,50,809500,40461800
2015-06-11,48,51,48,51,869300,43157000
2015-06-10,48,49,48,48,130900,6285500
2015-06-09,49,50,48,48,375300,18254600
2015-06-08,48,50,48,48,267300,13083200
2015-06-05,48,49,48,48,503400,24509500
2015-06-04,48,49,48,48,202400,9718600
2015-06-03,48,49,48,48,133100,6410100
2015-06-02,48,48,48,48,84100,4036800
2015-06-01,48,49,48,48,102000,4897200
2015-05-29,49,49,48,48,308700,14845400
2015-05-28,49,49,48,48,142700,6896500
2015-05-27,48,49,48,49,141800,6844400
2015-05-26,48,49,48,49,362700,17446300
2015-05-25,48,49,48,48,113000,5434800
2015-05-22,49,49,48,49,156300,7643100
2015-05-21,48,50,48,48,884000,43400600
2015-05-20,49,49,48,49,125100,6054200
2015-05-19,49,49,48,49,738700,35584000
2015-05-18,50,51,48,49,1216200,59949900
2015-05-15,50,52,50,52,1066000,54411700
2015-05-14,50,50,49,50,216900,10837100
2015-05-13,49,51,49,50,588400,29383100
2015-05-12,49,50,49,49,87400,4314200
