5727-T,東証1部,邦チタニウム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1410,1445,1381,1436,503200,712102700
2015-10-01,1442,1450,1402,1426,498500,709816200
2015-09-30,1492,1496,1390,1421,917400,1308389000
2015-09-29,1503,1515,1461,1485,829600,1235845700
2015-09-28,1514,1515,1461,1473,287900,424583900
2015-09-25,1473,1508,1438,1497,391100,576366500
2015-09-24,1441,1536,1441,1462,426300,634842200
2015-09-18,1511,1516,1462,1471,378500,559942300
2015-09-17,1480,1530,1450,1524,444500,668418500
2015-09-16,1531,1541,1461,1469,544700,807689200
2015-09-15,1545,1572,1511,1512,316000,484750900
2015-09-14,1558,1575,1531,1546,270100,419045000
2015-09-11,1522,1597,1520,1563,472300,738606100
2015-09-10,1491,1577,1490,1562,535700,826920400
2015-09-09,1553,1554,1493,1535,788500,1199374600
2015-09-08,1545,1564,1461,1478,622400,933921400
2015-09-07,1538,1595,1521,1546,584800,905157100
2015-09-04,1598,1618,1531,1562,1004700,1582184600
2015-09-03,1544,1603,1527,1583,1402700,2208882900
2015-09-02,1435,1510,1411,1444,679500,991019200
2015-09-01,1590,1590,1494,1500,747500,1145840900
2015-08-31,1580,1627,1561,1596,976900,1556266900
2015-08-28,1480,1599,1466,1591,1489900,2307864900
2015-08-27,1437,1458,1377,1406,987700,1408748500
2015-08-26,1303,1366,1272,1341,512000,674547400
2015-08-25,1246,1344,1219,1266,686400,880506700
2015-08-24,1335,1389,1302,1308,637600,850535600
2015-08-21,1408,1447,1394,1395,419300,592587500
2015-08-20,1433,1485,1429,1457,434000,631721600
2015-08-19,1512,1514,1455,1463,380000,559800800
2015-08-18,1571,1572,1506,1522,726400,1110674800
2015-08-17,1533,1592,1526,1592,434900,683191300
2015-08-14,1528,1557,1510,1531,275300,422314100
2015-08-13,1505,1565,1505,1542,347600,535359300
2015-08-12,1580,1594,1512,1521,674700,1041187500
2015-08-11,1598,1670,1590,1616,801900,1307173100
2015-08-10,1580,1591,1562,1572,439800,691927900
2015-08-07,1595,1610,1553,1600,505600,802895000
2015-08-06,1595,1629,1579,1593,500900,801671900
2015-08-05,1620,1697,1556,1579,1557400,2545033200
2015-08-04,1573,1609,1538,1604,700900,1107103200
2015-08-03,1581,1619,1561,1583,794500,1265540600
2015-07-31,1557,1609,1522,1605,1737600,2752582400
2015-07-30,1500,1558,1475,1551,1736800,2646521700
2015-07-29,1429,1543,1375,1517,2948800,4338460900
2015-07-28,1263,1296,1233,1287,725600,918681500
2015-07-27,1340,1348,1263,1279,744500,964333200
2015-07-24,1286,1344,1279,1342,744900,986246500
2015-07-23,1315,1358,1292,1302,1342700,1782794700
2015-07-22,1255,1323,1232,1318,1315600,1711038000
2015-07-21,1280,1284,1200,1255,1594300,1968661000
2015-07-17,1332,1337,1274,1277,1021000,1320564300
2015-07-16,1294,1338,1283,1332,901500,1177131400
2015-07-15,1303,1325,1276,1293,393700,510747500
2015-07-14,1301,1345,1293,1299,571000,750232400
2015-07-13,1254,1300,1235,1279,517700,659646600
2015-07-10,1299,1304,1250,1256,636900,812243200
2015-07-09,1245,1319,1180,1307,1295800,1619049500
2015-07-08,1322,1323,1256,1264,994000,1267388400
2015-07-07,1385,1390,1328,1329,410900,555417000
2015-07-06,1360,1384,1346,1367,321900,438407300
2015-07-03,1430,1450,1366,1380,481300,670372600
2015-07-02,1423,1433,1391,1423,495500,699301000
2015-07-01,1427,1443,1402,1406,415000,588843800
2015-06-30,1372,1427,1370,1414,504300,708210400
2015-06-29,1349,1400,1348,1381,768500,1057349800
2015-06-26,1471,1472,1411,1415,977700,1401228800
2015-06-25,1530,1535,1486,1496,541100,812653900
2015-06-24,1516,1548,1515,1538,673000,1031268500
2015-06-23,1465,1523,1465,1499,1037200,1544560600
2015-06-22,1490,1514,1450,1463,889900,1314744800
2015-06-19,1509,1558,1499,1505,1542700,2361418600
2015-06-18,1482,1523,1462,1491,1009000,1513596400
2015-06-17,1511,1537,1504,1516,778200,1179912000
2015-06-16,1510,1545,1500,1522,975200,1487431500
2015-06-15,1513,1517,1460,1514,1171200,1741703100
2015-06-12,1559,1574,1515,1524,1018600,1567575900
2015-06-11,1537,1579,1511,1549,1250000,1926577600
2015-06-10,1497,1585,1492,1543,1648800,2532609100
2015-06-09,1570,1598,1501,1501,1691900,2614822500
2015-06-08,1640,1648,1587,1602,1219100,1969693400
2015-06-05,1607,1652,1604,1645,1268200,2072734500
2015-06-04,1635,1672,1592,1636,2766300,4514474000
2015-06-03,1498,1639,1492,1632,4434000,7031545600
2015-06-02,1468,1476,1438,1452,1037300,1508052200
2015-06-01,1390,1462,1390,1438,1452300,2068988600
2015-05-29,1324,1453,1310,1396,2665100,3726285600
2015-05-28,1331,1340,1301,1308,468300,617701700
2015-05-27,1303,1350,1285,1312,904500,1190662100
2015-05-26,1197,1326,1197,1311,1298300,1665974400
2015-05-25,1212,1228,1196,1203,258400,312179700
2015-05-22,1235,1237,1202,1217,469900,571213400
2015-05-21,1195,1250,1194,1234,597800,736713200
2015-05-20,1190,1198,1166,1193,313100,370022800
2015-05-19,1192,1196,1168,1189,298000,352771600
2015-05-18,1205,1211,1167,1192,391300,463753900
2015-05-15,1222,1226,1203,1208,184900,223696800
2015-05-14,1227,1227,1192,1210,421500,509987500
