5815-T,東証1部,沖電線,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,212,216,211,216,27000,5765000
2015-10-01,211,216,207,212,116000,24534000
2015-09-30,203,214,203,205,79000,16344000
2015-09-29,212,212,201,203,76000,15713000
2015-09-28,218,218,213,215,32000,6934000
2015-09-25,208,211,206,211,145000,30217000
2015-09-24,219,219,211,211,91000,19711000
2015-09-18,224,224,221,222,41000,9116000
2015-09-17,225,227,225,226,63000,14214000
2015-09-16,225,230,219,221,138000,30860000
2015-09-15,233,233,224,225,60000,13686000
2015-09-14,238,238,232,232,54000,12594000
2015-09-11,235,236,232,233,104000,24377000
2015-09-10,232,245,226,233,161000,37632000
2015-09-09,226,232,225,232,99000,22654000
2015-09-08,228,230,220,221,60000,13453000
2015-09-07,225,231,222,228,59000,13336000
2015-09-04,234,234,220,227,87000,19690000
2015-09-03,244,244,233,234,68000,16195000
2015-09-02,242,247,240,240,92000,22275000
2015-09-01,255,255,245,246,103000,25686000
2015-08-31,249,255,248,255,100000,25174000
2015-08-28,241,247,240,247,227000,55255000
2015-08-27,248,248,241,242,123000,30145000
2015-08-26,245,246,236,244,230000,55741000
2015-08-25,227,245,211,225,416000,95899000
2015-08-24,270,272,251,251,338000,88645000
2015-08-21,281,284,278,281,231000,65021000
2015-08-20,284,292,281,285,326000,93336000
2015-08-19,292,296,281,284,897000,259383000
2015-08-18,269,289,269,287,1067000,301059000
2015-08-17,258,265,258,262,59000,15319000
2015-08-14,263,267,261,262,50000,13146000
2015-08-13,265,266,262,263,34000,8985000
2015-08-12,267,268,265,266,46000,12252000
2015-08-11,269,271,267,267,61000,16405000
2015-08-10,267,269,267,269,39000,10458000
2015-08-07,268,271,267,270,47000,12640000
2015-08-06,273,273,266,268,45000,12105000
2015-08-05,274,274,268,271,72000,19530000
2015-08-04,274,274,266,272,61000,16511000
2015-08-03,270,270,265,268,60000,16133000
2015-07-31,270,273,261,265,86000,23067000
2015-07-30,274,276,270,271,74000,20145000
2015-07-29,272,275,270,274,53000,14441000
2015-07-28,271,279,270,276,50000,13675000
2015-07-27,279,279,274,274,40000,11049000
2015-07-24,285,285,275,279,121000,33986000
2015-07-23,283,287,282,284,22000,6246000
2015-07-22,285,285,280,283,83000,23496000
2015-07-21,290,290,285,286,70000,20119000
2015-07-17,294,294,287,290,210000,60955000
2015-07-16,287,299,287,298,445000,130871000
2015-07-15,282,284,281,282,43000,12141000
2015-07-14,274,280,274,280,84000,23402000
2015-07-13,270,273,266,271,92000,24806000
2015-07-10,264,269,257,266,105000,27716000
2015-07-09,256,265,244,261,283000,72252000
2015-07-08,282,282,272,272,123000,34151000
2015-07-07,284,286,282,283,85000,24159000
2015-07-06,284,286,283,283,69000,19616000
2015-07-03,292,292,287,288,54000,15596000
2015-07-02,290,292,290,290,56000,16280000
2015-07-01,292,292,286,288,69000,19939000
2015-06-30,292,292,282,287,145000,41781000
2015-06-29,295,298,291,293,142000,41713000
2015-06-26,300,302,296,297,94000,28017000
2015-06-25,298,299,297,298,67000,19973000
2015-06-24,297,300,296,299,112000,33448000
2015-06-23,298,299,295,297,74000,22004000
2015-06-22,299,299,297,299,37000,11022000
2015-06-19,298,300,295,299,96000,28588000
2015-06-18,301,302,298,298,68000,20398000
2015-06-17,304,304,301,301,64000,19307000
2015-06-16,304,305,303,303,43000,13057000
