5821-T,東証1部,平河ヒューテ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1270,1270,1220,1248,11000,13609100
2015-10-01,1261,1280,1186,1270,9900,12242000
2015-09-30,1268,1283,1186,1252,9900,12393100
2015-09-29,1270,1281,1242,1253,10800,13593500
2015-09-28,1328,1340,1282,1296,16600,21694000
2015-09-25,1309,1354,1283,1335,16300,21666400
2015-09-24,1299,1340,1296,1311,17400,23014700
2015-09-18,1294,1341,1279,1320,15200,20033000
2015-09-17,1330,1330,1260,1294,13600,17754100
2015-09-16,1244,1300,1244,1290,20300,25829900
2015-09-15,1220,1245,1204,1219,4400,5392400
2015-09-14,1222,1230,1200,1210,2600,3151400
2015-09-11,1220,1250,1220,1233,11300,13853600
2015-09-10,1190,1244,1170,1242,23800,28671600
2015-09-09,1219,1232,1178,1201,17100,20692700
2015-09-08,1235,1235,1175,1176,2200,2604800
2015-09-07,1184,1187,1141,1187,3600,4209000
2015-09-04,1228,1228,1198,1198,7300,8813200
2015-09-03,1233,1233,1203,1215,10800,13196200
2015-09-02,1211,1217,1180,1212,4600,5538200
2015-09-01,1206,1272,1180,1241,16300,20027200
2015-08-31,1199,1233,1193,1218,10700,13036900
2015-08-28,1205,1208,1187,1199,17000,20433400
2015-08-27,1175,1179,1160,1166,18000,21126000
2015-08-26,1131,1149,1085,1146,31900,35657600
2015-08-25,1123,1248,1094,1117,37000,41889500
2015-08-24,1262,1262,1166,1179,31500,38215900
2015-08-21,1301,1330,1300,1300,11600,15200800
2015-08-20,1352,1367,1342,1343,7600,10281700
2015-08-19,1365,1366,1349,1355,5000,6781300
2015-08-18,1387,1387,1350,1372,4500,6151600
2015-08-17,1382,1382,1348,1373,4100,5611300
2015-08-14,1370,1382,1370,1380,4000,5505900
2015-08-13,1372,1377,1359,1375,5000,6829300
2015-08-12,1376,1397,1376,1376,8100,11165600
2015-08-11,1399,1412,1369,1410,23700,33000500
2015-08-10,1400,1410,1385,1397,11000,15378400
2015-08-07,1402,1445,1400,1400,29000,41051700
2015-08-06,1343,1343,1313,1330,6600,8739900
2015-08-05,1303,1333,1302,1316,9300,12256000
2015-08-04,1358,1358,1309,1315,8500,11248200
2015-08-03,1332,1344,1328,1335,3900,5204500
2015-07-31,1324,1327,1315,1323,2800,3699000
2015-07-30,1319,1319,1310,1312,2200,2889800
2015-07-29,1324,1324,1297,1297,2800,3672500
2015-07-28,1291,1300,1280,1294,7400,9551900
2015-07-27,1319,1319,1299,1302,4900,6430400
2015-07-24,1325,1330,1314,1319,2800,3700500
2015-07-23,1312,1325,1310,1325,4100,5406400
2015-07-22,1326,1328,1292,1303,11300,14782100
2015-07-21,1352,1369,1326,1334,4800,6407900
2015-07-17,1338,1392,1332,1341,4500,6090300
2015-07-16,1316,1338,1316,1331,5000,6643600
2015-07-15,1320,1321,1310,1313,7400,9723000
2015-07-14,1348,1348,1315,1321,8400,11092300
2015-07-13,1325,1343,1309,1331,11700,15407900
