5902-T,東証1部,ホッカンHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,294,297,291,296,40000,11770000
2015-10-01,285,292,283,292,47000,13576000
2015-09-30,285,287,281,281,36000,10193000
2015-09-29,290,290,281,283,46000,13062000
2015-09-28,293,294,291,292,27000,7903000
2015-09-25,292,297,290,297,59000,17324000
2015-09-24,286,300,286,288,87000,25233000
2015-09-18,294,295,289,293,36000,10549000
2015-09-17,287,295,287,294,60000,17476000
2015-09-16,287,288,285,287,34000,9725000
2015-09-15,287,290,286,287,51000,14682000
2015-09-14,292,292,286,287,42000,12103000
2015-09-11,291,294,290,291,97000,28239000
2015-09-10,287,288,284,287,53000,15174000
2015-09-09,284,290,282,290,76000,21750000
2015-09-08,282,283,278,278,51000,14271000
2015-09-07,280,283,278,282,69000,19372000
2015-09-04,288,288,281,283,65000,18411000
2015-09-03,293,293,285,285,54000,15535000
2015-09-02,287,290,284,286,44000,12617000
2015-09-01,297,302,290,290,110000,32435000
2015-08-31,294,300,288,299,120000,35461000
2015-08-28,290,295,287,295,100000,29172000
2015-08-27,293,293,284,284,81000,23306000
2015-08-26,281,286,281,283,87000,24553000
2015-08-25,282,295,279,280,110000,31226000
2015-08-24,300,305,291,292,120000,35560000
2015-08-21,307,310,306,306,108000,33179000
2015-08-20,320,323,311,313,411000,130000000
2015-08-19,301,301,299,299,29000,8697000
2015-08-18,300,302,298,300,40000,11992000
2015-08-17,297,298,296,298,43000,12780000
2015-08-14,297,298,296,297,23000,6828000
2015-08-13,295,297,293,296,54000,15935000
2015-08-12,300,300,294,296,57000,16896000
2015-08-11,303,304,299,299,62000,18720000
2015-08-10,303,304,300,303,62000,18751000
2015-08-07,298,300,297,299,53000,15821000
2015-08-06,306,307,298,301,137000,41427000
2015-08-05,295,298,293,298,69000,20448000
2015-08-04,293,293,290,291,36000,10482000
2015-08-03,291,291,285,290,43000,12455000
2015-07-31,287,289,285,287,38000,10910000
2015-07-30,283,285,283,284,20000,5680000
2015-07-29,282,283,282,282,9000,2539000
2015-07-28,282,285,282,282,43000,12160000
2015-07-27,289,290,285,285,51000,14686000
2015-07-24,287,289,287,289,20000,5770000
2015-07-23,285,288,285,288,18000,5165000
2015-07-22,285,285,283,284,40000,11363000
2015-07-21,289,289,286,286,21000,6031000
2015-07-17,288,288,285,286,21000,6022000
2015-07-16,286,288,283,285,47000,13419000
2015-07-15,284,287,284,286,63000,17971000
2015-07-14,283,287,283,286,44000,12563000
2015-07-13,282,282,279,279,37000,10386000
2015-07-10,280,285,276,278,83000,23133000
2015-07-09,280,284,277,280,115000,32125000
2015-07-08,289,290,284,284,64000,18288000
2015-07-07,289,291,289,290,20000,5802000
2015-07-06,293,294,287,287,74000,21499000
2015-07-03,298,298,294,294,32000,9455000
2015-07-02,299,302,295,297,41000,12187000
2015-07-01,299,302,296,296,60000,17871000
2015-06-30,298,299,296,299,29000,8637000
2015-06-29,300,303,296,296,57000,17008000
2015-06-26,306,306,302,304,35000,10660000
2015-06-25,306,307,306,306,30000,9194000
2015-06-24,307,307,305,307,66000,20197000
2015-06-23,303,306,303,306,81000,24699000
2015-06-22,297,302,297,302,29000,8703000
2015-06-19,297,304,297,301,27000,8126000
2015-06-18,298,302,294,294,40000,11862000
2015-06-17,304,304,298,298,51000,15300000
2015-06-16,303,304,301,303,41000,12402000
2015-06-15,302,303,301,301,75000,22659000
2015-06-12,305,307,302,305,178000,54218000
2015-06-11,306,307,302,305,87000,26477000
2015-06-10,308,310,305,305,60000,18442000
2015-06-09,308,311,307,307,36000,11131000
2015-06-08,313,314,310,310,29000,9035000
2015-06-05,312,313,307,309,61000,18857000
2015-06-04,306,312,303,311,73000,22486000
2015-06-03,307,313,302,302,143000,44039000
2015-06-02,324,324,310,313,92000,29174000
2015-06-01,322,330,312,318,132000,42239000
2015-05-29,310,311,307,309,72000,22238000
2015-05-28,308,311,307,310,56000,17282000
2015-05-27,302,318,302,304,106000,32621000
2015-05-26,304,304,301,302,26000,7873000
2015-05-25,304,305,302,303,81000,24581000
2015-05-22,303,303,301,301,26000,7834000
2015-05-21,302,303,301,303,55000,16609000
2015-05-20,302,302,300,302,26000,7836000
2015-05-19,300,305,294,301,157000,47419000
2015-05-18,303,304,301,304,69000,20889000
2015-05-15,300,305,298,303,148000,44647000
2015-05-14,298,302,296,301,81000,24184000
2015-05-13,299,301,293,301,163000,48581000
2015-05-12,282,300,282,299,206000,60327000
2015-05-11,284,295,281,295,357000,103789000
2015-05-08,276,279,276,277,44000,12180000
2015-05-07,276,277,276,276,32000,8850000
2015-05-01,278,280,276,277,46000,12789000
2015-04-30,281,282,279,279,59000,16527000
2015-04-28,282,284,280,280,40000,11256000
2015-04-27,282,282,280,281,69000,19383000
2015-04-24,281,282,281,281,39000,10974000
2015-04-23,284,284,281,281,59000,16626000
2015-04-22,285,285,284,284,13000,3700000
2015-04-21,284,285,283,285,40000,11369000
2015-04-20,283,284,282,283,20000,5660000
2015-04-17,283,283,281,283,31000,8761000
2015-04-16,283,284,281,283,31000,8753000
2015-04-15,283,285,282,283,64000,18132000
2015-04-14,283,285,282,285,40000,11343000
2015-04-13,282,284,280,283,37000,10432000
2015-04-10,283,284,281,282,51000,14413000
2015-04-09,282,284,281,282,38000,10728000
2015-04-08,284,285,282,282,50000,14181000
2015-04-07,282,284,280,284,49000,13833000
2015-04-06,279,279,278,279,12000,3345000
2015-04-03,280,281,279,279,21000,5880000
2015-04-02,280,283,278,280,55000,15426000
2015-04-01,277,282,277,278,64000,17829000
2015-03-31,278,281,277,277,61000,17005000
2015-03-30,282,282,278,278,73000,20414000
2015-03-27,288,288,282,282,86000,24545000
2015-03-26,294,294,292,293,188000,55186000
2015-03-25,292,295,292,294,69000,20242000
2015-03-24,293,296,292,292,90000,26426000
