5932-T,東証1部,三協立山,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1884,1957,1863,1950,139800,270369000
2015-10-01,1894,1908,1850,1903,88000,166131600
2015-09-30,1847,1870,1815,1854,140500,259685700
2015-09-29,1874,1898,1847,1859,132800,248520100
2015-09-28,1894,1911,1877,1903,51400,97681600
2015-09-25,1838,1893,1831,1893,115600,215863800
2015-09-24,1838,1868,1822,1840,92100,170604400
2015-09-18,1894,1894,1862,1867,105400,197829500
2015-09-17,1868,1891,1857,1881,71500,134336100
2015-09-16,1864,1880,1830,1853,87900,162548100
2015-09-15,1806,1866,1801,1841,130700,241173900
2015-09-14,1776,1810,1756,1805,134900,241741700
2015-09-11,1790,1790,1763,1776,105700,188469800
2015-09-10,1732,1786,1724,1775,67500,118704900
2015-09-09,1736,1756,1718,1756,86900,151038800
2015-09-08,1713,1741,1675,1679,121900,207457700
2015-09-07,1711,1754,1704,1724,73500,126494700
2015-09-04,1800,1813,1726,1741,119400,209885800
2015-09-03,1793,1840,1782,1792,72300,130504900
2015-09-02,1781,1823,1772,1773,110900,199177100
2015-09-01,1891,1891,1807,1807,113500,210155300
2015-08-31,1831,1883,1815,1865,124300,230792300
2015-08-28,1796,1889,1780,1850,394500,730372800
2015-08-27,1790,1804,1754,1754,190400,338052600
2015-08-26,1753,1770,1716,1755,174600,304611600
2015-08-25,1722,1813,1694,1754,252800,444884600
2015-08-24,1858,1874,1779,1780,190300,347229900
2015-08-21,1930,1963,1878,1881,169200,324180300
2015-08-20,1994,1994,1931,1933,104300,203056100
2015-08-19,1983,2038,1978,1998,157900,317022700
2015-08-18,1947,1999,1943,1983,117400,231534200
2015-08-17,1955,1984,1938,1946,81800,159649300
2015-08-14,1950,1952,1903,1936,164400,317577200
2015-08-13,1993,2005,1954,1970,132600,262627500
2015-08-12,1981,2055,1968,2030,286700,581672100
2015-08-11,1970,2009,1938,1993,338500,667867600
2015-08-10,1943,1993,1912,1967,373400,729825000
2015-08-07,1872,1915,1869,1892,145700,276673900
2015-08-06,1803,1898,1800,1881,194400,361616900
2015-08-05,1790,1796,1752,1785,215400,383641100
2015-08-04,1822,1825,1779,1790,224500,402417400
2015-08-03,1849,1849,1810,1822,78500,143678800
2015-07-31,1813,1838,1790,1835,147500,267665500
2015-07-30,1844,1844,1802,1810,117300,213120500
2015-07-29,1813,1845,1782,1837,211300,383816800
2015-07-28,1806,1818,1791,1810,130900,236273600
2015-07-27,1852,1860,1816,1827,119500,218536500
2015-07-24,1890,1908,1851,1864,156000,291164200
2015-07-23,1922,1925,1872,1889,140400,266060600
2015-07-22,1955,2000,1936,1937,256800,506838800
2015-07-21,1953,1966,1926,1956,98200,191267500
2015-07-17,1953,1972,1939,1946,164200,320277100
2015-07-16,1911,2003,1881,1985,266200,518467000
2015-07-15,1940,1966,1906,1921,173800,334034500
2015-07-14,1898,2058,1898,1929,563000,1111476200
2015-07-13,1883,1917,1847,1864,346800,648176700
2015-07-10,1986,1998,1923,1923,175800,343909000
2015-07-09,1925,1974,1896,1970,119200,230339100
2015-07-08,2010,2014,1955,1962,159300,315135100
2015-07-07,2052,2078,2029,2029,114700,235444700
2015-07-06,2061,2062,2013,2022,108100,220106500
2015-07-03,2121,2121,2076,2090,81800,171102400
2015-07-02,2129,2148,2116,2122,230800,492864900
2015-07-01,2080,2109,2069,2092,105000,220054200
2015-06-30,2035,2076,2029,2068,99000,203494000
2015-06-29,2030,2058,2023,2027,94800,192977700
2015-06-26,2091,2104,2064,2080,57600,120040800
2015-06-25,2112,2117,2085,2088,61400,128822700
2015-06-24,2120,2138,2111,2119,119100,252865800
2015-06-23,2107,2114,2083,2108,119300,251141400
2015-06-22,2083,2104,2077,2097,64400,134623000
2015-06-19,2050,2078,2050,2077,81400,168332500
2015-06-18,2079,2079,2048,2048,60400,124150700
2015-06-17,2071,2098,2068,2086,103700,216408500
2015-06-16,2116,2119,2059,2060,58000,120558200
2015-06-15,2108,2116,2093,2113,82000,172698300
2015-06-12,2110,2127,2100,2123,328500,695451900
2015-06-11,2065,2126,2064,2089,359300,753424700
2015-06-10,2055,2072,2042,2043,123500,253864900
2015-06-09,2057,2078,2050,2062,98000,202512500
2015-06-08,2055,2068,2050,2060,78500,161770900
2015-06-05,2054,2060,2030,2052,78900,161265500
2015-06-04,2070,2074,2058,2063,57800,119392500
2015-06-03,2068,2079,2054,2076,90500,187471800
2015-06-02,2057,2073,2055,2068,131400,271528600
2015-06-01,2025,2060,2024,2056,118800,242625700
2015-05-29,2014,2033,2003,2008,133600,269559800
2015-05-28,2042,2057,2007,2013,221600,449174300
2015-05-27,2082,2084,2049,2054,179900,370142600
2015-05-26,2083,2104,2079,2090,257900,539281300
2015-05-25,2065,2083,2047,2081,254400,525063500
2015-05-22,2070,2074,2055,2059,370900,764642900
2015-05-21,2185,2185,2077,2078,963200,2030776700
2015-05-20,2320,2347,2294,2335,122000,284112000
2015-05-19,2292,2318,2292,2308,103100,237748200
2015-05-18,2332,2366,2267,2283,234100,536236900
2015-05-15,2400,2406,2357,2370,66300,157407200
2015-05-14,2406,2411,2366,2389,152400,363371100
2015-05-13,2420,2430,2390,2418,103700,250465300
2015-05-12,2428,2428,2375,2423,102800,247176600
2015-05-11,2386,2441,2386,2422,152200,368394400
2015-05-08,2323,2369,2323,2364,130000,305986700
2015-05-07,2292,2357,2286,2312,187800,435102800
2015-05-01,2240,2280,2217,2277,104300,235489600
2015-04-30,2216,2264,2216,2242,82000,184032300
2015-04-28,2254,2289,2248,2259,109700,248858500
2015-04-27,2240,2267,2211,2247,75900,170190600
2015-04-24,2200,2230,2176,2217,58800,130058400
2015-04-23,2189,2209,2178,2187,63300,138586100
2015-04-22,2181,2201,2171,2196,70600,154636600
2015-04-21,2156,2184,2156,2170,76100,165175000
2015-04-20,2165,2174,2132,2167,82000,177347500
2015-04-17,2201,2202,2163,2173,94600,206361600
2015-04-16,2190,2221,2159,2217,93800,205306000
2015-04-15,2200,2203,2181,2189,78200,171281100
2015-04-14,2140,2225,2052,2216,188300,406614100
2015-04-13,2230,2230,2104,2143,193200,418807800
2015-04-10,2184,2242,2184,2224,112000,248001300
2015-04-09,2171,2184,2153,2173,92100,199832500
2015-04-08,2161,2185,2157,2173,77200,167665100
2015-04-07,2160,2177,2101,2153,165000,354030000
2015-04-06,2270,2289,2142,2166,213400,471645100
2015-04-03,2341,2341,2290,2317,78800,181942400
2015-04-02,2355,2374,2342,2353,146100,344175000
2015-04-01,2329,2379,2329,2350,239400,563471800
2015-03-31,2298,2329,2290,2321,99200,229352400
2015-03-30,2242,2281,2192,2268,122000,274286900
2015-03-27,2254,2307,2210,2221,129900,292465700
2015-03-26,2302,2316,2276,2289,80900,185754400
2015-03-25,2324,2343,2272,2302,100200,231639800
2015-03-24,2300,2325,2276,2315,79500,183054600
2015-03-23,2275,2315,2270,2299,113700,260784200
2015-03-20,2220,2252,2220,2252,76800,172137500
2015-03-19,2240,2248,2205,2225,74100,164742600
2015-03-18,2268,2272,2220,2244,88000,197135500
2015-03-17,2250,2289,2250,2259,124600,282430800
2015-03-16,2233,2255,2227,2246,97500,218407500
2015-03-13,2186,2230,2170,2220,209600,462678000
2015-03-12,2172,2193,2172,2181,125000,272892500
2015-03-11,2150,2165,2138,2156,168900,363286200
2015-03-10,2127,2147,2104,2125,81100,172026000
2015-03-09,2103,2136,2091,2127,93900,199262500
2015-03-06,2100,2124,2081,2093,149900,314136400
2015-03-05,2093,2107,2072,2101,98700,206387400
2015-03-04,2105,2119,2068,2093,170800,357247500
2015-03-03,2017,2111,2017,2087,372800,775547400
2015-03-02,2007,2021,1964,2012,137500,275876500
2015-02-27,1945,2003,1944,1994,235100,467466000
2015-02-26,1960,1995,1938,1980,139300,275194600
2015-02-25,1950,1959,1911,1955,277000,539024200
2015-02-24,1868,1946,1868,1920,360500,692341900
2015-02-23,1942,1946,1907,1908,116400,223083300
2015-02-20,1949,1968,1933,1940,87100,169891700
2015-02-19,1911,1947,1911,1938,131700,254970400
2015-02-18,1910,1926,1894,1907,164400,313816900
2015-02-17,1915,1925,1873,1877,128500,243629700
2015-02-16,1880,1923,1875,1903,143100,272867700
2015-02-13,1867,1876,1855,1868,100500,187606900
2015-02-12,1920,1920,1877,1879,130800,247933800
2015-02-10,1909,1920,1891,1897,120200,228350900
2015-02-09,1902,1929,1890,1908,144600,276479700
2015-02-06,1842,1890,1842,1889,131300,246557900
2015-02-05,1841,1893,1823,1857,120700,223259400
2015-02-04,1855,1883,1842,1848,158800,296046000
2015-02-03,1840,1858,1822,1832,148700,273643300
2015-02-02,1829,1862,1823,1837,202000,372140800
2015-01-30,1845,1857,1807,1821,260900,477520700
2015-01-29,1820,1832,1805,1811,300900,546505900
2015-01-28,1820,1847,1803,1836,220900,402853600
2015-01-27,1839,1855,1816,1849,222900,408409600
2015-01-26,1811,1844,1775,1842,370100,670236800
2015-01-23,1862,1875,1820,1836,322500,593885200
2015-01-22,1832,2054,1805,1902,519000,978475400
2015-01-21,1822,1831,1795,1820,281000,508481400
2015-01-20,1820,1907,1800,1833,317800,584392600
2015-01-19,1814,1831,1784,1810,225100,408088100
2015-01-16,1880,1880,1789,1803,570800,1034552400
2015-01-15,1984,2001,1901,1909,243200,473685700
2015-01-14,2004,2049,1979,1986,170800,342907300
2015-01-13,2050,2054,1984,2004,390400,790513500
2015-01-09,2185,2220,2069,2109,277200,590055000
2015-01-08,2145,2199,2143,2196,75300,164263800
2015-01-07,2114,2168,2114,2144,70500,151474300
2015-01-06,2176,2200,2146,2150,81400,176047300
2015-01-05,2240,2241,2207,2221,54800,122032300
2014-12-30,2225,2235,2187,2216,39400,87358200
2014-12-29,2187,2210,2169,2192,39100,85647100
2014-12-26,2180,2196,2160,2196,41100,89765700
2014-12-25,2174,2184,2147,2172,49000,106206600
2014-12-24,2190,2195,2168,2174,59600,130103100
2014-12-22,2152,2171,2144,2155,32700,70439100
2014-12-19,2177,2199,2133,2159,56100,121124800
2014-12-18,2165,2173,2133,2135,60000,128969900
2014-12-17,2107,2152,2107,2121,56400,120148100
2014-12-16,2120,2128,2077,2110,63900,134993000
2014-12-15,2148,2200,2148,2166,38900,84695000
2014-12-12,2202,2229,2178,2178,75500,166084300
2014-12-11,2202,2252,2184,2225,77500,172094900
2014-12-10,2214,2254,2208,2231,85400,190421500
2014-12-09,2234,2255,2230,2245,48600,109102200
2014-12-08,2257,2283,2234,2274,81500,184708000
2014-12-05,2231,2260,2201,2247,113000,252443700
2014-12-04,2224,2237,2200,2216,106600,236284700
2014-12-03,2144,2255,2144,2224,295600,656979000
2014-12-02,2074,2121,2048,2112,107300,224160300
2014-12-01,2011,2077,2011,2074,106400,219462800
2014-11-28,2015,2027,2000,2026,53300,107530000
2014-11-27,2035,2040,1996,2002,65800,132004800
2014-11-26,2030,2075,2018,2035,101200,206854600
2014-11-25,2015,2040,2005,2030,157200,317738500
2014-11-21,2010,2019,1984,2001,60800,121542000
2014-11-20,1983,2020,1983,2010,89300,179375100
2014-11-19,1990,2029,1979,1980,94600,188578100
2014-11-18,2000,2020,1975,1991,80100,159624300
2014-11-17,2000,2020,1977,1983,101300,202195400
2014-11-14,2028,2054,2014,2040,94000,191247500
2014-11-13,1979,2010,1979,1992,57300,114280800
2014-11-12,2035,2055,1986,1988,89800,181192000
2014-11-11,2010,2039,1976,2029,96000,193029600
2014-11-10,1995,2002,1970,2001,82500,164283800
2014-11-07,1964,1999,1928,1968,131300,258723200
2014-11-06,1980,1986,1926,1938,71300,139489900
2014-11-05,1982,1991,1931,1955,145700,284920500
2014-11-04,2015,2030,1973,2005,205500,411352400
2014-10-31,1905,1980,1893,1976,168300,327328200
2014-10-30,1890,1912,1880,1897,104900,199050400
2014-10-29,1890,1910,1885,1903,60400,114928300
2014-10-28,1885,1900,1868,1874,54300,102195800
2014-10-27,1874,1893,1855,1883,87100,163778400
2014-10-24,1870,1881,1826,1845,111700,206032000
2014-10-23,1870,1886,1841,1845,158800,295044700
2014-10-22,1884,1916,1871,1895,119700,227188300
2014-10-21,1905,1905,1840,1844,115600,215197000
2014-10-20,1904,1908,1884,1904,90300,171341900
2014-10-17,1940,1954,1841,1852,204400,382883700
2014-10-16,1942,2019,1941,1949,197700,390034500
2014-10-15,2055,2090,1972,1999,177800,358620400
2014-10-14,2005,2079,1999,2030,307600,628919200
2014-10-10,1944,2020,1930,2017,200500,398024500
2014-10-09,2008,2016,1961,1964,98700,194913700
2014-10-08,1985,2013,1971,2008,138400,276384500
2014-10-07,2070,2079,1991,2009,230400,465499800
2014-10-06,2046,2100,2032,2073,201200,412827300
2014-10-03,2089,2124,2055,2063,165900,344809300
2014-10-02,2128,2128,2045,2046,121100,251662300
2014-10-01,2148,2172,2133,2136,131000,282261000
2014-09-30,2130,2140,2083,2129,113700,240566100
2014-09-29,2129,2129,2094,2112,44800,94575900
2014-09-26,2115,2129,2100,2106,49800,105178700
2014-09-25,2099,2120,2087,2118,154200,324463100
