5933-T,東証1部,アルインコ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1099,1105,1087,1105,23400,25685500
2015-10-01,1088,1099,1076,1095,25200,27373200
2015-09-30,1080,1088,1072,1079,43900,47413300
2015-09-29,1081,1089,1064,1078,45900,49352800
2015-09-28,1080,1097,1080,1089,32600,35428200
2015-09-25,1083,1094,1068,1094,38400,41519900
2015-09-24,1091,1095,1078,1078,39600,42949300
2015-09-18,1094,1104,1093,1103,26700,29361400
2015-09-17,1092,1113,1087,1113,47300,52166100
2015-09-16,1083,1110,1083,1094,70900,77576800
2015-09-15,1105,1113,1093,1106,93400,103224900
2015-09-14,1111,1111,1090,1101,27400,30186500
2015-09-11,1090,1112,1084,1108,51200,56381500
2015-09-10,1070,1093,1052,1083,64900,70009600
2015-09-09,1070,1079,1056,1070,52600,55964800
2015-09-08,1066,1070,1045,1045,30000,31585900
2015-09-07,1042,1085,1042,1064,49600,52694300
2015-09-04,1089,1089,1050,1056,33400,35499500
2015-09-03,1085,1092,1068,1079,46700,50237400
2015-09-02,1070,1097,1061,1078,55800,60214900
2015-09-01,1095,1096,1065,1069,41300,44603300
2015-08-31,1092,1098,1077,1091,30400,33069800
2015-08-28,1087,1094,1068,1082,40600,43916000
2015-08-27,1069,1083,1051,1061,46500,49589800
2015-08-26,1040,1068,1037,1047,64800,67818600
2015-08-25,1060,1073,1005,1038,79100,82378300
2015-08-24,1086,1116,1069,1069,62900,68254900
2015-08-21,1103,1114,1102,1104,40600,44849000
2015-08-20,1134,1134,1118,1118,23900,26863200
2015-08-19,1142,1144,1131,1131,21800,24793500
2015-08-18,1135,1142,1128,1140,40100,45566500
2015-08-17,1125,1130,1121,1130,39500,44528900
2015-08-14,1116,1125,1111,1123,23800,26614700
2015-08-13,1116,1126,1116,1121,20900,23409200
2015-08-12,1126,1129,1117,1123,37100,41610000
2015-08-11,1130,1132,1119,1126,36400,40954500
2015-08-10,1130,1138,1118,1130,35400,40010700
2015-08-07,1125,1130,1123,1129,19000,21410900
2015-08-06,1128,1135,1115,1130,37000,41731100
2015-08-05,1116,1130,1114,1128,37900,42577400
2015-08-04,1120,1126,1117,1121,20200,22629000
2015-08-03,1106,1118,1105,1118,27800,30934800
2015-07-31,1111,1111,1105,1109,23200,25716000
2015-07-30,1095,1108,1095,1101,33300,36633800
2015-07-29,1088,1104,1087,1088,41300,45059500
2015-07-28,1101,1107,1087,1098,55800,61158900
2015-07-27,1116,1122,1106,1106,31000,34436900
2015-07-24,1122,1123,1116,1120,27200,30435600
2015-07-23,1125,1125,1116,1121,26000,29130600
2015-07-22,1122,1125,1113,1118,35700,39880700
2015-07-21,1126,1128,1115,1123,58100,65171100
2015-07-17,1144,1144,1132,1136,54900,62490600
2015-07-16,1133,1144,1125,1139,59700,67763300
2015-07-15,1129,1132,1126,1127,20400,23043100
2015-07-14,1125,1131,1122,1125,23500,26460900
2015-07-13,1100,1115,1097,1110,25700,28392300
2015-07-10,1105,1105,1085,1086,37700,41164000
2015-07-09,1102,1110,1003,1095,112400,120780300
2015-07-08,1133,1133,1115,1117,47100,52832200
2015-07-07,1140,1140,1125,1126,44600,50439500
2015-07-06,1131,1136,1125,1125,47600,53668300
2015-07-03,1131,1139,1129,1131,36800,41663600
2015-07-02,1140,1144,1137,1139,21600,24623600
2015-07-01,1140,1140,1132,1140,29600,33671300
2015-06-30,1132,1132,1125,1130,35100,39609900
2015-06-29,1132,1134,1125,1125,58700,66283500
2015-06-26,1141,1142,1135,1136,24700,28122000
2015-06-25,1140,1142,1137,1140,23200,26434700
2015-06-24,1141,1146,1139,1145,45700,52225100
2015-06-23,1145,1145,1134,1141,66800,76160900
2015-06-22,1146,1146,1135,1141,41500,47319400
2015-06-19,1129,1147,1128,1147,91200,103931800
2015-06-18,1130,1133,1124,1129,60700,68545600
