5985-T,東証1部,サンコール,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,619,635,616,621,12800,7967400
2015-10-01,614,622,612,619,23200,14336400
2015-09-30,612,619,610,611,18700,11472800
2015-09-29,625,625,610,610,33700,20725400
2015-09-28,630,633,625,632,16200,10196500
2015-09-25,633,642,630,637,19100,12123100
2015-09-24,638,649,633,635,22200,14157400
2015-09-18,642,656,641,650,26200,16961700
2015-09-17,634,646,633,643,16800,10729900
2015-09-16,634,642,633,639,15100,9620200
2015-09-15,631,644,631,634,14800,9426300
2015-09-14,648,654,634,634,9000,5762400
2015-09-11,632,651,632,643,54100,34398600
2015-09-10,643,654,635,642,14400,9268700
2015-09-09,648,658,643,658,11000,7165200
2015-09-08,641,653,634,634,8100,5174700
2015-09-07,640,648,630,641,10300,6564800
2015-09-04,657,657,642,643,18100,11693500
2015-09-03,664,672,655,657,15100,10016900
2015-09-02,648,670,648,663,36200,23930400
2015-09-01,677,677,655,655,23700,15750200
2015-08-31,670,678,667,677,26200,17612900
2015-08-28,655,666,653,664,21500,14220700
2015-08-27,646,664,641,644,25700,16682700
2015-08-26,643,657,633,637,36800,23640000
2015-08-25,640,680,614,643,54900,35543500
2015-08-24,670,680,654,657,81600,54459400
2015-08-21,678,686,670,673,26300,17780500
2015-08-20,689,700,679,698,34300,23751700
2015-08-19,700,701,692,697,35800,24993300
2015-08-18,695,700,692,699,31500,21944900
2015-08-17,689,692,681,689,17300,11900100
2015-08-14,676,686,675,683,9800,6664200
2015-08-13,678,697,668,673,38000,25843200
2015-08-12,691,693,675,683,26700,18246600
2015-08-11,694,706,690,696,58000,40502500
2015-08-10,693,695,687,695,32100,22235300
2015-08-07,695,695,673,687,39200,26877100
2015-08-06,685,689,677,681,25800,17669000
2015-08-05,688,688,682,685,14100,9671100
2015-08-04,688,692,680,688,15300,10500000
2015-08-03,677,690,677,688,16900,11541000
2015-07-31,667,676,665,673,48500,32447400
2015-07-30,670,680,670,673,11800,7954200
