6071-T,東証1部,IBJ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1470,1515,1410,1499,79900,117118000
2015-10-01,1390,1511,1390,1481,108900,158313200
2015-09-30,1308,1389,1308,1381,69400,94657000
2015-09-29,1317,1339,1285,1308,43500,56670200
2015-09-28,1310,1373,1308,1346,55700,74994700
2015-09-25,1300,1310,1278,1310,27400,35550200
2015-09-24,1308,1310,1286,1290,21200,27472600
2015-09-18,1293,1305,1270,1297,19400,25053400
2015-09-17,1282,1313,1278,1305,27000,35102100
2015-09-16,1294,1325,1255,1271,51400,65750600
2015-09-15,1323,1334,1294,1303,29600,38723300
2015-09-14,1327,1344,1292,1296,31200,40912500
2015-09-11,1325,1344,1292,1328,36600,48371100
2015-09-10,1290,1290,1241,1286,76900,97696800
2015-09-09,1299,1327,1285,1320,153700,202085500
2015-09-08,1324,1324,1230,1287,162300,207214100
2015-09-07,1379,1408,1309,1326,186500,252339300
2015-09-04,1423,1427,1338,1386,124100,171322200
2015-09-03,1335,1428,1313,1414,136700,188381900
2015-09-02,1300,1370,1275,1309,155400,202859100
2015-09-01,1482,1482,1346,1350,134200,187798800
2015-08-31,1445,1512,1428,1496,78800,116916900
2015-08-28,1448,1500,1413,1444,380600,550102800
2015-08-27,1447,1490,1380,1448,193000,279001600
2015-08-26,1357,1417,1339,1417,106600,146568400
2015-08-25,1290,1449,1241,1340,174700,234741300
2015-08-24,1473,1500,1315,1330,239600,335803000
2015-08-21,1620,1697,1550,1561,120900,196129800
2015-08-20,1600,1739,1595,1680,363400,610271500
2015-08-19,1571,1607,1552,1600,112700,179100200
2015-08-18,1607,1613,1525,1541,67700,105489900
2015-08-17,1599,1627,1532,1607,127200,202728800
2015-08-14,1549,1630,1528,1575,202800,320273000
2015-08-13,1506,1545,1478,1543,128400,193224600
2015-08-12,1517,1517,1482,1505,37200,55656300
2015-08-11,1493,1540,1483,1515,47600,72078800
2015-08-10,1452,1482,1442,1473,33400,48920900
2015-08-07,1482,1483,1446,1448,45700,66683200
2015-08-06,1498,1509,1481,1492,22000,32828400
2015-08-05,1524,1530,1481,1512,27800,41835600
2015-08-04,1510,1535,1441,1518,75300,112367700
2015-08-03,1451,1513,1446,1510,63400,94248300
2015-07-31,1467,1473,1402,1454,75000,107722100
2015-07-30,1521,1522,1465,1484,50500,75343400
2015-07-29,1532,1535,1491,1510,33400,50388100
2015-07-28,1525,1539,1459,1532,63700,96271100
2015-07-27,1523,1537,1515,1525,40100,61130200
2015-07-24,1550,1554,1520,1523,48500,74452400
2015-07-23,1534,1555,1511,1553,61500,94571900
2015-07-22,1557,1557,1500,1526,77300,118015500
2015-07-21,1565,1585,1544,1555,86500,135439300
2015-07-17,1550,1552,1518,1539,77700,119385700
2015-07-16,1523,1553,1512,1552,82600,126886900
2015-07-15,1570,1579,1511,1522,98200,151394500
2015-07-14,1510,1545,1506,1545,203100,308680700
2015-07-13,1515,1523,1475,1480,289400,436505400
2015-07-10,1664,1664,1538,1553,242200,393309300
2015-07-09,1624,1686,1550,1665,98200,159502900
2015-07-08,1786,1800,1660,1704,80100,137096700
2015-07-07,1738,1780,1729,1780,37000,65234500
2015-07-06,1722,1752,1695,1713,67000,115258200
2015-07-03,1760,1845,1701,1760,194500,344205400
2015-07-02,1779,1790,1728,1738,96800,170424100
2015-07-01,1789,1809,1695,1725,133900,231788600
2015-06-30,1844,1850,1682,1771,264200,464146700
2015-06-29,2010,2043,1861,1884,347600,688716600
2015-06-26,1881,1988,1854,1970,84800,162548100
2015-06-25,1810,1895,1808,1886,67000,124507700
2015-06-24,1840,1840,1790,1804,40400,73009300
2015-06-23,1869,1870,1768,1830,63500,116055700
2015-06-22,1735,1849,1705,1833,75700,135638900
2015-06-19,1696,1770,1675,1730,57800,99293600
2015-06-18,1690,1728,1647,1673,75500,127120200
2015-06-17,1786,1799,1701,1730,62100,108037200
2015-06-16,1850,1850,1745,1765,107800,192240100
2015-06-15,1702,1871,1702,1860,179600,322004000
2015-06-12,1688,1715,1675,1689,79200,133975100
2015-06-11,1601,1678,1600,1669,51800,84857200
2015-06-10,1598,1617,1585,1605,23700,37868400
2015-06-09,1600,1618,1563,1599,48100,76646900
2015-06-08,1675,1675,1610,1610,64600,105735000
2015-06-05,1670,1692,1638,1680,39700,66321400
2015-06-04,1622,1669,1580,1665,54800,89370500
2015-06-03,1629,1650,1606,1622,42700,69575700
2015-06-02,1551,1620,1551,1620,73100,117052300
2015-06-01,1538,1563,1524,1550,43900,67962200
2015-05-29,1452,1545,1450,1545,96200,144629900
2015-05-28,1480,1480,1432,1445,28700,41901900
2015-05-27,1421,1471,1412,1467,36400,52649100
2015-05-26,1442,1452,1402,1422,52600,74986500
2015-05-25,1480,1484,1415,1481,67700,98412300
2015-05-22,1400,1499,1381,1498,74300,108270700
2015-05-21,1357,1422,1357,1386,35300,49350000
2015-05-20,1355,1381,1345,1345,40800,55402200
2015-05-19,1299,1417,1281,1370,126000,172844200
2015-05-18,1335,1360,1230,1285,176900,232048100
2015-05-15,1289,1304,1272,1285,71600,92508300
2015-05-14,1227,1288,1190,1287,95700,121063000
2015-05-13,1190,1234,1190,1206,20700,24986000
2015-05-12,1225,1250,1130,1220,135800,166742500
2015-05-11,1180,1230,1165,1209,88700,105605900
2015-05-08,1075,1121,1074,1120,32500,35535500
2015-05-07,1070,1110,1040,1053,32600,34786000
2015-05-01,1090,1097,1065,1073,30600,32993500
2015-04-30,1130,1135,1079,1121,87800,96990300
2015-04-28,1138,1139,1109,1138,23300,26278100
2015-04-27,1138,1139,1121,1123,12100,13683600
2015-04-24,1107,1146,1107,1136,22000,24802200
2015-04-23,1093,1112,1084,1107,29500,32475400
2015-04-22,1134,1134,1085,1093,96100,105778900
2015-04-21,1170,1170,1085,1134,74500,83536700
2015-04-20,1163,1172,1150,1165,30000,34819900
2015-04-17,1182,1204,1162,1187,40600,47754600
2015-04-16,1219,1219,1156,1206,55100,65612800
2015-04-15,1175,1237,1175,1202,71600,86595400
2015-04-14,1161,1178,1159,1167,43000,50136100
2015-04-13,1178,1195,1160,1178,95900,112977300
2015-04-10,1195,1214,1151,1190,107200,126841200
2015-04-09,1272,1280,1154,1217,218700,263868900
2015-04-08,1311,1347,1274,1302,139200,181863700
2015-04-07,1270,1297,1268,1277,51500,65898100
2015-04-06,1260,1298,1246,1260,49900,63518200
2015-04-03,1300,1309,1201,1252,122300,154597600
2015-04-02,1210,1295,1210,1283,102000,129174300
2015-04-01,1185,1246,1172,1225,101900,123171700
2015-03-31,1175,1187,1170,1172,31300,36846400
2015-03-30,1124,1187,1121,1175,62000,72548000
2015-03-27,1161,1183,1101,1135,65500,74547300
2015-03-26,1000,1170,997,1101,451500,488748100
2015-03-25,992,1018,989,1011,51600,51905600
2015-03-24,989,991,980,991,18700,18417900
2015-03-23,995,995,979,991,20500,20220600
2015-03-20,979,992,974,987,22000,21604800
2015-03-19,1000,1000,973,992,21300,20983200
2015-03-18,999,1003,980,1001,18500,18297400
2015-03-17,1025,1025,985,999,37800,37859700
2015-03-16,980,1028,960,1027,41800,41815500
2015-03-13,980,987,960,980,18400,17930500
2015-03-12,980,980,970,980,6000,5852400
2015-03-11,962,999,950,981,49000,47276400
2015-03-10,1024,1040,960,986,61800,61981900
2015-03-09,981,1025,981,1024,59600,59825400
2015-03-06,914,1009,914,981,68200,65899700
2015-03-05,945,960,914,914,81000,75525900
2015-03-04,984,984,940,971,71700,68992800
2015-03-03,1019,1019,989,996,38300,38386800
2015-03-02,1019,1029,993,1018,56100,56556600
2015-02-27,1038,1043,1013,1040,23800,24559200
2015-02-26,1022,1058,1022,1034,36500,37995800
2015-02-25,1060,1060,1021,1046,60500,62669100
2015-02-24,1040,1073,1028,1060,53300,55935700
2015-02-23,1057,1071,1040,1060,66800,70731600
2015-02-20,1010,1065,1010,1040,126000,130395400
2015-02-19,980,1002,957,1000,165000,162287800
2015-02-18,950,986,936,978,109100,104701500
2015-02-17,928,949,928,942,51300,48152700
2015-02-16,950,950,882,928,120500,109987600
2015-02-13,973,973,933,959,32900,31541800
2015-02-12,940,978,911,946,117000,110224900
2015-02-10,934,949,920,940,102200,95747800
2015-02-09,915,950,911,919,75700,71038300
2015-02-06,889,950,881,905,161600,150841900
2015-02-05,888,920,886,886,21800,19598000
2015-02-04,878,925,878,900,61000,54420300
2015-02-03,928,933,886,892,23700,21601800
2015-02-02,900,940,878,929,74600,68957600
2015-01-30,869,904,820,903,84000,72993600
2015-01-29,915,921,872,884,64000,57796000
2015-01-28,894,949,887,915,53900,49831100
2015-01-27,872,915,872,892,48800,43603800
2015-01-26,865,890,844,871,39100,34168800
2015-01-23,837,950,825,870,132700,116677300
2015-01-22,830,845,820,834,74800,62218400
2015-01-21,826,827,805,826,14700,12061000
2015-01-20,835,835,818,827,36900,30545400
2015-01-19,822,839,790,835,51200,41848800
2015-01-16,750,822,750,822,109000,86300500
2015-01-15,733,787,713,773,54700,40819100
2015-01-14,729,751,724,747,17700,12951800
2015-01-13,755,756,728,734,33200,24792800
2015-01-09,772,777,755,755,21300,16276900
2015-01-08,771,795,771,787,35200,27606500
2015-01-07,743,790,740,786,51000,39575100
2015-01-06,767,767,740,750,20700,15560400
2015-01-05,753,770,753,757,19200,14602900
2014-12-30,758,768,745,754,50500,38143700
2014-12-29,776,800,762,773,25200,19585600
2014-12-26,751,800,750,761,37600,28932800
2014-12-25,1580,1594,1580,1586,21400,33959900
2014-12-24,1560,1595,1554,1585,17600,27682800
2014-12-22,1580,1610,1565,1584,38200,60461900
2014-12-19,1500,1549,1498,1549,52500,79772000
2014-12-18,1465,1496,1444,1496,33700,49408600
2014-12-17,1430,1439,1425,1437,12700,18151200
2014-12-16,1450,1451,1425,1425,19900,28576100
2014-12-15,1455,1457,1445,1450,14000,20307800
2014-12-12,1451,1467,1435,1437,21200,30808800
2014-12-11,1439,1439,1418,1438,10400,14874100
2014-12-10,1432,1437,1395,1436,41900,59366800
2014-12-09,1460,1468,1437,1437,33600,48827200
2014-12-08,1464,1465,1459,1459,14800,21633500
2014-12-05,1458,1464,1458,1459,19600,28619300
2014-12-04,1457,1467,1453,1461,55100,80331700
2014-12-03,1505,1508,1485,1500,20900,31265400
2014-12-02,1505,1505,1488,1495,19800,29657000
2014-12-01,1461,1500,1461,1479,24800,36626300
2014-11-28,1440,1451,1436,1448,13700,19769500
2014-11-27,1432,1444,1425,1440,12100,17380100
2014-11-26,1430,1442,1420,1432,17600,25143000
2014-11-25,1431,1455,1420,1439,26700,38224000
2014-11-21,1457,1457,1424,1425,34300,49307000
2014-11-20,1470,1483,1457,1472,31900,46825600
2014-11-19,1565,1565,1452,1465,34500,51948900
2014-11-18,1520,1530,1420,1525,156000,230420900
2014-11-17,1526,1698,1460,1600,97100,152440400
2014-11-14,1390,1412,1390,1400,26500,37202300
2014-11-13,1429,1429,1377,1420,26900,37689500
2014-11-12,1428,1434,1406,1408,3000,4269200
2014-11-11,1424,1425,1401,1414,23700,33703600
2014-11-10,1413,1444,1413,1424,8000,11373500
2014-11-07,1475,1475,1412,1412,66100,96758600
2014-11-06,1450,1464,1410,1412,50900,72454700
2014-11-05,1475,1475,1452,1453,10700,15754500
2014-11-04,1410,1438,1405,1425,6700,9484300
2014-10-31,1363,1403,1357,1400,14000,19228100
2014-10-30,1414,1414,1375,1390,3000,4168100
2014-10-29,1418,1418,1382,1408,7500,10487300
2014-10-28,1420,1420,1389,1418,3600,5055700
2014-10-27,1362,1419,1362,1396,21800,30034700
2014-10-24,1365,1445,1360,1440,45700,63358900
2014-10-23,1400,1425,1400,1425,1300,1828400
2014-10-22,1450,1450,1410,1415,6100,8795200
2014-10-21,1470,1470,1425,1425,3200,4660200
2014-10-20,1413,1442,1412,1440,4900,6995400
2014-10-17,1389,1436,1383,1436,24700,34427400
2014-10-16,1390,1449,1380,1449,6200,8693100
2014-10-15,1420,1450,1301,1450,14900,20477000
2014-10-14,1472,1481,1419,1434,8400,12142800
2014-10-10,1500,1500,1422,1472,6600,9652000
2014-10-09,1488,1488,1467,1480,2900,4283200
2014-10-08,1498,1515,1466,1466,15600,23247700
2014-10-07,1465,1487,1460,1474,13900,20440000
2014-10-06,1500,1500,1433,1459,13600,20106300
2014-10-03,1420,1466,1372,1448,18900,26758300
2014-10-02,1450,1470,1391,1450,18800,26786800
2014-10-01,1455,1475,1450,1450,8400,12256400
2014-09-30,1472,1483,1468,1475,11800,17368600
2014-09-29,1500,1502,1472,1472,7300,10872000
2014-09-26,1478,1499,1468,1474,7100,10537900
2014-09-25,1480,1481,1466,1470,17200,25427600
