6118-T,東証1部,アイダ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,988,1025,971,1021,251700,253567300
2015-10-01,983,1005,979,995,269900,268139500
2015-09-30,967,991,962,983,320600,314537300
2015-09-29,966,966,936,939,360500,340596300
2015-09-28,976,1000,959,995,274700,269590500
2015-09-25,1000,1010,967,983,611700,603408600
2015-09-24,1092,1101,991,1005,788700,802737500
2015-09-18,1149,1153,1120,1130,154200,174657400
2015-09-17,1153,1165,1142,1162,84900,98389000
2015-09-16,1134,1145,1120,1133,120300,136258400
2015-09-15,1150,1157,1112,1117,121000,136563200
2015-09-14,1164,1181,1136,1141,141900,163862000
2015-09-11,1110,1161,1107,1154,198300,224571100
2015-09-10,1150,1150,1114,1134,137700,156042500
2015-09-09,1169,1183,1119,1160,401200,459721600
2015-09-08,1097,1177,1087,1158,587800,679036000
2015-09-07,1096,1109,1070,1097,379800,414548700
2015-09-04,1102,1108,1060,1066,216600,234410600
2015-09-03,1091,1124,1082,1094,125500,138253100
2015-09-02,1053,1108,1046,1078,153700,166267900
2015-09-01,1116,1122,1083,1087,133100,146069400
2015-08-31,1124,1135,1101,1122,169200,188958800
2015-08-28,1141,1158,1124,1143,201700,230132800
2015-08-27,1121,1141,1101,1102,299500,332839200
2015-08-26,1074,1149,1030,1131,930300,1026095700
2015-08-25,964,1058,964,999,683400,686968800
2015-08-24,1106,1110,1068,1070,278100,303455900
2015-08-21,1181,1195,1147,1150,265400,308818300
2015-08-20,1260,1260,1217,1220,204200,251171000
2015-08-19,1258,1287,1258,1271,284400,362056400
2015-08-18,1229,1287,1227,1273,455400,578146700
2015-08-17,1207,1222,1198,1221,149400,181091300
2015-08-14,1221,1221,1194,1200,103600,124339000
2015-08-13,1223,1234,1207,1226,164900,201631000
2015-08-12,1266,1266,1220,1230,161200,199683100
2015-08-11,1280,1288,1260,1266,239900,305221500
2015-08-10,1319,1336,1256,1271,637400,820860800
2015-08-07,1197,1242,1187,1231,370900,454125600
2015-08-06,1188,1224,1187,1193,319900,386550000
2015-08-05,1151,1179,1141,1175,129200,150734200
2015-08-04,1174,1178,1151,1162,141400,163843100
2015-08-03,1183,1183,1154,1162,171600,199506300
2015-07-31,1152,1188,1150,1188,362900,425545400
2015-07-30,1150,1161,1146,1151,374700,432366500
