6121-T,東証1部,滝澤鉄,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,176,177,172,175,146000,25454000
2015-10-01,173,176,171,176,95000,16539000
2015-09-30,173,174,170,173,49000,8464000
2015-09-29,174,174,168,168,181000,30878000
2015-09-28,177,180,175,178,83000,14764000
2015-09-25,176,178,175,178,198000,34919000
2015-09-24,180,181,175,175,148000,26315000
2015-09-18,187,188,183,184,92000,16987000
2015-09-17,185,188,185,188,140000,26046000
2015-09-16,183,186,183,183,111000,20455000
2015-09-15,183,186,180,180,144000,26339000
2015-09-14,186,186,180,181,164000,29970000
2015-09-11,181,186,181,186,333000,61121000
2015-09-10,181,183,177,180,279000,50248000
2015-09-09,181,189,179,188,222000,40697000
2015-09-08,176,179,173,173,198000,34854000
2015-09-07,174,179,172,176,184000,32224000
2015-09-04,185,186,174,178,253000,45492000
2015-09-03,187,191,184,184,106000,19865000
2015-09-02,182,189,182,185,217000,40313000
2015-09-01,194,198,186,186,285000,54588000
2015-08-31,198,198,193,195,216000,42080000
2015-08-28,191,198,191,196,311000,60612000
2015-08-27,190,190,185,189,291000,54770000
2015-08-26,180,184,177,183,422000,76075000
2015-08-25,173,191,168,175,1071000,191368000
2015-08-24,194,199,185,186,907000,173297000
2015-08-21,211,211,204,206,469000,97109000
2015-08-20,215,217,214,214,193000,41466000
2015-08-19,224,224,217,217,230000,50429000
2015-08-18,221,224,219,224,250000,55539000
2015-08-17,213,222,213,221,330000,71457000
2015-08-14,213,213,211,212,84000,17802000
2015-08-13,217,217,212,213,178000,38044000
2015-08-12,219,219,215,215,192000,41548000
2015-08-11,216,219,215,217,160000,34730000
2015-08-10,215,217,214,216,155000,33353000
2015-08-07,216,217,215,216,123000,26576000
2015-08-06,216,217,215,216,190000,41032000
2015-08-05,215,216,211,214,206000,44080000
2015-08-04,214,214,209,211,334000,70463000
2015-08-03,215,217,213,214,324000,69617000
2015-07-31,214,219,213,218,613000,132064000
2015-07-30,232,235,215,222,642000,145485000
2015-07-29,235,235,229,232,143000,33028000
2015-07-28,229,234,228,234,243000,55980000
2015-07-27,234,234,231,231,202000,46963000
2015-07-24,239,239,233,235,225000,53209000
2015-07-23,237,238,235,236,145000,34250000
2015-07-22,239,240,236,236,151000,35807000
2015-07-21,239,241,239,239,126000,30189000
2015-07-17,245,246,239,239,214000,51675000
2015-07-16,238,246,237,246,361000,87145000
2015-07-15,243,243,238,240,223000,53569000
2015-07-14,242,242,238,240,201000,48358000
2015-07-13,240,240,234,237,250000,59398000
2015-07-10,232,232,226,229,254000,58204000
2015-07-09,222,234,208,233,755000,168444000
2015-07-08,240,240,232,232,514000,120843000
2015-07-07,241,243,240,241,279000,67450000
2015-07-06,240,242,236,237,435000,103981000
2015-07-03,243,244,240,243,523000,126717000
2015-07-02,248,248,242,244,341000,83617000
2015-07-01,242,245,240,244,224000,54401000
2015-06-30,236,241,235,240,314000,74875000
2015-06-29,239,240,231,236,495000,117388000
2015-06-26,246,247,244,244,241000,59101000
2015-06-25,250,251,248,248,421000,104951000
2015-06-24,252,254,248,251,543000,136228000
2015-06-23,249,250,246,249,575000,142898000
2015-06-22,247,248,245,247,225000,55551000
2015-06-19,246,249,246,247,334000,82410000
2015-06-18,254,254,246,246,313000,77734000
2015-06-17,253,255,249,252,460000,115829000
2015-06-16,259,259,253,255,683000,175230000
2015-06-15,260,262,257,260,2095000,544716000
2015-06-12,244,256,242,255,2247000,562847000
2015-06-11,242,244,241,242,298000,72162000
2015-06-10,238,245,238,241,577000,139621000
2015-06-09,243,243,237,238,475000,114303000
2015-06-08,244,245,243,243,251000,61167000
2015-06-05,247,247,242,242,760000,185166000
2015-06-04,245,248,242,248,1301000,320026000
2015-06-03,237,242,235,241,567000,135503000
2015-06-02,241,242,236,238,810000,193749000
2015-06-01,238,239,236,239,383000,91063000
2015-05-29,234,238,233,238,713000,168366000
2015-05-28,232,237,232,234,1042000,244096000
2015-05-27,232,232,230,231,364000,84228000
2015-05-26,233,234,231,232,615000,142884000
2015-05-25,230,231,229,231,407000,93703000
2015-05-22,228,229,227,229,108000,24637000
2015-05-21,231,231,228,229,225000,51663000
2015-05-20,232,233,228,230,438000,100774000
2015-05-19,230,233,229,229,333000,76700000
2015-05-18,234,235,228,229,461000,106402000
2015-05-15,234,234,228,233,709000,163916000
2015-05-14,236,239,222,226,1020000,237161000
2015-05-13,233,234,230,234,306000,71067000
2015-05-12,228,232,227,231,218000,50114000
2015-05-11,228,228,224,227,269000,60755000
2015-05-08,221,224,221,223,87000,19352000
2015-05-07,221,222,218,221,263000,57894000
2015-05-01,224,224,221,223,208000,46330000
2015-04-30,227,227,224,225,298000,67209000
2015-04-28,230,230,227,228,165000,37675000
2015-04-27,230,230,228,230,158000,36194000
2015-04-24,230,231,229,229,257000,59099000
2015-04-23,231,232,230,231,197000,45569000
2015-04-22,230,231,229,231,193000,44301000
2015-04-21,229,231,229,230,210000,48307000
2015-04-20,228,231,227,229,205000,46823000
2015-04-17,230,231,228,230,283000,65002000
2015-04-16,230,231,229,230,202000,46448000
2015-04-15,234,234,230,231,325000,75507000
2015-04-14,233,235,231,232,296000,68923000
2015-04-13,233,233,231,232,129000,29984000
2015-04-10,236,236,231,233,326000,76242000
2015-04-09,232,238,232,235,292000,68731000
2015-04-08,230,232,228,231,308000,70904000
2015-04-07,229,231,228,229,370000,84674000
2015-04-06,231,232,228,229,189000,43437000
2015-04-03,230,231,229,231,130000,29939000
2015-04-02,227,233,227,231,153000,35242000
2015-04-01,230,233,228,228,286000,65831000
2015-03-31,233,236,232,233,253000,59289000
2015-03-30,229,231,227,230,239000,54774000
2015-03-27,231,238,229,230,332000,77323000
2015-03-26,236,238,233,235,498000,117089000
2015-03-25,241,241,236,240,407000,97194000
2015-03-24,241,243,240,241,530000,127871000
2015-03-23,240,243,239,242,623000,150190000
2015-03-20,238,239,236,239,345000,81820000
2015-03-19,234,238,234,237,532000,125741000
2015-03-18,236,237,233,234,452000,106112000
2015-03-17,237,237,235,236,440000,103922000
2015-03-16,235,238,234,235,935000,220718000
2015-03-13,234,234,231,232,639000,148829000
2015-03-12,224,233,224,231,474000,109194000
2015-03-11,222,227,222,225,285000,64093000
2015-03-10,228,229,224,226,321000,72722000
2015-03-09,225,228,224,227,185000,41783000
2015-03-06,227,228,225,226,183000,41345000
2015-03-05,230,230,227,228,293000,66980000
2015-03-04,226,229,224,227,271000,61405000
2015-03-03,235,235,224,227,720000,164917000
2015-03-02,233,235,231,232,935000,217746000
2015-02-27,230,233,222,229,946000,216538000
2015-02-26,228,231,226,230,698000,159882000
2015-02-25,227,230,225,228,751000,170964000
2015-02-24,222,229,222,226,1098000,247297000
2015-02-23,222,223,219,222,411000,90930000
2015-02-20,222,224,220,220,369000,81936000
2015-02-19,225,226,222,222,592000,132269000
2015-02-18,224,228,219,225,1336000,298602000
2015-02-17,211,220,211,218,651000,140846000
2015-02-16,212,214,211,213,270000,57460000
2015-02-13,211,211,206,208,285000,59546000
2015-02-12,212,212,210,210,124000,26165000
2015-02-10,208,209,208,209,65000,13539000
2015-02-09,210,210,208,209,47000,9825000
2015-02-06,212,212,207,208,130000,27137000
2015-02-05,209,211,209,209,95000,19928000
2015-02-04,212,214,210,213,267000,56666000
2015-02-03,214,215,210,210,228000,48258000
2015-02-02,215,215,210,212,157000,33418000
2015-01-30,214,214,212,213,115000,24485000
