6210-T,東証1部,東洋機械,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,389,399,389,399,53600,21129800
2015-10-01,377,392,377,389,48000,18490800
2015-09-30,362,380,362,377,58900,21984100
2015-09-29,372,372,360,361,88600,32584700
2015-09-28,379,381,374,374,48100,18156500
2015-09-25,380,385,372,379,86200,32357600
2015-09-24,387,387,379,379,83600,32020300
2015-09-18,395,395,387,390,50400,19684000
2015-09-17,400,405,398,402,60300,24151100
2015-09-16,399,400,390,395,63900,25220600
2015-09-15,400,402,395,396,61900,24635900
2015-09-14,399,400,393,395,35600,14123300
2015-09-11,395,405,395,400,62200,24771100
2015-09-10,396,404,390,402,38100,15155500
2015-09-09,387,404,387,404,60600,23952100
2015-09-08,386,390,383,383,28300,10935800
2015-09-07,388,390,379,389,37000,14319000
2015-09-04,394,398,388,390,47300,18544000
2015-09-03,406,408,395,395,56900,22708300
2015-09-02,400,412,392,401,92900,37456300
2015-09-01,413,414,400,402,126300,51003500
2015-08-31,419,422,413,413,98700,41115300
2015-08-28,410,420,409,418,70300,29172300
2015-08-27,415,418,402,405,79300,32404900
2015-08-26,387,413,386,407,78700,31541300
2015-08-25,375,412,372,386,112200,43714600
2015-08-24,406,423,390,391,105200,42773700
2015-08-21,435,437,421,422,112100,48252700
2015-08-20,449,449,440,441,49500,21966300
2015-08-19,450,455,447,449,41700,18772200
2015-08-18,447,456,447,452,55700,25141600
2015-08-17,446,448,441,447,39000,17339900
2015-08-14,448,450,438,445,71500,31717200
2015-08-13,450,454,447,449,72200,32467800
2015-08-12,461,461,451,455,65000,29547100
2015-08-11,458,463,454,461,73000,33506800
2015-08-10,460,461,452,458,66400,30379200
2015-08-07,462,468,457,460,76300,35247700
2015-08-06,463,468,460,464,84300,39161900
2015-08-05,452,464,449,457,62900,28720700
2015-08-04,458,458,448,452,64800,29252200
2015-08-03,465,465,454,458,59100,27271500
2015-07-31,460,463,457,462,29400,13514300
2015-07-30,459,464,458,459,39900,18370900
