6250-T,東証1部,やまびこ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,986,1006,974,1006,61300,60988200
2015-10-01,982,1009,961,1002,85100,84138700
2015-09-30,960,981,951,972,89300,86397600
2015-09-29,1004,1015,933,937,166500,159679500
2015-09-28,995,1019,980,1003,74300,74280500
2015-09-25,3885,3990,3870,3980,38900,152249000
2015-09-24,4020,4020,3870,3885,63300,248022000
2015-09-18,4100,4125,4025,4110,19900,81415500
2015-09-17,4000,4150,4000,4150,38800,159436000
2015-09-16,3980,4060,3950,4020,28300,113512000
2015-09-15,3985,4055,3945,3955,36400,145260000
2015-09-14,4100,4100,3980,4020,30600,122820500
2015-09-11,4060,4140,4020,4040,71300,289122500
2015-09-10,4065,4175,4060,4155,27600,113818500
2015-09-09,3990,4185,3950,4185,35400,144418000
2015-09-08,3900,4025,3880,3925,37100,146065500
2015-09-07,3945,4035,3850,3955,55700,218969500
2015-09-04,4130,4130,3965,4030,66800,268670000
2015-09-03,4075,4165,4075,4095,22700,93237500
2015-09-02,4030,4090,3945,4045,39000,157381000
2015-09-01,4175,4195,4080,4080,41800,172838500
2015-08-31,4265,4285,4165,4220,35400,149539500
2015-08-28,4180,4290,4120,4285,44600,189044000
2015-08-27,4175,4210,4010,4025,62100,253889000
2015-08-26,4000,4085,3915,4055,56800,228156500
2015-08-25,3810,4105,3700,3860,105400,412144500
2015-08-24,4135,4230,3995,3995,103800,424251500
2015-08-21,4280,4365,4205,4275,96700,414789500
2015-08-20,4545,4555,4435,4460,86500,387290000
2015-08-19,4690,4690,4525,4565,70700,325071000
2015-08-18,4700,4750,4660,4690,66100,309745000
2015-08-17,4730,4735,4695,4715,27100,127763500
2015-08-14,4690,4740,4660,4690,54200,254649000
2015-08-13,4725,4740,4600,4625,140700,654235000
2015-08-12,4850,4880,4720,4770,99100,475678500
2015-08-11,4825,4880,4790,4850,138000,666476500
2015-08-10,5300,5300,4800,4815,376400,1851389500
2015-08-07,5300,5430,5280,5430,41600,223613000
