6262-T,東証1部,ペガサス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,441,447,434,442,49000,21627300
2015-10-01,437,450,436,442,48600,21535400
2015-09-30,418,434,418,429,33900,14529600
2015-09-29,434,434,418,418,87100,36980000
2015-09-28,451,454,437,442,49300,21938900
2015-09-25,446,452,442,450,40900,18287300
2015-09-24,448,452,440,442,45300,20086000
2015-09-18,459,459,451,452,25400,11542300
2015-09-17,468,468,451,460,54600,24918300
2015-09-16,457,464,456,461,40500,18629600
2015-09-15,452,470,451,454,36700,16875300
2015-09-14,461,469,452,452,33400,15373800
2015-09-11,458,462,455,457,56200,25751400
2015-09-10,440,456,439,453,37100,16587200
2015-09-09,440,452,440,450,60900,27158000
2015-09-08,446,451,431,432,52400,22969600
2015-09-07,446,458,440,446,64800,28923800
2015-09-04,458,465,443,454,85100,38748500
2015-09-03,455,468,455,455,46200,21272900
2015-09-02,449,466,438,452,134800,60781800
2015-09-01,488,490,460,462,98100,46722100
2015-08-31,488,494,480,485,110800,53934000
2015-08-28,461,475,461,466,104600,48926000
2015-08-27,463,463,446,447,85700,38864700
2015-08-26,427,444,417,431,288600,124162500
2015-08-25,391,475,391,424,313200,131919200
2015-08-24,498,498,455,463,196800,93982200
2015-08-21,520,521,510,511,100400,51826000
2015-08-20,551,552,535,536,90000,48877000
2015-08-19,563,565,554,554,47000,26200400
2015-08-18,569,570,564,569,41200,23413800
2015-08-17,565,565,557,563,43500,24374300
2015-08-14,570,570,559,561,56300,31777500
2015-08-13,576,580,567,571,49500,28315100
2015-08-12,586,591,578,582,92000,53902700
2015-08-11,583,592,582,590,60100,35311200
2015-08-10,586,588,571,583,64100,37285800
2015-08-07,578,588,578,587,62900,36715100
2015-08-06,579,587,579,582,57700,33564000
2015-08-05,569,586,569,579,76300,44193200
2015-08-04,566,582,565,575,97800,56245800
2015-08-03,575,580,567,572,74900,42863900
2015-07-31,554,578,553,574,92200,52076100
2015-07-30,553,559,552,555,40000,22189500
2015-07-29,561,562,549,551,83900,46376700
2015-07-28,556,568,553,563,53200,29769900
2015-07-27,572,572,561,561,41700,23520700
2015-07-24,580,580,570,573,39100,22490100
2015-07-23,575,577,570,572,37300,21326100
2015-07-22,581,583,572,572,64700,37331000
2015-07-21,590,590,582,584,55700,32609100
2015-07-17,583,586,580,583,33600,19580500
2015-07-16,589,591,577,579,75200,43719800
2015-07-15,591,592,579,587,57100,33393500
2015-07-14,597,599,587,591,61200,36214100
2015-07-13,586,595,577,595,115300,67916600
2015-07-10,560,578,560,567,98000,55718000
2015-07-09,550,569,531,562,158200,86944500
2015-07-08,583,585,571,579,130400,75370700
2015-07-07,595,595,580,583,51200,29934600
2015-07-06,599,599,580,580,103600,60648900
2015-07-03,605,612,601,607,90200,54797600
2015-07-02,608,614,599,605,94100,56994000
2015-07-01,585,608,583,605,87700,52331600
2015-06-30,587,593,575,586,154700,90344600
2015-06-29,583,598,581,586,112800,66379800
2015-06-26,600,608,599,608,70900,42839600
2015-06-25,606,611,596,598,90000,54207100
2015-06-24,594,603,590,603,87800,52532000
2015-06-23,590,595,588,591,79200,46754900
2015-06-22,595,595,580,586,187700,109711000
2015-06-19,605,606,592,595,130200,78045600
2015-06-18,612,612,594,599,116300,70277200
2015-06-17,618,627,613,614,85200,52639500
2015-06-16,626,635,618,618,158600,99131000
2015-06-15,629,631,618,628,138400,86640300
2015-06-12,611,629,608,629,329400,204942800
2015-06-11,598,612,594,612,82400,49880500
2015-06-10,598,605,591,591,77800,46597900
2015-06-09,611,613,598,598,86800,52583900
2015-06-08,602,612,602,612,114300,69460100
2015-06-05,608,610,593,598,104400,62757600
2015-06-04,614,620,606,612,125500,77025900
2015-06-03,618,619,602,604,125400,76294400
2015-06-02,605,618,604,616,220000,134305700
2015-06-01,589,605,585,604,204500,122159300
2015-05-29,581,585,574,579,119800,69521900
2015-05-28,577,580,569,573,95300,54723800
2015-05-27,575,587,568,572,135300,77918100
2015-05-26,581,584,570,572,95500,55026300
2015-05-25,594,594,582,583,106900,62779800
2015-05-22,573,588,572,585,117400,67924100
2015-05-21,570,574,567,569,81900,46734300
2015-05-20,563,570,563,570,82300,46596600
2015-05-19,550,563,550,562,124500,69476200
2015-05-18,554,555,542,549,220200,120250100
2015-05-15,575,575,546,552,463900,258254700
2015-05-14,585,588,580,582,110900,64673000
2015-05-13,592,592,580,586,148800,87403900
2015-05-12,595,602,590,598,119500,71241300
2015-05-11,610,610,600,605,85100,51461000
2015-05-08,589,609,589,600,81900,49157900
2015-05-07,595,602,583,584,117500,69661800
2015-05-01,595,602,593,598,84100,50269400
2015-04-30,615,615,596,600,146200,88128500
2015-04-28,623,627,608,614,233500,144327400
2015-04-27,606,608,603,604,38200,23100700
2015-04-24,606,614,598,611,73400,44520900
2015-04-23,613,614,609,609,30800,18822200
2015-04-22,611,614,608,611,42600,26017200
2015-04-21,606,614,606,610,30700,18730300
2015-04-20,607,620,604,606,104500,63911500
2015-04-17,620,623,615,618,73700,45574200
2015-04-16,613,620,611,620,138300,85028400
2015-04-15,627,627,620,620,48900,30482800
2015-04-14,614,627,613,627,124500,77431700
2015-04-13,605,613,605,613,78100,47708100
2015-04-10,606,608,604,605,43500,26363400
2015-04-09,606,608,605,606,39500,23946500
2015-04-08,607,611,601,606,62800,38087600
2015-04-07,601,607,600,605,41400,24982800
