6273-T,東証1部,SMC,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,26750,26870,26035,26565,236700,6280679500
2015-10-01,26410,27485,26105,27300,433700,11733136500
2015-09-30,25700,26220,25490,26055,354500,9196794000
2015-09-29,25235,25680,24835,25050,442100,11104181000
2015-09-28,26000,26435,25560,25880,354800,9185279000
2015-09-25,25170,25475,24665,25435,243200,6115603000
2015-09-24,25365,25480,24790,25170,333400,8415880500
2015-09-18,27030,27080,26285,26695,368100,9854714500
2015-09-17,27015,28050,27005,27525,383900,10531412000
2015-09-16,25955,26275,25905,26015,333700,8699397000
2015-09-15,26085,26400,25450,25450,338200,8710012500
2015-09-14,26695,26730,25910,26025,156200,4090885500
2015-09-11,26595,26725,26405,26530,263900,7008565500
2015-09-10,26500,26785,26205,26695,268000,7110519500
2015-09-09,27000,27250,26650,27230,401600,10826113000
2015-09-08,26680,26945,26125,26195,306900,8121347500
2015-09-07,26420,26925,26150,26650,221100,5882650500
2015-09-04,27425,27425,26135,26610,243000,6463494000
2015-09-03,27420,27820,27180,27190,185200,5080079000
2015-09-02,26780,27760,26780,27285,415300,11344366500
2015-09-01,27990,28555,27610,27610,364300,10233199500
2015-08-31,29600,29985,29105,29465,170800,5026235000
2015-08-28,29675,30315,29420,30070,218000,6534880500
2015-08-27,29445,29965,28830,29040,451800,13280992000
2015-08-26,27915,29085,27600,28865,459900,13151525000
2015-08-25,27245,29350,26755,27415,579200,16267211000
2015-08-24,28800,29175,27885,27885,387400,11046814000
2015-08-21,29955,30120,29550,29735,231200,6892978000
2015-08-20,30825,31250,30595,30890,264300,8152993500
2015-08-19,32030,32135,31260,31300,208100,6579363000
2015-08-18,32300,32415,31930,31940,155700,5001152500
2015-08-17,32310,32310,31925,32135,101600,3263082500
2015-08-14,32365,32500,31905,32010,129900,4176688500
2015-08-13,31775,32550,31680,32365,300900,9682695000
2015-08-12,32920,33115,32355,32475,281700,9190291500
2015-08-11,33500,33650,32525,32640,301000,9914456000
2015-08-10,33455,33500,32370,32725,224100,7329584000
2015-08-07,33470,33500,32540,33300,383300,12698484000
2015-08-06,32200,32725,31870,32185,271400,8767005500
2015-08-05,31015,31585,31015,31310,264500,8293473500
2015-08-04,31500,31565,31105,31400,210100,6583292500
2015-08-03,31425,31605,31135,31430,178900,5615251000
2015-07-31,31355,31710,31300,31460,237200,7470582500
2015-07-30,31400,31995,31060,31400,298600,9444235000
2015-07-29,31600,31700,30735,30735,423800,13158193500
2015-07-28,32005,32950,32005,32365,312900,10130500500
2015-07-27,31950,33055,31860,32705,391700,12761368000
2015-07-24,34005,34305,33510,33625,230800,7780555500
2015-07-23,34800,35000,34305,34450,132100,4563699000
2015-07-22,34675,34880,34495,34495,122200,4232443500
2015-07-21,35245,35275,34740,35060,129900,4548718500
2015-07-17,34805,34805,34390,34645,167200,5781863500
2015-07-16,35195,35195,34415,34755,218200,7566151000
2015-07-15,35285,35290,34465,34685,308800,10721361000
2015-07-14,35300,35545,34990,35225,197900,6983527500
2015-07-13,34785,35040,34645,34720,123500,4296469000
2015-07-10,35250,35345,34250,34380,259700,9019190500
2015-07-09,33960,34920,33100,34900,330400,11271248000
2015-07-08,36220,36330,34500,34500,340400,11961244500
2015-07-07,36900,37175,36165,36225,180700,6596553000
2015-07-06,36480,36870,36350,36355,116900,4270076500
2015-07-03,37185,37255,36610,36960,102100,3764644500
2015-07-02,37290,37495,36925,37185,191300,7128326000
2015-07-01,37000,37000,36510,36590,150000,5498815500
2015-06-30,36635,36975,36300,36865,217700,7973208500
2015-06-29,37205,37480,37000,37000,163000,6064922000
2015-06-26,38120,38290,37685,38245,141800,5388902000
2015-06-25,38500,38500,38150,38190,78700,3012898000
2015-06-24,38500,38760,38255,38535,196400,7578888000
2015-06-23,37600,38435,37355,38435,309000,11773675000
2015-06-22,37350,37550,37270,37465,123800,4629872500
2015-06-19,37985,37985,37140,37440,195300,7317616000
2015-06-18,37885,37890,37055,37120,132100,4925724500
2015-06-17,37425,37575,37105,37355,143700,5373008500
2015-06-16,37900,38065,37225,37235,200100,7512605000
2015-06-15,37635,38175,37605,38095,121100,4593073000
2015-06-12,37885,38230,37535,38155,227800,8636678000
2015-06-11,38450,38450,37620,37880,167300,6352565500
2015-06-10,37525,38155,37525,37550,203500,7694651000
2015-06-09,38020,38290,37735,37850,192500,7315516500
2015-06-08,39025,39060,38195,38490,123000,4737591500
2015-06-05,39060,39265,38735,39025,201000,7833535000
2015-06-04,39000,39230,38770,39115,232100,9051199000
2015-06-03,38700,39195,38630,39030,295600,11535902500
2015-06-02,38150,38800,38150,38700,285600,11023050000
2015-06-01,37500,37895,37335,37870,139800,5260187000
2015-05-29,37350,37695,37030,37650,225300,8449938000
2015-05-28,36995,37660,36730,37185,229500,8541472500
2015-05-27,36435,36970,36390,36875,138500,5076891500
2015-05-26,36250,36585,36120,36435,118200,4302995500
2015-05-25,36800,36860,36355,36505,139200,5086595500
2015-05-22,36615,36890,36425,36755,209800,7695801500
2015-05-21,35895,36485,35595,36110,278900,10067648000
2015-05-20,36000,36000,35505,35540,348600,12418683500
2015-05-19,36050,36230,35600,35695,323500,11592193500
2015-05-18,35500,36390,35500,36300,287700,10367916500
2015-05-15,36400,37155,36360,36975,141000,5196748000
2015-05-14,36430,36770,36165,36165,142700,5201125500
2015-05-13,36115,36720,35985,36690,232000,8442185500
2015-05-12,36485,36695,35980,36505,205500,7468525500
2015-05-11,35950,35950,35440,35705,159600,5703845500
2015-05-08,36400,36605,35285,35405,203300,7256252500
2015-05-07,35210,36220,35210,36000,320300,11525483000
2015-05-01,36090,36370,35515,35835,167200,5980872500
2015-04-30,36905,37130,36140,36180,245400,8962803500
2015-04-28,36985,37915,36800,37745,300700,11295719000
2015-04-27,36070,36110,35685,35960,117700,4229366500
2015-04-24,36070,36360,35810,35985,163600,5894565000
2015-04-23,36700,36745,36095,36375,118800,4317414500
2015-04-22,36020,36520,35955,36440,182000,6619260000
2015-04-21,35410,35895,35320,35770,254100,9042248500
2015-04-20,35505,36060,35325,35345,333700,11887455000
2015-04-17,36585,36825,36000,36000,190100,6902832000
2015-04-16,37010,37360,36500,36775,189800,6975832500
2015-04-15,36760,37465,36760,37235,101200,3764877500
2015-04-14,36790,37245,36790,37070,119700,4432701000
2015-04-13,37450,37665,37010,37125,136600,5083975500
2015-04-10,38075,38190,37345,37420,172800,6496132500
2015-04-09,37790,37840,37400,37840,137600,5189173500
2015-04-08,37550,37880,37465,37655,181900,6852123500
2015-04-07,36910,37450,36675,37265,236100,8775418500
2015-04-06,36295,36825,36295,36510,109300,3999680000
2015-04-03,36645,36705,36280,36705,147300,5376999000
2015-04-02,35925,36880,35730,36480,334100,12197937000
2015-04-01,35520,35700,34930,35225,300500,10608451500
2015-03-31,36785,36860,35845,35845,205900,7468658500
2015-03-30,36130,36195,35555,36055,161200,5796181000
2015-03-27,35695,36580,35365,35680,193200,6946670500
2015-03-26,36345,36345,35535,35785,174500,6253828500
2015-03-25,36340,36690,35995,36520,197100,7179594500
2015-03-24,36310,36730,36180,36345,296000,10787385500
2015-03-23,36840,37170,36630,36775,200000,7374532500
2015-03-20,36740,36905,36335,36470,246500,9004007000
2015-03-19,37025,37315,36315,36740,253700,9318838500
2015-03-18,37000,37680,36830,37325,272300,10134041500
2015-03-17,37095,37775,36860,37025,362400,13517304500
2015-03-16,36055,36825,36055,36460,288100,10500156500
2015-03-13,33700,36880,33700,36635,765500,27025562000
2015-03-12,33480,33930,33480,33665,217200,7322744000
2015-03-11,33275,33690,32940,33565,140500,4700615000
2015-03-10,32955,33315,32855,33180,195000,6462472000
2015-03-09,33065,33200,32735,32990,168000,5535055500
2015-03-06,33050,33550,33050,33430,156500,5223730000
2015-03-05,33635,33635,32990,33185,189800,6305746500
2015-03-04,33045,33680,32610,33480,247600,8225219000
2015-03-03,33510,33535,32815,33045,162000,5360118000
2015-03-02,33075,33395,32980,33015,177500,5872882500
2015-02-27,33190,33750,33100,33275,362500,12106427000
2015-02-26,33000,33135,32700,33045,177700,5855499000
2015-02-25,32900,33180,32740,32785,196200,6456693000
2015-02-24,33075,33180,32545,33050,274300,9026937500
2015-02-23,33885,33975,33205,33340,251300,8430022000
2015-02-20,33835,34040,33605,34000,430000,14587336000
2015-02-19,32815,33750,32580,33435,266400,8902568000
2015-02-18,32040,33155,32000,32920,383400,12557135000
2015-02-17,31255,31785,31020,31660,166500,5244127500
2015-02-16,31700,31995,31445,31500,217100,6872678000
2015-02-13,31425,31780,31310,31560,221300,6982814500
2015-02-12,31000,31695,31000,31515,334500,10520363500
2015-02-10,31725,31860,31235,31345,192500,6059251500
2015-02-09,32200,32200,31300,31500,266100,8405478000
2015-02-06,31900,31940,31550,31645,99100,3140211000
2015-02-05,31765,31895,31385,31470,170500,5379515000
2015-02-04,31895,32350,31545,31770,216300,6911097500
2015-02-03,32150,32310,31150,31205,211600,6692718500
2015-02-02,31465,31805,31355,31685,161600,5113553500
2015-01-30,32000,32115,31805,31870,303700,9704327000
