6277-T,東証1部,ホソカワミクロ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,562,574,561,572,73000,41527000
2015-10-01,578,578,567,569,105000,60311000
2015-09-30,562,574,562,572,62000,35244000
2015-09-29,562,571,560,568,84000,47593000
2015-09-28,565,581,563,572,133000,75576000
2015-09-25,568,574,564,573,153000,87373000
2015-09-24,566,572,560,564,115000,65168000
2015-09-18,572,583,564,582,99000,57025000
2015-09-17,575,581,573,579,103000,59500000
2015-09-16,560,568,560,565,59000,33262000
2015-09-15,567,567,557,559,91000,51135000
2015-09-14,562,565,557,563,43000,24136000
2015-09-11,562,569,560,562,146000,82090000
2015-09-10,555,568,555,562,61000,34308000
2015-09-09,556,573,555,573,107000,60297000
2015-09-08,552,552,542,544,58000,31713000
2015-09-07,551,567,541,555,87000,48290000
2015-09-04,567,569,552,555,164000,91771000
2015-09-03,559,577,559,569,100000,56848000
2015-09-02,560,563,555,559,131000,73278000
2015-09-01,565,567,561,561,101000,56883000
2015-08-31,568,568,560,565,91000,51377000
2015-08-28,563,568,562,568,62000,35032000
2015-08-27,559,559,549,551,99000,54812000
2015-08-26,536,551,528,549,122000,65751000
2015-08-25,530,552,516,532,378000,201656000
2015-08-24,580,593,560,563,262000,151073000
2015-08-21,599,603,595,596,99000,59287000
2015-08-20,618,618,604,607,107000,65350000
2015-08-19,619,621,616,618,65000,40218000
2015-08-18,617,621,612,619,110000,68023000
2015-08-17,610,615,610,614,87000,53350000
2015-08-14,612,614,608,612,84000,51419000
2015-08-13,610,613,607,612,41000,25012000
2015-08-12,609,614,606,609,88000,53615000
2015-08-11,609,617,609,615,164000,100630000
2015-08-10,590,608,590,606,138000,83046000
2015-08-07,589,596,588,596,60000,35552000
2015-08-06,594,595,589,593,74000,43833000
2015-08-05,588,596,586,594,121000,71460000
2015-08-04,586,588,583,588,117000,68564000
2015-08-03,583,588,583,586,83000,48571000
2015-07-31,582,586,582,584,62000,36202000
2015-07-30,581,584,581,582,60000,34917000
2015-07-29,583,586,578,581,105000,60990000
2015-07-28,581,585,581,584,93000,54192000
2015-07-27,587,590,584,585,88000,51627000
2015-07-24,585,588,581,587,106000,61956000
2015-07-23,584,587,581,587,83000,48434000
2015-07-22,584,585,582,584,51000,29759000
2015-07-21,581,586,578,584,101000,58792000
2015-07-17,572,574,568,573,44000,25118000
2015-07-16,572,573,569,570,79000,45055000
2015-07-15,577,579,571,572,82000,47147000
2015-07-14,571,580,571,576,133000,76494000
2015-07-13,565,571,565,568,103000,58507000
2015-07-10,570,571,559,561,310000,174664000
2015-07-09,580,582,560,568,249000,141842000
2015-07-08,590,591,583,583,199000,116542000
2015-07-07,593,596,589,590,75000,44310000
2015-07-06,594,594,590,590,94000,55612000
2015-07-03,596,599,594,594,102000,60724000
2015-07-02,602,602,595,599,41000,24552000
2015-07-01,604,605,594,596,90000,53792000
2015-06-30,598,600,593,596,188000,112019000
2015-06-29,603,604,598,598,217000,130319000
2015-06-26,609,610,605,606,85000,51617000
2015-06-25,613,613,609,609,92000,56140000
2015-06-24,614,617,611,614,117000,71885000
2015-06-23,613,617,608,617,136000,83571000
2015-06-22,603,613,602,610,204000,124239000
2015-06-19,604,606,603,603,245000,147868000
2015-06-18,607,608,604,604,128000,77568000
2015-06-17,613,613,607,608,170000,103634000
2015-06-16,614,615,612,612,78000,47867000
2015-06-15,615,617,614,616,67000,41234000
2015-06-12,619,622,617,617,139000,85960000
2015-06-11,620,621,618,619,74000,45861000
2015-06-10,619,622,618,619,94000,58237000
2015-06-09,620,622,618,618,90000,55829000
2015-06-08,621,625,621,621,98000,61012000
2015-06-05,624,625,619,623,66000,41022000
2015-06-04,621,626,621,621,126000,78528000
2015-06-03,621,626,620,621,134000,83368000
2015-06-02,620,623,619,621,95000,58963000
2015-06-01,616,622,616,620,124000,76850000
2015-05-29,617,622,615,615,498000,306820000
2015-05-28,617,622,617,618,170000,105170000
2015-05-27,617,619,615,616,206000,127081000
2015-05-26,620,622,616,619,122000,75577000
2015-05-25,617,620,614,618,123000,75804000
2015-05-22,612,618,612,617,125000,76806000
2015-05-21,614,615,611,613,104000,63790000
2015-05-20,610,614,609,614,181000,110775000
2015-05-19,606,611,606,610,132000,80387000
2015-05-18,608,610,607,607,164000,99707000
2015-05-15,608,612,608,608,128000,77993000
2015-05-14,610,615,608,608,176000,107294000
2015-05-13,607,617,606,608,402000,244929000
2015-05-12,628,629,626,627,37000,23219000
2015-05-11,627,630,625,627,150000,94125000
2015-05-08,624,628,624,626,52000,32540000
2015-05-07,629,629,623,623,142000,88876000
2015-05-01,627,628,625,625,96000,60168000
2015-04-30,627,630,626,627,94000,58993000
2015-04-28,635,635,627,627,93000,58576000
2015-04-27,627,632,625,629,108000,67780000
2015-04-24,627,628,624,625,90000,56270000
2015-04-23,626,629,624,624,105000,65755000
2015-04-22,628,630,624,625,107000,67074000
2015-04-21,626,627,624,624,83000,51887000
2015-04-20,630,630,624,624,114000,71493000
2015-04-17,635,635,628,630,137000,86334000
2015-04-16,630,638,630,633,75000,47496000
2015-04-15,624,637,623,630,177000,111638000
2015-04-14,622,624,620,624,116000,72183000
2015-04-13,622,622,618,621,214000,132582000
2015-04-10,625,625,621,623,69000,42988000
2015-04-09,627,627,620,621,161000,100259000
2015-04-08,621,628,621,627,199000,124334000
2015-04-07,621,627,619,621,253000,157421000
2015-04-06,630,630,622,626,111000,69412000
2015-04-03,629,635,627,630,130000,81992000
2015-04-02,624,630,619,628,169000,105579000
2015-04-01,620,626,618,619,209000,129704000
2015-03-31,628,630,624,624,155000,97202000
2015-03-30,633,633,625,627,152000,95418000
2015-03-27,645,645,627,628,263000,166976000
2015-03-26,642,644,640,642,165000,105978000
2015-03-25,639,644,639,641,218000,139835000
2015-03-24,641,641,638,639,235000,150421000
2015-03-23,638,642,638,638,183000,116993000
2015-03-20,639,639,635,638,171000,108913000
2015-03-19,634,638,634,638,179000,113992000
2015-03-18,635,637,634,636,194000,123290000
2015-03-17,636,638,635,635,196000,124774000
2015-03-16,635,638,635,636,141000,89823000
2015-03-13,640,640,635,635,138000,88049000
2015-03-12,633,638,633,637,162000,103118000
2015-03-11,630,634,630,633,93000,58786000
2015-03-10,640,641,632,633,252000,160233000
2015-03-09,633,635,628,629,150000,94686000
2015-03-06,633,636,633,633,112000,70990000
2015-03-05,635,635,633,633,111000,70388000
2015-03-04,635,638,634,635,123000,78200000
2015-03-03,640,640,635,636,134000,85351000
2015-03-02,635,637,633,637,170000,108038000
2015-02-27,633,634,631,632,226000,142948000
2015-02-26,636,638,632,634,253000,160835000
2015-02-25,636,639,636,637,180000,114680000
2015-02-24,636,640,635,638,178000,113334000
2015-02-23,637,644,633,634,148000,94458000
2015-02-20,630,636,629,634,194000,122606000
2015-02-19,634,635,630,634,258000,163290000
2015-02-18,637,638,633,633,326000,207160000
2015-02-17,633,639,632,638,211000,134110000
2015-02-16,639,640,632,632,308000,196015000
2015-02-13,650,659,641,642,303000,195615000
2015-02-12,640,649,638,642,738000,473809000
2015-02-10,718,730,718,729,67000,48616000
2015-02-09,713,724,713,721,33000,23716000
2015-02-06,715,723,714,717,94000,67377000
2015-02-05,718,729,712,718,70000,50413000
2015-02-04,716,730,716,723,102000,73805000
2015-02-03,724,724,713,716,94000,67620000
2015-02-02,724,729,717,722,72000,51996000
2015-01-30,723,731,723,729,78000,56761000
2015-01-29,717,731,717,728,147000,106917000
2015-01-28,716,726,716,724,92000,66379000
2015-01-27,716,727,716,722,110000,79511000
2015-01-26,718,719,713,715,51000,36543000
2015-01-23,714,719,712,715,62000,44341000
2015-01-22,716,718,708,714,76000,54140000
2015-01-21,723,723,714,716,74000,53067000
2015-01-20,712,725,712,724,83000,59641000
2015-01-19,724,724,715,718,49000,35210000
2015-01-16,725,726,717,720,92000,66406000
2015-01-15,717,731,717,730,153000,110904000
2015-01-14,720,722,711,715,92000,65855000
2015-01-13,726,726,714,721,96000,69029000
2015-01-09,733,733,725,726,130000,94760000
2015-01-08,719,730,715,726,212000,153358000
2015-01-07,718,721,707,719,149000,106484000
2015-01-06,715,730,713,718,324000,233662000
2015-01-05,697,725,693,723,297000,212668000
2014-12-30,689,702,682,695,131000,91276000
2014-12-29,691,700,690,698,71000,49292000
2014-12-26,699,699,689,694,58000,40279000
2014-12-25,699,699,681,692,92000,63605000
2014-12-24,700,702,697,699,114000,79775000
2014-12-22,705,705,696,700,124000,86984000
2014-12-19,695,700,690,700,146000,101554000
2014-12-18,681,695,677,680,209000,142954000
2014-12-17,670,684,668,674,145000,97862000
2014-12-16,668,674,664,670,122000,81595000
2014-12-15,680,689,677,678,107000,72884000
2014-12-12,698,703,693,693,135000,94265000
2014-12-11,693,700,681,696,154000,106556000
2014-12-10,695,706,695,705,213000,149131000
2014-12-09,695,703,691,700,136000,94875000
2014-12-08,700,706,696,701,178000,124908000
2014-12-05,686,697,681,696,155000,107106000
2014-12-04,686,689,679,685,139000,95236000
2014-12-03,679,689,676,682,278000,189992000
2014-12-02,676,676,672,673,76000,51189000
2014-12-01,680,680,662,677,141000,94908000
2014-11-28,666,676,666,673,110000,73947000
2014-11-27,675,676,665,665,218000,146077000
2014-11-26,674,677,673,674,91000,61397000
2014-11-25,663,686,661,674,360000,242475000
2014-11-21,651,658,645,655,110000,71750000
2014-11-20,653,654,647,649,83000,54031000
2014-11-19,647,652,647,649,150000,97361000
2014-11-18,645,650,640,644,146000,94222000
2014-11-17,646,647,635,635,158000,101506000
2014-11-14,652,652,636,640,269000,172734000
2014-11-13,633,653,633,647,167000,107690000
2014-11-12,649,662,642,643,496000,323321000
2014-11-11,637,642,627,642,57000,36332000
2014-11-10,629,638,619,635,98000,61755000
2014-11-07,623,623,613,621,55000,34043000
2014-11-06,621,630,615,615,94000,58375000
2014-11-05,631,633,617,626,148000,92556000
2014-11-04,638,649,626,631,209000,132639000
2014-10-31,616,622,607,619,124000,76279000
2014-10-30,609,611,604,604,73000,44250000
2014-10-29,587,611,587,605,158000,95109000
2014-10-28,590,590,582,586,39000,22859000
2014-10-27,587,592,584,585,86000,50463000
2014-10-24,584,585,578,579,122000,71012000
2014-10-23,583,585,581,583,75000,43712000
2014-10-22,585,595,582,589,95000,55641000
2014-10-21,601,601,581,582,74000,43477000
2014-10-20,595,603,589,596,98000,58338000
2014-10-17,583,586,575,575,77000,44627000
2014-10-16,598,598,580,580,117000,68639000
2014-10-15,598,603,598,599,46000,27562000
2014-10-14,595,602,588,590,90000,53417000
2014-10-10,607,607,601,601,93000,56166000
2014-10-09,620,621,610,610,61000,37526000
2014-10-08,620,621,610,616,71000,43649000
2014-10-07,625,640,623,623,67000,42233000
2014-10-06,630,641,627,634,67000,42555000
2014-10-03,620,627,618,624,104000,64668000
2014-10-02,640,641,623,623,162000,102464000
2014-10-01,651,655,648,648,120000,78010000
2014-09-30,651,656,646,651,80000,52127000
2014-09-29,656,658,652,656,60000,39235000
2014-09-26,648,664,648,655,120000,78803000
2014-09-25,663,666,658,666,173000,114637000
