6287-T,東証1部,サトーHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2181,2254,2170,2227,201200,447122700
2015-10-01,2224,2234,2090,2133,260200,554789400
2015-09-30,2203,2244,2189,2225,105300,234076800
2015-09-29,2205,2229,2157,2175,131800,287922200
2015-09-28,2267,2275,2188,2207,187100,416432700
2015-09-25,2330,2330,2232,2284,165600,377458300
2015-09-24,2400,2412,2293,2293,160800,374466700
2015-09-18,2451,2477,2430,2451,95800,234628000
2015-09-17,2463,2485,2420,2482,123500,304177600
2015-09-16,2444,2476,2432,2454,161800,396863400
2015-09-15,2460,2467,2412,2414,85900,209476500
2015-09-14,2480,2512,2442,2448,178900,442445500
2015-09-11,2440,2486,2423,2465,214700,527183100
2015-09-10,2407,2437,2370,2409,199200,479347000
2015-09-09,2446,2476,2387,2428,188600,456165900
2015-09-08,2348,2412,2337,2358,213600,505476700
2015-09-07,2349,2405,2330,2353,86700,205139700
2015-09-04,2400,2400,2320,2363,111900,263843400
2015-09-03,2381,2415,2352,2369,98800,235034700
2015-09-02,2400,2422,2334,2367,142500,339394200
2015-09-01,2516,2545,2400,2405,141100,345350100
2015-08-31,2569,2580,2523,2544,94300,239701300
2015-08-28,2565,2607,2556,2565,87500,226042800
2015-08-27,2565,2565,2502,2503,80200,202772200
2015-08-26,2510,2609,2491,2515,141600,356697500
2015-08-25,2514,2612,2401,2478,244800,614512400
2015-08-24,2628,2680,2557,2564,111300,290980300
2015-08-21,2760,2779,2706,2706,163700,447559100
2015-08-20,2847,2865,2812,2818,71700,203074000
2015-08-19,2880,2900,2838,2870,92300,264997600
2015-08-18,2920,2930,2882,2907,78300,227635200
2015-08-17,2864,2922,2864,2904,116200,337371500
2015-08-14,2862,2862,2825,2843,74700,212414100
2015-08-13,2854,2880,2841,2862,154600,442410300
2015-08-12,2852,2900,2842,2859,112000,321204500
2015-08-11,2914,2921,2874,2886,96800,280298800
2015-08-10,2851,2930,2804,2908,187800,541255400
2015-08-07,2920,2927,2875,2894,76500,221550400
2015-08-06,2939,2997,2938,2947,141900,421482000
2015-08-05,2960,2963,2910,2922,131200,384537600
2015-08-04,2931,2979,2927,2960,147700,436746200
2015-08-03,2925,2950,2898,2947,87000,255055300
2015-07-31,2949,3065,2931,2941,199000,590528000
2015-07-30,2872,2943,2849,2919,219400,636027400
2015-07-29,2822,2900,2792,2872,218800,625338900
2015-07-28,2857,2947,2834,2938,338100,982286400
2015-07-27,2890,2892,2765,2830,423900,1196044800
2015-07-24,3330,3350,2979,3020,408400,1302201600
2015-07-23,3215,3295,3180,3290,133500,433610000
2015-07-22,3220,3255,3165,3165,52900,168767500
2015-07-21,3185,3245,3155,3235,83600,268680000
2015-07-17,3150,3185,3115,3170,91200,286926500
2015-07-16,3140,3175,3095,3135,182300,571486500
2015-07-15,3215,3215,3145,3165,123200,389883500
2015-07-14,3240,3240,3170,3205,133200,426345500
2015-07-13,3150,3210,3140,3170,88000,279755000
2015-07-10,3230,3235,3135,3150,125300,397522000
2015-07-09,3115,3245,3060,3230,185500,584990500
2015-07-08,3310,3320,3205,3210,156600,505356000
2015-07-07,3395,3410,3335,3355,152900,515264500
2015-07-06,3345,3460,3275,3290,236700,794028000
2015-07-03,3375,3390,3345,3380,157500,531454500
2015-07-02,3365,3415,3360,3385,180500,610639500
2015-07-01,3415,3420,3310,3360,270000,908816000
2015-06-30,3425,3465,3425,3460,69100,238067000
2015-06-29,3395,3435,3370,3395,70400,239729000
2015-06-26,3480,3495,3395,3405,130400,446452500
2015-06-25,3530,3530,3480,3480,83900,294051500
2015-06-24,3535,3550,3505,3550,64100,226697000
2015-06-23,3480,3550,3455,3545,149800,527486500
2015-06-22,3465,3480,3430,3465,68600,237537500
2015-06-19,3480,3490,3390,3450,127100,437027000
2015-06-18,3390,3495,3390,3465,147700,510775500
2015-06-17,3340,3355,3320,3355,50200,167507000
2015-06-16,3395,3395,3335,3345,43300,145134000
2015-06-15,3365,3435,3350,3405,169600,575689000
2015-06-12,3370,3395,3290,3310,193500,646514000
2015-06-11,3280,3350,3270,3340,202500,671679500
2015-06-10,3200,3270,3185,3255,158200,511685500
2015-06-09,3135,3210,3135,3185,94900,302344000
2015-06-08,3200,3200,3150,3155,44400,140558000
2015-06-05,3115,3195,3115,3190,102000,323256500
2015-06-04,3165,3170,3105,3120,149300,466540000
2015-06-03,3270,3275,3145,3165,87300,278372500
2015-06-02,3220,3280,3215,3250,88700,288638000
2015-06-01,3215,3220,3145,3190,124700,397524000
2015-05-29,3190,3235,3180,3215,69400,223193500
2015-05-28,3195,3265,3160,3170,59100,188345000
2015-05-27,3235,3275,3210,3220,55500,180113000
2015-05-26,3180,3250,3180,3235,81600,262982500
2015-05-25,3250,3270,3175,3205,70200,225931000
2015-05-22,3190,3200,3125,3200,99400,314084500
2015-05-21,3280,3280,3190,3190,85300,274590000
2015-05-20,3255,3280,3240,3275,85000,277426000
2015-05-19,3220,3270,3205,3245,158100,511774500
2015-05-18,3140,3245,3140,3240,182300,584843500
2015-05-15,3145,3145,3075,3120,95900,297399500
2015-05-14,3100,3180,3100,3130,90100,283530500
2015-05-13,3120,3125,3090,3120,99000,308023000
2015-05-12,3140,3225,3130,3135,218000,691032500
2015-05-11,3095,3225,3070,3205,256300,810501000
2015-05-08,2990,3100,2988,3085,359300,1102280900
2015-05-07,2828,3010,2828,2988,355100,1056285900
2015-05-01,2767,2897,2766,2843,283300,808897500
2015-04-30,2672,2783,2672,2779,207100,564863400
2015-04-28,2697,2711,2658,2658,124700,333123000
2015-04-27,2700,2714,2676,2692,86100,232101000
2015-04-24,2785,2789,2707,2712,82200,225014200
2015-04-23,2782,2797,2750,2770,55100,152943800
2015-04-22,2718,2805,2717,2782,104800,291051700
2015-04-21,2701,2742,2670,2682,149900,402535000
2015-04-20,2753,2753,2701,2705,70300,191210700
2015-04-17,2778,2786,2750,2763,91100,252140600
2015-04-16,2842,2842,2790,2795,64000,179446000
2015-04-15,2850,2858,2820,2842,64000,181787000
2015-04-14,2889,2960,2875,2881,166100,485672000
2015-04-13,2855,2891,2817,2889,103900,297684400
2015-04-10,2840,2840,2807,2824,58800,166159500
2015-04-09,2858,2860,2808,2824,52700,149198300
2015-04-08,2815,2879,2800,2815,79100,223815100
2015-04-07,2787,2790,2766,2775,66400,184447400
2015-04-06,2813,2820,2785,2805,40100,112435500
2015-04-03,2795,2832,2785,2819,42100,118310600
2015-04-02,2744,2819,2726,2775,107800,299613300
2015-04-01,2731,2745,2687,2714,74200,201486800
2015-03-31,2782,2788,2716,2725,96800,265178700
2015-03-30,2750,2798,2724,2760,146000,400667000
2015-03-27,2781,2863,2753,2777,103500,289432800
2015-03-26,2860,2866,2710,2853,94000,266385600
2015-03-25,2901,2944,2890,2910,113400,330225400
2015-03-24,2908,2940,2884,2925,110200,321949100
2015-03-23,2867,2904,2866,2892,91400,263963000
2015-03-20,2789,2868,2789,2867,99400,283495900
2015-03-19,2778,2804,2762,2796,109400,304471400
2015-03-18,2802,2828,2753,2787,148300,414756700
2015-03-17,2730,2810,2727,2802,145500,405181300
2015-03-16,2700,2719,2671,2714,109300,295465100
2015-03-13,2720,2720,2663,2689,180700,487076900
2015-03-12,2566,2636,2566,2621,98400,257176000
2015-03-11,2550,2585,2540,2566,63700,163485900
2015-03-10,2598,2612,2561,2567,34700,89518600
2015-03-09,2581,2603,2560,2598,80300,208176100
2015-03-06,2614,2616,2566,2580,88800,229535100
2015-03-05,2547,2616,2535,2613,97200,251969600
2015-03-04,2570,2570,2528,2547,74800,190494400
2015-03-03,2556,2588,2540,2550,89300,228300000
2015-03-02,2603,2634,2567,2572,95400,246801900
2015-02-27,2656,2666,2620,2629,149900,396221300
2015-02-26,2595,2675,2579,2673,398300,1040944800
2015-02-25,2528,2535,2502,2517,296600,747446600
2015-02-24,2460,2505,2452,2489,151300,375771600
2015-02-23,2450,2450,2436,2445,98400,240447400
2015-02-20,2475,2476,2436,2445,131700,322053800
2015-02-19,2445,2483,2434,2461,141900,348672700
2015-02-18,2455,2465,2430,2440,131900,322397300
2015-02-17,2455,2460,2433,2450,62100,152033000
2015-02-16,2460,2479,2444,2460,104200,256696300
2015-02-13,2465,2467,2427,2441,109200,266676800
2015-02-12,2525,2538,2459,2465,160200,397941300
2015-02-10,2490,2509,2444,2474,117500,289884200
2015-02-09,2512,2514,2455,2485,121700,301801000
2015-02-06,2472,2500,2418,2488,252200,621922500
2015-02-05,2533,2616,2450,2480,116000,290383100
2015-02-04,2609,2612,2556,2573,82300,211942100
2015-02-03,2622,2636,2548,2559,119100,307719200
2015-02-02,2685,2685,2610,2625,78800,207905200
2015-01-30,2743,2757,2706,2742,96100,263112600
