6302-T,東証1部,住友重,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,479,494,469,485,3873000,1872892000
2015-10-01,463,490,458,486,5683000,2700955000
2015-09-30,478,482,469,471,7425000,3517588000
2015-09-29,487,488,472,474,4068000,1941022000
2015-09-28,504,504,492,495,3386000,1680794000
2015-09-25,511,513,497,504,6915000,3474219000
2015-09-24,538,539,514,515,5022000,2618223000
2015-09-18,545,550,534,544,4882000,2650770000
2015-09-17,548,558,547,551,3492000,1926272000
2015-09-16,532,551,530,537,3881000,2101965000
2015-09-15,527,539,519,523,3344000,1765914000
2015-09-14,537,541,521,527,2832000,1495286000
2015-09-11,532,541,531,536,4973000,2657593000
2015-09-10,530,549,528,542,5582000,3001050000
2015-09-09,541,549,533,548,7954000,4317024000
2015-09-08,527,554,523,523,9787000,5249694000
2015-09-07,502,533,491,523,12612000,6500206000
2015-09-04,506,510,482,486,4011000,1973306000
2015-09-03,498,514,498,501,4587000,2315903000
2015-09-02,488,500,485,487,6372000,3134155000
2015-09-01,520,524,502,502,4896000,2508452000
2015-08-31,535,538,523,528,4031000,2131601000
2015-08-28,535,549,534,539,5251000,2842904000
2015-08-27,521,529,514,516,5646000,2938864000
2015-08-26,496,520,482,514,8782000,4403186000
2015-08-25,501,528,495,499,6385000,3262607000
2015-08-24,525,539,523,523,7628000,4040250000
2015-08-21,551,561,549,549,4050000,2239925000
2015-08-20,578,582,565,566,5105000,2916489000
2015-08-19,599,600,587,588,3609000,2139276000
2015-08-18,600,609,595,601,2931000,1768807000
2015-08-17,603,605,596,598,2667000,1597601000
2015-08-14,608,613,599,603,4574000,2768177000
2015-08-13,606,625,605,615,3688000,2274171000
2015-08-12,617,623,605,608,3434000,2106031000
2015-08-11,616,620,612,618,3031000,1868307000
2015-08-10,616,617,605,608,2706000,1646191000
2015-08-07,612,623,611,621,3290000,2040288000
2015-08-06,604,614,601,610,3593000,2188259000
2015-08-05,599,607,587,603,5815000,3488289000
2015-08-04,613,613,593,600,5623000,3372544000
2015-08-03,619,625,612,613,3582000,2205543000
2015-07-31,637,641,619,626,7747000,4861338000
2015-07-30,649,670,647,669,4471000,2960240000
2015-07-29,639,642,635,639,1896000,1211228000
2015-07-28,637,648,634,641,1920000,1231632000
2015-07-27,642,650,638,645,2181000,1405904000
2015-07-24,654,655,643,648,1667000,1080271000
2015-07-23,672,672,650,653,2733000,1794144000
