6305-T,東証1部,日立建,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1605,1621,1571,1604,1324200,2114594400
2015-10-01,1608,1667,1587,1631,1724900,2812465100
2015-09-30,1589,1618,1575,1597,1744000,2789837000
2015-09-29,1593,1594,1553,1564,1928100,3017629400
2015-09-28,1640,1650,1606,1612,1166600,1893283100
2015-09-25,1650,1660,1632,1660,2361500,3885078600
2015-09-24,1722,1743,1656,1658,2896600,4870485700
2015-09-18,1815,1834,1778,1800,1331900,2390884800
2015-09-17,1847,1865,1814,1841,1456200,2674112000
2015-09-16,1807,1877,1805,1843,1179300,2174851100
2015-09-15,1800,1823,1781,1783,887200,1595543200
2015-09-14,1828,1833,1774,1784,916600,1638876600
2015-09-11,1850,1860,1795,1814,2388800,4388625300
2015-09-10,1829,1861,1807,1855,1470500,2702443500
2015-09-09,1780,1877,1780,1877,2989400,5504083700
2015-09-08,1728,1785,1727,1744,1568000,2751168900
2015-09-07,1704,1736,1685,1717,1428900,2446085300
2015-09-04,1759,1774,1702,1719,1908200,3305329300
2015-09-03,1723,1767,1722,1734,2504000,4377803100
2015-09-02,1690,1718,1676,1683,1601300,2712001900
2015-09-01,1751,1757,1705,1706,1622100,2803642200
2015-08-31,1783,1788,1749,1760,1809700,3190182800
2015-08-28,1764,1826,1760,1800,1560200,2808261200
2015-08-27,1736,1751,1711,1721,1762600,3052205000
2015-08-26,1701,1728,1654,1705,2906800,4926976400
2015-08-25,1772,1817,1707,1710,3640900,6405875700
2015-08-24,1844,1849,1790,1801,2265900,4104438900
2015-08-21,1883,1891,1863,1874,1374800,2580406000
2015-08-20,1938,1945,1905,1914,895400,1717744200
2015-08-19,1956,1967,1934,1939,1105600,2150274300
2015-08-18,1968,1981,1956,1962,815800,1603515700
2015-08-17,1978,1979,1955,1965,789400,1548494600
2015-08-14,2005,2007,1960,1974,1297900,2565133600
2015-08-13,1994,2005,1973,1999,1311100,2612609700
2015-08-12,2004,2011,1970,1980,2296000,4559794200
2015-08-11,2083,2101,2029,2037,2407600,4958884400
2015-08-10,2066,2075,2021,2046,1757500,3582849900
2015-08-07,2077,2113,2071,2076,1312100,2731858000
2015-08-06,2050,2094,2047,2075,2003900,4157960600
2015-08-05,1985,2032,1962,2022,1436500,2886069500
2015-08-04,2000,2001,1956,1985,1453300,2872645900
2015-08-03,2061,2062,2004,2022,1170600,2370330700
2015-07-31,2040,2068,2029,2065,1052700,2165740200
2015-07-30,1976,2073,1971,2043,1950700,3973105800
2015-07-29,1955,2015,1947,1956,1999500,3936911800
2015-07-28,1965,1975,1940,1956,1525500,2985567200
2015-07-27,1990,2006,1977,2002,893900,1780745100
2015-07-24,2005,2023,1986,2000,1098700,2198139200
2015-07-23,2055,2064,2017,2030,981400,1995450800
2015-07-22,2052,2065,2038,2058,663000,1362886100
2015-07-21,2084,2097,2065,2081,629600,1309487500
2015-07-17,2027,2083,2022,2083,2023500,4178762200
2015-07-16,2024,2036,2011,2032,1024900,2077799000
2015-07-15,2033,2039,2012,2017,786600,1589230300
2015-07-14,2031,2054,2020,2033,1167100,2374317100
2015-07-13,2014,2023,2002,2011,949200,1910800100
2015-07-10,2014,2043,2002,2007,2212700,4461228600
2015-07-09,1950,2023,1902,2021,2376200,4667698800
2015-07-08,2094,2095,2004,2009,1898800,3854423400
2015-07-07,2120,2136,2090,2093,1054100,2220739300
2015-07-06,2088,2116,2083,2110,1282100,2695476800
2015-07-03,2109,2125,2105,2116,553700,1171539400
2015-07-02,2119,2131,2091,2107,1136400,2399166800
2015-07-01,2144,2147,2101,2101,1292900,2731559200
2015-06-30,2158,2163,2130,2144,981200,2101244400
2015-06-29,2116,2159,2116,2144,1089000,2333197800
2015-06-26,2207,2216,2183,2196,929300,2042756800
2015-06-25,2202,2227,2189,2202,846100,1863071800
2015-06-24,2204,2233,2204,2216,995500,2209514100
2015-06-23,2170,2214,2166,2199,1403100,3083215100
2015-06-22,2130,2157,2130,2147,738800,1583674900
2015-06-19,2147,2150,2125,2140,1711900,3661439000
2015-06-18,2120,2131,2094,2118,1410800,2982722800
2015-06-17,2170,2170,2121,2132,1621100,3459032600
2015-06-16,2206,2222,2164,2170,1334100,2912412400
2015-06-15,2201,2220,2201,2216,551400,1219990100
2015-06-12,2251,2251,2210,2222,1711000,3824613500
2015-06-11,2256,2263,2237,2248,742000,1667344400
2015-06-10,2225,2262,2220,2234,2130700,4771887600
2015-06-09,2226,2252,2218,2219,1116200,2489021200
2015-06-08,2228,2258,2227,2238,817700,1832027300
2015-06-05,2232,2239,2201,2217,893600,1977095200
2015-06-04,2233,2267,2231,2241,1158900,2610824400
2015-06-03,2202,2244,2202,2235,727400,1622910300
2015-06-02,2250,2260,2214,2218,966200,2152879800
2015-06-01,2251,2259,2234,2255,826900,1859974400
2015-05-29,2255,2279,2246,2271,1214600,2753997600
2015-05-28,2290,2302,2267,2276,946700,2163793000
2015-05-27,2260,2290,2243,2280,1209300,2750305000
2015-05-26,2250,2268,2247,2254,849300,1915818800
2015-05-25,2237,2268,2228,2263,760100,1715596300
2015-05-22,2214,2266,2213,2245,1347700,3026657400
2015-05-21,2236,2236,2208,2222,865400,1924048200
2015-05-20,2176,2228,2171,2218,1733400,3832932700
2015-05-19,2185,2193,2172,2172,1058100,2307303100
2015-05-18,2175,2185,2168,2181,790800,1721936100
2015-05-15,2169,2175,2153,2173,1111400,2407622900
2015-05-14,2132,2164,2130,2152,1026500,2209018200
2015-05-13,2150,2172,2136,2159,1407700,3038035100
2015-05-12,2120,2146,2116,2145,1002900,2142533200
2015-05-11,2144,2156,2121,2133,1393100,2970234600
2015-05-08,2130,2160,2112,2133,1814900,3861887100
2015-05-07,2101,2137,2101,2125,1879700,3982833000
2015-05-01,2123,2147,2111,2142,1299200,2765873300
2015-04-30,2136,2150,2127,2133,2149500,4593548700
2015-04-28,2180,2185,2122,2139,5353600,11451663600
2015-04-27,2261,2282,2248,2279,1127400,2561657900
2015-04-24,2281,2290,2246,2254,1372700,3113840900
2015-04-23,2262,2287,2258,2280,1241500,2825949700
2015-04-22,2250,2260,2233,2256,866500,1952191700
2015-04-21,2241,2247,2227,2240,702400,1571701800
2015-04-20,2231,2237,2204,2224,865400,1924602800
2015-04-17,2239,2260,2229,2243,1426800,3203406300
2015-04-16,2173,2251,2170,2249,1991900,4425543600
2015-04-15,2187,2197,2169,2191,804900,1759373900
2015-04-14,2163,2205,2163,2192,1040000,2276664500
2015-04-13,2173,2204,2145,2198,1439200,3150130600
2015-04-10,2184,2187,2149,2163,1572600,3411104700
2015-04-09,2169,2192,2161,2170,1407800,3062806900
2015-04-08,2160,2174,2153,2160,1649800,3568622200
2015-04-07,2109,2145,2109,2140,1469700,3135847800
2015-04-06,2121,2121,2105,2110,712000,1502448400
