6310-T,東証1部,井関農,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,177,179,175,176,1118000,197373000
2015-10-01,173,181,173,180,1064000,188256000
2015-09-30,170,174,169,172,982000,168431000
2015-09-29,173,173,169,169,849000,144786000
2015-09-28,178,178,173,175,495000,87074000
2015-09-25,172,177,171,177,1134000,196749000
2015-09-24,176,177,172,172,1219000,212608000
2015-09-18,179,180,177,179,674000,120224000
2015-09-17,179,182,179,181,750000,135423000
2015-09-16,183,184,178,178,1390000,250273000
2015-09-15,187,189,181,181,1439000,264421000
2015-09-14,188,190,185,187,1118000,209824000
2015-09-11,184,187,183,185,1265000,233657000
2015-09-10,185,186,180,182,1136000,207748000
2015-09-09,182,187,180,187,1120000,204891000
2015-09-08,179,182,178,178,887000,159448000
2015-09-07,179,179,175,179,1005000,178793000
2015-09-04,183,184,176,179,1984000,355714000
2015-09-03,186,189,182,182,1128000,207859000
2015-09-02,186,188,184,185,1334000,247869000
2015-09-01,192,195,188,188,1032000,197205000
2015-08-31,197,197,192,194,933000,181162000
2015-08-28,192,197,191,196,1285000,249709000
2015-08-27,190,191,186,188,1442000,271994000
2015-08-26,188,189,185,188,1328000,247949000
2015-08-25,186,196,180,182,1699000,316598000
2015-08-24,200,202,192,193,1584000,313037000
2015-08-21,212,213,206,206,1816000,378985000
2015-08-20,219,219,215,215,846000,183333000
2015-08-19,221,222,218,219,779000,171032000
2015-08-18,221,222,220,220,351000,77452000
2015-08-17,222,223,221,222,542000,120320000
2015-08-14,227,227,221,221,1297000,288753000
2015-08-13,229,232,228,229,872000,199986000
2015-08-12,231,234,226,230,1835000,423088000
2015-08-11,227,236,227,234,2477000,575284000
2015-08-10,223,227,222,226,953000,214252000
2015-08-07,217,225,217,222,1773000,392802000
2015-08-06,221,224,220,222,1124000,249709000
2015-08-05,219,222,217,219,877000,192463000
2015-08-04,221,221,218,219,982000,214707000
2015-08-03,221,221,218,219,1334000,292930000
2015-07-31,225,228,224,227,688000,155743000
2015-07-30,221,225,220,224,916000,204373000
2015-07-29,222,223,219,220,781000,172327000
2015-07-28,219,223,218,220,1223000,269064000
2015-07-27,229,229,220,221,1471000,328062000
2015-07-24,226,226,224,224,745000,167946000
2015-07-23,230,230,226,226,821000,186890000
2015-07-22,231,231,228,229,810000,185966000
2015-07-21,234,235,231,234,1122000,261842000
2015-07-17,227,232,226,232,1002000,229010000
2015-07-16,232,233,229,230,1052000,242639000
2015-07-15,233,234,231,232,712000,165551000
2015-07-14,232,235,230,232,926000,215030000
2015-07-13,237,237,227,229,1458000,337138000
2015-07-10,231,231,223,226,1185000,268472000
2015-07-09,226,228,219,228,1519000,340038000
2015-07-08,240,240,230,231,1448000,338038000
2015-07-07,240,243,238,240,989000,238403000
2015-07-06,242,242,237,239,898000,215189000
2015-07-03,245,245,242,244,572000,139182000
2015-07-02,248,248,243,245,1597000,391402000
2015-07-01,243,251,241,246,2914000,719614000
2015-06-30,237,244,237,242,2252000,542198000
2015-06-29,239,242,236,238,1718000,410647000
2015-06-26,248,248,242,245,2616000,640602000
2015-06-25,246,250,242,248,5222000,1290081000
2015-06-24,229,243,229,240,4344000,1033075000
2015-06-23,226,227,222,226,970000,217984000
2015-06-22,227,228,226,226,383000,86820000
2015-06-19,228,230,227,227,417000,94786000
2015-06-18,227,230,226,227,785000,178907000
2015-06-17,227,229,227,227,770000,175437000
2015-06-16,229,232,228,229,604000,138847000
2015-06-15,227,229,226,229,549000,124852000
2015-06-12,231,232,228,229,1253000,287705000
2015-06-11,233,234,229,230,845000,195447000
2015-06-10,234,235,232,232,497000,115980000
2015-06-09,236,237,234,234,387000,91012000
2015-06-08,237,239,236,236,398000,94443000
2015-06-05,241,241,236,237,715000,170135000
2015-06-04,242,243,240,241,698000,168704000
2015-06-03,239,242,238,242,562000,135223000
2015-06-02,237,241,236,239,1000000,239137000
2015-06-01,235,237,233,236,962000,226513000
2015-05-29,236,236,233,235,595000,139440000
2015-05-28,236,237,234,235,872000,205609000
2015-05-27,236,236,234,234,573000,134682000
2015-05-26,236,237,235,236,571000,134704000
2015-05-25,237,237,233,235,962000,226123000
2015-05-22,236,238,235,235,632000,149253000
2015-05-21,236,238,235,235,789000,186479000
2015-05-20,237,239,235,236,887000,209776000
2015-05-19,242,243,236,236,1869000,445022000
2015-05-18,249,250,243,244,1170000,286759000
2015-05-15,245,251,244,250,2515000,626082000
2015-05-14,242,248,242,247,952000,233852000
2015-05-13,243,246,241,246,1089000,264857000
2015-05-12,246,247,243,245,742000,181603000
2015-05-11,246,249,246,247,772000,190914000
2015-05-08,246,246,244,245,691000,169310000
2015-05-07,243,249,242,246,1369000,336116000
2015-05-01,247,247,241,243,1148000,279474000
2015-04-30,252,252,247,249,1191000,297393000
2015-04-28,255,255,252,255,1229000,311755000
2015-04-27,251,256,248,254,2285000,578112000
2015-04-24,249,255,248,251,3328000,835600000
2015-04-23,246,249,245,247,1822000,451337000
2015-04-22,244,248,244,246,1737000,427494000
2015-04-21,241,244,240,244,717000,174043000
2015-04-20,238,245,238,242,1616000,391952000
2015-04-17,241,242,238,241,900000,215880000
2015-04-16,241,242,238,242,710000,170780000
2015-04-15,239,242,238,240,1332000,319481000
2015-04-14,232,239,232,237,585000,138437000
2015-04-13,234,235,231,233,640000,149073000
2015-04-10,235,236,231,233,531000,123878000
2015-04-09,238,238,234,235,655000,154276000
2015-04-08,236,240,236,237,845000,201057000
2015-04-07,234,239,233,236,1174000,277287000
2015-04-06,235,235,232,234,527000,123324000
2015-04-03,233,234,232,234,445000,103698000
2015-04-02,228,235,228,233,1032000,239192000
2015-04-01,230,230,226,227,1142000,260150000
2015-03-31,233,234,230,230,977000,226140000
2015-03-30,234,235,229,232,1010000,234059000
2015-03-27,238,240,234,236,1174000,278387000
2015-03-26,246,246,241,242,1136000,275956000
2015-03-25,245,250,243,247,1232000,302947000
2015-03-24,245,246,243,245,645000,157461000
2015-03-23,246,246,242,245,708000,172838000
2015-03-20,242,245,241,245,1247000,303483000
2015-03-19,243,244,240,241,645000,155949000
2015-03-18,241,244,241,244,848000,205783000
2015-03-17,243,245,241,242,983000,238931000
2015-03-16,239,243,238,242,645000,155177000
2015-03-13,240,241,236,240,1728000,413181000
2015-03-12,242,243,239,242,884000,213745000
2015-03-11,238,240,236,239,962000,229670000
2015-03-10,240,240,237,239,793000,189273000
2015-03-09,235,241,235,240,1403000,335156000
2015-03-06,239,239,235,236,899000,212934000
2015-03-05,241,241,237,239,711000,170121000
2015-03-04,235,241,235,240,1282000,305549000
2015-03-03,239,243,237,238,1715000,410238000
