6328-T,東証1部,荏原実業,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1451,1455,1440,1449,12000,17377700
2015-10-01,1400,1478,1400,1457,28500,41084100
2015-09-30,1350,1411,1350,1399,19300,26693000
2015-09-29,1373,1382,1350,1350,9200,12516200
2015-09-28,1413,1413,1375,1391,7000,9761200
2015-09-25,1365,1386,1363,1383,8200,11243700
2015-09-24,1386,1400,1367,1367,11000,15216500
2015-09-18,1423,1423,1362,1395,11500,16047400
2015-09-17,1423,1424,1396,1422,6300,8918300
2015-09-16,1393,1430,1393,1423,10700,15210800
2015-09-15,1403,1403,1384,1385,7500,10441400
2015-09-14,1419,1419,1387,1387,6200,8693600
2015-09-11,1410,1415,1396,1409,19100,26899600
2015-09-10,1380,1387,1365,1383,14300,19735500
2015-09-09,1378,1400,1362,1400,7700,10640600
2015-09-08,1365,1367,1342,1345,8800,11895900
2015-09-07,1361,1395,1334,1361,8200,11137200
2015-09-04,1396,1396,1362,1367,9900,13640200
2015-09-03,1406,1410,1385,1388,5600,7839100
2015-09-02,1397,1419,1395,1401,10500,14794900
2015-09-01,1450,1462,1415,1417,11800,16964000
2015-08-31,1400,1467,1400,1453,20100,28941700
2015-08-28,1402,1429,1398,1423,11600,16405600
2015-08-27,1380,1406,1367,1378,8900,12339700
2015-08-26,1335,1380,1316,1367,17100,23078400
2015-08-25,1326,1355,1301,1305,49800,65708500
2015-08-24,1450,1453,1360,1360,33900,47736500
2015-08-21,1478,1483,1457,1458,18600,27259100
2015-08-20,1491,1506,1482,1483,12400,18527200
2015-08-19,1510,1510,1468,1504,16900,25365600
2015-08-18,1484,1514,1484,1514,23000,34575600
2015-08-17,1476,1480,1466,1479,9200,13566700
2015-08-14,1480,1490,1475,1483,9700,14369400
2015-08-13,1462,1481,1462,1476,9100,13386000
2015-08-12,1470,1481,1467,1470,11300,16638000
2015-08-11,1490,1492,1470,1481,8400,12463000
2015-08-10,1486,1494,1478,1490,11100,16501600
2015-08-07,1482,1498,1482,1486,8000,11914600
2015-08-06,1490,1510,1423,1493,35500,52724900
2015-08-05,1490,1498,1480,1491,11300,16816500
2015-08-04,1500,1500,1478,1494,8700,12942900
2015-08-03,1498,1520,1477,1500,30100,45221600
2015-07-31,1497,1509,1489,1497,18800,28172900
2015-07-30,1494,1500,1477,1478,14000,20865100
2015-07-29,1470,1514,1465,1494,52100,77744400
2015-07-28,1491,1500,1455,1479,82100,121657600
2015-07-27,1440,1466,1430,1431,8600,12383600
2015-07-24,1446,1446,1422,1441,9800,14032300
2015-07-23,1446,1450,1434,1442,5400,7787800
2015-07-22,1452,1452,1442,1447,5000,7235600
2015-07-21,1455,1455,1435,1449,7900,11437600
2015-07-17,1458,1458,1438,1450,6600,9566800
2015-07-16,1454,1463,1430,1442,12500,18059300
2015-07-15,1440,1462,1428,1461,16300,23559600
2015-07-14,1440,1447,1431,1440,9200,13249300
2015-07-13,1409,1427,1409,1424,4700,6677700
2015-07-10,1401,1416,1400,1407,11500,16178300
2015-07-09,1396,1428,1388,1402,27600,38571500
2015-07-08,1431,1436,1401,1402,16700,23671500
2015-07-07,1439,1450,1433,1434,12500,17974100
2015-07-06,1430,1460,1427,1434,10900,15640100
2015-07-03,1460,1460,1440,1444,7300,10594300
2015-07-02,1454,1460,1449,1456,11000,16010800
2015-07-01,1431,1445,1429,1438,11600,16675200
2015-06-30,1430,1431,1424,1426,18400,26239000
2015-06-29,1440,1440,1422,1425,21400,30607000
2015-06-26,1445,1457,1441,1444,30500,44156300
2015-06-25,1478,1489,1478,1480,20500,30403900
2015-06-24,1484,1487,1478,1484,20000,29666500
2015-06-23,1469,1486,1469,1484,13700,20274800
2015-06-22,1463,1472,1463,1470,12100,17756900
2015-06-19,1459,1476,1459,1467,10300,15114100
2015-06-18,1477,1480,1464,1464,9700,14271700
2015-06-17,1485,1487,1477,1478,15200,22531300
2015-06-16,1488,1488,1477,1485,11900,17665700
2015-06-15,1485,1490,1484,1487,10300,15306500
2015-06-12,1476,1487,1476,1487,22300,32994900
2015-06-11,1466,1483,1466,1478,12200,18011100
2015-06-10,1470,1483,1468,1469,15500,22843400
2015-06-09,1481,1481,1470,1470,21500,31690000
2015-06-08,1483,1492,1480,1480,11800,17512300
2015-06-05,1498,1498,1480,1481,21100,31345200
2015-06-04,1509,1515,1482,1497,33300,49866600
