6331-T,東証1部,化工機,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,285,287,280,287,257000,72986000
2015-10-01,279,286,279,286,240000,67657000
2015-09-30,274,277,269,274,249000,67880000
2015-09-29,283,284,266,266,379000,104814000
2015-09-28,286,287,275,280,373000,103603000
2015-09-25,273,283,273,283,202000,56173000
2015-09-24,282,284,276,277,140000,39240000
2015-09-18,295,295,288,290,89000,25841000
2015-09-17,290,296,290,296,154000,45230000
2015-09-16,288,294,287,292,76000,22089000
2015-09-15,290,295,285,285,74000,21335000
2015-09-14,298,300,291,292,82000,24077000
2015-09-11,286,296,286,295,228000,65850000
2015-09-10,285,287,282,285,117000,33340000
2015-09-09,284,292,282,291,184000,52773000
2015-09-08,282,289,275,276,231000,65152000
2015-09-07,281,287,278,282,93000,26264000
2015-09-04,294,296,281,285,254000,73198000
2015-09-03,304,309,292,293,151000,44879000
2015-09-02,292,304,286,304,391000,115924000
2015-09-01,300,301,291,292,218000,64695000
2015-08-31,316,316,303,305,197000,60486000
2015-08-28,296,312,296,310,281000,85805000
2015-08-27,290,292,288,289,365000,105745000
2015-08-26,290,293,285,290,462000,133407000
2015-08-25,260,299,257,270,587000,160621000
2015-08-24,303,306,286,289,726000,214489000
2015-08-21,315,321,312,315,721000,228285000
2015-08-20,340,340,333,335,223000,75151000
2015-08-19,343,344,341,341,95000,32526000
2015-08-18,339,344,338,344,147000,50099000
2015-08-17,340,341,338,341,215000,72979000
2015-08-14,342,343,340,340,267000,91056000
2015-08-13,345,347,345,345,109000,37644000
2015-08-12,355,355,347,348,191000,66691000
2015-08-11,354,356,350,355,167000,58933000
2015-08-10,350,354,349,352,234000,82049000
2015-08-07,351,357,350,357,185000,65535000
2015-08-06,348,352,344,351,355000,123577000
2015-08-05,341,347,340,346,295000,101316000
2015-08-04,344,344,341,343,147000,50263000
2015-08-03,351,351,340,344,290000,99956000
2015-07-31,351,352,347,349,301000,105228000
2015-07-30,359,360,353,355,168000,59917000
2015-07-29,365,365,357,360,113000,40654000
2015-07-28,360,364,358,362,141000,51026000
2015-07-27,371,371,365,365,170000,62573000
2015-07-24,373,374,371,373,80000,29807000
2015-07-23,370,375,370,375,99000,36945000
2015-07-22,375,375,371,371,141000,52486000
2015-07-21,379,379,375,377,113000,42646000
2015-07-17,377,377,372,376,91000,34037000
2015-07-16,369,376,369,375,124000,46316000
2015-07-15,371,374,367,370,147000,54479000
2015-07-14,369,377,369,372,205000,76465000
2015-07-13,366,367,363,366,178000,64965000
2015-07-10,357,360,350,357,314000,111498000
2015-07-09,354,358,335,356,684000,237811000
2015-07-08,375,377,365,365,406000,150225000
2015-07-07,379,381,376,378,185000,69895000
2015-07-06,380,382,376,378,277000,105069000
2015-07-03,384,385,381,384,251000,96191000
2015-07-02,393,393,381,384,439000,169830000
2015-07-01,374,383,374,380,250000,94829000
2015-06-30,372,375,371,374,213000,79556000
2015-06-29,370,376,370,372,467000,173972000
2015-06-26,387,390,383,383,262000,100763000
2015-06-25,390,391,387,388,333000,129494000
2015-06-24,391,391,388,390,282000,109829000
2015-06-23,397,397,388,393,584000,230019000
2015-06-22,390,398,386,393,571000,222702000
2015-06-19,386,393,386,390,185000,72030000
2015-06-18,398,398,387,388,458000,179218000
2015-06-17,400,402,399,399,160000,63959000
2015-06-16,402,403,399,399,260000,104113000
2015-06-15,402,404,401,403,253000,101817000
2015-06-12,406,408,405,407,297000,120660000
2015-06-11,405,406,401,405,276000,111293000
2015-06-10,402,408,402,405,273000,110318000
2015-06-09,405,406,402,402,269000,108758000
2015-06-08,405,408,405,405,187000,75944000
2015-06-05,410,410,406,408,216000,88118000
2015-06-04,412,414,411,411,223000,91958000
2015-06-03,412,415,411,413,379000,156305000
2015-06-02,414,417,411,415,679000,281601000
2015-06-01,403,416,403,414,644000,264386000
2015-05-29,402,408,402,408,541000,219414000
2015-05-28,403,403,400,401,332000,133387000
2015-05-27,401,403,401,403,313000,125845000
2015-05-26,405,406,401,402,280000,112763000
2015-05-25,403,407,402,404,434000,175213000
2015-05-22,400,403,398,401,475000,189812000
2015-05-21,401,403,400,400,487000,195242000
2015-05-20,404,405,401,403,654000,263191000
2015-05-19,407,409,402,405,746000,302533000
2015-05-18,413,414,405,409,766000,312639000
2015-05-15,414,414,410,412,376000,154959000
2015-05-14,414,414,411,413,221000,91158000
2015-05-13,417,417,413,415,201000,83496000
2015-05-12,414,418,413,418,260000,108111000
2015-05-11,415,415,412,414,187000,77315000
2015-05-08,410,413,408,412,434000,178317000
2015-05-07,410,414,410,412,296000,121811000
2015-05-01,423,423,412,413,459000,190630000
2015-04-30,428,434,422,426,1997000,856990000
2015-04-28,415,416,412,414,178000,73647000
2015-04-27,416,416,413,415,201000,83289000
2015-04-24,413,415,411,414,357000,147134000
2015-04-23,416,416,412,413,244000,100969000
2015-04-22,416,418,412,414,474000,196553000
2015-04-21,416,417,413,417,450000,186527000
2015-04-20,418,418,414,416,301000,125031000
2015-04-17,420,422,417,418,327000,137040000
2015-04-16,413,425,413,422,803000,336607000
2015-04-15,417,418,414,417,315000,131027000
2015-04-14,417,420,416,417,396000,165398000
2015-04-13,422,423,417,419,220000,92304000
2015-04-10,419,420,416,418,370000,154487000
2015-04-09,422,423,418,420,269000,112886000
