6333-T,東証1部,帝国電機,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,810,824,790,809,59700,48330600
2015-10-01,790,830,780,820,142900,114745800
2015-09-30,761,794,761,790,77700,60705300
2015-09-29,767,769,750,761,88300,67224500
2015-09-28,767,774,745,768,84000,63962700
2015-09-25,748,766,745,766,63800,48057700
2015-09-24,770,774,744,748,116700,88114100
2015-09-18,785,787,770,780,72400,56260400
2015-09-17,804,816,794,794,91600,73287700
2015-09-16,783,801,781,796,73300,58007000
2015-09-15,777,787,776,780,49200,38419500
2015-09-14,780,787,771,777,52200,40494400
2015-09-11,769,783,766,780,103900,80503200
2015-09-10,755,756,733,754,68000,50714100
2015-09-09,750,767,746,762,93000,70065200
2015-09-08,727,749,727,736,66500,49229600
2015-09-07,718,735,711,731,62400,45187100
2015-09-04,749,751,719,724,120000,87551400
2015-09-03,741,760,740,746,115000,85951600
2015-09-02,740,747,725,730,155900,114619600
2015-09-01,770,781,741,744,218800,165427500
2015-08-31,783,785,768,774,204300,158319400
2015-08-28,768,786,768,777,257700,200601500
2015-08-27,776,785,759,760,256900,197100700
2015-08-26,777,777,758,766,274100,209682700
2015-08-25,805,826,772,772,278400,224380500
2015-08-24,818,859,817,827,197100,164454300
2015-08-21,893,899,860,863,179700,157803800
2015-08-20,919,923,901,904,126400,115019200
2015-08-19,933,939,922,923,52600,48795000
2015-08-18,940,945,936,939,33500,31512200
2015-08-17,937,938,926,934,38400,35795000
2015-08-14,930,936,923,930,36800,34184700
2015-08-13,923,937,923,932,57100,53219700
2015-08-12,921,934,916,923,77000,71106000
2015-08-11,919,929,917,921,54500,50240000
2015-08-10,910,941,910,917,180500,166019000
2015-08-07,922,949,922,944,90700,85352400
2015-08-06,915,937,915,935,73300,68072700
2015-08-05,912,926,910,916,65200,59807000
2015-08-04,912,919,910,915,68500,62584600
2015-08-03,926,926,911,914,118900,108952200
2015-07-31,940,942,920,926,199500,184732200
2015-07-30,950,953,939,941,86400,81541800
2015-07-29,961,962,945,949,42400,40323500
2015-07-28,950,959,942,952,44300,42025200
2015-07-27,965,965,950,954,65000,62031900
2015-07-24,977,977,962,966,67300,65071300
2015-07-23,977,983,975,977,38000,37103100
2015-07-22,985,985,973,977,55800,54572300
2015-07-21,1007,1007,988,990,44300,44011100
2015-07-17,1005,1005,995,1000,37100,37056400
2015-07-16,1024,1024,1002,1007,46300,46716900
2015-07-15,1018,1022,1013,1022,51800,52688400
2015-07-14,989,1018,989,1013,53000,53331500
2015-07-13,983,995,981,985,41100,40589600
2015-07-10,994,994,975,980,65400,64232200
2015-07-09,1000,1002,951,995,143300,140893800
2015-07-08,1022,1026,1002,1002,86700,87636500
2015-07-07,1030,1032,1021,1022,41400,42464700
2015-07-06,1031,1032,1021,1021,58400,59828200
2015-07-03,1051,1051,1036,1036,33400,34746900
2015-07-02,1057,1060,1043,1045,32300,33933000
2015-07-01,1057,1061,1044,1046,58000,60838200
2015-06-30,1047,1062,1043,1061,68500,72037100
2015-06-29,1040,1068,1032,1047,128100,134660500
2015-06-26,1062,1063,1050,1055,65200,68834000
2015-06-25,1065,1070,1060,1066,52800,56230100
2015-06-24,1069,1072,1063,1068,89100,95103300
2015-06-23,1070,1070,1054,1066,85300,90488000
2015-06-22,1047,1067,1045,1067,99200,105042700
2015-06-19,1033,1043,1031,1038,44300,45856600
2015-06-18,1045,1048,1031,1031,62900,65227600
2015-06-17,1042,1054,1038,1050,81100,84933900
2015-06-16,1042,1043,1031,1037,120900,125470000
2015-06-15,1053,1057,1044,1047,93500,98033600
2015-06-12,1058,1065,1052,1053,110600,116945700
2015-06-11,1064,1068,1058,1062,81300,86312100
2015-06-10,1059,1065,1057,1062,98500,104496400
2015-06-09,1070,1074,1058,1059,181800,193672600
2015-06-08,1084,1086,1073,1074,91200,98490100
2015-06-05,1092,1092,1078,1083,100000,108271500
2015-06-04,1099,1100,1090,1093,50300,55081300
2015-06-03,1101,1103,1087,1092,79400,86746500
2015-06-02,1102,1104,1096,1097,56900,62577000
2015-06-01,1117,1125,1101,1103,89400,99064700
2015-05-29,1122,1128,1112,1125,45000,50415200
2015-05-28,1131,1131,1114,1117,30900,34603500
2015-05-27,1129,1133,1115,1118,41400,46414700
2015-05-26,1128,1134,1126,1129,60000,67876600
2015-05-25,1127,1138,1122,1124,75100,84785000
2015-05-22,1106,1130,1105,1129,104000,116438000
2015-05-21,1105,1109,1100,1102,32000,35300300
2015-05-20,1106,1111,1100,1105,37200,41098900
2015-05-19,1096,1106,1096,1106,42100,46361600
2015-05-18,1083,1096,1083,1091,32000,34926600
2015-05-15,1089,1097,1078,1081,59100,64054900
2015-05-14,1094,1098,1082,1084,77600,84450000
2015-05-13,1107,1107,1093,1093,55700,61089400
2015-05-12,1110,1113,1093,1102,127700,140431100
2015-05-11,1156,1156,1108,1109,142800,160388800
2015-05-08,1116,1143,1116,1140,120000,135754700
2015-05-07,1111,1114,1102,1102,88200,97459600
2015-05-01,1115,1128,1110,1110,53200,59174600
2015-04-30,1130,1133,1121,1123,43800,49298200
2015-04-28,1129,1144,1129,1136,59500,67561700
2015-04-27,1117,1129,1114,1125,60400,67835400
2015-04-24,1113,1121,1110,1116,89800,100135600
2015-04-23,1118,1120,1106,1112,173500,192862800
2015-04-22,1116,1119,1113,1118,48900,54569500
2015-04-21,1117,1120,1110,1113,69600,77443700
2015-04-20,1125,1132,1115,1117,68800,76939500
2015-04-17,1142,1148,1124,1132,64100,72583900
2015-04-16,1135,1156,1135,1152,95700,109647200
2015-04-15,1135,1137,1124,1124,30600,34545700
2015-04-14,1116,1139,1116,1134,61200,69124700
2015-04-13,1116,1122,1112,1119,54300,60627900
2015-04-10,1118,1120,1111,1116,82700,92246800
2015-04-09,1122,1125,1112,1120,79600,88910600
2015-04-08,1132,1148,1121,1122,76400,86306300
2015-04-07,1124,1136,1123,1126,54800,61781000
2015-04-06,1133,1134,1112,1119,44600,49980800
2015-04-03,1126,1133,1111,1133,58200,65534200
2015-04-02,1120,1135,1110,1113,143600,160675700
2015-04-01,1147,1150,1116,1133,86800,98331600
2015-03-31,1144,1157,1141,1147,70100,80535700
2015-03-30,1165,1166,1136,1145,126000,144475600
2015-03-27,1200,1212,1160,1167,98600,116445500
2015-03-26,1195,1208,1190,1204,189800,227331800
2015-03-25,1201,1217,1185,1196,84600,101471800
2015-03-24,1200,1202,1176,1199,66300,78957100
2015-03-23,1197,1206,1188,1204,92000,110201800
2015-03-20,1167,1189,1165,1186,95200,112327300
2015-03-19,1176,1176,1163,1170,66900,78309300
2015-03-18,1167,1179,1167,1176,54300,63663300
2015-03-17,1168,1175,1163,1169,41000,47943600
2015-03-16,1171,1174,1160,1170,79200,92503200
2015-03-13,1181,1182,1171,1174,131000,154234000
2015-03-12,1185,1191,1178,1183,70300,83220500
2015-03-11,1193,1196,1176,1190,60900,72394300
2015-03-10,1180,1189,1171,1179,125300,147627100
2015-03-09,1175,1185,1171,1183,67400,79530400
2015-03-06,1162,1174,1151,1173,136800,158928500
2015-03-05,1168,1173,1165,1166,44300,51712600
2015-03-04,1175,1179,1166,1170,69000,80696600
2015-03-03,1185,1188,1170,1175,62700,73759000
2015-03-02,1170,1192,1170,1185,78700,93256900
2015-02-27,1195,1197,1169,1169,157500,185672500
2015-02-26,1205,1206,1190,1195,57600,69005200
2015-02-25,1195,1223,1179,1185,111800,133793400
2015-02-24,1200,1217,1192,1193,75400,90702500
2015-02-23,1223,1245,1199,1206,99100,121141700
2015-02-20,1237,1241,1210,1223,62500,76737500
2015-02-19,1197,1246,1197,1238,71500,87643800
2015-02-18,1217,1238,1197,1204,89300,108556900
2015-02-17,1186,1216,1186,1205,68400,82325400
2015-02-16,1179,1200,1171,1179,51700,61298800
2015-02-13,1175,1175,1165,1167,48100,56259900
2015-02-12,1185,1207,1168,1169,71500,84456100
2015-02-10,1164,1179,1164,1172,35900,42004500
2015-02-09,1200,1243,1168,1172,127000,151528600
2015-02-06,1192,1197,1176,1176,79500,94073600
2015-02-05,1207,1214,1180,1187,62400,74206900
2015-02-04,1211,1216,1199,1206,75900,91728200
2015-02-03,1220,1222,1179,1182,51000,60851900
2015-02-02,1225,1227,1210,1220,53800,65600700
2015-01-30,1217,1236,1212,1230,59400,72825500
2015-01-29,1225,1225,1202,1203,31500,38084800
2015-01-28,1246,1248,1218,1225,41900,51564300
2015-01-27,1236,1253,1227,1244,60400,75068500
2015-01-26,1222,1225,1205,1225,14000,17062800
2015-01-23,1211,1248,1210,1222,27200,33113300
2015-01-22,1201,1209,1192,1204,46400,55615400
2015-01-21,1237,1238,1200,1208,77300,93721800
2015-01-20,1166,1235,1153,1235,93200,113006000
2015-01-19,1164,1164,1146,1152,33500,38641100
2015-01-16,1187,1187,1143,1150,103900,120191700
2015-01-15,1175,1213,1175,1207,64600,77534500
2015-01-14,1185,1194,1172,1175,38200,45052200
2015-01-13,1208,1208,1171,1191,111700,132413100
2015-01-09,1241,1252,1216,1222,71400,87998900
2015-01-08,1270,1278,1238,1254,91400,114699900
2015-01-07,1276,1284,1262,1272,48700,61757500
2015-01-06,1283,1306,1274,1289,85700,111001100
2015-01-05,1318,1328,1294,1312,43300,56811900
2014-12-30,1335,1335,1313,1319,22900,30308500
2014-12-29,1343,1347,1330,1342,54700,73091600
2014-12-26,1335,1342,1326,1333,60000,80101200
2014-12-25,1330,1337,1321,1331,58200,77333800
2014-12-24,1324,1333,1311,1326,35100,46381500
2014-12-22,1315,1326,1289,1309,41000,53422300
2014-12-19,1316,1325,1298,1308,85700,112085300
2014-12-18,1340,1340,1291,1302,123800,162004100
2014-12-17,1285,1328,1280,1310,93900,122771100
2014-12-16,1351,1361,1286,1298,141900,186846500
2014-12-15,1352,1396,1352,1368,54300,74815800
2014-12-12,1377,1398,1376,1380,89000,123218300
2014-12-11,1377,1400,1372,1395,88900,123464100
2014-12-10,1390,1430,1370,1422,135200,190549000
2014-12-09,1444,1476,1350,1392,210500,302059700
2014-12-08,1421,1445,1400,1443,256200,366831000
2014-12-05,1327,1393,1326,1392,164600,225137500
2014-12-04,1350,1350,1334,1340,62300,83665300
2014-12-03,1310,1347,1310,1340,105300,140905700
2014-12-02,1320,1329,1292,1320,117900,154198600
2014-12-01,1348,1359,1326,1335,102300,137043200
2014-11-28,1305,1344,1305,1339,128900,171320000
2014-11-27,1280,1309,1270,1298,73600,95212500
2014-11-26,1260,1295,1260,1289,133700,170581500
2014-11-25,1230,1292,1226,1290,167800,212987700
2014-11-21,1210,1228,1201,1214,73800,89529200
2014-11-20,1249,1257,1217,1217,43200,52994800
2014-11-19,1218,1255,1210,1247,67600,83926900
2014-11-18,1211,1224,1202,1206,87200,105470100
2014-11-17,1229,1230,1210,1211,44500,54161600
2014-11-14,1247,1247,1216,1229,75200,92428900
2014-11-13,1228,1257,1225,1229,90400,111776400
2014-11-12,1289,1289,1226,1232,117400,147886500
2014-11-11,1276,1286,1268,1285,40700,52006800
2014-11-10,1250,1286,1239,1275,165800,210578200
2014-11-07,1248,1248,1207,1227,47300,57920200
2014-11-06,1286,1286,1231,1248,70000,87802200
2014-11-05,1198,1269,1192,1256,91300,112475300
2014-11-04,1300,1309,1210,1214,110900,138178200
2014-10-31,1176,1253,1166,1244,124400,151462900
2014-10-30,1160,1193,1158,1179,84800,99912200
2014-10-29,1140,1159,1133,1159,43100,49502800
2014-10-28,1140,1145,1112,1119,41100,46134800
2014-10-27,1130,1148,1130,1140,32200,36695500
2014-10-24,1122,1144,1117,1128,63800,71920400
2014-10-23,1147,1152,1102,1110,102300,115537800
2014-10-22,1150,1165,1137,1153,121700,139580200
