6345-T,東証1部,アイチコーポ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,684,698,676,697,61900,42738900
2015-10-01,680,694,664,690,104300,71215400
2015-09-30,689,698,664,670,150700,102230900
2015-09-29,700,701,682,689,83500,57873600
2015-09-28,694,717,688,714,76200,53515600
2015-09-25,695,705,685,705,63700,44422600
2015-09-24,712,713,694,694,67700,47408200
2015-09-18,707,729,700,724,117600,84608900
2015-09-17,724,724,700,720,65400,46436300
2015-09-16,724,732,716,724,44000,31815400
2015-09-15,718,726,712,715,48700,34977000
2015-09-14,730,730,706,717,91900,65843900
2015-09-11,724,742,721,735,66000,48010400
2015-09-10,717,728,698,724,81800,58390800
2015-09-09,701,737,698,736,133000,96290200
2015-09-08,704,704,668,671,106800,72532700
2015-09-07,700,712,692,703,50600,35481600
2015-09-04,738,745,705,715,85800,61774800
2015-09-03,721,749,721,729,123200,90695400
2015-09-02,710,739,703,709,122900,88523000
2015-09-01,771,774,728,731,156200,117343500
2015-08-31,759,782,748,781,111500,85203700
2015-08-28,748,759,732,754,102300,76456200
2015-08-27,728,761,725,737,151100,112005200
2015-08-26,685,707,680,704,96600,66905100
2015-08-25,675,718,660,685,174200,120250200
2015-08-24,733,758,725,725,164300,121539400
2015-08-21,775,782,770,778,96800,75296400
2015-08-20,785,787,778,781,68600,53624300
2015-08-19,800,800,781,786,54200,42841600
2015-08-18,798,809,792,805,125200,100243300
2015-08-17,779,801,778,799,115600,91207600
2015-08-14,772,782,765,776,61100,47275100
2015-08-13,769,777,760,773,60300,46390000
2015-08-12,785,791,760,770,83800,64820300
2015-08-11,790,810,784,786,129800,103423500
2015-08-10,778,796,778,784,99600,78268300
2015-08-07,768,792,768,776,86600,67528600
2015-08-06,794,805,767,779,185100,144566300
2015-08-05,764,807,762,794,264500,207335000
2015-08-04,762,763,752,762,67900,51526000
2015-08-03,746,763,746,762,70800,53414400
2015-07-31,735,757,696,749,377900,276294000
2015-07-30,721,756,713,742,190000,140552600
2015-07-29,710,716,695,706,88900,62731900
2015-07-28,695,709,686,698,150000,105011500
2015-07-27,718,722,704,705,134800,95923300
2015-07-24,756,756,722,727,73000,53552900
2015-07-23,750,751,736,744,69700,51794100
2015-07-22,745,752,742,747,50500,37743200
2015-07-21,759,759,750,753,56900,42879100
2015-07-17,764,764,750,751,51600,38925100
2015-07-16,764,768,757,764,86900,66359100
2015-07-15,764,765,751,760,123500,93941500
2015-07-14,764,765,756,762,98600,75062200
2015-07-13,743,765,739,756,213900,161595300
2015-07-10,734,742,723,728,105800,77443200
2015-07-09,709,735,698,734,176000,126395900
2015-07-08,762,763,733,734,95100,70812200
2015-07-07,744,769,744,761,111800,85037000
2015-07-06,743,743,730,732,112900,82867500
2015-07-03,753,758,744,747,99100,74228300
2015-07-02,733,749,733,748,105600,78562000
2015-07-01,729,733,719,723,64300,46749600
2015-06-30,710,728,710,725,90700,65112900
2015-06-29,714,732,702,714,109600,78934900
2015-06-26,731,735,720,734,103500,75596900
2015-06-25,734,737,724,725,59000,43178500
2015-06-24,731,738,730,734,99700,73153100
2015-06-23,734,737,728,731,59700,43662700
2015-06-22,729,735,724,734,70500,51406700
2015-06-19,713,732,713,727,154700,112040600
2015-06-18,710,724,706,708,132400,94771400
2015-06-17,702,719,700,715,124500,88488600
2015-06-16,709,709,698,699,36700,25766800
2015-06-15,700,711,697,709,87700,61754700
2015-06-12,700,702,695,699,137300,96070300
2015-06-11,692,698,692,695,22700,15783800
2015-06-10,694,695,683,689,105200,72614500
2015-06-09,698,713,693,694,126300,88978900
2015-06-08,700,711,698,710,85800,60390700
2015-06-05,700,715,688,695,203800,142904000
2015-06-04,695,700,688,696,172500,120317800
2015-06-03,680,695,680,689,160900,110764400
2015-06-02,680,686,672,674,61100,41444900
2015-06-01,673,684,673,680,39500,26819400
2015-05-29,676,688,670,684,101700,69025400
2015-05-28,689,689,677,679,75000,51229100
2015-05-27,679,691,675,689,74200,50839600
2015-05-26,679,681,674,677,29200,19785800
2015-05-25,680,681,671,675,57100,38573000
2015-05-22,689,689,674,681,41500,28199200
2015-05-21,699,699,680,687,98100,67576800
2015-05-20,695,696,681,693,105900,73158300
2015-05-19,689,695,678,689,166700,114711300
2015-05-18,680,687,667,686,174100,118540200
2015-05-15,672,682,665,672,74800,50314000
2015-05-14,677,686,664,665,202300,136770700
2015-05-13,665,685,661,684,357200,241864400
2015-05-12,670,670,646,658,61200,40211800
2015-05-11,660,675,653,674,119900,80084000
2015-05-08,627,642,627,639,151300,96401100
2015-05-07,630,643,629,630,78000,49470300
