6362-T,東証1部,石井鉄,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,187,189,186,186,25000,4674000
2015-10-01,189,189,185,188,17000,3186000
2015-09-30,181,185,181,185,53000,9651000
2015-09-29,186,186,181,184,55000,10006000
2015-09-28,186,188,185,187,15000,2802000
2015-09-25,186,186,183,186,41000,7547000
2015-09-24,186,189,182,186,47000,8693000
2015-09-18,188,189,187,187,17000,3189000
2015-09-17,190,193,189,191,19000,3625000
2015-09-16,194,194,191,191,16000,3066000
2015-09-15,194,195,191,191,28000,5415000
2015-09-14,192,193,190,190,34000,6520000
2015-09-11,190,193,190,191,65000,12362000
2015-09-10,186,188,185,188,34000,6343000
2015-09-09,189,190,185,190,62000,11676000
2015-09-08,187,189,183,183,41000,7581000
2015-09-07,185,189,184,186,39000,7237000
2015-09-04,190,191,185,186,133000,24876000
2015-09-03,192,195,188,189,44000,8396000
2015-09-02,183,191,183,187,75000,14092000
2015-09-01,195,196,185,186,255000,48290000
2015-08-31,198,199,194,198,125000,24710000
2015-08-28,201,203,200,202,48000,9667000
2015-08-27,195,199,190,198,84000,16409000
2015-08-26,186,190,185,188,175000,32632000
2015-08-25,181,197,180,183,149000,27806000
2015-08-24,212,213,190,191,156000,31772000
2015-08-21,213,216,212,214,87000,18615000
2015-08-20,225,225,221,221,39000,8654000
2015-08-19,226,227,224,225,39000,8781000
2015-08-18,226,229,226,227,79000,17939000
2015-08-17,223,225,222,224,63000,14090000
2015-08-14,221,222,218,222,30000,6606000
2015-08-13,220,223,219,220,50000,11026000
2015-08-12,225,225,220,221,50000,11077000
2015-08-11,229,230,224,225,126000,28618000
2015-08-10,222,225,220,225,251000,55856000
2015-08-07,218,219,217,219,43000,9388000
2015-08-06,218,218,215,217,42000,9118000
2015-08-05,216,220,216,218,47000,10252000
2015-08-04,217,217,214,216,29000,6255000
2015-08-03,220,220,216,217,37000,8022000
2015-07-31,214,219,214,219,60000,13034000
2015-07-30,212,215,212,215,17000,3651000
2015-07-29,213,214,211,213,30000,6373000
2015-07-28,213,215,212,212,41000,8728000
2015-07-27,218,218,213,213,32000,6866000
2015-07-24,220,220,215,216,61000,13184000
2015-07-23,217,220,217,220,27000,5914000
2015-07-22,218,219,217,217,36000,7827000
2015-07-21,217,221,217,219,49000,10749000
2015-07-17,220,220,217,217,19000,4155000
2015-07-16,218,220,218,220,23000,5041000
2015-07-15,217,221,216,220,181000,39593000
2015-07-14,213,215,212,215,43000,9183000
2015-07-13,211,211,210,211,27000,5694000
2015-07-10,208,211,206,208,63000,13154000
2015-07-09,209,209,201,208,125000,25830000
2015-07-08,215,216,212,212,117000,25003000
2015-07-07,218,218,216,216,18000,3893000
2015-07-06,215,220,215,215,83000,17950000
2015-07-03,218,218,216,217,38000,8262000
2015-07-02,218,218,217,218,20000,4355000
2015-07-01,217,218,216,216,32000,6944000
2015-06-30,215,218,214,218,54000,11650000
2015-06-29,216,217,215,215,101000,21830000
2015-06-26,219,220,219,219,16000,3513000
2015-06-25,221,221,219,219,31000,6826000
2015-06-24,220,221,219,221,86000,18935000
2015-06-23,219,220,218,220,40000,8748000
2015-06-22,217,219,217,219,12000,2616000
2015-06-19,217,218,217,217,16000,3479000
2015-06-18,218,218,216,216,44000,9557000
2015-06-17,220,220,218,219,23000,5040000
2015-06-16,220,220,217,219,22000,4805000
2015-06-15,220,220,217,218,75000,16398000
2015-06-12,220,220,218,219,100000,21939000
2015-06-11,219,220,218,220,45000,9850000
2015-06-10,221,221,217,217,160000,35220000
2015-06-09,221,221,217,217,83000,18208000
2015-06-08,222,222,220,220,143000,31621000
2015-06-05,221,225,220,220,110000,24413000
2015-06-04,222,223,221,221,90000,19965000
2015-06-03,222,223,221,222,32000,7115000
2015-06-02,223,223,222,222,21000,4665000
2015-06-01,222,224,221,223,58000,12898000
2015-05-29,220,222,219,222,42000,9255000
2015-05-28,222,222,220,220,56000,12346000
2015-05-27,219,223,218,221,61000,13466000
2015-05-26,219,219,218,219,32000,7002000
2015-05-25,218,220,218,219,68000,14882000
2015-05-22,218,219,218,218,16000,3491000
2015-05-21,220,220,218,218,22000,4817000
2015-05-20,219,220,217,219,45000,9851000
2015-05-19,218,219,216,217,61000,13227000
2015-05-18,218,218,215,217,151000,32663000
2015-05-15,218,218,217,217,33000,7179000
2015-05-14,216,218,216,217,72000,15604000
2015-05-13,219,219,217,219,109000,23825000
2015-05-12,221,221,218,219,47000,10298000
2015-05-11,222,222,220,221,117000,25948000
2015-05-08,220,221,219,221,34000,7475000
2015-05-07,219,220,218,220,29000,6357000
2015-05-01,219,220,218,220,43000,9416000
2015-04-30,221,221,220,220,49000,10783000
2015-04-28,221,222,220,221,61000,13479000
2015-04-27,221,221,220,221,44000,9721000
2015-04-24,223,223,222,222,31000,6898000
2015-04-23,222,223,222,223,23000,5113000
2015-04-22,223,224,221,222,36000,8014000
2015-04-21,222,223,222,223,21000,4667000
2015-04-20,221,222,220,222,37000,8199000
2015-04-17,222,222,220,222,58000,12826000
2015-04-16,221,222,219,221,22000,4859000
2015-04-15,222,223,221,222,28000,6214000
2015-04-14,220,222,219,222,18000,3974000
2015-04-13,221,221,219,220,24000,5278000
2015-04-10,221,223,221,221,38000,8407000
2015-04-09,221,221,220,221,23000,5073000
2015-04-08,223,223,220,221,40000,8862000
2015-04-07,219,223,219,222,53000,11721000
2015-04-06,218,222,218,219,29000,6348000
2015-04-03,221,221,218,221,32000,7031000
2015-04-02,216,220,216,220,42000,9151000
2015-04-01,219,223,216,219,63000,13754000
2015-03-31,220,223,215,219,149000,32530000
2015-03-30,221,221,218,219,39000,8583000
2015-03-27,224,225,220,221,48000,10676000
2015-03-26,228,228,226,226,60000,13592000
2015-03-25,227,228,227,228,19000,4325000
2015-03-24,229,229,227,227,51000,11628000
2015-03-23,227,228,225,228,49000,11115000
2015-03-20,225,226,225,226,26000,5865000
2015-03-19,226,226,223,224,40000,8969000
2015-03-18,227,227,225,225,28000,6332000
2015-03-17,227,227,225,225,37000,8353000
2015-03-16,226,226,225,225,33000,7453000
2015-03-13,227,227,225,226,95000,21486000
2015-03-12,224,226,224,226,50000,11242000
2015-03-11,222,224,222,224,40000,8922000
2015-03-10,222,224,222,222,18000,4011000
2015-03-09,222,222,221,221,27000,5987000
2015-03-06,223,225,222,222,42000,9372000
2015-03-05,222,223,222,223,117000,26062000
2015-03-04,223,223,221,223,53000,11792000
2015-03-03,225,226,223,224,59000,13240000
2015-03-02,225,225,223,225,43000,9647000
2015-02-27,227,228,223,225,79000,17799000
2015-02-26,227,228,226,227,72000,16361000
2015-02-25,227,227,226,226,28000,6342000
2015-02-24,225,227,223,227,69000,15577000
2015-02-23,224,224,223,223,45000,10071000
2015-02-20,223,225,223,224,54000,12089000
2015-02-19,225,226,222,225,56000,12560000
2015-02-18,224,226,224,225,72000,16208000
2015-02-17,223,224,222,223,41000,9160000
2015-02-16,223,223,220,223,56000,12431000
2015-02-13,219,221,219,221,78000,17106000
2015-02-12,221,221,218,219,57000,12503000
2015-02-10,220,222,218,221,48000,10581000
2015-02-09,221,222,220,220,40000,8826000
2015-02-06,222,223,219,221,38000,8369000
2015-02-05,222,222,219,221,20000,4417000
2015-02-04,220,222,219,222,23000,5076000
2015-02-03,222,222,218,218,61000,13363000
2015-02-02,220,222,219,221,45000,9919000
2015-01-30,226,226,222,224,50000,11181000
2015-01-29,226,227,223,223,58000,13018000
2015-01-28,226,230,226,229,43000,9834000
2015-01-27,224,228,224,228,40000,9033000
2015-01-26,222,223,221,222,20000,4450000
