6367-T,東証1部,ダイキン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,7020,7270,7005,7160,1680500,11990146800
2015-10-01,6876,7066,6816,7002,1805400,12556462700
2015-09-30,6670,6711,6609,6676,1443400,9620693800
2015-09-29,6697,6718,6557,6570,1857800,12287628700
2015-09-28,7035,7139,6831,6848,1588900,11011953100
2015-09-25,6905,7023,6803,6982,1917400,13273227900
2015-09-24,7103,7192,6928,6928,1737200,12182743600
2015-09-18,7502,7542,7328,7328,1638100,12076873500
2015-09-17,7539,7769,7487,7634,2620900,20110252000
2015-09-16,7221,7365,7189,7327,1240100,9064801600
2015-09-15,7000,7317,6996,7163,2110500,15156464300
2015-09-14,7025,7047,6898,6916,997100,6933455000
2015-09-11,6900,7042,6876,6925,3184900,22054978100
2015-09-10,6740,7027,6730,7014,1491600,10319094000
2015-09-09,7037,7048,6859,6968,2469200,17105459200
2015-09-08,6808,6856,6716,6737,1102500,7461023600
2015-09-07,6740,6919,6651,6820,1066400,7260009300
2015-09-04,6946,6969,6715,6773,1958900,13436431600
2015-09-03,6955,7037,6850,6850,1594600,11039712100
2015-09-02,6832,7030,6801,6881,1554600,10773140200
2015-09-01,7157,7181,6981,6985,1490400,10512207200
2015-08-31,7309,7317,7110,7238,1774800,12759381900
2015-08-28,7396,7449,7284,7406,1640100,12107628800
2015-08-27,7500,7580,7184,7269,1920500,14115817500
2015-08-26,6920,7323,6855,7282,2527300,18038278500
2015-08-25,6950,7437,6903,6925,3252900,23219790400
2015-08-24,7293,7471,7225,7250,2356700,17256282800
2015-08-21,7579,7628,7512,7519,1562700,11796941000
2015-08-20,7850,7850,7702,7770,1827400,14192008500
2015-08-19,8079,8101,7763,7856,2504700,19757391600
2015-08-18,8200,8250,8160,8167,689900,5654883600
2015-08-17,8213,8241,8132,8159,905700,7392628900
2015-08-14,8286,8347,8197,8205,1179600,9718446700
2015-08-13,8270,8382,8270,8350,1254600,10442625500
2015-08-12,8448,8524,8270,8315,1592800,13328242900
2015-08-11,8778,8820,8515,8561,1797800,15553785200
2015-08-10,8640,8640,8466,8628,1444800,12400737700
2015-08-07,8570,8807,8501,8796,2827800,24623028000
2015-08-06,8500,8614,8379,8450,1914200,16251881800
2015-08-05,8330,8428,8221,8351,2082600,17381745000
2015-08-04,8000,8042,7930,7953,1333500,10620394800
2015-08-03,8001,8023,7943,8022,1004200,8018266900
2015-07-31,8043,8092,8000,8020,1611300,12934464700
2015-07-30,8038,8236,8033,8123,1227100,9991199000
2015-07-29,8160,8180,8012,8027,1238900,9986771600
2015-07-28,8052,8208,8016,8158,1249900,10149808700
2015-07-27,8176,8219,8116,8138,1099300,8962039800
2015-07-24,8245,8295,8204,8216,891900,7344815100
2015-07-23,8339,8369,8201,8276,1051400,8690157400
2015-07-22,8315,8345,8236,8257,1364100,11281081800
2015-07-21,8380,8444,8180,8415,1349200,11278180000
2015-07-17,8451,8515,8400,8418,1037100,8744348400
2015-07-16,8500,8504,8381,8442,1482800,12524403500
2015-07-15,8642,8664,8481,8503,1111400,9497114200
2015-07-14,8617,8722,8555,8609,1323800,11421732900
2015-07-13,8518,8538,8454,8496,1384600,11767696700
2015-07-10,8500,8599,8370,8489,1779100,15098932800
2015-07-09,8300,8487,8112,8487,2525600,21044611300
2015-07-08,8802,8885,8523,8523,2619500,22711559400
2015-07-07,8922,9010,8835,8841,1296300,11541977400
2015-07-06,8928,9000,8880,8923,1611900,14402115300
2015-07-03,9165,9170,9020,9106,918600,8345149900
2015-07-02,9245,9272,9120,9172,1566100,14403056700
2015-07-01,8871,9081,8851,9050,1386200,12510226100
2015-06-30,8800,8830,8701,8809,1294600,11362726200
2015-06-29,8800,8960,8749,8767,1718100,15190038800
2015-06-26,9050,9060,8921,8941,1138400,10203408700
2015-06-25,9062,9095,8961,9051,1540000,13896708200
2015-06-24,9230,9275,9194,9210,1003000,9259003900
2015-06-23,9187,9209,9077,9209,1002600,9197820500
2015-06-22,9000,9112,8953,9072,1087800,9846288900
2015-06-19,9001,9076,8913,9073,1820100,16407611400
2015-06-18,9276,9285,8981,8981,1253900,11346126700
2015-06-17,9250,9268,9126,9189,784100,7203723200
2015-06-16,9361,9361,9220,9278,712300,6611598000
2015-06-15,9271,9341,9227,9328,882000,8190459400
2015-06-12,9322,9429,9285,9389,2329200,21756979700
2015-06-11,9200,9250,9162,9223,830900,7653465300
2015-06-10,9150,9255,9073,9130,984100,9016561100
2015-06-09,9194,9268,9140,9156,1147300,10559516900
2015-06-08,9350,9414,9286,9344,856700,8004025400
2015-06-05,9447,9450,9289,9393,1173700,10999432200
2015-06-04,9549,9549,9434,9490,900800,8541468300
2015-06-03,9433,9517,9365,9499,1044600,9892329200
2015-06-02,9603,9649,9450,9495,1236200,11798016300
2015-06-01,9520,9621,9410,9583,1324300,12639073300
2015-05-29,9656,9755,9512,9541,1472000,14115202000
2015-05-28,9481,9758,9470,9631,2290000,22088128900
2015-05-27,9367,9519,9340,9442,1664200,15700115100
2015-05-26,9468,9471,9353,9390,1301700,12229104300
2015-05-25,9322,9474,9292,9468,1587700,14932228400
2015-05-22,9057,9329,9050,9275,2479200,22909873100
2015-05-21,8940,9110,8927,9056,1713100,15499698300
2015-05-20,8921,8980,8867,8924,1478300,13181641200
2015-05-19,8871,8919,8834,8855,1314100,11658917900
2015-05-18,8690,8924,8669,8871,2306400,20336818000
2015-05-15,8687,8770,8562,8626,1613200,13925026900
2015-05-14,8425,8795,8423,8654,3372500,29128599400
2015-05-13,8097,8364,8097,8361,2551000,21114534500
2015-05-12,7948,8008,7881,7974,1207800,9593525500
2015-05-11,8117,8129,8026,8035,721400,5821407600
2015-05-08,7900,8028,7885,7986,1314600,10448851400
2015-05-07,8000,8073,7916,7930,1396100,11114702000
2015-05-01,8150,8240,8026,8111,804800,6513980100
2015-04-30,8270,8284,8104,8104,1710500,13997137600
2015-04-28,8270,8367,8268,8360,1563300,13034885900
2015-04-27,8201,8220,8084,8220,772100,6324096600
2015-04-24,8255,8257,8180,8195,646300,5306237600
2015-04-23,8280,8322,8217,8247,1069200,8830994600
2015-04-22,8130,8243,8098,8243,1800200,14738209300
2015-04-21,7990,8093,7902,8091,1641200,13126706400
2015-04-20,7891,7974,7814,7966,1699700,13417000200
2015-04-17,8039,8039,7886,7914,1748500,13909270400
2015-04-16,8067,8070,7961,8059,1068900,8565570700
2015-04-15,8000,8115,7951,8114,1523000,12244473000
2015-04-14,8012,8065,7991,8011,1108400,8874347900
2015-04-13,8134,8134,8024,8050,770200,6202597000
2015-04-10,8140,8142,8017,8080,1842300,14898577200
2015-04-09,8107,8180,8080,8150,963000,7846777700
2015-04-08,8128,8160,8090,8114,909200,7382851800
2015-04-07,8110,8126,8036,8078,1385800,11196717000
2015-04-06,8086,8144,8030,8101,620800,5025388600
2015-04-03,8100,8197,8100,8164,818200,6669968000
2015-04-02,8058,8219,8058,8134,1901000,15506720300
2015-04-01,8058,8135,7981,7993,1884200,15138135400
2015-03-31,8135,8175,8046,8046,1563800,12676965000
2015-03-30,8053,8064,7916,7994,1124300,8976190700
2015-03-27,8093,8179,7888,7990,1739300,13970427000
2015-03-26,8027,8069,7995,8032,1308500,10511285800
2015-03-25,8020,8154,7971,8059,1339000,10792646100
2015-03-24,8051,8080,7981,7994,1061300,8506176400
2015-03-23,8050,8187,8031,8101,1064300,8628314200
2015-03-20,7943,8007,7895,7991,1007300,8015434400
2015-03-19,7883,7939,7804,7876,1372400,10818415100
2015-03-18,8000,8017,7929,7980,955200,7606598600
2015-03-17,8042,8050,7974,8017,1267800,10162021000
2015-03-16,7949,8050,7932,8001,1606800,12862931800
2015-03-13,7900,7947,7811,7916,3328900,26311863500
2015-03-12,7740,7785,7692,7775,879700,6819911600
2015-03-11,7650,7726,7642,7693,975300,7495016500
2015-03-10,7710,7810,7637,7667,1461900,11280589300
2015-03-09,7639,7685,7615,7664,1869100,14301111600
2015-03-06,7750,7819,7741,7789,981600,7643001000
2015-03-05,7681,7740,7648,7727,903900,6971690400
2015-03-04,7706,7710,7603,7688,1165600,8924824400
2015-03-03,7827,7827,7706,7747,1079300,8373297400
2015-03-02,7800,7882,7765,7794,984700,7679528100
2015-02-27,7790,7899,7783,7797,1903300,14890202000
2015-02-26,7777,7787,7721,7746,1797800,13925131600
2015-02-25,7925,7929,7802,7821,1361900,10691867500
2015-02-24,7843,7907,7821,7907,1391900,10959513000
2015-02-23,7859,7877,7800,7825,1317900,10328750500
2015-02-20,7740,7779,7714,7761,1222700,9479560900
2015-02-19,7697,7713,7671,7694,1269300,9762108400
2015-02-18,7693,7695,7605,7695,1670000,12811702400
2015-02-17,7600,7638,7508,7629,1846100,14015474200
2015-02-16,7722,7726,7641,7653,1395100,10693465200
2015-02-13,7591,7699,7583,7698,2018800,15451754300
2015-02-12,7754,7767,7571,7702,3358900,25790786000
2015-02-10,7772,7811,7657,7676,4379600,33791632600
2015-02-09,8105,8237,8098,8126,1373900,11201881600
2015-02-06,8120,8120,7947,8018,1363200,10922638100
2015-02-05,8077,8097,7895,8003,1830700,14643205400
2015-02-04,8146,8228,8089,8171,1356200,11088535000
2015-02-03,8292,8348,8103,8126,1040400,8516355800
2015-02-02,8212,8271,8182,8216,915300,7525028500
2015-01-30,8228,8310,8205,8275,1703800,14079640000
2015-01-29,8200,8228,8094,8108,1647700,13434388400
2015-01-28,8253,8327,8225,8267,2002600,16580008400
2015-01-27,8339,8439,8339,8439,1204600,10125023000
2015-01-26,8160,8327,8139,8314,1574600,13019769700
2015-01-23,8078,8185,8067,8177,1149100,9364907300
2015-01-22,8020,8020,7896,7960,1106600,8796233100
2015-01-21,7985,8036,7928,7985,1593300,12699825700
2015-01-20,7856,8176,7844,8126,2167500,17481960800
2015-01-19,7798,7815,7702,7793,1058100,8221008100
2015-01-16,7691,7770,7604,7721,1582000,12153154400
2015-01-15,7703,7816,7672,7794,881700,6843361900
2015-01-14,7779,7900,7674,7690,1175400,9139569600
2015-01-13,7674,7843,7634,7839,1185400,9178929700
2015-01-09,7856,7885,7703,7734,1258200,9808921000
2015-01-08,7684,7870,7672,7809,1262700,9847208000
2015-01-07,7452,7610,7441,7574,1372900,10361351800
2015-01-06,7635,7675,7530,7532,1446800,10959728300
2015-01-05,7774,7876,7706,7816,916500,7140255600
2014-12-30,7975,7979,7810,7810,940300,7398581600
2014-12-29,8079,8088,7830,7951,692300,5506011300
2014-12-26,8038,8067,7988,8016,647700,5195727200
2014-12-25,8013,8047,7981,8021,641200,5139883000
2014-12-24,8065,8095,8026,8069,1017700,8207961200
2014-12-22,7933,7945,7857,7902,793800,6262301000
2014-12-19,7960,7979,7835,7952,1584400,12549507700
2014-12-18,7802,7840,7662,7673,1376900,10651287800
2014-12-17,7553,7642,7511,7554,1522300,11505592700
2014-12-16,7575,7613,7500,7527,1765200,13300030100
2014-12-15,7700,7746,7651,7678,1432500,11015391600
2014-12-12,7990,8036,7875,7875,2866000,22839348000
2014-12-11,7700,7919,7700,7906,1162300,9102411700
2014-12-10,7928,7989,7834,7897,2916800,23070783100
2014-12-09,8050,8182,8050,8078,1574100,12759119200
2014-12-08,8150,8216,8061,8195,2228900,18193521300
2014-12-05,8128,8129,8049,8123,1271900,10305875200
2014-12-04,8180,8230,8028,8110,1674500,13551440500
2014-12-03,8197,8289,8039,8078,1908100,15520874500
2014-12-02,8090,8187,8059,8163,1488600,12116818500
2014-12-01,7880,8100,7869,8090,1844900,14839201900
2014-11-28,7596,7885,7595,7875,2250500,17587257400
2014-11-27,7546,7585,7535,7546,1458300,11011251800
2014-11-26,7520,7614,7503,7575,1819400,13771162300
2014-11-25,7295,7548,7277,7546,3399900,25284909400
2014-11-21,7236,7236,7082,7180,1264200,9038592400
2014-11-20,7250,7250,7163,7179,1236200,8907192600
2014-11-19,7147,7217,7100,7184,1826600,13128756500
2014-11-18,7048,7096,6998,7094,2049400,14494632900
2014-11-17,7100,7103,6865,6912,1753000,12185121400
2014-11-14,7203,7203,7033,7121,2557700,18259891800
2014-11-13,7095,7139,7020,7128,1909300,13528746000
2014-11-12,7266,7296,7039,7112,3523000,25213803100
2014-11-11,7190,7306,7157,7298,1681000,12180259800
2014-11-10,7148,7189,7062,7187,1283800,9197093100
2014-11-07,7120,7159,7100,7139,2243600,16018614200
2014-11-06,7099,7127,6982,7007,1682500,11886022100
2014-11-05,7009,7116,6978,7059,2048400,14429768400
2014-11-04,7154,7158,7031,7076,3373600,23975791800
2014-10-31,6613,6889,6612,6814,2996900,20260171000
2014-10-30,6525,6599,6509,6597,2319400,15243983900
2014-10-29,6363,6476,6344,6433,1057600,6793192700
2014-10-28,6320,6355,6273,6288,1310500,8263621800
2014-10-27,6420,6442,6309,6341,843300,5354634600
2014-10-24,6369,6369,6282,6330,1784000,11276354100
2014-10-23,6125,6256,6108,6187,1382200,8544454200
2014-10-22,6184,6249,6156,6225,1522000,9443221300
2014-10-21,6238,6240,6074,6089,1414800,8695804400
2014-10-20,6062,6284,6060,6268,1900800,11831110100
2014-10-17,6004,6084,5954,5962,1856400,11157119000
2014-10-16,6048,6104,6001,6038,1980300,11996100400
2014-10-15,6041,6143,5988,6138,1824300,11084566400
2014-10-14,6200,6201,6040,6049,2598700,15842468800
2014-10-10,6223,6315,6204,6304,2378600,14878350400
2014-10-09,6475,6527,6327,6331,1429500,9147923400
2014-10-08,6380,6431,6333,6408,1766800,11277491100
2014-10-07,6584,6596,6466,6471,1609700,10484422500
2014-10-06,6652,6662,6521,6597,1586900,10474013300
2014-10-03,6479,6581,6460,6552,2402100,15669620600
2014-10-02,6590,6650,6473,6480,2837500,18575643100
2014-10-01,6764,6785,6645,6645,2096000,14043665800
2014-09-30,7044,7045,6782,6798,2633200,18003693200
2014-09-29,6980,7064,6968,7050,1964500,13797724800
2014-09-26,6964,6964,6888,6932,1462500,10131235600
2014-09-25,6990,7062,6955,7062,1478600,10372955800
