6393-T,東証1部,油研工,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,215,222,215,220,60000,13135000
2015-10-01,217,219,213,219,50000,10818000
2015-09-30,213,220,213,216,35000,7551000
2015-09-29,218,220,208,208,98000,21084000
2015-09-28,233,233,222,222,44000,9966000
2015-09-25,224,230,220,228,76000,17066000
2015-09-24,224,234,221,221,75000,16771000
2015-09-18,233,233,228,231,41000,9481000
2015-09-17,229,233,229,233,64000,14797000
2015-09-16,226,228,226,228,40000,9072000
2015-09-15,227,230,225,225,44000,9950000
2015-09-14,229,230,227,227,27000,6170000
2015-09-11,228,231,227,229,83000,18962000
2015-09-10,229,230,228,230,29000,6636000
2015-09-09,228,236,222,235,96000,21930000
2015-09-08,220,224,219,221,49000,10810000
2015-09-07,218,228,213,220,33000,7261000
2015-09-04,230,230,220,220,68000,15218000
2015-09-03,229,231,227,227,41000,9379000
2015-09-02,227,234,227,228,48000,11016000
2015-09-01,240,240,233,233,29000,6864000
2015-08-31,240,241,236,240,28000,6688000
2015-08-28,239,240,236,239,59000,14055000
2015-08-27,239,239,229,231,73000,17097000
2015-08-26,227,235,222,230,95000,21662000
2015-08-25,227,239,223,223,94000,21266000
2015-08-24,240,244,229,233,162000,38519000
2015-08-21,252,256,248,248,96000,24135000
2015-08-20,255,256,252,253,73000,18518000
2015-08-19,263,263,253,256,54000,13872000
2015-08-18,263,263,259,261,56000,14634000
2015-08-17,257,262,257,260,33000,8547000
2015-08-14,258,258,256,257,29000,7466000
2015-08-13,257,260,256,259,85000,21913000
2015-08-12,263,263,255,259,142000,36908000
2015-08-11,270,270,263,265,95000,25397000
2015-08-10,270,270,262,268,215000,57306000
2015-08-07,252,253,251,252,70000,17640000
2015-08-06,252,253,251,252,32000,8064000
2015-08-05,251,256,249,252,60000,15157000
2015-08-04,256,256,250,251,50000,12599000
2015-08-03,255,255,253,255,59000,14992000
2015-07-31,255,255,251,252,52000,13115000
2015-07-30,253,254,252,254,43000,10890000
2015-07-29,258,258,252,252,53000,13485000
2015-07-28,255,257,253,256,44000,11206000
2015-07-27,261,261,258,258,45000,11699000
2015-07-24,265,265,261,261,55000,14412000
2015-07-23,265,265,263,265,61000,16117000
2015-07-22,269,269,264,264,40000,10605000
2015-07-21,271,271,265,270,101000,27240000
2015-07-17,265,271,265,268,148000,39743000
2015-07-16,264,264,261,263,48000,12585000
2015-07-15,265,265,260,262,83000,21675000
2015-07-14,261,263,260,262,43000,11259000
2015-07-13,258,261,258,260,31000,8051000
2015-07-10,264,264,254,256,105000,27225000
2015-07-09,254,259,247,259,133000,33595000
2015-07-08,268,268,258,259,111000,29137000
2015-07-07,268,268,265,268,28000,7477000
2015-07-06,267,268,262,263,109000,28829000
2015-07-03,274,274,269,269,94000,25432000
2015-07-02,273,274,271,274,70000,19055000
2015-07-01,272,273,269,270,69000,18675000
2015-06-30,268,272,266,271,87000,23424000
2015-06-29,270,273,266,268,200000,53743000
2015-06-26,275,278,274,276,105000,28922000
2015-06-25,277,279,277,277,56000,15552000
2015-06-24,279,280,277,278,173000,48178000
2015-06-23,280,280,274,278,164000,45548000
2015-06-22,277,282,277,279,240000,67143000
2015-06-19,272,280,272,277,265000,73421000
2015-06-18,277,277,271,271,86000,23536000
2015-06-17,276,280,274,275,342000,94778000
2015-06-16,275,276,271,276,132000,36080000
2015-06-15,275,276,273,274,98000,26925000
2015-06-12,275,275,272,275,154000,42239000
2015-06-11,271,274,270,273,83000,22622000
2015-06-10,271,273,270,270,96000,26079000
2015-06-09,274,274,269,269,123000,33488000
2015-06-08,274,276,272,274,165000,45280000
2015-06-05,269,274,269,273,131000,35637000
2015-06-04,272,274,271,272,120000,32723000
2015-06-03,269,272,268,272,73000,19718000
2015-06-02,272,272,270,271,89000,24095000
2015-06-01,272,272,269,271,112000,30307000
2015-05-29,269,271,268,269,111000,29907000
2015-05-28,270,274,267,267,299000,81116000
2015-05-27,268,269,266,269,141000,37780000
2015-05-26,264,269,263,266,182000,48388000
2015-05-25,264,265,260,263,106000,27911000
2015-05-22,262,266,262,263,109000,28750000
2015-05-21,263,265,262,262,93000,24503000
2015-05-20,264,265,262,263,90000,23706000
2015-05-19,263,264,261,264,95000,24962000
2015-05-18,261,263,260,263,77000,20167000
2015-05-15,264,264,261,263,101000,26547000
2015-05-14,259,263,259,262,244000,63627000
2015-05-13,256,257,255,257,85000,21793000
2015-05-12,257,257,255,257,27000,6916000
2015-05-11,258,258,256,256,75000,19265000
2015-05-08,253,255,252,254,50000,12676000
2015-05-07,252,253,252,252,32000,8066000
2015-05-01,253,253,251,252,72000,18135000
2015-04-30,256,256,254,255,32000,8163000
2015-04-28,260,260,257,259,46000,11891000
2015-04-27,258,259,255,258,39000,10044000
2015-04-24,256,256,255,256,26000,6651000
2015-04-23,257,258,256,256,35000,8990000
2015-04-22,256,257,255,256,69000,17657000
2015-04-21,254,256,254,256,61000,15540000
2015-04-20,254,257,253,255,93000,23676000
2015-04-17,257,259,256,258,97000,24947000
2015-04-16,258,260,258,260,76000,19645000
2015-04-15,259,260,257,258,46000,11903000
2015-04-14,260,261,259,259,46000,11945000
2015-04-13,262,262,258,258,51000,13245000
2015-04-10,259,262,257,258,94000,24329000
2015-04-09,260,262,259,259,60000,15636000
2015-04-08,260,261,260,260,50000,13005000
2015-04-07,257,259,256,259,44000,11342000
2015-04-06,257,260,255,255,43000,11034000
2015-04-03,261,262,257,259,69000,17890000
2015-04-02,254,259,254,257,73000,18722000
2015-04-01,257,259,254,254,93000,23763000
2015-03-31,260,264,256,257,101000,26186000
2015-03-30,259,259,253,257,85000,21810000
2015-03-27,255,265,255,260,174000,45252000
2015-03-26,270,270,267,268,129000,34609000
2015-03-25,268,271,268,270,127000,34221000
2015-03-24,269,270,267,270,115000,30942000
2015-03-23,268,269,267,269,75000,20100000
2015-03-20,267,268,265,267,61000,16230000
2015-03-19,265,268,265,266,97000,25828000
2015-03-18,265,269,263,265,162000,43180000
2015-03-17,266,267,264,266,90000,23905000
2015-03-16,266,269,264,264,124000,33055000
2015-03-13,265,266,261,264,210000,55436000
2015-03-12,258,263,258,262,137000,35754000
2015-03-11,257,260,256,259,112000,28894000
2015-03-10,260,263,260,260,84000,21919000
2015-03-09,260,262,259,261,55000,14339000
2015-03-06,262,263,258,262,188000,48906000
2015-03-05,264,268,259,262,187000,49185000
2015-03-04,268,268,262,264,168000,44455000
2015-03-03,271,273,265,266,530000,143190000
2015-03-02,260,268,259,268,589000,154893000
2015-02-27,258,258,255,255,65000,16640000
2015-02-26,257,257,256,257,84000,21553000
2015-02-25,255,257,254,256,148000,37805000
2015-02-24,254,255,253,253,63000,15980000
2015-02-23,252,254,252,253,71000,17984000
2015-02-20,252,253,251,252,85000,21393000
2015-02-19,253,253,251,251,59000,14844000
2015-02-18,252,255,251,253,81000,20457000
2015-02-17,249,251,249,250,43000,10741000
2015-02-16,249,250,248,248,73000,18143000
2015-02-13,249,249,245,246,84000,20774000
2015-02-12,249,249,245,245,91000,22453000
2015-02-10,247,248,243,246,51000,12529000
2015-02-09,249,249,246,246,32000,7921000
2015-02-06,245,251,244,247,173000,42820000
2015-02-05,245,245,242,243,46000,11198000
2015-02-04,242,246,242,244,71000,17358000
2015-02-03,244,244,242,242,41000,9962000
2015-02-02,246,246,244,244,64000,15675000
2015-01-30,246,248,244,246,39000,9593000
2015-01-29,246,246,244,244,41000,10053000
2015-01-28,246,248,245,248,61000,15031000
2015-01-27,246,247,244,244,53000,12993000
2015-01-26,243,245,243,245,32000,7822000
