6436-T,東証1部,アマノ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1378,1404,1352,1404,109100,151901900
2015-10-01,1393,1419,1375,1393,124300,173445900
2015-09-30,1358,1383,1341,1376,132000,181248100
2015-09-29,1351,1365,1333,1337,204600,274571300
2015-09-28,1382,1396,1364,1373,143100,197103100
2015-09-25,1386,1396,1351,1389,220600,303355500
2015-09-24,1401,1419,1378,1379,200500,279213500
2015-09-18,1434,1446,1424,1431,166000,238046000
2015-09-17,1450,1471,1450,1464,110700,161833200
2015-09-16,1448,1450,1426,1444,93200,134380000
2015-09-15,1440,1474,1425,1428,107700,155636300
2015-09-14,1450,1455,1424,1428,134200,192490900
2015-09-11,1428,1463,1427,1449,212000,305461800
2015-09-10,1445,1467,1412,1446,190600,274499800
2015-09-09,1430,1491,1421,1445,209300,301329200
2015-09-08,1410,1429,1381,1382,149500,208591100
2015-09-07,1410,1434,1391,1408,158100,222952700
2015-09-04,1491,1509,1422,1433,161500,233015200
2015-09-03,1481,1522,1479,1483,219200,328322700
2015-09-02,1420,1463,1414,1436,158600,229116500
2015-09-01,1522,1522,1452,1454,164900,243508500
2015-08-31,1506,1541,1483,1537,189400,288249400
2015-08-28,1519,1527,1490,1504,204200,307346900
2015-08-27,1487,1532,1480,1489,317900,477656600
2015-08-26,1421,1456,1402,1444,275000,392212400
2015-08-25,1400,1491,1395,1421,290600,420066700
2015-08-24,1525,1533,1472,1475,174400,261858000
2015-08-21,1606,1621,1576,1580,170500,272112000
2015-08-20,1676,1704,1655,1657,201100,336618800
2015-08-19,1700,1706,1670,1680,215600,363345600
2015-08-18,1663,1732,1663,1728,229600,393621500
2015-08-17,1660,1671,1642,1665,74700,123904900
2015-08-14,1641,1657,1629,1646,94000,154758400
2015-08-13,1623,1650,1621,1643,114400,187235600
2015-08-12,1657,1672,1626,1636,179300,294342200
2015-08-11,1680,1696,1661,1674,195900,328768900
2015-08-10,1680,1695,1668,1680,245000,411977800
2015-08-07,1694,1715,1685,1703,270000,458440000
2015-08-06,1759,1778,1722,1725,184300,322189400
2015-08-05,1727,1771,1709,1735,345800,600479900
2015-08-04,1719,1735,1702,1727,200100,344217200
2015-08-03,1700,1722,1691,1712,227200,387286800
2015-07-31,1668,1739,1661,1727,309600,532624900
2015-07-30,1698,1698,1647,1660,299800,501206000
2015-07-29,1610,1611,1574,1599,140000,223121800
2015-07-28,1592,1621,1584,1602,194800,312347600
2015-07-27,1633,1648,1604,1607,171000,276106300
2015-07-24,1665,1671,1646,1649,141200,233659500
