6471-T,東証1部,日精工,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1189,1230,1177,1215,3796200,4593681600
2015-10-01,1183,1229,1176,1207,5291600,6368268400
2015-09-30,1138,1173,1134,1153,3454000,3986251000
2015-09-29,1149,1149,1128,1130,4254000,4829650600
2015-09-28,1201,1201,1156,1164,2969400,3480863500
2015-09-25,1200,1212,1181,1212,3788400,4541966300
2015-09-24,1250,1253,1194,1195,5390800,6537065600
2015-09-18,1316,1324,1291,1316,3336100,4369447800
2015-09-17,1334,1355,1330,1340,2722300,3649882900
2015-09-16,1306,1327,1293,1308,4498600,5887370200
2015-09-15,1324,1339,1292,1299,3371600,4425198500
2015-09-14,1343,1361,1308,1314,2259600,2984474700
2015-09-11,1307,1351,1303,1336,5633300,7450889900
2015-09-10,1362,1376,1336,1361,3885600,5277323900
2015-09-09,1359,1399,1358,1392,5195300,7183911600
2015-09-08,1323,1352,1316,1321,3254900,4328874500
2015-09-07,1329,1362,1310,1346,2748500,3680999500
2015-09-04,1407,1411,1340,1356,2299900,3140537900
2015-09-03,1407,1425,1390,1400,2686900,3781038200
2015-09-02,1395,1428,1384,1394,4046300,5682658000
2015-09-01,1492,1495,1430,1430,3910600,5677605900
2015-08-31,1555,1555,1486,1494,3538000,5322109200
2015-08-28,1542,1568,1524,1552,3668400,5685020600
2015-08-27,1525,1555,1507,1519,2627600,4004803200
2015-08-26,1494,1533,1485,1514,4862000,7330058600
2015-08-25,1487,1588,1475,1505,6356600,9693047000
2015-08-24,1550,1586,1539,1540,5032800,7828746100
2015-08-21,1617,1630,1599,1602,3236200,5217391900
2015-08-20,1662,1664,1642,1651,2607600,4308326000
2015-08-19,1680,1699,1675,1682,3418900,5760901900
2015-08-18,1680,1703,1673,1685,2137800,3605249500
2015-08-17,1700,1707,1665,1689,3331000,5603568400
2015-08-14,1670,1696,1664,1690,5963500,10026330800
2015-08-13,1592,1640,1592,1637,3732200,6064190700
2015-08-12,1608,1615,1576,1587,2582100,4115319500
2015-08-11,1632,1655,1617,1627,2822600,4611190200
2015-08-10,1626,1629,1590,1610,2331100,3742705400
2015-08-07,1612,1641,1611,1636,2468400,4018110100
2015-08-06,1602,1637,1592,1625,3246300,5254486100
2015-08-05,1573,1606,1568,1604,2896900,4613300300
2015-08-04,1570,1585,1557,1574,2991400,4703433900
2015-08-03,1601,1602,1576,1583,2230000,3533191100
2015-07-31,1600,1612,1584,1602,2849000,4539389600
2015-07-30,1690,1691,1598,1609,6741100,11100069500
