6472-T,東証1部,NTN,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,504,522,500,515,3984000,2045211000
2015-10-01,501,517,494,514,8633000,4359690000
2015-09-30,497,500,485,490,10223000,5008101000
2015-09-29,514,514,496,497,6068000,3052727000
2015-09-28,532,538,524,530,2880000,1524617000
2015-09-25,536,540,518,540,6501000,3441637000
2015-09-24,559,561,536,537,5903000,3207370000
2015-09-18,592,594,576,587,5131000,2992250000
2015-09-17,596,612,592,607,4179000,2524992000
2015-09-16,571,590,568,586,4271000,2493108000
2015-09-15,566,575,561,561,2704000,1529921000
2015-09-14,577,582,558,561,3128000,1762393000
2015-09-11,565,586,565,575,4391000,2511843000
2015-09-10,570,577,561,575,3234000,1846634000
2015-09-09,576,587,569,587,5414000,3144672000
2015-09-08,557,561,547,549,6443000,3565800000
2015-09-07,560,572,549,569,4432000,2495305000
2015-09-04,583,584,552,570,5776000,3280262000
2015-09-03,587,602,583,588,3892000,2313198000
2015-09-02,577,592,574,578,6472000,3757062000
2015-09-01,630,630,595,595,6397000,3867288000
2015-08-31,645,647,628,632,3914000,2488817000
2015-08-28,637,647,633,646,3182000,2044173000
2015-08-27,631,634,615,618,3230000,2012575000
2015-08-26,598,620,591,615,4038000,2447552000
2015-08-25,593,634,591,593,6752000,4105036000
2015-08-24,642,652,619,620,5476000,3458542000
2015-08-21,670,675,661,662,5271000,3512701000
2015-08-20,695,703,686,698,5588000,3882974000
2015-08-19,714,727,699,705,4167000,2959613000
2015-08-18,727,727,714,717,2893000,2080377000
2015-08-17,728,728,717,725,2890000,2092317000
2015-08-14,736,741,714,722,5131000,3715051000
2015-08-13,738,746,734,742,2156000,1597459000
2015-08-12,748,760,731,737,3497000,2597537000
2015-08-11,767,768,749,755,2495000,1889414000
2015-08-10,752,757,743,752,2700000,2025367000
2015-08-07,748,769,746,764,2589000,1968500000
2015-08-06,760,768,756,760,6206000,4729299000
2015-08-05,715,746,709,741,4389000,3222750000
2015-08-04,718,730,703,726,5727000,4106568000
2015-08-03,735,758,725,728,11148000,8202545000
2015-07-31,692,710,687,705,2681000,1874950000
2015-07-30,692,713,692,705,5760000,4054532000
2015-07-29,690,694,668,671,3558000,2403658000
2015-07-28,677,687,664,681,3541000,2394191000
2015-07-27,698,708,682,689,4961000,3430018000
2015-07-24,703,705,688,690,3138000,2175022000
2015-07-23,719,721,702,710,2807000,1989610000
