6474-T,東証1部,不二越,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,500,502,477,481,4007000,1943037000
2015-10-01,505,512,495,510,740000,374265000
2015-09-30,489,501,489,494,1135000,561516000
2015-09-29,499,499,484,484,1073000,525099000
2015-09-28,510,518,501,511,1366000,696597000
2015-09-25,487,504,482,504,1416000,697876000
2015-09-24,504,506,481,481,1286000,626731000
2015-09-18,525,528,509,512,1118000,574471000
2015-09-17,525,538,522,532,1087000,579264000
2015-09-16,522,525,513,516,1133000,587407000
2015-09-15,521,529,513,514,985000,511817000
2015-09-14,532,537,515,517,1113000,578310000
2015-09-11,527,538,527,531,1012000,535757000
2015-09-10,536,542,526,541,998000,535351000
2015-09-09,535,550,535,550,732000,397741000
2015-09-08,522,539,522,525,655000,347245000
2015-09-07,519,532,509,527,684000,357945000
2015-09-04,540,540,514,526,933000,489030000
2015-09-03,539,546,530,532,855000,457548000
2015-09-02,536,543,530,535,831000,445839000
2015-09-01,553,558,546,546,1014000,558970000
2015-08-31,570,570,557,560,758000,426523000
2015-08-28,569,580,563,575,1137000,650664000
2015-08-27,566,569,549,550,982000,545349000
2015-08-26,540,560,529,556,1121000,613539000
2015-08-25,530,574,519,541,1950000,1069472000
2015-08-24,573,579,553,554,1565000,884410000
2015-08-21,599,601,589,590,1237000,733543000
2015-08-20,623,623,610,611,741000,454517000
2015-08-19,632,634,620,621,1167000,730036000
2015-08-18,626,640,622,635,842000,534430000
2015-08-17,624,629,620,628,516000,323031000
2015-08-14,627,627,619,624,626000,389661000
2015-08-13,620,632,617,631,807000,505102000
2015-08-12,635,635,621,623,820000,513899000
2015-08-11,635,642,632,640,981000,625976000
2015-08-10,632,634,616,627,1098000,683888000
2015-08-07,629,632,622,630,1132000,710233000
2015-08-06,619,634,616,631,1242000,781763000
2015-08-05,604,618,598,613,1086000,661424000
2015-08-04,609,609,595,609,1038000,625732000
2015-08-03,614,614,608,609,1209000,737386000
2015-07-31,614,621,610,619,1196000,735059000
2015-07-30,615,623,610,614,1369000,842130000
2015-07-29,629,631,597,609,3078000,1881942000
2015-07-28,631,637,626,632,1542000,973528000
2015-07-27,639,640,634,636,1013000,645635000
2015-07-24,646,646,636,638,1150000,736014000
2015-07-23,660,661,640,643,1771000,1143870000
2015-07-22,660,661,653,657,757000,498010000
2015-07-21,674,674,658,666,1284000,853068000
2015-07-17,674,676,669,671,572000,384347000
2015-07-16,678,678,664,672,836000,560025000
2015-07-15,680,686,671,676,979000,661673000
2015-07-14,673,685,669,678,1319000,894396000
2015-07-13,670,676,660,663,886000,589634000
2015-07-10,673,676,660,664,1127000,751271000
2015-07-09,666,672,642,670,3266000,2152167000
2015-07-08,709,710,683,689,3252000,2251050000
2015-07-07,717,724,699,705,1802000,1279313000
2015-07-06,710,711,702,706,1441000,1019693000
