6503-T,東証1部,三菱電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1140.0,1154.5,1125.0,1150.0,5393000,6163244000
2015-10-01,1111.5,1172.5,1111.5,1152.5,9555000,10989715000
2015-09-30,1084.0,1098.5,1080.0,1090.0,6075000,6628784500
2015-09-29,1099.0,1099.0,1063.0,1063.0,7369000,7918119000
2015-09-28,1152.0,1155.0,1114.0,1117.0,5825000,6553105500
2015-09-25,1112.5,1131.0,1102.5,1131.0,8853000,9888829500
2015-09-24,1145.0,1147.5,1098.5,1098.5,14734000,16410006000
2015-09-18,1180.0,1183.0,1159.5,1169.0,8075000,9444534500
2015-09-17,1189.0,1205.5,1179.5,1198.0,7795000,9326994000
2015-09-16,1165.0,1186.0,1160.0,1178.0,5861000,6889695500
2015-09-15,1143.0,1160.0,1133.5,1147.5,6811000,7838274500
2015-09-14,1169.0,1169.0,1144.5,1148.5,4787000,5517167000
2015-09-11,1145.0,1159.0,1142.5,1150.5,15465000,17759652500
2015-09-10,1183.5,1200.5,1175.0,1198.0,6840000,8131439000
2015-09-09,1173.0,1206.5,1169.5,1206.5,8874000,10561147500
2015-09-08,1130.5,1142.5,1123.0,1126.5,7127000,8066784500
2015-09-07,1119.0,1148.5,1103.0,1137.5,7544000,8535906000
2015-09-04,1140.0,1144.0,1107.0,1123.0,8841000,9939497500
2015-09-03,1140.0,1166.0,1127.0,1145.0,9265000,10682930500
2015-09-02,1127.5,1150.0,1116.0,1124.5,10419000,11816856500
2015-09-01,1195.5,1196.0,1154.0,1154.0,7514000,8802577500
2015-08-31,1230.0,1232.0,1196.5,1211.0,6201000,7504625000
2015-08-28,1215.0,1252.5,1214.0,1234.0,8011000,9900659000
2015-08-27,1210.0,1219.5,1178.0,1180.0,8955000,10702865500
2015-08-26,1140.0,1181.0,1133.0,1174.5,14427000,16741285500
2015-08-25,1143.0,1213.0,1122.0,1146.5,14326000,16738652000
2015-08-24,1198.0,1234.5,1194.5,1194.5,11973000,14470213500
2015-08-21,1248.0,1268.0,1238.5,1244.5,12943000,16180925500
2015-08-20,1312.0,1313.5,1286.5,1293.5,10844000,14052901000
2015-08-19,1350.0,1361.0,1324.0,1324.0,7467000,9979461500
2015-08-18,1352.0,1375.5,1346.5,1366.5,5907000,8067693500
2015-08-17,1370.0,1371.0,1337.5,1348.0,7697000,10375190500
2015-08-14,1381.0,1385.0,1365.0,1370.5,8503000,11673700500
2015-08-13,1350.0,1388.5,1350.0,1381.0,15154000,20865767000
2015-08-12,1342.5,1369.5,1327.5,1341.0,8961000,12049402500
2015-08-11,1352.0,1361.0,1340.5,1352.5,7864000,10622625500
2015-08-10,1330.0,1340.5,1320.5,1340.5,7927000,10560775500
2015-08-07,1315.0,1343.5,1312.0,1339.5,8516000,11329259500
2015-08-06,1321.5,1334.0,1315.5,1318.0,9051000,11983538000
2015-08-05,1316.0,1336.5,1293.0,1325.0,10599000,13989986500
2015-08-04,1320.0,1323.0,1305.5,1317.0,10453000,13745639500
2015-08-03,1344.0,1344.0,1330.0,1331.0,13444000,17954151000
2015-07-31,1305.5,1335.0,1288.5,1333.5,22367000,29402153500
2015-07-30,1455.5,1499.0,1345.5,1374.0,18741000,26414154000
2015-07-29,1448.0,1465.0,1415.0,1456.5,12004000,17301237500
2015-07-28,1451.0,1487.5,1448.0,1478.0,8146000,11975961500
2015-07-27,1470.0,1481.5,1456.0,1476.5,8086000,11887125500
2015-07-24,1477.5,1481.5,1460.0,1464.5,7302000,10725951000
2015-07-23,1505.0,1507.5,1488.5,1497.0,5039000,7535898000
2015-07-22,1520.0,1527.0,1505.0,1506.0,5775000,8727555000
2015-07-21,1520.0,1535.0,1509.5,1532.5,6944000,10584864000
2015-07-17,1500.5,1509.0,1489.5,1499.0,5197000,7789768500
2015-07-16,1526.5,1526.5,1495.0,1503.0,6791000,10211926500
2015-07-15,1537.0,1539.5,1507.0,1516.5,7321000,11135861000
2015-07-14,1512.5,1524.0,1508.0,1521.0,7084000,10750666500
2015-07-13,1485.0,1494.0,1468.5,1475.0,6445000,9534779000
2015-07-10,1491.0,1497.0,1466.0,1470.5,8548000,12641372000
2015-07-09,1455.5,1483.0,1423.0,1480.0,12625000,18351258000
2015-07-08,1537.5,1544.5,1500.5,1500.5,8053000,12222703500
2015-07-07,1572.5,1576.5,1555.5,1559.0,4805000,7527363500
2015-07-06,1547.0,1563.0,1534.0,1542.0,6024000,9304834000
2015-07-03,1575.0,1577.5,1544.0,1571.0,8157000,12727994000
2015-07-02,1590.0,1598.5,1577.5,1581.5,5932000,9417707500
2015-07-01,1589.5,1592.5,1577.0,1586.0,4329000,6859099500
2015-06-30,1603.5,1605.0,1573.5,1582.0,6582000,10422966500
2015-06-29,1593.0,1599.5,1580.0,1586.0,5053000,8033286500
2015-06-26,1631.0,1636.0,1615.0,1632.5,4049000,6584246500
2015-06-25,1627.0,1642.0,1625.0,1633.0,4845000,7919435500
2015-06-24,1657.5,1672.0,1647.0,1648.5,5845000,9664846500
2015-06-23,1619.5,1649.0,1601.0,1647.5,7569000,12367794500
2015-06-22,1627.0,1635.0,1613.0,1619.5,8576000,13908609000
2015-06-19,1618.0,1633.5,1613.0,1627.5,9539000,15477219000
2015-06-18,1656.0,1656.5,1614.5,1614.5,6965000,11330714500
2015-06-17,1668.5,1676.0,1652.0,1657.5,5626000,9355699500
2015-06-16,1691.0,1696.5,1671.0,1677.5,4956000,8335678000
2015-06-15,1666.0,1685.5,1661.5,1682.0,3410000,5719866000
2015-06-12,1694.5,1694.5,1673.5,1684.0,8854000,14950986000
2015-06-11,1683.0,1695.0,1671.0,1679.0,6822000,11482848500
2015-06-10,1645.5,1688.0,1645.5,1667.0,10463000,17459839000
2015-06-09,1672.0,1674.0,1651.0,1654.0,5672000,9414331500
2015-06-08,1675.0,1682.5,1662.0,1674.5,4105000,6865557500
2015-06-05,1671.0,1679.0,1658.5,1671.5,5669000,9455662000
2015-06-04,1694.0,1694.0,1682.0,1686.5,5571000,9402327000
2015-06-03,1684.0,1699.5,1680.0,1694.0,3564000,6029834000
2015-06-02,1711.0,1713.0,1690.0,1691.5,4457000,7569184000
2015-06-01,1702.5,1702.5,1681.5,1693.0,4341000,7338530000
2015-05-29,1700.0,1709.5,1682.0,1705.0,8361000,14208494000
2015-05-28,1693.0,1718.0,1692.0,1707.5,7305000,12460498500
2015-05-27,1673.5,1679.5,1664.0,1679.0,5104000,8539380500
2015-05-26,1673.5,1678.0,1658.0,1671.5,4319000,7205792000
2015-05-25,1667.5,1673.5,1656.5,1671.5,4181000,6970961500
2015-05-22,1650.0,1667.5,1638.0,1665.0,5035000,8343303000
2015-05-21,1663.5,1682.0,1647.0,1655.5,6380000,10609402500
2015-05-20,1653.5,1657.5,1643.0,1654.5,6237000,10303442000
2015-05-19,1650.0,1658.0,1626.0,1637.5,8915000,14612811500
2015-05-18,1596.5,1631.0,1589.5,1628.5,6182000,10014611000
2015-05-15,1599.0,1602.5,1577.5,1589.0,3797000,6032130000
2015-05-14,1580.0,1596.5,1577.0,1587.0,4409000,7005210000
2015-05-13,1560.0,1594.0,1560.0,1580.5,6611000,10439061500
2015-05-12,1602.0,1608.0,1570.0,1578.5,7897000,12484415000
2015-05-11,1598.0,1601.0,1586.5,1594.5,6398000,10209490000
2015-05-08,1538.5,1570.5,1538.0,1565.0,6753000,10516222500
2015-05-07,1543.5,1571.0,1543.0,1546.5,9579000,14889807000
2015-05-01,1562.0,1574.0,1535.0,1551.0,6333000,9810233500
2015-04-30,1650.0,1651.5,1562.0,1564.0,12679000,20221570000
2015-04-28,1556.0,1623.5,1556.0,1582.0,12445000,19818404000
2015-04-27,1554.0,1572.5,1550.0,1572.5,6680000,10433375500
2015-04-24,1581.0,1584.0,1568.5,1574.5,5307000,8352994000
2015-04-23,1582.0,1594.5,1580.0,1588.5,6331000,10051076000
2015-04-22,1567.0,1583.5,1566.5,1578.5,7326000,11545965500
2015-04-21,1540.0,1574.0,1539.0,1567.0,12741000,19884758000
2015-04-20,1513.0,1524.5,1500.0,1514.5,4797000,7265095500
2015-04-17,1525.0,1529.0,1513.0,1518.5,6988000,10623241500
2015-04-16,1511.5,1520.0,1505.0,1520.0,4649000,7034631500
2015-04-15,1503.0,1520.0,1500.0,1514.5,5877000,8891113000
2015-04-14,1500.0,1505.5,1493.0,1500.0,5800000,8685745500
2015-04-13,1510.5,1515.0,1502.0,1509.5,4514000,6814631500
2015-04-10,1520.0,1524.0,1508.0,1512.0,6814000,10326227000
2015-04-09,1513.5,1522.0,1507.0,1520.0,5794000,8786938500
2015-04-08,1509.0,1518.5,1504.0,1504.5,8298000,12530427000
2015-04-07,1473.5,1503.0,1470.0,1494.5,9026000,13442904000
2015-04-06,1452.5,1458.0,1445.0,1454.0,3622000,5257637500
2015-04-03,1453.0,1473.5,1451.5,1467.5,6385000,9353838000
2015-04-02,1432.0,1457.0,1427.5,1447.5,6347000,9174532500
2015-04-01,1420.0,1432.0,1412.0,1420.5,8189000,11633443500
2015-03-31,1435.5,1449.0,1428.5,1428.5,7657000,10996098000
2015-03-30,1441.0,1441.5,1421.0,1435.0,4746000,6798640500
2015-03-27,1450.0,1460.0,1417.0,1430.0,7210000,10376672000
2015-03-26,1456.0,1460.0,1442.0,1451.5,5601000,8134415000
2015-03-25,1451.0,1463.5,1451.0,1462.0,5795000,8452756000
2015-03-24,1455.0,1460.0,1450.0,1457.0,5053000,7355213500
2015-03-23,1470.0,1474.0,1453.0,1461.0,5120000,7485543500
2015-03-20,1462.0,1465.0,1442.0,1461.5,8796000,12824841000
2015-03-19,1434.5,1456.0,1422.5,1431.5,7518000,10776686000
2015-03-18,1450.0,1455.0,1428.0,1446.5,8365000,12081395500
2015-03-17,1410.5,1439.0,1409.0,1431.5,8469000,12086512000
2015-03-16,1415.0,1418.5,1407.0,1408.0,4236000,5980932000
2015-03-13,1409.0,1419.0,1400.5,1412.0,10639000,15004201000
2015-03-12,1377.0,1407.0,1377.0,1401.5,7961000,11123046000
2015-03-11,1370.0,1390.0,1369.5,1382.0,4384000,6059738500
2015-03-10,1397.5,1403.5,1376.0,1385.5,6153000,8545828500
2015-03-09,1379.0,1397.5,1373.5,1397.0,7905000,10967449000
2015-03-06,1399.0,1401.0,1384.5,1394.5,6818000,9497247000
2015-03-05,1382.5,1394.5,1381.0,1394.0,6608000,9171279500
2015-03-04,1384.0,1384.0,1359.0,1371.5,7849000,10734199000
2015-03-03,1405.0,1409.0,1390.5,1393.0,8781000,12282779500
2015-03-02,1411.0,1419.0,1386.5,1391.5,6067000,8476316500
2015-02-27,1406.0,1408.0,1389.5,1401.0,7819000,10942066000
2015-02-26,1379.5,1395.0,1375.0,1394.5,7077000,9822293500
2015-02-25,1377.5,1381.0,1370.5,1378.0,8393000,11557114500
2015-02-24,1368.0,1368.0,1361.0,1363.5,5115000,6974887500
2015-02-23,1374.0,1378.5,1362.0,1367.5,6118000,8381289500
2015-02-20,1368.0,1370.5,1354.0,1357.0,8016000,10907627500
2015-02-19,1377.0,1384.5,1370.0,1371.0,6101000,8398190000
2015-02-18,1356.0,1373.0,1349.5,1369.5,8174000,11157829500
2015-02-17,1323.0,1335.5,1315.5,1331.0,7177000,9529401000
2015-02-16,1371.0,1372.0,1328.0,1332.0,7204000,9671319000
2015-02-13,1337.0,1358.5,1333.5,1353.0,10305000,13883690500
2015-02-12,1326.0,1333.0,1316.5,1326.0,9388000,12447377500
2015-02-10,1308.5,1316.0,1291.5,1300.5,8586000,11151557000
2015-02-09,1332.5,1333.0,1298.0,1304.5,9668000,12645204000
2015-02-06,1318.5,1327.0,1307.0,1317.5,6340000,8350971000
2015-02-05,1330.0,1340.0,1303.0,1307.5,10350000,13587095000
2015-02-04,1360.0,1368.5,1334.5,1340.0,12135000,16404752500
