6506-T,東証1部,安川電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1230,1257,1214,1239,2251600,2790332100
2015-10-01,1222,1256,1211,1238,3347300,4146959200
2015-09-30,1217,1233,1197,1212,2625600,3184389700
2015-09-29,1218,1218,1175,1178,3101100,3698454600
2015-09-28,1250,1251,1228,1239,2128300,2636879400
2015-09-25,1242,1250,1214,1250,4195900,5182561300
2015-09-24,1280,1291,1227,1252,5505900,6906285400
2015-09-18,1347,1351,1313,1324,2327400,3083350300
2015-09-17,1328,1375,1327,1369,3343700,4538591600
2015-09-16,1295,1316,1285,1302,2707900,3527816500
2015-09-15,1305,1312,1282,1285,2032200,2634918400
2015-09-14,1309,1318,1280,1290,1455900,1882155500
2015-09-11,1291,1316,1291,1302,3023500,3918217500
2015-09-10,1305,1318,1278,1314,2425900,3157554900
2015-09-09,1306,1345,1301,1344,3304200,4386153200
2015-09-08,1261,1290,1258,1284,3676200,4700229800
2015-09-07,1250,1291,1240,1274,2419000,3068488500
2015-09-04,1321,1322,1256,1268,2484100,3172255000
2015-09-03,1330,1348,1305,1314,1807600,2386225500
2015-09-02,1300,1341,1296,1310,3122900,4118097700
2015-09-01,1364,1373,1340,1340,1999000,2707713000
2015-08-31,1408,1422,1384,1390,3130900,4365776300
2015-08-28,1382,1443,1366,1438,3463300,4906135000
2015-08-27,1350,1368,1330,1339,2949000,3972331100
2015-08-26,1283,1343,1281,1332,4044200,5297298000
2015-08-25,1293,1374,1264,1292,3876000,5112003400
2015-08-24,1355,1378,1332,1338,3648600,4926949000
2015-08-21,1407,1428,1398,1408,2712400,3826046700
2015-08-20,1471,1479,1451,1455,1881000,2752639200
2015-08-19,1508,1510,1469,1470,2405400,3561638900
2015-08-18,1513,1537,1508,1516,1085100,1652695300
2015-08-17,1521,1521,1497,1508,756400,1139149700
2015-08-14,1527,1528,1500,1511,1272100,1923367700
2015-08-13,1499,1540,1494,1534,1940300,2955532100
2015-08-12,1532,1540,1496,1506,2175800,3291222000
2015-08-11,1510,1548,1509,1539,2471800,3790632200
2015-08-10,1509,1509,1483,1495,1730600,2585754700
2015-08-07,1496,1524,1490,1515,1866100,2821819400
2015-08-06,1532,1556,1512,1520,2995000,4580449900
2015-08-05,1465,1515,1455,1509,2944400,4410402500
2015-08-04,1439,1455,1431,1455,2567500,3703391000
2015-08-03,1463,1477,1447,1455,1865400,2716383200
2015-07-31,1443,1479,1435,1471,2657900,3890233200
2015-07-30,1436,1452,1428,1442,3059300,4413049900
2015-07-29,1468,1475,1432,1433,3588300,5181890200
2015-07-28,1467,1500,1447,1486,3722500,5487049100
2015-07-27,1500,1513,1483,1502,2595500,3888148800
2015-07-24,1534,1534,1513,1520,1909100,2905364200
2015-07-23,1580,1580,1519,1523,3694800,5668816000
2015-07-22,1575,1589,1553,1568,5641900,8857919100
2015-07-21,1572,1602,1557,1571,3831000,6038444700
2015-07-17,1548,1557,1531,1545,2228100,3433968300
2015-07-16,1570,1571,1533,1541,2592300,4005304600
2015-07-15,1596,1596,1551,1562,2010800,3156112700
2015-07-14,1592,1601,1572,1591,2333900,3710906600
2015-07-13,1529,1573,1525,1563,3802100,5913439000
2015-07-10,1550,1580,1508,1510,6311100,9726533800
2015-07-09,1448,1514,1422,1509,4363400,6404788900
2015-07-08,1557,1564,1497,1501,3006000,4550697000
2015-07-07,1556,1593,1553,1560,3115500,4882985900
2015-07-06,1561,1564,1534,1547,2880300,4457073200
2015-07-03,1575,1596,1563,1595,1615000,2552812500
2015-07-02,1578,1602,1569,1575,2368800,3752015100
2015-07-01,1575,1576,1558,1562,2237300,3497749700
2015-06-30,1580,1592,1557,1568,3046000,4777253000
2015-06-29,1580,1582,1561,1570,2972100,4673764700
2015-06-26,1644,1648,1617,1622,1847800,3005084100
2015-06-25,1651,1655,1640,1641,1796800,2957262600
2015-06-24,1680,1681,1662,1668,1923700,3211776100
2015-06-23,1640,1665,1635,1663,2130300,3528479900
2015-06-22,1636,1642,1617,1640,1732900,2824346000
2015-06-19,1649,1652,1618,1635,2297900,3751161200
2015-06-18,1640,1656,1631,1636,2591800,4254607400
2015-06-17,1625,1630,1617,1628,2095900,3403136600
2015-06-16,1653,1658,1616,1620,3044900,4955614000
2015-06-15,1680,1680,1657,1668,1491300,2485662400
2015-06-12,1703,1708,1685,1695,2583000,4389569800
2015-06-11,1696,1696,1670,1683,1478900,2483383900
2015-06-10,1687,1689,1665,1667,1529000,2561113300
2015-06-09,1700,1700,1663,1665,1614700,2713499300
2015-06-08,1741,1744,1710,1714,1505800,2593177600
2015-06-05,1755,1755,1729,1734,1411100,2449019400
2015-06-04,1756,1771,1751,1761,1223700,2156752300
2015-06-03,1752,1763,1745,1748,1585100,2778733100
2015-06-02,1760,1784,1756,1771,2128500,3766029400
2015-06-01,1741,1764,1736,1753,2255800,3951393900
2015-05-29,1730,1757,1719,1750,2255000,3934195700
2015-05-28,1741,1755,1730,1736,1991600,3471709500
2015-05-27,1715,1745,1703,1738,1962900,3395389600
2015-05-26,1725,1729,1713,1726,1568200,2702861000
2015-05-25,1714,1724,1707,1718,1355500,2324713000
2015-05-22,1700,1708,1684,1708,1471000,2500376200
2015-05-21,1707,1710,1696,1703,1417500,2415593800
2015-05-20,1695,1706,1686,1701,1798200,3058538500
2015-05-19,1678,1692,1670,1681,1725600,2903060600
2015-05-18,1663,1680,1654,1677,1535300,2566285500
2015-05-15,1667,1672,1653,1657,893700,1483347600
2015-05-14,1657,1676,1655,1658,1337900,2228727400
2015-05-13,1638,1676,1633,1672,1653300,2744931700
2015-05-12,1650,1650,1630,1644,1511500,2476351000
2015-05-11,1661,1663,1643,1647,1345600,2222168800
2015-05-08,1614,1638,1614,1630,1980600,3221342900
2015-05-07,1600,1633,1593,1624,3567100,5776294300
2015-05-01,1643,1647,1610,1620,3749400,6078459100
2015-04-30,1701,1703,1658,1660,2851000,4785578500
2015-04-28,1699,1716,1692,1713,2920600,4982765700
2015-04-27,1700,1704,1675,1681,2119000,3574988900
2015-04-24,1707,1708,1691,1691,2431900,4132794800
2015-04-23,1681,1713,1673,1693,3803000,6439310300
2015-04-22,1673,1678,1653,1659,5597800,9305304000
2015-04-21,1689,1690,1623,1674,10341400,17134736700
2015-04-20,1705,1729,1702,1716,2079700,3572200000
2015-04-17,1770,1770,1728,1730,2747300,4782329300
