6581-T,東証1部,日立工,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,823,839,820,830,191900,159166100
2015-10-01,842,842,813,833,348200,288453700
2015-09-30,807,839,807,832,254800,210932900
2015-09-29,823,828,806,808,225500,183754700
2015-09-28,845,853,833,845,213400,180192900
2015-09-25,836,841,822,840,257600,213874700
2015-09-24,860,863,837,837,392400,332403800
2015-09-18,901,906,880,893,164900,147160100
2015-09-17,901,915,901,911,89300,81259800
2015-09-16,912,915,897,912,101500,92256400
2015-09-15,899,917,893,900,97600,88421400
2015-09-14,916,916,889,891,58000,52074100
2015-09-11,886,907,886,902,200600,179616400
2015-09-10,898,903,884,901,81200,72818100
2015-09-09,890,913,884,913,189600,170627100
2015-09-08,875,886,866,868,107400,93914100
2015-09-07,863,884,855,874,126700,110475500
2015-09-04,890,890,851,864,140100,121211200
2015-09-03,880,894,873,875,113200,99937000
2015-09-02,870,896,870,877,162700,143653800
2015-09-01,903,916,884,884,181100,162781200
2015-08-31,921,922,902,912,225400,205069600
2015-08-28,918,936,905,931,235600,218382600
2015-08-27,913,914,884,889,221700,198920400
2015-08-26,883,904,855,897,273400,240750700
2015-08-25,842,900,841,862,380800,329475200
2015-08-24,932,932,902,902,249500,228632600
2015-08-21,962,967,945,945,247400,235069500
2015-08-20,999,1008,977,980,156000,153517500
2015-08-19,1013,1014,999,1001,102400,102795900
2015-08-18,1015,1024,1011,1021,89200,90857400
2015-08-17,999,1030,994,1017,163800,166779700
2015-08-14,1006,1009,995,999,131000,130811700
2015-08-13,999,1022,993,1017,180600,183071500
2015-08-12,1006,1016,991,1001,140600,140610500
2015-08-11,1017,1028,1005,1013,216300,219883800
2015-08-10,1019,1022,1002,1018,99300,100635400
2015-08-07,1018,1019,1002,1016,178300,180247900
2015-08-06,1024,1049,1023,1032,250900,260184700
2015-08-05,990,1019,990,1016,212800,214827300
2015-08-04,996,998,983,992,131000,129637200
2015-08-03,1004,1010,991,996,127400,127176900
2015-07-31,977,1009,976,1005,346500,345445800
2015-07-30,973,1002,968,979,446700,439612300
2015-07-29,980,1024,954,956,673800,660193100
2015-07-28,944,984,941,980,333500,321708000
2015-07-27,950,962,940,944,167000,157892000
2015-07-24,965,970,950,950,140900,134618900
2015-07-23,980,980,960,968,103100,99572300
2015-07-22,975,978,966,973,104400,101426300
2015-07-21,977,985,973,981,111700,109248100
2015-07-17,996,996,973,975,121500,118995300
2015-07-16,990,990,978,985,114800,112985600
2015-07-15,993,998,985,992,174200,172770000
2015-07-14,989,1004,978,983,151900,150059300
2015-07-13,968,987,961,968,157600,153003100
2015-07-10,966,974,948,954,212300,203536900
2015-07-09,950,958,921,958,244300,230360000
2015-07-08,1005,1008,973,974,245200,241027400
2015-07-07,1028,1031,1007,1010,200300,203040700
2015-07-06,1031,1031,1007,1013,155300,158122300
2015-07-03,1028,1035,1018,1034,166500,170780800
2015-07-02,1034,1064,1029,1032,176400,184187600
2015-07-01,1020,1030,1020,1020,138400,141555800
2015-06-30,1002,1031,1002,1021,272700,278257200
2015-06-29,1022,1030,1011,1018,360700,366975200
2015-06-26,1042,1052,1025,1050,309700,323183800
2015-06-25,1026,1041,1021,1034,166900,172802400
2015-06-24,1039,1045,1024,1029,123300,127246300
2015-06-23,1027,1034,1018,1034,140000,144100200
2015-06-22,1003,1015,1003,1011,116600,117674500
2015-06-19,1014,1019,1006,1013,182800,184905100
2015-06-18,1018,1028,1004,1004,246100,249218800
2015-06-17,1025,1028,1012,1022,117500,119767200
2015-06-16,1051,1051,1021,1024,211100,217785300
2015-06-15,1042,1048,1031,1040,87700,91200700
2015-06-12,1045,1050,1033,1047,312800,326555900
2015-06-11,1042,1050,1038,1042,141500,147614700
2015-06-10,1050,1057,1037,1039,268400,281158500
2015-06-09,1062,1067,1052,1054,238900,253059000
2015-06-08,1096,1096,1073,1079,113900,122973900
2015-06-05,1098,1101,1078,1088,170500,185212900
2015-06-04,1123,1130,1104,1108,225100,251395300
2015-06-03,1100,1123,1098,1110,310400,345469300
2015-06-02,1095,1098,1085,1091,130800,142755800
2015-06-01,1076,1100,1076,1097,131400,143372100
2015-05-29,1078,1090,1075,1083,147600,159721200
2015-05-28,1090,1108,1081,1087,184700,201559500
2015-05-27,1070,1079,1061,1076,182000,195030900
2015-05-26,1076,1082,1066,1070,116600,125019000
2015-05-25,1086,1094,1073,1076,99000,106933400
2015-05-22,1070,1073,1062,1070,168100,179624600
2015-05-21,1069,1075,1054,1064,298500,318039800
2015-05-20,1100,1101,1076,1079,252800,274127800
2015-05-19,1095,1106,1092,1103,244500,268967900
2015-05-18,1105,1122,1086,1096,219400,240900700
2015-05-15,1087,1110,1084,1092,422100,463504700
2015-05-14,1079,1099,1078,1080,363500,395207600
2015-05-13,1045,1083,1040,1077,648800,694472900
2015-05-12,1023,1045,990,1045,1072900,1110498100
2015-05-11,990,999,985,991,153900,152792200
2015-05-08,985,987,971,981,98300,96369800
2015-05-07,974,991,974,980,152600,150066200
2015-05-01,980,984,964,971,178600,173612200
2015-04-30,982,1004,980,989,277300,275198900
2015-04-28,988,994,980,983,216900,213508200
2015-04-27,993,995,983,993,110700,109629500
2015-04-24,1000,1002,991,993,110500,109977800
2015-04-23,1000,1016,999,1009,282300,284799600
2015-04-22,998,1000,989,998,133400,132983100
2015-04-21,984,998,982,995,203200,201292000
2015-04-20,981,992,970,983,164600,162045000
2015-04-17,1000,1003,985,993,157400,156708800
2015-04-16,995,1005,988,1000,184000,183444500
2015-04-15,992,995,985,990,103900,102915500
2015-04-14,979,996,979,995,126300,125311400
2015-04-13,984,986,974,980,115800,113464900
2015-04-10,973,982,966,978,253700,247596800
2015-04-09,977,982,965,970,186200,181121200
2015-04-08,976,987,971,976,178500,174756100
2015-04-07,963,975,958,965,116500,112709100
2015-04-06,947,964,942,955,138700,132348100
2015-04-03,960,976,953,957,302400,290625700
2015-04-02,941,975,938,965,305600,293553000
2015-04-01,971,972,943,949,368000,350637900
2015-03-31,988,994,975,979,260500,255880000
2015-03-30,982,982,966,980,163000,159024900
2015-03-27,991,1004,971,979,308300,304110300
2015-03-26,1015,1019,1001,1012,255200,258194300
2015-03-25,1030,1030,1012,1025,377200,385576500
2015-03-24,1035,1038,1022,1030,277800,286605800
2015-03-23,1012,1030,1012,1027,296100,303475900
2015-03-20,998,1008,991,1004,456900,456450300
2015-03-19,993,997,971,973,249300,244040000
2015-03-18,986,993,979,992,176100,173931800
2015-03-17,979,988,974,983,125200,122988000
2015-03-16,966,983,964,979,243700,237906300
2015-03-13,964,965,957,963,253000,243611100
2015-03-12,963,965,956,959,131100,125747200
2015-03-11,950,962,936,957,333100,315819200
2015-03-10,970,971,951,957,225800,217101300
2015-03-09,950,964,942,962,290500,278472800
2015-03-06,932,958,932,955,449300,426465700
2015-03-05,925,935,916,932,288600,268452700
2015-03-04,916,920,908,919,129600,118518500
2015-03-03,943,943,905,915,411800,377602700
2015-03-02,935,945,934,940,212500,199856400
2015-02-27,934,937,928,934,238200,222057900
2015-02-26,916,934,916,931,256100,237916100
2015-02-25,922,929,916,924,220600,203785100
2015-02-24,920,922,910,915,265700,242999200
2015-02-23,930,936,921,926,301400,280159100
2015-02-20,911,925,909,923,240200,220747600
2015-02-19,927,932,904,910,423100,385778900
2015-02-18,908,927,900,924,524500,482862400
2015-02-17,896,908,892,899,357000,321509300
2015-02-16,890,898,887,887,304000,271203700
2015-02-13,882,888,874,880,325200,286751000
2015-02-12,878,881,868,874,397800,348481500
2015-02-10,867,869,864,868,151500,131286700
2015-02-09,859,872,856,867,292200,252846000
2015-02-06,853,856,849,851,208800,177854100
2015-02-05,859,861,848,853,272600,232208500
2015-02-04,854,865,852,862,360900,310493000
2015-02-03,851,855,841,843,378200,320585000
2015-02-02,853,860,848,851,248000,211234300
2015-01-30,868,869,853,854,460600,395377700
2015-01-29,871,873,859,863,537200,463676000
2015-01-28,863,878,855,875,1073400,934125300
2015-01-27,904,910,896,908,324500,293292500
2015-01-26,895,896,880,892,295100,262106200
2015-01-23,910,910,895,901,195600,176233400
2015-01-22,900,902,890,901,99300,89052800
2015-01-21,919,919,898,902,158500,143588300
2015-01-20,902,919,899,918,211200,192756900
2015-01-19,885,905,885,898,221200,198191800
2015-01-16,881,884,866,881,174400,152743100
2015-01-15,880,896,877,893,266800,237170700
2015-01-14,877,885,872,876,141600,124233600
2015-01-13,877,885,868,885,190000,166233700
2015-01-09,899,906,887,891,249600,222476900
2015-01-08,889,895,880,889,261400,232436800
2015-01-07,865,878,860,874,381900,332223800
2015-01-06,912,912,868,868,589800,520509800
2015-01-05,926,927,920,922,437500,403655200
2014-12-30,930,932,919,926,161400,149426700
2014-12-29,930,931,914,924,236000,217567700
2014-12-26,932,936,918,922,438200,404425300
2014-12-25,955,958,941,944,110800,104809600
2014-12-24,967,970,950,958,231700,221618900
2014-12-22,942,955,939,950,250200,236388800
2014-12-19,938,943,923,941,185300,173568200
2014-12-18,922,927,915,918,227800,209553700
2014-12-17,895,916,895,906,318500,288690500
2014-12-16,912,912,896,903,421300,381118400
2014-12-15,940,944,929,931,263900,247021600
2014-12-12,946,970,940,960,280000,266947900
2014-12-11,962,968,955,956,247400,237422800
2014-12-10,992,1001,977,985,190500,187876500
2014-12-09,1011,1022,1007,1007,113700,115162900
2014-12-08,1015,1025,1015,1022,186900,190620500
2014-12-05,1004,1010,1002,1009,240400,242072600
2014-12-04,992,1001,983,1000,189900,188811000
2014-12-03,999,1000,985,988,234700,233316700
2014-12-02,987,1005,981,1002,164000,163766600
2014-12-01,990,999,987,992,104400,103603600
2014-11-28,990,1000,988,995,124700,124228900
2014-11-27,988,1000,976,993,112500,111885700
2014-11-26,994,997,987,989,114500,113409800
2014-11-25,996,997,985,993,188900,187540700
2014-11-21,986,992,975,987,164600,161793800
2014-11-20,1000,1000,985,987,111400,110317000
2014-11-19,1004,1008,994,995,158200,158468900
2014-11-18,997,1006,995,1001,342400,342592400
2014-11-17,995,996,980,985,193900,191315800
2014-11-14,996,997,985,995,146200,145274500
2014-11-13,969,985,968,983,105000,102689700
2014-11-12,987,998,974,977,199700,197032900
2014-11-11,970,987,968,983,271200,266240700
2014-11-10,965,978,962,969,220900,214466500
2014-11-07,973,984,962,980,176500,172723400
2014-11-06,982,982,956,962,205200,198715100
2014-11-05,974,987,973,983,242500,237714300
2014-11-04,978,987,970,974,379800,371411400
2014-10-31,919,953,915,950,296100,277759800
2014-10-30,928,930,905,907,266100,243445500
2014-10-29,914,937,912,934,156200,145349500
2014-10-28,929,931,888,914,216300,197475500
2014-10-27,937,948,925,937,274800,257148000
2014-10-24,920,920,898,912,128900,117719500
2014-10-23,889,909,884,906,115800,104442300
2014-10-22,887,896,875,895,132000,117036900
2014-10-21,891,895,861,865,110500,96409100
2014-10-20,870,889,869,889,153200,134972100
2014-10-17,843,854,842,849,253700,215194000
2014-10-16,848,850,842,847,251000,212618300
2014-10-15,854,867,853,861,90900,77970800
2014-10-14,847,865,847,853,161600,138215600
