6632-T,東証1部,JVCKW,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,272,281,270,278,1888900,523959100
2015-10-01,271,274,267,273,1889800,513298400
2015-09-30,267,270,263,267,1853200,495603100
2015-09-29,276,277,261,264,1902300,506754300
2015-09-28,283,289,281,282,1664300,473116600
2015-09-25,285,286,270,277,3492400,966266200
2015-09-24,286,292,284,285,1858500,535225200
2015-09-18,292,295,288,294,2235000,654015100
2015-09-17,292,295,285,293,2653300,773317600
2015-09-16,282,293,276,288,3421400,985698900
2015-09-15,281,289,280,283,2892300,823719400
2015-09-14,272,282,272,279,3008100,836340900
2015-09-11,267,274,266,268,1835200,494478900
2015-09-10,260,270,257,270,2222400,588175800
2015-09-09,261,266,260,266,1885600,494542500
2015-09-08,251,261,251,255,2510300,645426700
2015-09-07,241,255,240,254,2386400,591580000
2015-09-04,256,256,243,246,3440100,851090000
2015-09-03,255,259,253,256,1412500,361222000
2015-09-02,248,255,247,250,2485000,623660400
2015-09-01,265,265,256,257,2104900,547607800
2015-08-31,270,274,263,266,3136900,840538900
2015-08-28,262,271,262,265,2561300,682351700
2015-08-27,262,264,256,258,2220600,575396200
2015-08-26,255,258,245,254,3943800,990711800
2015-08-25,250,263,240,248,5674800,1424890000
2015-08-24,274,284,262,264,3766300,1018486100
2015-08-21,282,287,280,283,3053400,863843100
2015-08-20,299,300,290,294,2116800,622246300
2015-08-19,306,306,298,302,2594200,781789100
2015-08-18,288,307,287,306,5678200,1698999600
2015-08-17,289,290,283,287,1487500,424555200
2015-08-14,294,295,284,288,2586900,746039800
2015-08-13,292,299,291,298,1982600,586886900
2015-08-12,296,297,288,290,1804500,526687100
2015-08-11,290,297,290,296,2322400,682226300
2015-08-10,287,292,283,287,2562400,735255100
2015-08-07,286,294,286,290,1497000,433254200
2015-08-06,283,293,280,291,2592600,746327100
2015-08-05,276,293,272,285,6492200,1849952200
2015-08-04,264,273,263,265,3541300,947301600
2015-08-03,280,281,263,263,5558200,1491893700
2015-07-31,286,293,282,291,2114700,606813800
2015-07-30,279,287,279,285,1423400,403665800
2015-07-29,281,284,275,282,1967100,551662100
2015-07-28,280,283,277,280,1428600,400717300
2015-07-27,286,286,280,284,1978000,560311000
2015-07-24,290,292,287,288,1016600,294212900
2015-07-23,295,296,289,291,900800,263045500
2015-07-22,296,297,293,294,1047400,308635400
2015-07-21,295,298,292,297,1538500,454328600
2015-07-17,290,294,287,294,1617000,470437400
2015-07-16,293,294,284,288,3352000,963334900
2015-07-15,301,304,291,291,2533500,749807300
2015-07-14,296,303,296,299,2394300,717139800
2015-07-13,289,295,288,290,1620600,472242800
2015-07-10,289,292,285,289,2755600,795296500
2015-07-09,290,293,277,291,4142500,1181130200
2015-07-08,304,304,290,296,4812300,1420352600
2015-07-07,307,311,303,303,1733600,530492600
2015-07-06,308,310,305,306,3049800,935759300
2015-07-03,315,317,311,313,2645000,829738100
2015-07-02,330,330,316,316,9011200,2885353800
2015-07-01,333,337,332,333,1650100,550699100
2015-06-30,334,336,331,334,2089200,695946200
2015-06-29,333,343,333,338,2479500,835453500
2015-06-26,350,351,345,348,1153600,400389200
2015-06-25,350,351,344,350,1572600,548197500
2015-06-24,344,352,342,348,3292400,1146488700
2015-06-23,340,343,338,340,2113600,718605300
2015-06-22,337,345,333,335,2301100,775895100
2015-06-19,334,342,331,337,3195600,1080900400
2015-06-18,333,335,330,332,2134500,709371800
2015-06-17,341,341,332,335,3151900,1057350000
2015-06-16,342,342,340,341,1423700,485443700
2015-06-15,346,349,343,345,2375000,820301400
2015-06-12,353,354,340,349,4324500,1502231900
2015-06-11,354,355,350,354,1696900,598840900
2015-06-10,355,356,350,351,2093300,738537200
2015-06-09,362,362,353,356,3065200,1092923200
2015-06-08,365,368,361,362,1897400,689759100
2015-06-05,369,370,361,364,3843200,1400953800
2015-06-04,361,374,358,374,6469600,2391382700
2015-06-03,362,363,359,359,1672000,602231200
2015-06-02,360,365,358,363,2510500,907267400
2015-06-01,362,364,359,360,2129600,768305600
2015-05-29,366,366,361,361,3211600,1165156000
2015-05-28,373,374,366,368,2215100,821078400
2015-05-27,358,370,357,368,3719100,1361155200
2015-05-26,363,364,358,360,2192000,789060100
2015-05-25,369,369,363,365,3076000,1123384900
2015-05-22,375,376,368,369,1502800,556307200
2015-05-21,379,379,371,374,1710800,641311200
2015-05-20,387,388,374,376,3421400,1303098800
2015-05-19,385,387,380,386,1876400,720815200
2015-05-18,384,393,378,382,5276800,2034612600
2015-05-15,374,382,373,381,1932400,729449900
2015-05-14,372,376,370,372,1239300,461560600
2015-05-13,367,378,363,374,3058900,1142734300
2015-05-12,361,370,360,370,1788600,655841400
2015-05-11,370,371,360,362,1988500,724465100
2015-05-08,364,369,362,365,1947600,711442500
2015-05-07,360,368,353,367,4438800,1603354700
2015-05-01,365,365,356,361,3146500,1131923400
2015-04-30,376,379,365,366,4975700,1848216200
2015-04-28,380,385,378,384,2344000,894169300
2015-04-27,380,382,378,379,1896400,719711200
2015-04-24,378,384,377,381,1923400,732365300
2015-04-23,383,386,378,380,3198400,1219062800
2015-04-22,382,389,378,383,4028900,1543739800
2015-04-21,392,396,376,381,9754800,3759778600
2015-04-20,381,393,377,392,3568700,1381487300
2015-04-17,396,396,383,385,5442200,2116340300
2015-04-16,403,415,390,396,12767300,5137577000
2015-04-15,394,399,390,392,3631900,1433378000
2015-04-14,391,395,390,393,2310600,906710700
2015-04-13,397,397,391,394,2842900,1119199700
2015-04-10,391,398,384,394,5782600,2272281300
2015-04-09,402,406,388,391,14371900,5698219500
2015-04-08,378,392,376,390,12227300,4720191600
2015-04-07,367,378,362,368,4166300,1547076300
2015-04-06,361,364,356,364,1406400,506010300
2015-04-03,358,361,356,361,1558600,559068200
2015-04-02,361,361,353,356,2857300,1019827600
2015-04-01,372,372,358,362,3112500,1128758500
2015-03-31,362,374,362,369,4311400,1590029400
2015-03-30,354,363,352,360,3078800,1102187000
2015-03-27,356,362,351,354,3347500,1192946700
2015-03-26,361,363,352,358,3401300,1216987500
2015-03-25,367,373,363,365,3071100,1125878500
2015-03-24,364,376,363,370,4805100,1783792600
2015-03-23,360,370,356,366,8965800,3260845400
2015-03-20,372,376,360,362,6471400,2369335000
2015-03-19,380,380,367,374,5698500,2125963100
2015-03-18,384,387,373,381,5993900,2272249600
2015-03-17,389,390,382,384,7012800,2704653700
2015-03-16,408,410,379,383,16655900,6490239700
2015-03-13,417,419,407,413,11002100,4543974500
2015-03-12,405,419,399,417,28257800,11635435800
2015-03-11,384,404,379,389,13581600,5381294900
2015-03-10,384,395,382,387,8400300,3255657800
2015-03-09,378,404,372,384,16391500,6367911600
2015-03-06,383,385,372,376,5976700,2248832300
2015-03-05,375,387,365,385,8180800,3097514700
2015-03-04,373,389,370,379,7697200,2935366400
2015-03-03,385,387,369,376,7139000,2687973700
2015-03-02,389,391,383,387,4596300,1778069400
2015-02-27,393,397,384,391,7638400,2973700700
2015-02-26,395,409,388,393,25493400,10232891200
2015-02-25,389,394,382,388,5972200,2320572900
2015-02-24,401,404,382,392,14837000,5845671100
2015-02-23,381,406,373,405,19767400,7798678900
2015-02-20,374,392,373,376,13893600,5324984600
2015-02-19,371,375,367,374,4224600,1565596900
2015-02-18,376,380,367,372,6979200,2601411000
2015-02-17,371,381,364,371,11097800,4124649000
2015-02-16,354,385,350,375,24466200,9132381500
2015-02-13,349,357,342,350,7255800,2528874100
2015-02-12,351,363,343,350,10402500,3678790500
2015-02-10,359,366,349,352,10199400,3625419100
2015-02-09,338,365,332,360,15928900,5620978300
2015-02-06,341,350,336,342,10171800,3480264100
2015-02-05,340,356,332,343,21293800,7320635600
2015-02-04,329,348,316,340,23995200,7981436400
