6674-T,東証1部,GSユアサ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,475,484,467,480,3739000,1784452000
2015-10-01,474,485,461,480,9718000,4617919000
2015-09-30,431,452,431,450,3699000,1646162000
2015-09-29,439,439,424,425,2514000,1079753000
2015-09-28,450,454,443,446,2117000,945607000
2015-09-25,448,449,436,449,3535000,1568624000
2015-09-24,442,448,438,445,2314000,1025774000
2015-09-18,456,457,447,454,2363000,1070485000
2015-09-17,464,464,456,459,2040000,938561000
2015-09-16,456,463,453,458,3148000,1443887000
2015-09-15,449,459,448,451,2757000,1250928000
2015-09-14,449,452,442,448,2990000,1336501000
2015-09-11,438,449,437,448,4996000,2212004000
2015-09-10,428,448,426,446,4947000,2181666000
2015-09-09,425,436,423,436,3860000,1665927000
2015-09-08,412,425,410,412,3327000,1386805000
2015-09-07,406,416,403,412,3462000,1420359000
2015-09-04,425,425,405,410,5006000,2067189000
2015-09-03,426,432,424,426,2831000,1209619000
2015-09-02,426,429,421,421,5749000,2441054000
2015-09-01,447,450,436,436,3016000,1330973000
2015-08-31,460,460,450,453,3668000,1662275000
2015-08-28,455,463,451,462,4996000,2296462000
2015-08-27,454,454,442,445,3603000,1610834000
2015-08-26,432,444,430,441,5729000,2505405000
2015-08-25,431,455,423,428,7840000,3434044000
2015-08-24,470,475,450,450,6014000,2768251000
2015-08-21,485,495,482,484,6591000,3213808000
2015-08-20,510,512,500,501,3110000,1567123000
2015-08-19,525,528,511,513,5518000,2856708000
2015-08-18,510,529,507,525,10563000,5493135000
2015-08-17,499,505,495,504,1912000,959927000
2015-08-14,496,496,490,496,1263000,624050000
2015-08-13,493,496,490,495,2779000,1370577000
2015-08-12,505,505,496,500,2834000,1416118000
2015-08-11,504,507,501,506,3409000,1718542000
2015-08-10,491,501,487,499,2786000,1379551000
2015-08-07,496,498,491,494,1871000,923707000
2015-08-06,500,502,495,497,1801000,898130000
2015-08-05,486,497,485,495,2260000,1114024000
2015-08-04,485,490,481,490,2062000,1001758000
2015-08-03,491,493,484,491,2298000,1123441000
2015-07-31,500,506,493,495,4313000,2154404000
2015-07-30,494,498,491,495,2695000,1332864000
2015-07-29,485,493,483,493,2656000,1300169000
2015-07-28,472,489,472,486,2795000,1351987000
2015-07-27,474,478,471,477,1652000,785301000
2015-07-24,485,486,479,481,1941000,934706000
2015-07-23,494,495,487,490,2303000,1130191000
2015-07-22,488,493,485,490,2397000,1172744000
2015-07-21,485,499,484,495,4805000,2368792000
2015-07-17,475,481,472,480,1548000,740050000
2015-07-16,481,481,473,474,1935000,919926000
2015-07-15,479,481,476,481,1806000,865512000
2015-07-14,476,484,475,479,3566000,1710242000
2015-07-13,463,470,462,466,1846000,861782000
2015-07-10,455,464,450,460,3792000,1736232000
2015-07-09,455,456,435,455,6679000,2987298000
2015-07-08,480,481,468,468,4078000,1929761000
2015-07-07,481,484,479,479,2018000,970954000
2015-07-06,480,483,477,481,2814000,1352139000
2015-07-03,490,492,484,485,1890000,920755000
2015-07-02,486,494,484,489,2999000,1464927000
2015-07-01,482,486,481,484,1895000,916861000
2015-06-30,482,487,480,481,3909000,1888969000
2015-06-29,489,489,482,482,4934000,2391176000
2015-06-26,498,500,496,497,2429000,1209055000
2015-06-25,502,503,499,500,2026000,1014412000
2015-06-24,505,508,504,504,2230000,1127233000
2015-06-23,516,516,503,504,3691000,1870781000
2015-06-22,503,512,503,511,1666000,845662000
2015-06-19,505,506,499,501,2964000,1489124000
2015-06-18,503,504,494,499,4152000,2068188000
2015-06-17,513,515,505,506,3792000,1928199000
2015-06-16,521,523,514,517,3188000,1652674000
2015-06-15,523,525,522,525,1281000,670672000
2015-06-12,532,532,526,527,2452000,1299788000
2015-06-11,528,529,524,528,2157000,1136281000
2015-06-10,521,531,521,526,4020000,2119566000
2015-06-09,531,531,520,520,3360000,1762135000
2015-06-08,530,532,528,530,1611000,853469000
2015-06-05,528,530,526,528,1456000,769586000
2015-06-04,530,530,527,527,2003000,1057850000
