6678-T,東証1部,テクノメディカ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2496,2510,2446,2510,3100,7727600
2015-10-01,2483,2520,2479,2496,2400,5998600
2015-09-30,2481,2536,2447,2466,4300,10703900
2015-09-29,2441,2470,2435,2437,5100,12476600
2015-09-28,2480,2494,2453,2466,4600,11376900
2015-09-25,2500,2506,2450,2506,6400,15840200
2015-09-24,2488,2562,2451,2451,7200,17873300
2015-09-18,2548,2548,2513,2533,4900,12397600
2015-09-17,2501,2544,2501,2525,3300,8302100
2015-09-16,2497,2504,2468,2501,2100,5224900
2015-09-15,2498,2538,2486,2497,2600,6521700
2015-09-14,2468,2525,2468,2497,4100,10256600
2015-09-11,2412,2486,2412,2468,9500,23077700
2015-09-10,2380,2429,2380,2412,2400,5767800
2015-09-09,2388,2459,2356,2406,10300,24896100
2015-09-08,2363,2391,2338,2338,4700,11088100
2015-09-07,2364,2463,2336,2353,6500,15563100
2015-09-04,2432,2458,2355,2363,8700,20766200
2015-09-03,2508,2537,2419,2419,7700,19007800
2015-09-02,2448,2538,2448,2497,7900,19555000
2015-09-01,2575,2575,2477,2477,10800,27333500
2015-08-31,2600,2622,2575,2603,8000,20795000
2015-08-28,2560,2607,2509,2571,16300,41615600
2015-08-27,2513,2514,2463,2475,13400,33417700
2015-08-26,2435,2461,2401,2451,14600,35510700
2015-08-25,2476,2522,2404,2415,41900,103325000
2015-08-24,2657,2730,2622,2626,11400,30270600
2015-08-21,2800,2867,2757,2757,7800,21791200
2015-08-20,2905,2912,2830,2830,3900,11215800
2015-08-19,2996,2996,2905,2905,2200,6457600
2015-08-18,2982,2996,2963,2996,2900,8638900
2015-08-17,2905,2989,2901,2949,3900,11490200
2015-08-14,2891,2949,2880,2944,4500,13171300
2015-08-13,2852,2891,2852,2891,2900,8337300
2015-08-12,2912,2915,2870,2870,2300,6654700
2015-08-11,2905,2908,2883,2903,3700,10733600
2015-08-10,2865,2910,2851,2905,6900,19834900
2015-08-07,2914,2914,2875,2897,4200,12178300
2015-08-06,2930,2974,2895,2959,18400,53874200
2015-08-05,3090,3090,3040,3050,2800,8543500
2015-08-04,3040,3080,3015,3065,5000,15194500
2015-08-03,2995,3040,2995,3015,5700,17161500
2015-07-31,2961,2990,2932,2966,6700,19818700
2015-07-30,2960,2969,2922,2939,7000,20640600
2015-07-29,3270,3320,2900,2932,30700,92092500
2015-07-28,3210,3230,3080,3175,11600,37009500
2015-07-27,3055,3370,3045,3270,29500,95330500
2015-07-24,2862,3080,2862,3065,12800,37975400
2015-07-23,2849,2861,2834,2861,1500,4274200
2015-07-22,2831,2846,2823,2833,1600,4530100
2015-07-21,2870,2870,2816,2839,2600,7386100
2015-07-17,2802,2849,2800,2833,2300,6486100
2015-07-16,2778,2820,2778,2807,4000,11212900
2015-07-15,2810,2827,2757,2778,4300,12000700
2015-07-14,2807,2819,2790,2810,5300,14883400
2015-07-13,2732,2810,2732,2805,5500,15250500
2015-07-10,2746,2746,2710,2731,7400,20213800
2015-07-09,2700,2750,2640,2724,8300,22447300
2015-07-08,2835,2835,2772,2772,6300,17656800
2015-07-07,2886,2886,2835,2861,2800,8027700
2015-07-06,2855,2871,2824,2829,9000,25649100
2015-07-03,2974,2974,2884,2917,3400,9932000
2015-07-02,2870,2944,2870,2944,11600,33642000
2015-07-01,2879,2885,2853,2866,6500,18639000
2015-06-30,2930,2930,2854,2879,8000,23002800
2015-06-29,2871,2938,2871,2872,8300,24041700
2015-06-26,2913,2960,2912,2949,5500,16215400
2015-06-25,2981,2986,2927,2927,6500,19234400
2015-06-24,3000,3010,2975,3010,4400,13184300
2015-06-23,2950,2996,2945,2965,4500,13355200
2015-06-22,2950,2976,2940,2965,2200,6515400
2015-06-19,2900,2977,2900,2960,2900,8524500
2015-06-18,3085,3085,2840,2898,14600,43035400
2015-06-17,3080,3090,2998,3055,7500,22813800
2015-06-16,3100,3165,3055,3080,7400,22982000
2015-06-15,3025,3160,2994,3140,9300,28400100
2015-06-12,2931,3050,2928,3025,21900,64926500
2015-06-11,2905,2927,2881,2924,7000,20321800
2015-06-10,2921,2921,2823,2906,5400,15666900
2015-06-09,2848,2949,2845,2921,10400,30166300
2015-06-08,2810,2844,2810,2844,4500,12714700
2015-06-05,2830,2849,2810,2838,4600,13021500
2015-06-04,2810,2833,2800,2825,4000,11271000
2015-06-03,2780,2850,2761,2833,5300,14917700
2015-06-02,2820,2853,2752,2807,6700,18784200
2015-06-01,2853,2854,2780,2831,6300,17822900
2015-05-29,2809,2855,2790,2853,13800,38966000
2015-05-28,2794,2799,2770,2799,7800,21752000
2015-05-27,2703,2763,2703,2761,7400,20259600
2015-05-26,2700,2730,2658,2703,6600,17854700
2015-05-25,2705,2721,2702,2717,7400,20064800
2015-05-22,2698,2700,2685,2698,4800,12940800
2015-05-21,2632,2675,2631,2667,10100,26806200
2015-05-20,2605,2632,2605,2631,7200,18885900
2015-05-19,2571,2612,2571,2604,5100,13228700
2015-05-18,2557,2620,2515,2577,7600,19448900
2015-05-15,2565,2569,2505,2557,9100,23104500
2015-05-14,2555,2564,2465,2465,8100,20537500
2015-05-13,2554,2569,2520,2562,3100,7900700
2015-05-12,2528,2575,2519,2560,4000,10174700
2015-05-11,2501,2550,2501,2533,1700,4298100
2015-05-08,2445,2510,2442,2486,5500,13651300
2015-05-07,2434,2468,2433,2445,5000,12225900
2015-05-01,2456,2465,2430,2441,7600,18605800
2015-04-30,2499,2499,2460,2460,5900,14592300
2015-04-28,2524,2525,2500,2500,6900,17340600
2015-04-27,2573,2575,2525,2528,4100,10430000
2015-04-24,2574,2600,2552,2552,4500,11572200
2015-04-23,2593,2593,2573,2574,2200,5673800
2015-04-22,2570,2596,2570,2593,2100,5426400
2015-04-21,2552,2599,2552,2570,3700,9532100
2015-04-20,2534,2557,2530,2550,4800,12213800
2015-04-17,2635,2635,2540,2582,3600,9366800
2015-04-16,2600,2645,2580,2635,12000,31314400
2015-04-15,2600,2600,2570,2584,8900,23038800
2015-04-14,2530,2595,2521,2595,11800,30202600
2015-04-13,2564,2564,2541,2551,5500,14037800
2015-04-10,2520,2529,2512,2525,8900,22435700
2015-04-09,2510,2515,2500,2515,6700,16819600
2015-04-08,2498,2512,2498,2500,10200,25541900
2015-04-07,2483,2500,2480,2492,5300,13215700
2015-04-06,2480,2497,2470,2483,6000,14893400
2015-04-03,2455,2475,2430,2454,4900,12018000
2015-04-02,2450,2458,2415,2442,7000,17106600
2015-04-01,2396,2420,2362,2417,5600,13407600
2015-03-31,2416,2426,2402,2413,8100,19561200
2015-03-30,2453,2460,2432,2434,6400,15652200
2015-03-27,2480,2510,2480,2490,4600,11480100
2015-03-26,2500,2519,2498,2503,8200,20527200
2015-03-25,2507,2530,2490,2498,5300,13305500
2015-03-24,2497,2505,2485,2501,4900,12228300
2015-03-23,2483,2497,2482,2497,2800,6964900
2015-03-20,2481,2493,2481,2483,3000,7451500
2015-03-19,2508,2509,2480,2481,3500,8735400
2015-03-18,2507,2510,2490,2501,6000,15009800
2015-03-17,2451,2509,2450,2507,11500,28453100
2015-03-16,2451,2495,2427,2434,4400,10783900
2015-03-13,2443,2487,2443,2450,12200,29940000
2015-03-12,2457,2469,2429,2460,5100,12485200
2015-03-11,2448,2448,2401,2430,3900,9474100
2015-03-10,2490,2490,2445,2448,4500,11110800
2015-03-09,2486,2500,2450,2481,4800,11876700
2015-03-06,2473,2490,2425,2466,5400,13308200
2015-03-05,2500,2511,2460,2485,8500,21225000
2015-03-04,2442,2494,2436,2489,13300,32683300
2015-03-03,2440,2443,2421,2440,4500,10960200
2015-03-02,2441,2454,2440,2440,5200,12706900
2015-02-27,2492,2495,2450,2461,5100,12603700
2015-02-26,2500,2500,2487,2495,3100,7738100
2015-02-25,2500,2500,2476,2497,7600,18962200
2015-02-24,2491,2491,2451,2480,4200,10399600
2015-02-23,2510,2510,2481,2482,3100,7742100
2015-02-20,2504,2504,2492,2504,4000,10008100
2015-02-19,2496,2518,2489,2504,6500,16264300
2015-02-18,2508,2514,2491,2496,6500,16261200
2015-02-17,2528,2528,2493,2511,10300,25923700
2015-02-16,2500,2528,2468,2498,6100,15241900
2015-02-13,2545,2545,2450,2499,12400,30955600
2015-02-12,2473,2488,2441,2471,14500,35683000
2015-02-10,2440,2505,2440,2499,6500,16082500
2015-02-09,2450,2455,2441,2445,6300,15413100
2015-02-06,2463,2480,2455,2455,6600,16254100
2015-02-05,2474,2476,2455,2455,7400,18238700
2015-02-04,2493,2497,2451,2486,7200,17883600
2015-02-03,2456,2467,2442,2443,7700,18892000
2015-02-02,2464,2481,2445,2456,8600,21178600
2015-01-30,2458,2483,2458,2464,4400,10862100
2015-01-29,2443,2459,2443,2452,2400,5879300
2015-01-28,2460,2460,2441,2457,6000,14723200
2015-01-27,2512,2522,2442,2460,6500,16072700
2015-01-26,2564,2564,2485,2512,7400,18622600
2015-01-23,2565,2568,2550,2564,7100,18175800
2015-01-22,2520,2560,2515,2560,7100,18033600
2015-01-21,2553,2561,2520,2522,6200,15727900
2015-01-20,2535,2550,2515,2550,8600,21824100
2015-01-19,2480,2548,2479,2528,12700,31920200
2015-01-16,2463,2490,2446,2458,10200,25100900
2015-01-15,2400,2460,2400,2458,4800,11702600
2015-01-14,2370,2407,2370,2394,3300,7892000
2015-01-13,2369,2412,2351,2412,7800,18521000
2015-01-09,2408,2420,2401,2419,8600,20750400
2015-01-08,2360,2429,2360,2408,5100,12231100
2015-01-07,2356,2375,2342,2366,4500,10627000
2015-01-06,2400,2425,2356,2368,8800,21109200
2015-01-05,2465,2465,2422,2435,6400,15674900
2014-12-30,2465,2480,2455,2465,4200,10352700
2014-12-29,2480,2500,2441,2465,12400,30565900
2014-12-26,2405,2440,2400,2433,4400,10661700
2014-12-25,2441,2450,2361,2384,15000,36169600
2014-12-24,2350,2398,2322,2355,9000,21152200
2014-12-22,2306,2316,2298,2305,5800,13373900
2014-12-19,2345,2345,2286,2306,5300,12232300
2014-12-18,2311,2347,2288,2310,4300,9943900
2014-12-17,2348,2350,2300,2301,6100,14124900
2014-12-16,2286,2350,2286,2350,11900,27617600
2014-12-15,2351,2366,2330,2330,5400,12681800
2014-12-12,2345,2368,2344,2345,13500,31718100
2014-12-11,2350,2378,2320,2352,12900,30215100
2014-12-10,2360,2410,2359,2363,7900,18730800
2014-12-09,2382,2481,2382,2408,15500,37604900
2014-12-08,2364,2419,2354,2410,12700,30293000
2014-12-05,2325,2358,2321,2354,6900,16186700
2014-12-04,2330,2358,2316,2338,11800,27543000
2014-12-03,2350,2382,2252,2327,23300,53832700
2014-12-02,2310,2345,2282,2345,11700,27224100
2014-12-01,2310,2325,2282,2299,9400,21714300
2014-11-28,2330,2330,2300,2309,7500,17307100
2014-11-27,2313,2337,2275,2295,16700,38490400
2014-11-26,2324,2340,2300,2318,13800,32096300
2014-11-25,2335,2335,2301,2303,7300,16914800
2014-11-21,2295,2336,2288,2297,5000,11499400
2014-11-20,2330,2330,2280,2295,4600,10586200
2014-11-19,2335,2400,2304,2308,10900,25570600
2014-11-18,2280,2319,2241,2303,9400,21576600
2014-11-17,2350,2350,2230,2230,22000,50358000
2014-11-14,2295,2331,2274,2313,11000,25344700
2014-11-13,2300,2306,2251,2276,7500,17146400
2014-11-12,2360,2377,2293,2296,11900,27905300
2014-11-11,2297,2377,2297,2343,12000,28109100
2014-11-10,2280,2280,2230,2274,5000,11341300
2014-11-07,2320,2338,2282,2282,6100,14092800
2014-11-06,2328,2350,2320,2320,12000,27980900
2014-11-05,2299,2325,2290,2321,6800,15695300
2014-11-04,2385,2400,2293,2299,23600,54966600
2014-10-31,2270,2383,2270,2383,19600,45522800
2014-10-30,2291,2320,2225,2251,13200,29907700
2014-10-29,2253,2287,2231,2262,8900,20152700
