6701-T,東証1部,NEC,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,375,383,373,378,17370000,6579478000
2015-10-01,370,379,369,376,13938000,5233669000
2015-09-30,361,369,360,367,9196000,3352233000
2015-09-29,369,371,357,359,22494000,8193354000
2015-09-28,373,380,371,375,11572000,4339019000
2015-09-25,375,376,368,375,12523000,4670247000
2015-09-24,384,385,375,375,14365000,5430650000
2015-09-18,390,392,385,387,12644000,4901361000
2015-09-17,388,392,387,391,8956000,3492677000
2015-09-16,386,391,383,386,12997000,5029228000
2015-09-15,387,390,383,383,12353000,4765468000
2015-09-14,389,393,386,386,15765000,6136866000
2015-09-11,389,394,384,385,21706000,8423154000
2015-09-10,375,389,373,384,23412000,8978517000
2015-09-09,380,382,375,382,21137000,8011132000
2015-09-08,378,380,373,373,15495000,5823754000
2015-09-07,371,380,367,380,16944000,6344670000
2015-09-04,379,379,369,376,21335000,8003056000
2015-09-03,381,382,375,376,14260000,5391906000
2015-09-02,375,380,370,376,27726000,10414799000
2015-09-01,385,385,377,379,26777000,10172273000
2015-08-31,381,385,379,383,12864000,4916388000
2015-08-28,382,386,378,380,31803000,12140083000
2015-08-27,368,377,365,372,30914000,11459969000
2015-08-26,357,362,350,358,35305000,12572396000
2015-08-25,353,376,349,355,33319000,12051391000
2015-08-24,376,380,367,368,25132000,9387750000
2015-08-21,389,393,386,387,17474000,6801903000
2015-08-20,400,402,396,397,16661000,6644139000
2015-08-19,406,410,401,401,18016000,7315286000
2015-08-18,407,412,405,406,14743000,6012098000
2015-08-17,407,410,404,409,12155000,4944614000
2015-08-14,409,409,403,405,9508000,3859209000
2015-08-13,408,411,405,410,15600000,6383778000
2015-08-12,405,413,404,409,21397000,8758715000
2015-08-11,410,410,400,406,20664000,8371806000
2015-08-10,410,411,398,407,18306000,7410609000
2015-08-07,409,413,405,410,13412000,5486972000
2015-08-06,414,415,407,409,13821000,5681108000
2015-08-05,404,414,402,410,24080000,9877080000
2015-08-04,402,404,399,404,15647000,6291986000
2015-08-03,393,404,393,404,28756000,11515418000
2015-07-31,379,396,377,396,64596000,25039192000
2015-07-30,367,373,354,363,33771000,12247401000
2015-07-29,374,375,367,369,7466000,2760902000
2015-07-28,369,372,366,370,13339000,4926341000
2015-07-27,373,374,369,373,8653000,3219410000
2015-07-24,375,376,373,376,5982000,2240648000
2015-07-23,379,380,376,377,5407000,2040164000
2015-07-22,378,380,377,377,7469000,2825212000
2015-07-21,379,381,378,381,4688000,1780787000
2015-07-17,380,380,375,379,9066000,3430248000
2015-07-16,381,382,376,379,10601000,4009385000
2015-07-15,382,383,375,378,8315000,3151930000
2015-07-14,379,385,377,381,20382000,7758194000
2015-07-13,371,376,370,373,15233000,5686434000
2015-07-10,370,372,364,366,22060000,8118248000
2015-07-09,355,374,351,373,27504000,9941086000
2015-07-08,375,377,361,362,21540000,7927933000
2015-07-07,370,377,367,376,30040000,11203732000
2015-07-06,365,368,362,363,13517000,4931876000
2015-07-03,373,375,370,371,8834000,3285217000
