6703-T,東証1部,OKI,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,184,186,179,182,18631000,3393266000
2015-10-01,186,188,184,186,6602000,1227502000
2015-09-30,185,189,183,186,8230000,1531474000
2015-09-29,185,186,182,182,9882000,1813876000
2015-09-28,192,193,187,188,9562000,1809940000
2015-09-25,191,194,190,193,9018000,1733981000
2015-09-24,193,194,190,190,7798000,1490234000
2015-09-18,195,197,193,195,6567000,1278206000
2015-09-17,197,200,196,197,6407000,1267839000
2015-09-16,195,196,193,195,7092000,1381197000
2015-09-15,196,199,193,193,9863000,1926800000
2015-09-14,199,200,194,196,10347000,2031973000
2015-09-11,199,201,198,198,17106000,3409909000
2015-09-10,203,204,198,199,14904000,2979365000
2015-09-09,204,209,203,207,11938000,2458930000
2015-09-08,199,205,198,199,9534000,1912431000
2015-09-07,198,203,195,200,12607000,2506637000
2015-09-04,204,204,198,199,11530000,2304818000
2015-09-03,206,208,201,203,11590000,2361278000
2015-09-02,204,209,202,204,19998000,4096775000
2015-09-01,211,213,205,207,20094000,4210617000
2015-08-31,215,218,212,212,24684000,5282518000
2015-08-28,221,230,221,226,8045000,1817736000
2015-08-27,220,222,218,218,8375000,1840219000
2015-08-26,214,220,213,217,12169000,2631662000
2015-08-25,214,225,210,213,16874000,3648488000
2015-08-24,226,230,220,223,17473000,3930987000
2015-08-21,236,237,233,234,8948000,2106188000
2015-08-20,240,243,238,240,8577000,2058214000
2015-08-19,245,245,241,241,7210000,1752444000
2015-08-18,246,247,244,245,4211000,1034479000
2015-08-17,248,248,245,246,6902000,1699974000
2015-08-14,249,249,243,248,9483000,2331902000
2015-08-13,249,250,246,250,6691000,1658113000
2015-08-12,249,251,247,249,5316000,1322902000
2015-08-11,251,253,249,251,4990000,1251742000
2015-08-10,249,252,248,251,7244000,1813223000
2015-08-07,250,254,250,253,4518000,1140319000
2015-08-06,251,252,250,250,3068000,769019000
2015-08-05,247,250,244,249,12971000,3206216000
2015-08-04,253,253,245,249,12057000,2981945000
2015-08-03,254,256,252,254,5636000,1432660000
2015-07-31,260,264,254,255,17113000,4415815000
