6727-T,東証1部,ワコム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,434,439,428,432,908700,392751400
2015-10-01,439,441,427,432,1083300,469740000
2015-09-30,430,441,429,440,792800,345975600
2015-09-29,438,440,424,424,898800,386622500
2015-09-28,447,451,441,446,969900,433458900
2015-09-25,442,453,434,439,1073700,472568400
2015-09-24,445,454,442,443,1148000,512757300
2015-09-18,454,461,451,453,642800,292316400
2015-09-17,460,467,454,456,1050600,482383800
2015-09-16,458,462,449,453,1042300,475807800
2015-09-15,453,469,452,457,1926400,889675900
2015-09-14,450,458,445,453,1460300,661466000
2015-09-11,430,449,430,445,1698500,748555300
2015-09-10,428,436,426,434,1660000,713566000
2015-09-09,435,443,430,441,1236400,539448400
2015-09-08,425,434,421,424,842200,359031500
2015-09-07,412,426,411,423,838100,351450500
2015-09-04,417,421,411,420,989300,411522800
2015-09-03,423,429,413,414,1121500,469332800
2015-09-02,411,431,410,423,839400,352551700
2015-09-01,436,438,423,423,1334100,570896700
2015-08-31,446,451,437,438,885500,390650400
2015-08-28,434,447,432,444,694100,306033000
2015-08-27,430,434,425,426,988700,423488000
2015-08-26,409,426,405,420,1515000,631105200
2015-08-25,400,430,392,404,2337200,954863300
2015-08-24,435,439,421,422,1831700,787816700
2015-08-21,450,452,443,445,1323100,591256400
2015-08-20,454,456,453,453,654000,296915000
2015-08-19,463,463,456,457,1107800,507500600
2015-08-18,463,468,457,464,1037900,480721200
2015-08-17,464,470,463,465,545000,253864700
2015-08-14,468,471,463,466,789700,367767100
2015-08-13,472,475,461,465,1700100,791072400
2015-08-12,485,485,472,479,1115800,533410100
2015-08-11,479,489,474,480,2239900,1079194300
2015-08-10,468,476,467,475,1332700,629577800
2015-08-07,460,466,459,461,743200,342579500
2015-08-06,473,473,458,460,1366600,632227400
2015-08-05,475,478,468,469,1047500,493637900
2015-08-04,467,478,466,475,1544700,731315300
2015-08-03,450,468,450,466,2331500,1071152600
2015-07-31,455,463,452,459,1348500,616615400
2015-07-30,452,455,450,455,1073500,485654600
2015-07-29,455,457,450,452,718500,325028500
2015-07-28,452,456,449,455,787700,356906800
2015-07-27,459,459,451,453,868400,393652200
2015-07-24,453,455,449,453,689400,311681200
2015-07-23,458,459,447,449,1552400,701590000
2015-07-22,480,480,458,458,1970500,913516100
2015-07-21,471,478,470,476,1075100,509183100
2015-07-17,463,470,461,469,925300,431591100
2015-07-16,461,463,458,463,610100,281074800
2015-07-15,455,464,454,459,1180500,542847300
2015-07-14,454,459,452,455,1245500,567048500
2015-07-13,447,453,443,449,1043600,468985500
2015-07-10,436,449,431,446,1732300,765498700
2015-07-09,435,436,420,432,2478900,1058089700
2015-07-08,454,455,438,438,2332400,1039852100
2015-07-07,448,454,447,453,681400,306947900
2015-07-06,449,451,445,446,800900,358747700
2015-07-03,451,452,448,449,1026400,461770700
2015-07-02,446,453,445,451,944500,423451700
2015-07-01,447,449,443,444,1010700,449797900
2015-06-30,444,449,442,445,1527900,680586200
2015-06-29,450,454,445,447,1652700,741922200
2015-06-26,455,460,453,456,987300,449912800
2015-06-25,465,466,453,454,2352900,1078612300
2015-06-24,460,467,459,465,1746100,809927300
2015-06-23,458,467,457,460,2369900,1091978200
2015-06-22,455,462,448,454,2019500,918156100
2015-06-19,449,449,437,444,4919900,2176156400
2015-06-18,470,471,451,451,4738500,2173509300
2015-06-17,478,482,474,475,1135000,540188700
2015-06-16,486,487,478,479,1162800,559826700
2015-06-15,482,490,481,486,734700,356629500
2015-06-12,484,491,479,482,1314100,636325800
2015-06-11,478,484,478,483,929700,447228300
2015-06-10,482,484,475,476,1290100,617167300
2015-06-09,492,492,481,482,1394800,677646000
2015-06-08,496,498,491,491,941600,465125700
2015-06-05,497,497,491,493,1144800,565808400
2015-06-04,508,524,500,504,2824300,1438439200
2015-06-03,479,502,479,500,2684100,1319447700
2015-06-02,482,484,476,478,1229300,588940700
2015-06-01,486,489,479,480,1231100,594142400
2015-05-29,476,485,474,483,1431500,687624400
2015-05-28,478,481,473,474,1575800,751409500
2015-05-27,477,477,472,475,1437200,681744200
2015-05-26,480,481,476,477,1834100,876037500
2015-05-25,486,490,480,483,885700,427607200
2015-05-22,485,487,476,479,1796900,862191800
2015-05-21,483,495,483,486,1440500,704125800
2015-05-20,481,488,480,486,1513800,732847700
2015-05-19,471,480,471,479,1820200,862978600
2015-05-18,487,489,471,475,2773400,1318434800
2015-05-15,496,500,490,492,1588800,783639600
2015-05-14,498,508,496,497,1988900,994085200
2015-05-13,505,505,498,501,1213100,608421800
2015-05-12,510,512,502,505,1353300,684610600
2015-05-11,510,523,504,505,1832400,935851300
2015-05-08,503,508,496,501,2927600,1466022000
2015-05-07,525,526,491,498,5366000,2699629500
2015-05-01,561,562,525,525,3948000,2114502200
2015-04-30,625,628,622,625,918800,573794000
2015-04-28,631,634,625,630,1055900,664731400
2015-04-27,617,637,612,635,1958200,1225737100
2015-04-24,636,638,619,620,1583400,988859700
2015-04-23,622,640,620,639,3030200,1919418800
2015-04-22,624,628,613,616,1745900,1082881500
2015-04-21,633,634,624,627,1097800,689818100
2015-04-20,607,637,607,628,4264800,2681673100
2015-04-17,598,605,597,601,918700,552909700
2015-04-16,596,604,592,603,740800,443449700
2015-04-15,599,600,596,596,601900,359386000
2015-04-14,601,604,601,601,404400,243478500
2015-04-13,599,608,593,605,1007300,606879400
2015-04-10,603,604,596,599,761700,456622500
2015-04-09,601,607,598,601,739900,445041200
2015-04-08,590,603,589,600,922300,549474400
2015-04-07,588,593,585,592,616300,363253000
2015-04-06,594,598,587,588,702900,416031600
2015-04-03,584,595,584,594,648700,384370500
2015-04-02,587,597,582,587,1028200,605442700
2015-04-01,575,593,575,587,1654000,967579500
2015-03-31,583,589,575,578,1278400,741514900
2015-03-30,593,595,581,583,989500,579255900
2015-03-27,603,619,588,592,2013500,1213315700
2015-03-26,637,640,630,631,1557000,986807500
2015-03-25,635,643,633,641,998400,637667600
2015-03-24,640,641,633,634,1335200,849877100
2015-03-23,630,648,629,642,2095100,1345255900
2015-03-20,628,628,618,626,1189800,742772000
2015-03-19,611,630,606,628,2415200,1493332000
2015-03-18,588,610,586,608,1900500,1142183000
2015-03-17,589,593,582,585,1022900,599611000
2015-03-16,580,589,580,584,906300,529664800
2015-03-13,580,587,576,580,1458400,847365300
2015-03-12,580,587,580,582,754200,439304500
2015-03-11,593,594,578,580,1780800,1040907200
2015-03-10,594,607,592,596,1669600,999946600
2015-03-09,581,599,581,591,1186600,701456000
2015-03-06,589,592,583,585,1064700,624075400
2015-03-05,586,594,586,589,737100,434838000
2015-03-04,584,591,582,589,2102400,1231160700
2015-03-03,605,615,589,592,2685500,1603822500
2015-03-02,621,626,605,608,1810000,1107746900
2015-02-27,620,627,619,624,861100,536227100
2015-02-26,633,637,617,620,1733700,1081870700
2015-02-25,640,644,628,631,1553100,983132200
2015-02-24,617,649,617,640,3024900,1928047500
2015-02-23,618,624,616,620,1360600,843866800
2015-02-20,612,620,611,619,1012800,624638200
2015-02-19,616,621,605,614,1408800,863667200
2015-02-18,602,620,602,618,2005700,1233210100
2015-02-17,624,627,602,608,2552400,1573362700
2015-02-16,628,636,622,630,2267100,1427402300
2015-02-13,619,628,616,626,2626400,1637069200
2015-02-12,619,629,614,615,1931800,1197049300
2015-02-10,614,615,605,612,1539200,940141000
2015-02-09,611,617,596,609,2230200,1358960100
2015-02-06,602,622,591,607,3903800,2365690800
2015-02-05,583,605,579,602,4484700,2672844100
2015-02-04,586,593,574,588,3959800,2308575900
2015-02-03,560,593,559,585,8946200,5180174600
2015-02-02,520,587,519,560,14325500,8040237800
2015-01-30,496,508,491,501,1372100,684832500
2015-01-29,500,505,492,497,1125600,561307900
2015-01-28,503,509,502,502,996600,502818600
2015-01-27,510,511,498,508,1277100,646041200
2015-01-26,486,512,486,508,3168700,1598039100
2015-01-23,492,492,484,487,901300,439275200
2015-01-22,481,490,479,490,1184300,577261700
2015-01-21,480,482,472,480,1256500,600606000
2015-01-20,470,484,468,483,1420200,679685900
2015-01-19,470,473,464,467,862500,403188600
2015-01-16,475,478,463,467,1695000,794959400
2015-01-15,467,487,466,485,2950400,1422938000
2015-01-14,464,468,461,463,899300,418179200
2015-01-13,461,468,460,467,806200,373983000
2015-01-09,463,464,460,464,681800,314904500
2015-01-08,462,464,458,459,524600,241534600
2015-01-07,458,464,456,457,1090600,500894500
2015-01-06,471,473,459,459,1507100,699456100
2015-01-05,469,479,467,477,1043000,495982100
2014-12-30,469,472,464,467,551800,257870500
2014-12-29,466,474,460,468,1015100,475660400
2014-12-26,464,469,462,465,664500,309331100
2014-12-25,470,470,456,460,1699700,783704600
2014-12-24,479,479,467,469,1362700,643514900
2014-12-22,467,477,465,475,1461900,691387800
2014-12-19,479,481,464,467,1372000,644581500
2014-12-18,486,494,469,474,2473700,1190421200
2014-12-17,451,483,451,480,3965600,1875670600
2014-12-16,440,461,440,458,3584700,1629884400
2014-12-15,440,447,438,442,1075100,476644300
2014-12-12,435,443,435,443,1509400,661502000
2014-12-11,436,439,433,436,786000,342797400
2014-12-10,443,447,433,440,1111600,490392400
2014-12-09,450,451,447,447,1001400,449609900
2014-12-08,457,461,453,455,985700,450328100
2014-12-05,455,457,445,456,1287500,581502900
2014-12-04,463,467,455,456,895800,410975600
2014-12-03,469,469,456,459,1656400,765835900
2014-12-02,457,466,456,463,1198300,554213900
2014-12-01,460,463,453,457,1468400,672244200
2014-11-28,450,459,450,456,1476500,672269300
2014-11-27,449,455,447,448,1117400,503784400
2014-11-26,450,455,448,448,1080400,486553700
2014-11-25,455,463,447,450,2504500,1138321400
2014-11-21,424,450,422,447,3051300,1339728600
2014-11-20,424,427,420,423,1465300,619689400
2014-11-19,424,424,420,421,1321100,557326400
2014-11-18,421,423,418,420,1229200,516392000
2014-11-17,426,430,418,421,1396800,590641400
2014-11-14,430,434,423,425,1349100,576799300
2014-11-13,419,431,417,429,1862800,786518300
2014-11-12,424,426,418,420,1509600,635932500
2014-11-11,430,430,421,422,1601900,681493200
2014-11-10,434,435,427,428,1196700,515838800
2014-11-07,442,445,433,435,1380800,604064500
2014-11-06,454,462,443,443,1463600,659109200
2014-11-05,466,471,450,455,1781100,815525000
2014-11-04,466,474,449,470,3753100,1744215200
2014-10-31,411,427,411,424,1958700,823896000
2014-10-30,407,413,403,408,1536100,628173900
2014-10-29,397,414,396,409,1788100,727002600
2014-10-28,396,397,393,394,983000,388018600
2014-10-27,400,402,396,397,1130500,451106200
2014-10-24,396,400,395,396,1278500,507211900
2014-10-23,403,403,392,396,1115800,444484700
2014-10-22,404,406,399,405,990900,398500100
2014-10-21,407,408,399,400,866700,349346100
2014-10-20,409,410,403,409,911500,371126300
2014-10-17,400,407,390,393,1619500,643017100
2014-10-16,400,402,391,394,2402400,955756300
2014-10-15,418,420,403,407,1884800,770694200
2014-10-14,424,425,417,419,1753800,738768800
2014-10-10,429,437,426,429,1753700,754935000
2014-10-09,442,444,439,440,779300,343776800
2014-10-08,448,448,435,438,2663600,1173617100
2014-10-07,471,473,452,454,1421700,653305900
2014-10-06,476,479,469,471,551600,260668200
2014-10-03,455,470,455,469,828000,385113900
2014-10-02,455,460,452,455,1510500,687912400
2014-10-01,472,475,459,466,1842900,860174100
2014-09-30,480,483,471,474,1653600,786889200
2014-09-29,493,494,478,484,1812300,876321600
2014-09-26,492,497,488,492,815600,401285800
2014-09-25,499,503,493,496,705300,349789200
