6728-T,東証1部,アルバック,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2015,2058,2002,2041,202800,412582900
2015-10-01,1980,2072,1980,2042,404900,829063700
2015-09-30,1948,1970,1927,1940,231400,449313100
2015-09-29,1965,1965,1898,1906,212700,408594400
2015-09-28,2017,2098,1989,2006,322800,658036100
2015-09-25,1983,2015,1954,1988,222600,440425000
2015-09-24,1973,2026,1961,1975,265900,530563900
2015-09-18,1986,2037,1965,2019,244900,493666300
2015-09-17,1966,2016,1966,2009,192000,383368000
2015-09-16,1957,1987,1937,1979,185200,364051200
2015-09-15,1939,1978,1925,1938,141100,274970000
2015-09-14,1960,1970,1905,1921,162800,313599900
2015-09-11,1916,1995,1905,1949,363700,708324100
2015-09-10,1900,1926,1887,1900,181300,345180000
2015-09-09,1854,1950,1849,1948,254100,486690700
2015-09-08,1812,1848,1784,1787,98000,177130900
2015-09-07,1781,1830,1755,1804,115200,207103600
2015-09-04,1860,1860,1780,1799,184700,335575900
2015-09-03,1855,1878,1824,1845,273900,506991700
2015-09-02,1820,1898,1820,1847,189800,353467600
2015-09-01,1945,1956,1892,1892,254700,488956700
2015-08-31,1959,1973,1907,1933,265100,511784400
2015-08-28,1920,2018,1920,1991,311200,617723400
2015-08-27,1970,1993,1866,1870,304000,581314400
2015-08-26,1837,1923,1810,1910,367300,686830000
2015-08-25,1800,1891,1735,1801,443300,809407100
2015-08-24,1932,1955,1871,1880,433000,825593400
2015-08-21,1982,2022,1966,1972,350500,696226300
2015-08-20,2040,2069,2019,2031,250700,511541500
2015-08-19,2056,2098,2040,2040,301200,621868600
2015-08-18,2048,2087,2021,2086,361300,746806800
2015-08-17,2033,2060,1994,2060,492200,1003811200
2015-08-14,1895,2029,1891,2023,1274600,2521592800
2015-08-13,1932,1998,1850,1932,2783300,5345459500
2015-08-12,1705,1744,1631,1652,473100,791006800
2015-08-11,1750,1753,1649,1691,906600,1538317100
2015-08-10,1810,1811,1751,1778,294600,524812400
2015-08-07,1819,1843,1805,1811,340000,617927900
2015-08-06,1802,1843,1801,1823,192600,352125200
2015-08-05,1739,1818,1739,1791,174700,314028600
2015-08-04,1781,1787,1730,1750,148900,261096200
2015-08-03,1783,1791,1760,1761,130800,231761600
2015-07-31,1747,1794,1740,1792,121500,215886700
2015-07-30,1710,1767,1708,1750,150900,264306200
2015-07-29,1731,1735,1702,1709,209300,359142200
2015-07-28,1724,1755,1714,1744,194100,336561300
2015-07-27,1778,1800,1751,1761,148900,262979800
2015-07-24,1826,1826,1780,1802,236900,425219700
2015-07-23,1837,1837,1777,1805,221700,398578600
2015-07-22,1852,1865,1850,1853,88800,164832500
2015-07-21,1860,1894,1851,1892,208700,390560100
2015-07-17,1847,1869,1805,1865,218700,404120600
2015-07-16,1860,1867,1834,1844,217100,401209700
2015-07-15,1833,1843,1793,1814,298900,540885200
2015-07-14,1767,1846,1752,1831,266300,484021600
2015-07-13,1754,1774,1735,1750,227200,399034000
2015-07-10,1774,1786,1743,1750,170100,300024100
2015-07-09,1728,1785,1676,1781,238300,413547600
2015-07-08,1821,1824,1785,1787,255800,461087900
2015-07-07,1847,1848,1825,1834,109700,201000900
2015-07-06,1855,1876,1805,1820,279300,513592400
2015-07-03,1860,1861,1816,1836,281500,515269400
2015-07-02,1879,1880,1842,1864,198500,370579100
2015-07-01,1873,1873,1834,1839,292700,539838700
2015-06-30,1872,1885,1842,1885,165800,309525500
2015-06-29,1871,1888,1858,1871,308700,577190400
2015-06-26,1980,1981,1942,1946,206200,402966000
2015-06-25,2002,2034,1971,1998,195700,389623100
2015-06-24,2005,2056,1991,2023,234200,476270500
2015-06-23,1999,1999,1971,1990,120900,240575100
2015-06-22,1930,1975,1911,1971,339300,659375700
2015-06-19,1957,1967,1915,1953,357600,693549900
2015-06-18,1934,1948,1903,1941,225700,434301200
2015-06-17,1976,1976,1922,1935,271300,526529600
2015-06-16,1991,1992,1960,1969,214200,422063700
2015-06-15,1980,2008,1951,2003,149700,296540600
2015-06-12,1987,2016,1984,1995,188000,375399300
2015-06-11,1970,1991,1963,1987,147500,292458700
2015-06-10,1997,1997,1942,1956,224600,439310900
2015-06-09,2021,2021,1966,1973,307100,609192800
2015-06-08,2044,2068,2032,2040,107900,220513900
2015-06-05,2050,2051,2008,2044,276500,561576400
2015-06-04,2100,2100,2063,2071,162300,337541800
2015-06-03,2101,2102,2060,2080,213300,443588700
2015-06-02,2152,2161,2101,2124,146200,310305000
2015-06-01,2137,2158,2131,2146,125700,269478300
2015-05-29,2098,2154,2084,2140,237200,505415500
2015-05-28,2100,2143,2098,2118,348600,740823800
2015-05-27,2058,2096,2041,2092,243900,506441200
2015-05-26,2055,2078,2043,2071,138200,285184500
2015-05-25,2090,2110,2044,2078,372100,770140700
2015-05-22,2042,2059,2022,2059,204500,417893400
2015-05-21,2037,2114,2032,2059,373100,769462500
2015-05-20,2000,2101,1999,2017,805600,1648454200
2015-05-19,1930,1990,1930,1989,362300,712392300
2015-05-18,1905,1985,1869,1930,570100,1103479200
2015-05-15,2065,2065,1893,1924,1412300,2778392100
2015-05-14,2012,2115,1980,2082,356700,739797800
2015-05-13,2040,2073,2021,2046,172200,353636900
2015-05-12,2018,2069,2003,2062,202600,414176600
2015-05-11,1996,2039,1994,2031,156500,316600800
2015-05-08,2008,2018,1976,1982,164900,328265900
2015-05-07,1990,2023,1985,1992,204300,407387300
2015-05-01,2045,2048,2002,2019,153800,309868600
2015-04-30,2041,2066,1993,2046,324700,660461300
2015-04-28,2126,2134,2066,2077,285400,594767000
2015-04-27,2137,2213,2097,2120,497100,1077856000
2015-04-24,2133,2179,2081,2109,741800,1580187100
2015-04-23,2054,2160,2025,2130,676300,1428021900
2015-04-22,1930,2095,1930,2053,612800,1254878600
2015-04-21,1965,1972,1928,1946,131800,256560100
2015-04-20,1988,1999,1960,1965,252200,498595600
2015-04-17,1976,2047,1962,2020,509500,1022439400
2015-04-16,1892,1999,1888,1972,575800,1132264400
2015-04-15,1883,1899,1864,1875,210000,393978400
2015-04-14,1857,1893,1857,1865,95700,179295500
2015-04-13,1860,1869,1827,1856,223100,410903200
2015-04-10,1890,1907,1863,1878,175800,330482500
2015-04-09,1856,1914,1835,1888,291300,549740600
2015-04-08,1840,1858,1826,1829,156600,288198900
2015-04-07,1821,1838,1813,1833,206600,377131300
2015-04-06,1786,1829,1786,1808,163300,295265800
2015-04-03,1787,1827,1773,1826,201700,364373900
2015-04-02,1782,1833,1779,1805,188200,339897800
2015-04-01,1825,1843,1764,1785,345600,618134000
2015-03-31,1826,1889,1816,1847,259700,482462700
2015-03-30,1824,1824,1762,1805,331100,593824500
2015-03-27,1872,1900,1821,1830,179700,333692200
2015-03-26,1983,1991,1858,1867,478900,914107800
2015-03-25,1923,1930,1890,1915,166300,317643800
2015-03-24,1961,1970,1909,1926,221900,429929300
2015-03-23,1941,1995,1936,1962,353700,698590800
2015-03-20,1930,1945,1916,1929,244600,472381400
2015-03-19,1920,1957,1918,1932,374300,725260800
2015-03-18,1927,1958,1907,1943,263800,510759600
2015-03-17,2000,2005,1927,1936,296900,577542400
2015-03-16,1980,2008,1943,1968,433700,859294400
2015-03-13,1902,1973,1887,1944,859200,1664980400
2015-03-12,1850,1887,1793,1881,402900,741280500
2015-03-11,1811,1862,1810,1839,243600,449534400
2015-03-10,1793,1881,1791,1832,429200,792009900
2015-03-09,1732,1859,1732,1809,498300,899690000
2015-03-06,1705,1754,1705,1725,187900,324873500
2015-03-05,1748,1751,1703,1710,267300,458462500
2015-03-04,1771,1780,1736,1748,211300,370808300
2015-03-03,1824,1828,1766,1778,196300,349987500
2015-03-02,1818,1825,1803,1812,139400,252936700
2015-02-27,1854,1863,1807,1817,271500,496592600
2015-02-26,1855,1879,1851,1862,153500,285986600
2015-02-25,1861,1892,1851,1861,200300,374527400
2015-02-24,1900,1927,1856,1862,394900,744504800
2015-02-23,1889,1900,1857,1888,566000,1065941700
2015-02-20,1785,1799,1766,1796,197500,353196500
2015-02-19,1790,1815,1768,1783,267400,479168400
2015-02-18,1820,1839,1782,1791,416000,750752000
2015-02-17,1750,1824,1744,1809,378100,681181100
2015-02-16,1789,1794,1712,1778,975100,1722286100
2015-02-13,1602,1648,1591,1612,378000,609958000
2015-02-12,1695,1696,1594,1617,585300,950364300
2015-02-10,1644,1695,1641,1681,343100,575943500
2015-02-09,1637,1652,1630,1649,241800,397853700
2015-02-06,1622,1655,1610,1612,211600,344418400
2015-02-05,1618,1629,1597,1602,105500,169753500
2015-02-04,1626,1646,1616,1634,198100,323886400
2015-02-03,1636,1647,1588,1597,266300,427371300
2015-02-02,1662,1684,1632,1635,214500,353315700
2015-01-30,1671,1727,1671,1700,285500,486044700
2015-01-29,1671,1690,1649,1670,379000,633164500
2015-01-28,1667,1700,1664,1696,168700,285057400
2015-01-27,1703,1705,1676,1686,168500,284348900
2015-01-26,1660,1710,1660,1703,225000,378765200
2015-01-23,1739,1751,1687,1700,165400,282923000
2015-01-22,1695,1720,1678,1699,192300,326730300
2015-01-21,1712,1714,1657,1673,303700,507952200
2015-01-20,1710,1730,1691,1724,268700,460985500
2015-01-19,1735,1748,1688,1706,277500,474895500
2015-01-16,1708,1744,1673,1740,367100,627849000
2015-01-15,1724,1752,1694,1745,299000,517805900
2015-01-14,1764,1772,1703,1706,364500,628193200
2015-01-13,1780,1812,1764,1787,225500,401894300
2015-01-09,1846,1850,1794,1799,221700,402256600
2015-01-08,1848,1861,1830,1837,223300,412255000
2015-01-07,1796,1838,1770,1826,245500,446169600
2015-01-06,1830,1878,1803,1818,416600,765905600
2015-01-05,1832,1882,1809,1870,314200,584981700
2014-12-30,1886,1886,1838,1846,271200,503923900
2014-12-29,1905,1918,1874,1886,369200,699854600
2014-12-26,1861,1914,1857,1904,424900,800178400
2014-12-25,1852,1895,1850,1879,306400,574262100
2014-12-24,1901,1901,1853,1867,221000,412849600
2014-12-22,1890,1892,1845,1878,380300,711031000
2014-12-19,1901,1924,1860,1869,873500,1650236900
2014-12-18,1875,1929,1870,1886,670500,1273967200
2014-12-17,1795,1859,1774,1832,578100,1055840200
2014-12-16,1779,1854,1775,1813,653700,1187341400
2014-12-15,1800,1875,1782,1819,1368900,2510238400
2014-12-12,1650,1718,1644,1714,698200,1175071300
2014-12-11,1594,1648,1585,1640,1374600,2235499500
2014-12-10,1666,1687,1633,1650,1103600,1830458000
2014-12-09,1670,1700,1655,1690,1298100,2176396000
2014-12-08,1691,1696,1671,1683,185700,312596400
2014-12-05,1675,1690,1653,1690,249100,418070200
2014-12-04,1685,1700,1669,1675,176800,297055200
2014-12-03,1635,1683,1635,1668,317600,527973200
2014-12-02,1622,1638,1569,1632,590800,947373400
2014-12-01,1640,1647,1626,1638,203800,333905500
2014-11-28,1595,1644,1593,1641,423800,691308900
2014-11-27,1596,1615,1582,1595,373800,597965700
2014-11-26,1595,1622,1568,1616,425100,681472000
2014-11-25,1564,1594,1554,1589,294100,465418200
2014-11-21,1562,1562,1516,1549,250700,385675100
2014-11-20,1547,1564,1512,1562,478200,735431900
2014-11-19,1556,1587,1532,1547,367700,572058500
2014-11-18,1483,1552,1482,1552,436300,666134800
2014-11-17,1510,1518,1474,1483,306000,457004700
2014-11-14,1532,1546,1481,1523,401300,606625800
2014-11-13,1480,1540,1466,1532,786400,1183339500
2014-11-12,1400,1550,1400,1506,1947400,2916747900
