6753-T,東証1部,シャープ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,137,140,135,136,16035000,2203623000
2015-10-01,136,141,133,140,39495000,5423658000
2015-09-30,141,141,132,137,40484000,5496373000
2015-09-29,146,147,138,139,38369000,5407076000
2015-09-28,148,151,146,147,18682000,2770876000
2015-09-25,147,151,139,146,72912000,10599187000
2015-09-24,163,164,155,155,34156000,5420543000
2015-09-18,166,166,164,164,11507000,1896245000
2015-09-17,167,168,165,166,13372000,2226794000
2015-09-16,167,167,165,167,4044000,672726000
2015-09-15,167,170,165,165,18635000,3122195000
2015-09-14,168,169,165,165,19173000,3202035000
2015-09-11,169,171,166,166,14048000,2365405000
2015-09-10,169,172,168,170,13221000,2248711000
2015-09-09,168,172,166,172,15832000,2682275000
2015-09-08,165,169,164,164,12865000,2137667000
2015-09-07,165,166,163,164,17195000,2829090000
2015-09-04,168,171,166,166,28251000,4744734000
2015-09-03,172,174,169,169,21165000,3604430000
2015-09-02,169,174,168,169,22933000,3914012000
2015-09-01,177,179,171,172,29179000,5103369000
2015-08-31,180,187,176,177,61618000,11165322000
2015-08-28,172,184,172,183,72680000,12996592000
2015-08-27,172,173,166,168,20802000,3528196000
2015-08-26,168,174,166,172,43004000,7372669000
2015-08-25,160,171,158,164,51198000,8428446000
2015-08-24,167,175,162,162,67901000,11374648000
2015-08-21,168,169,166,166,21840000,3651959000
2015-08-20,171,172,169,170,16361000,2789088000
2015-08-19,172,173,171,171,14737000,2532832000
2015-08-18,174,174,172,172,13087000,2262116000
2015-08-17,175,175,171,174,21192000,3664841000
2015-08-14,176,178,174,174,23096000,4052007000
2015-08-13,175,179,174,175,29018000,5109451000
2015-08-12,176,179,172,175,37287000,6534054000
2015-08-11,172,177,172,176,34818000,6068591000
2015-08-10,170,172,169,172,6755000,1155365000
2015-08-07,169,172,168,171,9382000,1596420000
2015-08-06,172,174,169,171,16763000,2861339000
2015-08-05,170,173,169,172,19344000,3316740000
2015-08-04,165,171,163,169,24198000,4062516000
2015-08-03,165,171,165,165,28551000,4770311000
2015-07-31,163,166,163,164,15077000,2474633000
2015-07-30,162,165,160,164,33428000,5451630000
2015-07-29,166,167,160,161,31876000,5201639000
2015-07-28,163,167,162,164,27838000,4589806000
2015-07-27,167,169,163,164,44154000,7310874000
2015-07-24,167,171,165,165,29221000,4887257000
2015-07-23,175,176,167,167,39904000,6809559000
2015-07-22,174,177,172,174,37985000,6633188000
2015-07-21,168,176,167,176,55655000,9575440000
2015-07-17,168,170,164,166,77255000,12870808000
2015-07-16,174,175,170,172,49711000,8564039000
2015-07-15,179,180,173,174,53924000,9526049000
2015-07-14,185,185,176,178,77141000,13905409000
2015-07-13,172,179,172,179,56145000,9934787000
2015-07-10,166,174,164,172,73946000,12597933000
2015-07-09,158,168,155,166,57992000,9294926000
2015-07-08,165,167,161,161,27006000,4408706000
2015-07-07,162,172,162,165,51847000,8643034000
2015-07-06,162,164,161,161,24574000,3982267000
2015-07-03,162,170,161,164,90778000,15073037000
2015-07-02,154,165,153,164,74203000,11824043000
2015-07-01,148,153,148,151,36634000,5532081000
2015-06-30,152,153,147,149,70977000,10612803000
2015-06-29,154,156,152,154,43603000,6727773000
2015-06-26,160,162,157,158,50219000,7964269000
2015-06-25,161,162,160,160,15679000,2522751000
2015-06-24,161,163,159,162,42570000,6857638000
2015-06-23,165,166,160,163,61010000,9906883000
2015-06-22,167,171,165,166,53326000,8969594000
2015-06-19,166,167,163,167,45003000,7432223000
2015-06-18,169,169,165,165,20155000,3358304000
2015-06-17,171,171,168,168,18122000,3064976000
2015-06-16,171,171,170,170,6277000,1069135000
2015-06-15,171,172,170,170,8335000,1423073000
2015-06-12,171,171,170,170,10245000,1747644000
2015-06-11,171,172,170,172,19962000,3417979000
2015-06-10,170,173,169,169,42652000,7281410000
2015-06-09,168,169,166,168,33666000,5638395000
2015-06-08,171,172,169,169,11019000,1874362000
2015-06-05,171,172,168,171,50180000,8528707000
2015-06-04,172,174,172,172,12523000,2163864000
2015-06-03,171,173,170,172,30245000,5202548000
2015-06-02,174,174,170,172,30350000,5219186000
2015-06-01,172,176,171,173,33375000,5790343000
2015-05-29,171,174,167,174,68634000,11717640000
2015-05-28,173,174,170,170,34403000,5907755000
2015-05-27,174,177,172,172,41444000,7228312000
2015-05-26,171,177,171,174,52212000,9088656000
2015-05-25,168,177,167,173,79735000,13739515000
2015-05-22,166,168,164,166,54171000,9005507000
2015-05-21,167,170,165,165,66393000,11072441000
2015-05-20,171,173,167,167,105873000,17978613000
2015-05-19,166,174,163,171,165397000,27906032000
2015-05-18,182,185,161,169,281036000,48031034000
2015-05-15,201,204,177,186,245665000,46409268000
2015-05-14,200,207,199,200,93318000,18930021000
2015-05-13,212,217,200,202,173292000,35991912000
2015-05-12,195,213,193,211,187329000,38045009000
2015-05-11,178,210,178,190,328943000,63565997000
2015-05-08,256,261,256,258,10700000,2765940000
2015-05-07,258,261,255,257,11301000,2910633000
2015-05-01,257,262,254,260,21304000,5500879000
2015-04-30,261,263,259,260,16995000,4435775000
2015-04-28,264,268,262,262,15831000,4180908000
2015-04-27,269,270,263,265,13628000,3618199000
2015-04-24,273,273,267,268,20099000,5410914000
2015-04-23,266,273,266,272,39834000,10769220000
2015-04-22,260,265,258,264,34166000,8941360000
2015-04-21,259,260,255,259,22616000,5833500000
2015-04-20,257,263,255,257,37662000,9757068000
2015-04-17,283,289,257,261,103704000,27945287000
2015-04-16,264,281,263,277,106303000,29268349000
2015-04-15,264,269,261,265,31573000,8339605000
2015-04-14,251,267,251,264,67228000,17543579000
2015-04-13,246,251,244,250,20563000,5103745000
2015-04-10,242,246,241,244,12066000,2935722000
2015-04-09,248,248,242,243,13442000,3295163000
2015-04-08,251,252,247,248,21252000,5289203000
2015-04-07,243,251,243,251,26375000,6562002000
2015-04-06,243,247,240,245,44662000,10918017000
2015-04-03,235,235,230,231,12338000,2862682000
2015-04-02,231,234,229,231,15338000,3542369000
2015-04-01,235,237,231,231,17582000,4088931000
2015-03-31,241,241,235,235,18585000,4410404000
2015-03-30,237,241,235,238,14690000,3503170000
2015-03-27,243,245,237,238,19624000,4719527000
2015-03-26,245,246,242,243,14760000,3597470000
2015-03-25,254,254,247,249,20563000,5161796000
2015-03-24,250,255,249,254,30690000,7765718000
