6754-T,東証1部,アンリツ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,735,757,734,753,1017600,760589100
2015-10-01,729,740,721,735,928300,678788400
2015-09-30,716,735,716,725,1553500,1129130900
2015-09-29,744,744,712,716,1958700,1415429600
2015-09-28,757,759,748,754,534900,402961500
2015-09-25,768,772,754,758,1149400,873338000
2015-09-24,777,778,762,764,1072800,823409300
2015-09-18,785,800,779,792,2817300,2228890500
2015-09-17,795,800,785,788,604700,478596200
2015-09-16,782,793,776,789,615400,483849300
2015-09-15,774,792,774,779,694700,545089000
2015-09-14,790,793,766,774,1028400,795462800
2015-09-11,795,802,784,786,1086300,859479900
2015-09-10,770,789,769,780,1075300,838596300
2015-09-09,771,782,767,778,837600,649663900
2015-09-08,755,765,749,749,617400,466916500
2015-09-07,746,759,738,754,705800,529397000
2015-09-04,775,776,740,749,1284300,964225500
2015-09-03,769,787,763,766,1408200,1089849400
2015-09-02,757,769,751,755,1671600,1269880900
2015-09-01,809,809,773,774,1099800,861409400
2015-08-31,802,822,794,809,1538100,1239323100
2015-08-28,796,804,790,797,1118500,891292100
2015-08-27,782,787,772,777,1218400,948590600
2015-08-26,773,774,751,767,2220200,1691506500
2015-08-25,770,806,753,776,1763500,1375986200
2015-08-24,804,818,795,795,1198500,964029800
2015-08-21,835,853,835,845,644500,544855600
2015-08-20,871,873,858,860,706600,610822500
2015-08-19,890,892,877,880,666300,587249900
2015-08-18,897,907,895,897,892800,804229900
2015-08-17,897,900,891,895,440500,394640200
2015-08-14,888,899,883,895,553000,494214200
2015-08-13,889,899,885,891,477500,425826700
2015-08-12,888,894,880,890,512200,454631400
2015-08-11,890,900,884,897,1011000,905392400
2015-08-10,876,885,871,882,441400,388587000
2015-08-07,876,889,870,880,1017700,897116900
2015-08-06,879,882,872,874,684300,599793200
2015-08-05,853,878,853,872,724600,631250700
2015-08-04,861,866,853,865,1044700,898557400
2015-08-03,876,883,855,863,1097800,949996600
2015-07-31,836,888,834,888,3558900,3098685500
2015-07-30,809,820,806,816,881100,717705600
2015-07-29,808,809,799,802,846800,679245800
2015-07-28,805,812,798,804,1311000,1053618600
2015-07-27,822,824,813,816,1068600,873168800
2015-07-24,837,844,823,828,1224800,1016472600
2015-07-23,843,862,842,845,1283200,1091798600
2015-07-22,832,848,816,843,1606800,1341741900
2015-07-21,837,837,826,835,652700,542913800
2015-07-17,838,844,824,825,1823400,1510899700
2015-07-16,838,838,828,832,586700,488142900
2015-07-15,836,844,826,833,1018300,850402600
2015-07-14,826,827,818,823,842700,693153700
2015-07-13,796,823,792,820,1161400,942430600
2015-07-10,810,810,790,794,1087800,865766100
2015-07-09,802,812,781,810,1380200,1100471800
2015-07-08,821,822,815,817,1266800,1037476500
2015-07-07,825,829,818,823,723900,596332300
2015-07-06,820,826,816,823,648000,532129500
2015-07-03,830,835,824,829,529300,438787700
2015-07-02,835,839,826,835,660400,550595900
2015-07-01,830,834,819,830,597600,495528700
2015-06-30,820,828,815,826,927400,761141400
2015-06-29,841,852,828,828,1529000,1281623200
2015-06-26,856,857,850,856,468600,400195900
2015-06-25,858,861,851,853,664100,566812600
2015-06-24,877,888,864,866,934100,815594800
2015-06-23,871,880,865,876,767800,670992000
2015-06-22,864,869,857,866,782600,675501900
2015-06-19,848,870,834,866,2261800,1941832600
2015-06-18,850,851,841,842,865200,730966300
2015-06-17,862,870,850,853,1083700,927492900
2015-06-16,870,874,852,864,1589700,1372636800
2015-06-15,870,876,860,874,1188100,1032360100
2015-06-12,869,882,866,880,1120200,979350800
2015-06-11,879,879,865,869,688100,598197700
2015-06-10,878,879,866,869,971400,846351300
2015-06-09,907,907,885,885,738300,659258600
2015-06-08,915,915,904,911,597000,543262200
2015-06-05,905,917,901,914,1028100,935501500
2015-06-04,918,918,904,909,748900,681581000
2015-06-03,910,918,902,916,1378900,1257826200
2015-06-02,888,914,885,910,2760600,2495170800
2015-06-01,885,890,877,885,796600,704087400
2015-05-29,874,884,872,882,975200,859424200
2015-05-28,879,880,872,878,839300,736598100
2015-05-27,871,880,868,877,846500,741099300
2015-05-26,870,879,864,877,595000,519039300
2015-05-25,875,875,857,868,879400,760774000
2015-05-22,872,880,867,876,1030300,899651300
2015-05-21,855,873,854,870,1288300,1117754100
2015-05-20,853,854,847,854,851300,723522000
2015-05-19,852,857,846,852,876500,747109600
2015-05-18,852,855,844,850,743300,629926100
2015-05-15,855,856,845,850,858500,729593700
2015-05-14,856,866,851,852,952600,815211900
2015-05-13,855,862,851,860,999000,855828200
2015-05-12,841,858,841,854,1025300,874998600
2015-05-11,850,858,844,846,794300,674107700
2015-05-08,846,856,840,846,944900,801147500
2015-05-07,837,854,836,845,1291300,1090023400
2015-05-01,852,857,833,844,1214100,1021189100
2015-04-30,858,876,857,862,1517600,1311694600
2015-04-28,845,880,842,873,2826300,2452850200
2015-04-27,837,851,834,849,719900,608597200
2015-04-24,846,846,835,840,667900,561225400
2015-04-23,836,849,831,849,868100,733117400
2015-04-22,830,835,827,835,896900,745231600
2015-04-21,829,831,826,830,1269500,1051937800
2015-04-20,835,835,824,828,921000,763104100
2015-04-17,825,850,824,839,2069500,1736797900
2015-04-16,824,831,816,829,1097200,902935700
2015-04-15,837,837,825,826,686200,568856000
2015-04-14,843,845,839,841,454200,382509800
2015-04-13,822,844,821,834,1107300,926532800
2015-04-10,829,829,818,819,719000,591326700
2015-04-09,820,835,819,829,876300,726406000
2015-04-08,811,819,811,815,1041300,848040300
2015-04-07,810,815,807,810,1042700,844326200
2015-04-06,804,812,798,808,1443900,1161545000
2015-04-03,813,813,797,804,1500100,1203961700
2015-04-02,822,825,805,810,2063500,1672905300
2015-04-01,837,840,820,822,1687000,1396387400
2015-03-31,845,852,839,839,1207700,1019357300
2015-03-30,843,848,835,840,1152300,968093200
2015-03-27,855,857,845,852,1729100,1472610500
2015-03-26,868,872,863,869,936800,812737700
2015-03-25,871,874,866,873,997000,868097100
2015-03-24,867,875,861,871,927000,804985400
2015-03-23,863,872,857,871,1002600,867792500
2015-03-20,862,862,852,860,658300,563976500
2015-03-19,864,866,856,857,632400,543223600
2015-03-18,856,862,853,862,649700,557077500
2015-03-17,871,871,856,860,620500,535585900
2015-03-16,866,871,861,868,879100,761169600
2015-03-13,870,874,865,866,2108800,1832899900
2015-03-12,862,866,855,859,1211600,1043064700
2015-03-11,855,857,845,854,2513300,2142874000
2015-03-10,882,885,868,873,916200,799328400
2015-03-09,888,889,873,875,1170400,1027992100
2015-03-06,888,893,885,890,1165000,1035609900
2015-03-05,880,889,877,886,1839300,1626195700
2015-03-04,868,879,862,878,1407700,1227088000
2015-03-03,880,881,866,871,2156700,1884727800
2015-03-02,860,881,856,879,2302500,2006631900
2015-02-27,854,856,847,853,995900,848620200
2015-02-26,852,857,847,851,869600,740899100
2015-02-25,860,860,847,852,735600,626418100
2015-02-24,856,857,840,853,1239700,1052673200
2015-02-23,850,859,848,857,1226600,1047755100
2015-02-20,840,849,838,846,1137600,961788800
2015-02-19,840,845,836,838,1152600,968173200
2015-02-18,842,849,841,846,1260000,1065928100
2015-02-17,837,841,828,832,1437200,1198753700
2015-02-16,829,846,829,841,1337700,1123703000
2015-02-13,811,824,811,821,2144400,1755343300
2015-02-12,825,832,810,813,1945500,1592609800
2015-02-10,813,829,810,821,1912800,1570167700
2015-02-09,808,818,797,809,2060300,1667319600
2015-02-06,791,804,787,804,1878300,1501817800
2015-02-05,779,793,771,786,2277800,1786872400
2015-02-04,798,798,780,785,2033000,1599212900
2015-02-03,783,803,781,791,2196600,1740288000
2015-02-02,764,781,746,773,2779800,2126283000
2015-01-30,774,781,761,774,6075200,4687905800
2015-01-29,851,857,833,834,1352800,1138756700
2015-01-28,852,867,848,864,847900,727654400
2015-01-27,847,860,840,859,1571300,1339300700
2015-01-26,814,848,812,846,1169900,975582500
2015-01-23,815,824,813,823,825800,676880100
2015-01-22,800,810,798,809,458600,368839300
2015-01-21,811,811,799,802,877100,705109000
2015-01-20,797,816,795,812,990000,801383900
2015-01-19,805,806,795,798,1026400,821698400
2015-01-16,799,810,792,807,1382100,1104523700
2015-01-15,801,814,796,812,818100,659349700
2015-01-14,803,813,802,805,819500,660890600
2015-01-13,803,808,797,806,1108400,888615400
2015-01-09,828,830,810,815,988600,807977600
2015-01-08,829,855,823,826,783600,650193300
2015-01-07,816,829,815,825,969400,798169600
2015-01-06,826,831,818,821,981700,809291000
2015-01-05,834,851,827,842,686700,577156200
2014-12-30,844,850,838,841,863900,728305200
2014-12-29,868,869,842,847,1183300,1010788500
2014-12-26,852,871,852,869,1253500,1084666500
2014-12-25,848,858,848,852,1240600,1056721600
2014-12-24,841,855,837,850,1749300,1479769700
2014-12-22,836,844,830,835,1460200,1221010600
2014-12-19,844,846,829,835,1804200,1504916200
2014-12-18,839,843,830,833,1351500,1129310400
2014-12-17,811,830,809,824,2187700,1792509700
2014-12-16,819,828,800,824,2549000,2073267700
2014-12-15,855,860,833,837,1566500,1325093900
2014-12-12,877,884,863,864,1651200,1441237400
2014-12-11,876,885,868,878,1895800,1663182900
2014-12-10,890,898,885,896,1480300,1320814000
2014-12-09,888,905,881,905,2103000,1882311100
2014-12-08,889,907,888,906,2666700,2397103000
2014-12-05,880,881,866,880,1127500,987062500
2014-12-04,877,883,870,881,2045600,1796835900
2014-12-03,838,873,836,869,2872300,2474194300
2014-12-02,827,831,819,830,1289000,1066642900
2014-12-01,824,836,823,827,1632000,1353488800
2014-11-28,835,842,820,824,1376200,1138479400
2014-11-27,830,848,829,833,1265200,1058934000
2014-11-26,831,835,826,834,1351500,1123896500
2014-11-25,838,839,832,833,1345800,1124287400
2014-11-21,815,832,809,828,1572100,1290764600
2014-11-20,819,823,808,811,808100,657630100
2014-11-19,817,827,813,814,1118900,916409300
2014-11-18,810,813,805,810,1215800,983767100
2014-11-17,819,822,808,810,1238800,1007464300
2014-11-14,818,822,811,816,1465500,1196143100
2014-11-13,800,825,790,804,2057100,1647951900
2014-11-12,808,811,794,795,2622000,2095792500
2014-11-11,832,835,800,804,3891600,3149676500
2014-11-10,841,853,836,840,1951500,1645845400
2014-11-07,868,872,836,838,3699500,3150366500
2014-11-06,860,875,859,867,3331900,2892136000
2014-11-05,849,862,843,858,3666400,3130216600
2014-11-04,885,885,835,849,5792500,4944723400
2014-10-31,810,868,809,855,9433800,7955116700
2014-10-30,770,770,752,758,1507500,1145988000
2014-10-29,759,767,753,763,1170200,891171200
2014-10-28,753,754,746,751,764500,573794700
2014-10-27,761,762,753,758,908700,688841100
2014-10-24,770,773,753,758,974200,740822400
2014-10-23,753,774,750,760,1771500,1349727000
2014-10-22,753,755,736,750,1410200,1051044500
2014-10-21,756,760,743,744,1304000,977098500
2014-10-20,755,755,742,755,1797800,1349598500
2014-10-17,742,751,733,736,1582600,1172644900
2014-10-16,735,748,732,741,1667100,1236357800
2014-10-15,741,748,735,744,1377700,1019239600
2014-10-14,750,757,738,744,2099600,1564410800
2014-10-10,752,764,751,757,1610200,1216617200
2014-10-09,777,779,758,760,1525500,1167346300
2014-10-08,775,776,761,773,1890900,1452948600
2014-10-07,790,794,782,785,1187000,935861200
2014-10-06,796,800,785,790,1400800,1106561700
2014-10-03,790,794,777,783,2001100,1568099300
2014-10-02,805,807,786,792,2387600,1895946500
2014-10-01,839,840,815,819,2401000,1974763100
2014-09-30,864,865,833,837,4218500,3559874400
2014-09-29,895,895,870,873,1880500,1651796300
2014-09-26,897,901,886,888,1474100,1314910100
2014-09-25,914,914,905,910,899100,816624200
