6773-T,東証1部,パイオニア,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,262,268,258,264,5677400,1501495500
2015-10-01,266,267,255,266,14669200,3852618200
2015-09-30,261,265,253,259,11736300,3037226900
2015-09-29,261,263,249,251,15358500,3909126100
2015-09-28,274,275,266,268,7308600,1972308300
2015-09-25,283,288,268,275,14436900,3992807500
2015-09-24,279,288,276,284,14844600,4205371500
2015-09-18,276,283,273,281,16934300,4733321300
2015-09-17,274,278,265,271,16014500,4352545700
2015-09-16,262,276,259,273,17156600,4653923400
2015-09-15,267,269,257,260,11695100,3078495000
2015-09-14,265,269,258,267,14054500,3723450600
2015-09-11,250,260,250,257,11749500,2993390800
2015-09-10,244,260,243,258,17147000,4346371800
2015-09-09,251,260,243,248,24793100,6226918500
2015-09-08,231,256,230,245,33434400,8234999100
2015-09-07,222,229,215,226,9580700,2142284400
2015-09-04,230,230,214,217,8146200,1788595800
2015-09-03,231,232,227,230,6469900,1486814300
2015-09-02,225,231,222,225,7933700,1795496200
2015-09-01,233,240,223,226,17451800,4049187400
2015-08-31,222,223,217,220,2735900,600810300
2015-08-28,219,225,218,221,3267000,724469100
2015-08-27,220,220,212,215,5678600,1224250300
2015-08-26,211,219,206,215,8855000,1875501300
2015-08-25,209,222,203,208,8955000,1896290600
2015-08-24,228,230,218,220,5887200,1317853800
2015-08-21,238,241,234,234,3293400,778406300
2015-08-20,249,250,240,241,3680900,899006900
2015-08-19,250,257,247,250,7467800,1879778400
2015-08-18,247,251,245,250,7084300,1762134800
2015-08-17,247,249,242,246,5167300,1268491300
2015-08-14,246,251,241,244,8604200,2105589500
2015-08-13,242,248,238,248,18026500,4404442000
2015-08-12,229,240,229,238,11347900,2666751100
2015-08-11,228,230,226,226,2076900,472503000
2015-08-10,228,231,228,228,1426900,326424900
2015-08-07,236,236,230,230,2749700,639352100
2015-08-06,233,240,233,237,8914300,2103404000
2015-08-05,225,231,224,226,2715300,615149800
2015-08-04,226,229,222,222,2784800,624164200
2015-08-03,232,233,225,225,2094500,476137800
2015-07-31,228,234,227,232,3337400,774208900
2015-07-30,230,231,227,228,1699400,389180900
2015-07-29,231,231,225,228,2443300,556789400
2015-07-28,231,232,226,230,2857700,655061200
2015-07-27,235,239,232,234,7909900,1860843100
2015-07-24,231,234,230,234,1459900,339506100
2015-07-23,233,234,231,233,1638900,381056200
2015-07-22,230,233,229,231,2125200,491510600
2015-07-21,230,233,228,230,3024200,698265600
2015-07-17,230,230,225,228,1751000,397265800
2015-07-16,229,229,224,229,2473000,560912900
2015-07-15,231,232,227,228,2115500,484552000
2015-07-14,230,234,229,232,5648600,1310984800
2015-07-13,224,230,223,229,3988500,909198100
2015-07-10,221,224,219,223,2484700,551035300
2015-07-09,217,222,212,221,5312500,1155514700
2015-07-08,226,227,221,221,4122200,921286600
2015-07-07,224,226,222,225,2740300,615073300
2015-07-06,223,224,220,220,3050500,675650800
2015-07-03,221,226,221,226,1892100,424471500
2015-07-02,223,223,221,223,1513800,336346300
2015-07-01,222,224,221,221,1539400,341730800
2015-06-30,222,224,219,223,3365200,744935500
2015-06-29,221,224,220,221,3525600,782236700
2015-06-26,230,230,227,228,659900,150559900
2015-06-25,228,230,228,229,1352400,309299500
2015-06-24,233,233,230,231,2311100,533670500
2015-06-23,227,232,225,231,3263300,745103300
2015-06-22,223,226,223,226,1537900,345601200
2015-06-19,224,226,222,222,1754500,391892400
2015-06-18,223,224,222,224,1901300,424382600
2015-06-17,226,227,223,224,1870100,419799500
2015-06-16,230,231,226,226,1877500,427399000
2015-06-15,231,232,229,232,1490800,343913200
2015-06-12,231,233,230,233,4736400,1096848000
2015-06-11,230,230,226,228,3498400,797729300
2015-06-10,226,229,226,227,2856200,649974500
2015-06-09,233,233,226,228,4352300,997349400
2015-06-08,234,236,233,235,3777600,887167600
2015-06-05,233,235,231,234,4228200,985597800
2015-06-04,228,236,226,232,7845600,1814836200
2015-06-03,225,229,223,228,3884400,880104700
2015-06-02,220,226,220,225,6911300,1544499800
2015-06-01,218,220,217,220,4883800,1067427700
2015-05-29,221,222,218,219,6926500,1520938400
2015-05-28,227,228,222,222,3755200,840943200
2015-05-27,224,227,223,226,2073300,466607300
2015-05-26,225,226,223,223,2009500,450279600
2015-05-25,224,226,222,223,2991300,668822200
2015-05-22,226,227,223,224,8261000,1854328200
2015-05-21,232,234,227,229,4753300,1091286500
2015-05-20,237,238,232,232,3965800,928600400
2015-05-19,237,241,236,236,4996900,1191229700
2015-05-18,237,238,231,236,3563200,836400000
2015-05-15,239,239,234,237,2245400,531574600
2015-05-14,237,241,235,237,7450700,1770486600
2015-05-13,225,235,222,234,6308300,1445414700
2015-05-12,227,233,224,232,3102600,713245800
2015-05-11,234,234,229,229,3815400,881326400
2015-05-08,236,238,232,232,2795400,656433100
2015-05-07,231,243,231,238,6452500,1534955800
2015-05-01,229,231,228,231,5002600,1149664100
2015-04-30,231,232,228,231,5329900,1226947100
2015-04-28,234,235,233,234,1736900,406599900
2015-04-27,238,238,232,233,3045200,713006000
2015-04-24,238,239,234,236,3199800,757355000
2015-04-23,235,237,233,237,4285200,1010054300
2015-04-22,233,234,230,233,3492000,810814800
2015-04-21,233,234,230,232,2812800,653156300
2015-04-20,231,235,230,233,3240300,752994400
2015-04-17,242,242,234,235,6320700,1501315500
2015-04-16,240,243,236,242,6437500,1548126300
2015-04-15,241,243,238,240,5210600,1252998100
2015-04-14,235,243,234,241,7962700,1907674900
2015-04-13,237,238,233,235,10464500,2465020900
2015-04-10,224,236,223,234,13106900,3007921300
2015-04-09,222,224,221,222,3225000,716669900
2015-04-08,221,227,220,221,9118000,2033144500
2015-04-07,220,221,218,221,3859000,849000300
2015-04-06,219,220,217,220,1415300,309460400
2015-04-03,216,221,216,220,3021600,661336100
2015-04-02,217,218,215,216,3540400,766924900
2015-04-01,220,222,216,216,4084800,892588100
2015-03-31,217,223,217,219,4401400,968896800
2015-03-30,218,219,213,216,4664100,1006457200
2015-03-27,219,222,217,219,4363500,958814100
2015-03-26,222,223,220,220,2698700,595930500
2015-03-25,221,225,221,223,4409300,985559600
2015-03-24,224,225,220,220,6758100,1500644400
2015-03-23,224,225,222,225,2741000,613875800
2015-03-20,223,224,222,223,1651500,367895300
2015-03-19,223,224,221,223,3146800,701159600
2015-03-18,224,225,222,224,4242500,949782000
2015-03-17,226,227,223,224,3412500,766678700
2015-03-16,226,228,225,227,3718300,844066500
2015-03-13,229,229,226,227,4372200,998372500
2015-03-12,226,227,224,225,3422300,771404800
2015-03-11,222,228,220,227,4031000,906328300
2015-03-10,228,229,223,224,3764000,847976800
2015-03-09,226,230,226,227,3795900,864711000
2015-03-06,228,230,226,226,3150900,717525600
2015-03-05,227,230,226,228,2452500,559079400
2015-03-04,227,230,227,228,4449000,1014520800
2015-03-03,234,236,227,231,8932900,2060115200
2015-03-02,241,242,236,238,4246000,1011570700
2015-02-27,240,242,239,241,2662800,640063800
2015-02-26,240,241,237,241,4672400,1116704300
2015-02-25,241,243,238,240,6079100,1457947500
2015-02-24,247,250,242,245,5684600,1397558500
2015-02-23,241,252,241,247,10879000,2684976600
2015-02-20,244,245,240,240,2957900,715880000
2015-02-19,244,245,241,243,4685000,1138740600
2015-02-18,239,245,239,243,5562500,1349451000
2015-02-17,234,239,231,237,2915700,689951100
2015-02-16,232,235,232,234,2104900,491560400
2015-02-13,231,234,230,232,2837100,657534700
2015-02-12,236,238,231,231,3916900,917196100
2015-02-10,229,236,226,234,5913000,1372143400
2015-02-09,240,241,233,236,4341200,1029514300
2015-02-06,242,246,236,237,7103200,1710301500
2015-02-05,240,243,238,240,4651100,1118932900
2015-02-04,241,243,237,241,7709400,1850856500
2015-02-03,228,240,228,239,14239200,3331644000
2015-02-02,224,227,221,226,3715000,834825000
2015-01-30,223,224,220,223,2760300,613587900
2015-01-29,224,226,220,221,3374600,751374100
2015-01-28,218,227,217,226,5133400,1145209400
2015-01-27,223,223,218,218,1886200,415912500
2015-01-26,218,221,215,220,2946600,641619900
2015-01-23,221,223,217,218,3356500,733856800
2015-01-22,218,220,217,219,2611000,570858600
2015-01-21,219,221,216,218,2270600,496506200
2015-01-20,217,221,217,219,3854600,845301300
2015-01-19,222,224,215,217,4952100,1080168500
2015-01-16,224,226,220,222,4828600,1073044100
2015-01-15,224,227,223,227,2971800,670039300
2015-01-14,228,230,223,223,3619400,815016700
2015-01-13,231,232,226,229,4431200,1013908700
2015-01-09,242,244,230,232,8594800,2026537400
2015-01-08,248,249,238,242,10133400,2456829500
2015-01-07,232,247,232,245,8583300,2080392100
2015-01-06,234,238,232,234,3917400,919264600
2015-01-05,233,241,229,239,5293100,1247150000
2014-12-30,244,245,231,231,5637000,1334257200
2014-12-29,236,245,235,242,6918500,1667498100
2014-12-26,223,235,223,234,3891900,900749000
2014-12-25,227,228,223,223,2961500,667885300
2014-12-24,227,231,226,227,3755900,859206900
2014-12-22,221,226,219,226,2944700,657406100
2014-12-19,227,228,221,222,4978900,1115695500
2014-12-18,227,229,224,225,5445200,1230299700
2014-12-17,222,225,221,222,4718700,1052517000
2014-12-16,228,230,223,225,4621900,1046477900
2014-12-15,234,234,231,231,3219400,747586700
2014-12-12,239,241,234,235,7503500,1775895500
2014-12-11,241,243,239,241,3140200,756361900
2014-12-10,247,248,243,244,3485400,856030900
2014-12-09,254,255,250,250,2368100,599078800
2014-12-08,258,259,255,255,2198000,563692900
2014-12-05,258,258,255,256,2641900,678143700
2014-12-04,258,259,254,256,3319000,849629200
2014-12-03,256,259,253,257,6032400,1545215800
2014-12-02,257,257,253,253,3198800,814585300
2014-12-01,255,258,254,256,2612300,668643400
2014-11-28,255,257,252,253,2195100,556937800
2014-11-27,252,255,250,253,2681600,677441100
2014-11-26,258,258,252,253,3937800,999387500
2014-11-25,258,262,256,257,4199000,1085002200
2014-11-21,255,258,250,258,8478500,2159837400
2014-11-20,249,255,249,253,9491800,2392890600
2014-11-19,248,253,247,248,6620500,1650308600
2014-11-18,238,246,234,246,7421200,1798113900
2014-11-17,239,242,235,238,6294800,1499062200
2014-11-14,246,247,238,243,7869700,1907343500
2014-11-13,248,248,242,245,5403900,1320595400
2014-11-12,251,252,246,248,10312400,2566372000
2014-11-11,256,257,248,250,11105800,2803474800
2014-11-10,268,269,256,258,14578100,3784401600
2014-11-07,278,279,274,279,4872200,1348722700
2014-11-06,278,279,268,274,9675700,2664063700
2014-11-05,286,289,276,277,9647900,2705266500
2014-11-04,297,297,287,287,8816400,2563165300
2014-10-31,279,288,277,285,6590200,1863767600
2014-10-30,280,281,273,275,3316400,914407500
2014-10-29,275,281,275,279,3822400,1062595600
2014-10-28,266,276,266,273,4170900,1137925500
2014-10-27,279,279,268,269,5294400,1438551900
2014-10-24,282,283,273,275,4046800,1120213300
2014-10-23,277,282,274,278,5063800,1410243500
2014-10-22,275,279,274,277,3780900,1043451700
2014-10-21,280,281,269,270,4596600,1253092400
2014-10-20,271,281,269,279,6180100,1702357200
2014-10-17,262,268,261,263,6103800,1614202700
2014-10-16,261,267,258,262,5437700,1427687800
2014-10-15,268,274,268,270,6174400,1670034300
2014-10-14,263,270,262,266,5428500,1442975400
2014-10-10,269,275,268,273,6078800,1649041200
2014-10-09,287,288,272,274,6480000,1802794000
2014-10-08,289,293,282,285,5842800,1672387400
2014-10-07,290,304,290,295,7857600,2336122500
2014-10-06,294,295,289,291,4290200,1248505200
2014-10-03,286,290,285,289,3692300,1062077400
2014-10-02,292,296,287,290,6533000,1899064200
2014-10-01,300,307,299,299,4946100,1496257000
2014-09-30,310,311,299,301,5649200,1710907300
2014-09-29,306,312,302,310,7079900,2185811100
2014-09-26,297,300,295,299,3804700,1133076000
2014-09-25,299,306,299,302,6274300,1899961800
