6779-T,東証1部,日電波,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,832,836,817,830,45100,37345800
2015-10-01,835,840,820,834,58300,48519400
2015-09-30,827,836,817,830,42500,35122900
2015-09-29,839,839,814,816,53700,44351800
2015-09-28,844,860,844,850,38000,32329000
2015-09-25,834,857,823,857,62000,52233700
2015-09-24,855,863,834,836,67500,57210400
2015-09-18,857,870,850,870,54200,46575900
2015-09-17,882,883,868,872,56300,49297900
2015-09-16,865,887,865,873,73400,64327700
2015-09-15,878,878,855,855,47700,41299600
2015-09-14,861,889,858,870,132100,115730000
2015-09-11,852,857,836,854,93100,79208800
2015-09-10,803,841,803,837,71600,59268900
2015-09-09,805,822,803,820,68500,55919000
2015-09-08,779,803,779,783,46600,36876800
2015-09-07,779,787,767,783,74300,57734700
2015-09-04,792,808,775,788,119300,94033800
2015-09-03,800,805,790,790,74700,59315900
2015-09-02,799,800,782,794,126500,100274100
2015-09-01,820,820,802,802,65600,53232000
2015-08-31,832,842,823,829,38300,31787300
2015-08-28,819,845,819,830,68500,56877500
2015-08-27,815,833,801,806,74300,60572700
2015-08-26,797,817,785,809,104000,82891200
2015-08-25,800,835,780,782,210700,167549000
2015-08-24,860,861,817,820,156000,130644600
2015-08-21,887,895,878,879,82900,73414800
2015-08-20,903,911,900,903,49000,44350000
2015-08-19,931,933,911,912,52400,48316600
2015-08-18,920,938,919,931,64800,60296500
2015-08-17,919,920,906,920,74100,67842000
2015-08-14,940,940,927,929,50200,46865500
2015-08-13,931,958,931,952,166100,157773500
2015-08-12,945,946,936,940,69000,64949100
2015-08-11,945,959,939,948,193000,183185600
2015-08-10,894,940,894,939,187600,173181400
2015-08-07,882,902,882,895,45000,40197700
2015-08-06,890,899,890,894,50200,44907600
2015-08-05,882,897,876,892,60100,53236800
2015-08-04,897,898,877,885,55100,48805000
2015-08-03,897,900,892,900,28600,25644600
2015-07-31,887,898,883,897,35700,31854300
2015-07-30,883,889,878,883,70600,62390300
2015-07-29,885,886,876,885,53000,46745100
2015-07-28,876,883,872,879,110100,96581500
2015-07-27,897,897,885,886,79300,70495900
2015-07-24,904,907,895,897,41700,37455900
2015-07-23,906,907,894,907,63400,57171000
2015-07-22,905,908,900,905,51900,46903400
2015-07-21,918,918,907,910,37800,34475600
2015-07-17,920,920,907,910,38300,34878300
2015-07-16,919,920,910,917,32300,29534200
2015-07-15,920,923,910,916,64600,59144800
2015-07-14,913,925,910,916,71000,65045800
2015-07-13,906,906,896,901,36600,33013400
2015-07-10,897,899,883,891,75000,66889100
2015-07-09,890,898,871,894,145400,128295300
2015-07-08,928,929,904,904,100100,91094300
2015-07-07,913,938,913,933,89600,83298500
2015-07-06,908,917,906,909,76600,69789300
2015-07-03,923,926,915,918,68600,63128500
2015-07-02,928,932,920,923,45600,42190800
2015-07-01,906,926,906,920,70000,64198300
2015-06-30,910,919,908,914,82200,74934000
2015-06-29,928,928,912,912,123400,113070500
2015-06-26,944,945,937,937,65800,61866100
2015-06-25,952,952,942,944,64400,60926300
2015-06-24,954,958,948,952,84200,80286900
2015-06-23,950,955,943,952,113700,107847900
2015-06-22,947,949,942,946,61000,57686700
2015-06-19,947,952,940,947,88400,83558300
2015-06-18,954,954,943,943,80100,75925200
2015-06-17,955,957,951,952,46700,44501500
2015-06-16,952,960,951,952,62000,59146900
2015-06-15,970,970,953,955,76500,73321300
2015-06-12,963,969,956,960,95600,91931300
2015-06-11,977,977,951,954,146200,140798400
2015-06-10,964,971,957,964,59300,57206100
2015-06-09,976,985,959,961,103500,100745200
2015-06-08,980,987,972,982,102400,100305300
2015-06-05,982,989,973,981,163600,160470100
2015-06-04,950,986,949,981,265100,257798000
2015-06-03,924,960,923,952,369000,350095200
2015-06-02,924,926,918,921,67200,61963400
2015-06-01,919,931,919,924,114900,106421700
2015-05-29,922,928,914,915,131800,121009600
2015-05-28,919,927,918,922,143800,132685000
2015-05-27,912,919,908,915,121200,110847200
2015-05-26,910,915,907,910,102100,93097500
2015-05-25,912,912,905,908,99700,90484800
2015-05-22,902,910,902,909,108300,98064000
2015-05-21,907,908,903,905,147400,133416200
2015-05-20,914,914,903,907,168300,152666100
2015-05-19,905,913,905,911,121000,109909600
2015-05-18,905,908,897,901,196500,177020200
2015-05-15,909,916,902,905,224100,203044600
2015-05-14,909,918,907,908,272800,248407700
2015-05-13,915,918,906,906,345100,314107900
2015-05-12,942,948,905,917,704800,647490700
2015-05-11,988,999,983,994,127100,126116500
2015-05-08,971,983,965,982,91000,88587400
2015-05-07,968,980,966,969,80500,78157900
2015-05-01,986,994,962,971,193800,188172600
2015-04-30,985,997,984,991,99500,98416200
2015-04-28,1005,1007,982,985,145100,143827300
2015-04-27,996,1012,994,1002,86000,86168300
2015-04-24,1004,1006,992,994,76500,76315900
2015-04-23,990,1004,987,997,94200,93809500
2015-04-22,994,998,984,989,140900,139265100
2015-04-21,996,1001,983,988,139200,137940900
2015-04-20,992,1009,992,996,100100,100196600
2015-04-17,1021,1021,1000,1004,137400,138693400
2015-04-16,1019,1029,1007,1023,150900,153589600
2015-04-15,1050,1050,1012,1015,161400,165739000
2015-04-14,1025,1057,1025,1054,126900,133066700
2015-04-13,1030,1044,1029,1030,106200,109592400
2015-04-10,1035,1038,1027,1032,76400,78916900
2015-04-09,1044,1047,1025,1034,120800,124837600
2015-04-08,1044,1050,1035,1041,147100,153299500
2015-04-07,1026,1035,1016,1029,105300,108227200
