6788-T,東証1部,日本トリム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4600,4655,4525,4580,61300,280764000
2015-10-01,4500,4690,4475,4630,144500,666255000
2015-09-30,4180,4520,4165,4470,152000,669950000
2015-09-29,4175,4230,4050,4120,57000,235983000
2015-09-28,4220,4285,4140,4175,49000,204804000
2015-09-25,4100,4180,4085,4180,44800,185183500
2015-09-24,4090,4140,4025,4035,23900,97331000
2015-09-18,4165,4165,4075,4085,20200,82843000
2015-09-17,4115,4165,4035,4165,49200,202219500
2015-09-16,4150,4175,4075,4100,39700,163912000
2015-09-15,3985,4180,3885,4105,73900,301697500
2015-09-14,4100,4115,3955,4030,28400,114525500
2015-09-11,4120,4135,4055,4095,62500,256279500
2015-09-10,3950,3990,3850,3980,36300,142837000
2015-09-09,3800,3990,3760,3980,62400,242163500
2015-09-08,3705,3770,3620,3645,36100,132616000
2015-09-07,3695,3815,3610,3725,47100,174684500
2015-09-04,3860,3955,3695,3740,69100,262747500
2015-09-03,3940,3995,3890,3900,42400,167081000
2015-09-02,3895,4090,3865,3900,100000,395776500
2015-09-01,4180,4285,4015,4035,152000,633288500
2015-08-31,3960,4180,3920,4135,147000,599794000
2015-08-28,3880,3980,3830,3965,79700,313137000
2015-08-27,3745,3875,3685,3770,42800,161798500
2015-08-26,3555,3695,3555,3675,71100,257846000
2015-08-25,3300,3680,3285,3485,96900,339192500
2015-08-24,3610,3680,3445,3470,81500,288462000
2015-08-21,3690,3795,3690,3745,53300,199869500
2015-08-20,3805,3880,3805,3860,24800,95422000
2015-08-19,3925,3935,3735,3845,51100,196573500
2015-08-18,3950,3960,3925,3940,26800,105641000
2015-08-17,3950,4000,3910,3970,62000,245952500
2015-08-14,3870,3960,3855,3960,98200,384096500
2015-08-13,3835,3890,3830,3870,50700,195872500
2015-08-12,3885,3900,3840,3850,40100,155153500
2015-08-11,3885,3900,3855,3885,69800,271082000
2015-08-10,3825,3865,3810,3855,64400,247555000
2015-08-07,3750,3820,3730,3815,58200,220810500
2015-08-06,3785,3805,3755,3785,55900,211834000
2015-08-05,3680,3820,3680,3775,130100,491588000
2015-08-04,3705,3710,3665,3695,44100,162800000
2015-08-03,3690,3710,3660,3695,63200,233470000
2015-07-31,3645,3675,3550,3660,62700,226879000
2015-07-30,3640,3700,3610,3645,106300,388918000
2015-07-29,3520,3615,3510,3595,159300,568873500
2015-07-28,3300,3460,3290,3430,44900,151904000
2015-07-27,3405,3430,3330,3380,28700,97194000
2015-07-24,3485,3485,3400,3440,30700,105530000
2015-07-23,3480,3500,3450,3490,30500,106097000
2015-07-22,3475,3520,3410,3480,88500,308430000
2015-07-21,3340,3475,3340,3475,102000,348360000
2015-07-17,3275,3325,3240,3300,53800,176384000
2015-07-16,3205,3220,3185,3195,13800,44154000
2015-07-15,3175,3215,3145,3180,26200,83259000
2015-07-14,3175,3220,3130,3175,27900,88806000
2015-07-13,3065,3135,3065,3120,16500,51386000
2015-07-10,3170,3175,3035,3065,30500,94664500
2015-07-09,3015,3080,2850,3075,68000,201858600
2015-07-08,3215,3240,3080,3085,32200,100773500
2015-07-07,3135,3235,3135,3225,27400,87479000
2015-07-06,3205,3225,3120,3135,42100,133516000
2015-07-03,3260,3260,3215,3230,14500,46900500
2015-07-02,3245,3260,3220,3255,16500,53537000
2015-07-01,3250,3260,3220,3225,13300,42998000
2015-06-30,3195,3240,3180,3230,29000,93315000
2015-06-29,3250,3260,3200,3200,52800,170271500
2015-06-26,3330,3370,3300,3340,32200,107386500
2015-06-25,3335,3375,3325,3340,22700,76026000
2015-06-24,3330,3350,3310,3335,33100,110286500
2015-06-23,3300,3320,3280,3310,31300,103244500
2015-06-22,3270,3330,3255,3300,32200,106332500
2015-06-19,3260,3305,3245,3270,29600,96881500
2015-06-18,3290,3305,3240,3250,38700,126304500
2015-06-17,3280,3305,3275,3290,41300,135768000
2015-06-16,3355,3355,3280,3280,74400,245943500
2015-06-15,3360,3390,3340,3355,36400,122320000
2015-06-12,3430,3465,3395,3415,25900,88725000
2015-06-11,3385,3440,3310,3425,39400,133574000
2015-06-10,3470,3470,3320,3340,61700,207969000
2015-06-09,3490,3490,3420,3430,43800,151463500
2015-06-08,3325,3500,3325,3475,73700,253802000
2015-06-05,3315,3340,3290,3320,91400,302448500
2015-06-04,3410,3410,3335,3355,70300,236154500
2015-06-03,3460,3465,3405,3410,35100,120127500
2015-06-02,3470,3475,3405,3460,39500,136021500
2015-06-01,3430,3535,3410,3475,80700,280586000
2015-05-29,3400,3465,3360,3435,118000,403639500
2015-05-28,3515,3515,3420,3440,83100,288136500
2015-05-27,3540,3550,3495,3520,63700,223875000
2015-05-26,3625,3625,3595,3605,23300,84127500
2015-05-25,3590,3635,3570,3590,34500,123799500
2015-05-22,3615,3640,3590,3600,22400,80872500
2015-05-21,3610,3665,3570,3665,45000,162435000
2015-05-20,3620,3665,3600,3640,30200,109703000
2015-05-19,3635,3640,3585,3610,28800,104041500
2015-05-18,3720,3720,3570,3620,57800,209593000
2015-05-15,3700,3715,3600,3690,60200,220743000
2015-05-14,3620,3645,3600,3630,29400,106463000
2015-05-13,3715,3725,3585,3655,72100,263281500
2015-05-12,3805,3805,3715,3745,30300,113495000
2015-05-11,3815,3815,3725,3765,36100,135714000
2015-05-08,3800,3825,3700,3705,62700,234478000
2015-05-07,3625,3780,3625,3750,77000,285649000
2015-05-01,3690,3830,3585,3625,113300,416802000
2015-04-30,3795,3830,3690,3710,151600,570349000
2015-04-28,3545,3895,3545,3795,424100,1585072000
2015-04-27,3490,3490,3440,3475,23300,80901500
2015-04-24,3445,3470,3405,3440,25600,88063000
2015-04-23,3520,3520,3425,3460,43500,150921500
2015-04-22,3375,3515,3375,3500,99100,345116500
2015-04-21,3360,3375,3320,3340,32400,108349500
2015-04-20,3350,3430,3300,3380,41100,138870000
2015-04-17,3420,3530,3330,3360,99200,341036500
2015-04-16,3460,3460,3380,3420,34900,118883000
2015-04-15,3480,3500,3410,3460,56400,195228500
2015-04-14,3495,3495,3430,3490,68300,237669000
2015-04-13,3405,3490,3400,3460,67200,231645500
2015-04-10,3430,3435,3360,3405,45900,156076000
2015-04-09,3320,3425,3320,3410,71200,241599500
2015-04-08,3320,3400,3270,3325,128400,430172000
2015-04-07,3150,3330,3150,3320,135600,443508000
2015-04-06,3060,3140,3025,3140,39700,123558500
2015-04-03,3080,3105,3035,3055,17200,52717500
2015-04-02,3090,3150,3085,3105,46800,145899000
2015-04-01,3110,3160,3000,3070,92100,284750500
2015-03-31,3000,3130,3000,3110,77400,237997000
2015-03-30,2935,3010,2917,2968,44100,130646400
2015-03-27,2960,3005,2930,2944,47900,142062400
2015-03-26,3030,3050,3000,3010,57200,172971000
2015-03-25,3050,3080,3035,3060,36400,111248500
2015-03-24,3135,3140,3065,3095,31600,98091500
2015-03-23,3125,3145,3100,3115,33700,105318500
2015-03-20,3110,3135,3095,3120,31600,98409000
2015-03-19,3105,3145,3010,3085,86300,265193000
2015-03-18,3100,3135,3095,3105,21200,65941000
2015-03-17,3190,3190,3080,3090,54300,169338000
2015-03-16,3145,3160,3125,3140,45500,143003000
2015-03-13,3105,3140,3105,3110,60200,187657500
2015-03-12,3075,3110,3065,3095,47600,147142500
2015-03-11,3050,3075,3040,3060,47900,146340000
2015-03-10,3080,3105,3060,3065,59600,183735500
2015-03-09,3120,3180,3080,3095,80900,251877000
2015-03-06,3130,3185,3060,3090,50300,156555500
2015-03-05,3135,3195,3120,3130,42200,133087000
2015-03-04,3200,3215,3130,3170,64700,205304500
2015-03-03,3270,3335,3225,3250,64700,211380000
2015-03-02,3305,3320,3245,3245,64300,210186000
2015-02-27,3355,3385,3315,3340,37100,124271000
2015-02-26,3300,3390,3300,3375,64000,214849000
2015-02-25,3410,3415,3280,3295,105800,351177500
2015-02-24,3425,3470,3405,3440,43400,149409500
2015-02-23,3450,3485,3420,3430,34000,117122500
2015-02-20,3380,3470,3380,3435,53500,183350500
2015-02-19,3495,3500,3385,3410,63900,219782500
2015-02-18,3410,3500,3335,3495,119600,414312500
2015-02-17,3455,3495,3450,3470,89600,311123500
2015-02-16,3375,3455,3365,3440,117400,402413500
2015-02-13,3295,3385,3245,3370,94900,316592000
2015-02-12,3395,3550,3210,3285,255900,864009000
2015-02-10,3050,3325,3050,3300,335200,1084620000
2015-02-09,2920,3050,2920,3050,127200,383533500
2015-02-06,2894,2920,2835,2903,57100,164816400
2015-02-05,2895,2908,2828,2889,66600,192005300
2015-02-04,2810,2897,2810,2880,101000,289863200
2015-02-03,2710,2834,2710,2806,143700,401058700
2015-02-02,2630,2719,2616,2707,46900,125905800
2015-01-30,2570,2677,2570,2652,83800,218302400
2015-01-29,2700,2710,2630,2664,88400,236254900
2015-01-28,2670,2736,2635,2732,74200,200872500
