6789-T,東証1部,ローランドDG,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2582,2590,2530,2566,24400,62420600
2015-10-01,2585,2602,2554,2581,32900,84972500
2015-09-30,2530,2585,2515,2558,52800,134777600
2015-09-29,2530,2543,2440,2456,59700,148300300
2015-09-28,2546,2587,2530,2552,57700,147169800
2015-09-25,2554,2568,2504,2568,31800,80693300
2015-09-24,2592,2597,2523,2536,47600,121803900
2015-09-18,2681,2681,2584,2599,44600,116627900
2015-09-17,2600,2720,2594,2681,83300,222358400
2015-09-16,2493,2582,2470,2566,49100,125113600
2015-09-15,2450,2489,2434,2460,42400,104447200
2015-09-14,2548,2548,2441,2443,67600,166836600
2015-09-11,2565,2570,2512,2559,44500,113700700
2015-09-10,2520,2528,2463,2465,57500,143103700
2015-09-09,2499,2530,2482,2530,76300,190817700
2015-09-08,2453,2500,2431,2433,38300,94468600
2015-09-07,2400,2482,2390,2453,52400,127442000
2015-09-04,2528,2534,2425,2456,60400,149149400
2015-09-03,2590,2614,2526,2534,37500,96089200
2015-09-02,2586,2600,2526,2543,44100,113038300
2015-09-01,2712,2712,2615,2622,31600,83926800
2015-08-31,2742,2761,2686,2733,33600,91330700
2015-08-28,2699,2764,2650,2742,58000,158055900
2015-08-27,2665,2686,2569,2581,54600,143065800
2015-08-26,2506,2641,2476,2615,62300,160470100
2015-08-25,2500,2618,2420,2456,102200,255767500
2015-08-24,2616,2680,2547,2549,87900,228923000
2015-08-21,2741,2755,2680,2685,65400,177238300
2015-08-20,2800,2817,2755,2781,48000,133599900
2015-08-19,2840,2846,2806,2806,62000,174749100
2015-08-18,2900,2917,2841,2867,53600,153433000
2015-08-17,2894,2902,2854,2895,44700,128908600
2015-08-14,2908,2908,2830,2854,91800,261776700
2015-08-13,2912,2938,2870,2908,82100,238288100
2015-08-12,2997,3010,2910,2950,71900,211771700
2015-08-11,2999,3060,2975,3000,41900,126019700
2015-08-10,2980,3030,2943,3010,83400,248171500
2015-08-07,3045,3045,2940,2975,118100,351000000
2015-08-06,3030,3095,3030,3070,28800,88453500
2015-08-05,3015,3045,2985,3030,20800,62894800
2015-08-04,2995,3010,2958,3010,40700,121529600
2015-08-03,3060,3060,2985,2994,40200,121148700
2015-07-31,2974,3060,2932,3040,88100,263980500
2015-07-30,2974,2980,2921,2951,97800,288265400
2015-07-29,3035,3050,2962,2985,95300,285422300
