6791-T,東証1部,コロムビア,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,431,437,431,436,17500,7586800
2015-10-01,430,435,429,434,9800,4240100
2015-09-30,436,437,427,430,26700,11546400
2015-09-29,436,439,428,428,67100,29077700
2015-09-28,450,453,442,443,26700,11944000
2015-09-25,450,450,443,448,20500,9178400
2015-09-24,441,449,441,445,41200,18321800
2015-09-18,441,457,435,457,77600,34420500
2015-09-17,455,460,425,449,116600,52141600
2015-09-16,460,471,457,460,67900,31335900
2015-09-15,483,487,459,467,129300,61085400
2015-09-14,491,499,465,475,233400,112560600
2015-09-11,450,454,438,454,83000,37116800
2015-09-10,442,452,436,443,78600,34859700
2015-09-09,458,461,442,446,149500,67223900
2015-09-08,444,459,438,441,210600,93837800
2015-09-07,421,445,391,434,270100,114209700
2015-09-04,410,410,402,409,34200,13871000
2015-09-03,405,409,399,409,30800,12530500
2015-09-02,395,405,393,403,20000,8010100
2015-09-01,402,406,399,406,29800,12019100
2015-08-31,398,402,392,402,12700,5065100
2015-08-28,396,398,390,398,25600,10091400
2015-08-27,390,396,389,393,31700,12431900
2015-08-26,359,389,356,383,32800,12271500
2015-08-25,360,378,346,349,53300,19063200
2015-08-24,387,400,380,386,103400,40384800
2015-08-21,395,399,391,394,45200,17820400
2015-08-20,395,397,395,395,8600,3402700
2015-08-19,400,401,396,396,11100,4417900
2015-08-18,404,404,399,399,9100,3653100
2015-08-17,408,408,402,406,10300,4174600
2015-08-14,411,411,404,407,24800,10072700
2015-08-13,410,418,403,411,96000,39358900
2015-08-12,395,396,394,394,14400,5684000
2015-08-11,399,400,393,397,23100,9153400
2015-08-10,400,400,396,400,13200,5267000
2015-08-07,394,398,394,395,12400,4896900
2015-08-06,396,399,396,397,4600,1826300
2015-08-05,395,400,394,396,10000,3961400
2015-08-04,397,400,395,397,14800,5882200
2015-08-03,400,400,397,397,4500,1789500
2015-07-31,398,398,396,398,17200,6828300
2015-07-30,398,401,398,399,5200,2076500
2015-07-29,401,401,399,399,8100,3239600
2015-07-28,400,403,399,400,18900,7576300
2015-07-27,405,405,400,402,7500,3014100
2015-07-24,401,404,401,403,5100,2050000
2015-07-23,401,408,400,405,13000,5246700
2015-07-22,406,406,401,401,9200,3707500
2015-07-21,406,410,404,404,4600,1865700
2015-07-17,402,414,401,403,33400,13524500
2015-07-16,402,404,402,402,11200,4507300
2015-07-15,405,406,403,405,7200,2917400
2015-07-14,406,409,405,406,8600,3500300
2015-07-13,406,406,401,402,17200,6933400
2015-07-10,410,418,402,404,20000,8154300
2015-07-09,417,417,394,406,56700,23023200
2015-07-08,421,423,419,422,24700,10402300
2015-07-07,419,422,416,422,26200,11007000
2015-07-06,419,419,411,418,42100,17576200
2015-07-03,418,419,410,418,48800,20313400
2015-07-02,412,420,407,414,50100,20732200
2015-07-01,411,411,406,406,39700,16201900
2015-06-30,399,413,398,410,43800,17810900
2015-06-29,400,402,396,399,23600,9409100
2015-06-26,401,402,400,400,21300,8547200
