6794-T,東証1部,フォスタ電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2539,2667,2524,2660,379300,994309800
2015-10-01,2412,2630,2412,2557,747100,1905610200
2015-09-30,2266,2395,2232,2381,732900,1711468200
2015-09-29,2236,2240,2175,2195,173800,382560900
2015-09-28,2317,2343,2254,2286,89700,204887700
2015-09-25,2262,2316,2220,2316,148300,336517100
2015-09-24,2358,2358,2262,2262,140500,321219300
2015-09-18,2391,2398,2352,2388,110900,263801100
2015-09-17,2400,2479,2389,2445,203600,497460300
2015-09-16,2340,2375,2332,2340,81300,190977500
2015-09-15,2330,2395,2303,2310,118400,276788300
2015-09-14,2320,2338,2277,2299,105300,242882900
2015-09-11,2230,2348,2227,2330,262300,600827800
2015-09-10,2270,2295,2230,2262,328600,743300500
2015-09-09,2225,2344,2201,2344,355700,811179400
2015-09-08,2219,2225,2086,2093,372000,796228700
2015-09-07,2214,2311,2199,2269,261900,592225300
2015-09-04,2320,2320,2210,2233,257500,579347700
2015-09-03,2309,2371,2309,2320,209200,490687200
2015-09-02,2213,2301,2200,2249,192400,434120100
2015-09-01,2338,2355,2277,2277,202300,467432200
2015-08-31,2406,2419,2322,2384,243000,576405800
2015-08-28,2372,2413,2337,2406,182300,434818800
2015-08-27,2340,2358,2294,2300,354900,823566700
2015-08-26,2218,2280,2136,2261,266400,591416000
2015-08-25,2183,2300,2133,2168,388500,860436500
2015-08-24,2407,2419,2285,2303,445100,1043472600
2015-08-21,2569,2613,2487,2507,403600,1023379700
2015-08-20,2650,2687,2640,2652,309300,823066800
2015-08-19,2695,2721,2631,2641,409200,1091944000
2015-08-18,2632,2665,2580,2656,277700,732910700
2015-08-17,2539,2621,2531,2621,268900,696661800
2015-08-14,2476,2555,2476,2550,289300,732925600
2015-08-13,2476,2512,2456,2465,302400,748417900
2015-08-12,2495,2549,2472,2485,282700,708625000
2015-08-11,2499,2555,2465,2521,246400,619353700
2015-08-10,2527,2527,2454,2458,214900,533035700
2015-08-07,2503,2548,2481,2546,268000,677020400
2015-08-06,2465,2523,2465,2503,174700,436435100
2015-08-05,2414,2464,2393,2444,503600,1220819900
2015-08-04,2490,2490,2370,2402,632200,1528850200
2015-08-03,2551,2551,2441,2466,555300,1382232900
2015-07-31,2634,2662,2510,2551,1127600,2909889600
2015-07-30,2480,2500,2416,2434,373900,916762000
2015-07-29,2474,2513,2451,2491,387200,960717000
2015-07-28,2414,2500,2403,2482,440600,1082301300
2015-07-27,2509,2510,2433,2437,266500,654066900
