6815-T,東証1部,ユニデンHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,185,187,184,186,151000,27939000
2015-10-01,178,186,178,186,214000,38908000
2015-09-30,177,179,175,177,155000,27436000
2015-09-29,181,181,173,175,274000,48603000
2015-09-28,184,185,182,184,52000,9546000
2015-09-25,180,184,180,184,103000,18710000
2015-09-24,182,184,180,181,126000,22907000
2015-09-18,185,188,182,185,690000,127433000
2015-09-17,185,185,181,184,253000,46437000
2015-09-16,182,185,181,182,154000,28176000
2015-09-15,183,184,181,182,90000,16369000
2015-09-14,183,184,180,181,145000,26418000
2015-09-11,184,184,182,182,162000,29720000
2015-09-10,180,181,178,181,176000,31645000
2015-09-09,177,183,177,182,231000,41417000
2015-09-08,173,181,171,172,411000,71990000
2015-09-07,175,177,170,174,293000,50839000
2015-09-04,183,183,176,177,297000,53232000
2015-09-03,189,190,182,182,407000,75230000
2015-09-02,183,190,183,187,197000,36671000
2015-09-01,195,196,188,190,231000,44395000
2015-08-31,196,196,193,195,191000,37241000
2015-08-28,195,198,190,197,378000,73354000
2015-08-27,192,192,187,190,248000,47055000
2015-08-26,179,189,179,188,430000,78997000
2015-08-25,176,188,173,179,715000,127626000
2015-08-24,197,198,186,186,695000,133020000
2015-08-21,205,205,200,201,571000,115717000
2015-08-20,209,209,206,206,250000,51713000
2015-08-19,210,210,208,208,263000,54972000
2015-08-18,208,211,208,210,198000,41404000
2015-08-17,207,211,207,210,252000,52619000
2015-08-14,211,212,206,209,737000,153176000
2015-08-13,211,212,209,210,1044000,219994000
2015-08-12,220,223,220,222,294000,65194000
2015-08-11,218,222,217,219,349000,76770000
2015-08-10,217,217,214,217,193000,41654000
2015-08-07,217,217,215,216,69000,14907000
2015-08-06,217,218,215,217,246000,53305000
2015-08-05,214,216,211,215,219000,46845000
2015-08-04,216,216,212,214,250000,53381000
2015-08-03,218,218,214,214,130000,28015000
2015-07-31,214,219,214,217,194000,41956000
2015-07-30,214,216,213,213,157000,33653000
2015-07-29,217,219,213,213,293000,63191000
2015-07-28,213,217,213,216,243000,52315000
2015-07-27,215,217,215,215,237000,51143000
2015-07-24,220,220,217,218,333000,72790000
2015-07-23,222,222,220,221,181000,39951000
2015-07-22,222,222,219,220,196000,43180000
2015-07-21,223,223,221,221,129000,28650000
2015-07-17,223,223,220,221,178000,39385000
2015-07-16,223,223,220,222,111000,24574000
2015-07-15,222,223,220,222,155000,34343000
2015-07-14,222,223,221,222,224000,49740000
2015-07-13,217,219,216,218,220000,47906000
2015-07-10,218,219,210,214,544000,116424000
2015-07-09,215,218,205,215,957000,203714000
2015-07-08,230,232,221,221,689000,154598000
2015-07-07,231,233,230,231,168000,38844000
2015-07-06,233,233,228,228,431000,99257000
2015-07-03,235,237,233,235,298000,69987000
2015-07-02,235,236,234,235,218000,51282000
2015-07-01,234,235,231,233,306000,71176000
2015-06-30,234,236,233,234,290000,67973000
2015-06-29,238,238,235,236,464000,110046000
2015-06-26,246,246,243,244,207000,50557000
2015-06-25,244,248,242,246,460000,113038000
2015-06-24,242,246,240,244,672000,163323000
2015-06-23,238,244,236,243,547000,130816000
2015-06-22,236,238,235,237,298000,70449000
2015-06-19,239,240,236,236,246000,58356000
2015-06-18,244,244,235,236,402000,95709000
2015-06-17,245,245,239,242,424000,102697000
2015-06-16,248,250,243,244,803000,198194000
2015-06-15,236,246,236,245,1230000,298534000
2015-06-12,235,236,233,235,455000,106681000
2015-06-11,233,235,230,232,605000,140260000
2015-06-10,235,235,231,231,523000,121682000
2015-06-09,244,244,231,232,1169000,277600000
2015-06-08,248,252,242,243,936000,230269000
