6816-T,東証1部,アルパイン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1369,1419,1363,1416,1253900,1752783000
2015-10-01,1335,1409,1308,1369,1219400,1660497600
2015-09-30,1365,1378,1255,1305,2405000,3105380800
2015-09-29,1456,1478,1399,1403,860000,1228714900
2015-09-28,1539,1561,1509,1523,545600,833750700
2015-09-25,1583,1597,1508,1539,740600,1136584900
2015-09-24,1714,1725,1562,1579,722000,1166281300
2015-09-18,1762,1762,1729,1738,268500,467649300
2015-09-17,1716,1766,1716,1760,301700,527866800
2015-09-16,1688,1720,1671,1697,342800,581879100
2015-09-15,1677,1714,1660,1687,214000,362464000
2015-09-14,1748,1755,1661,1671,279100,472163600
2015-09-11,1709,1749,1671,1730,537600,924496700
2015-09-10,1648,1672,1637,1669,315800,521478100
2015-09-09,1676,1716,1649,1716,400500,678364500
2015-09-08,1605,1636,1600,1600,177300,286232600
2015-09-07,1562,1627,1555,1613,290400,464448100
2015-09-04,1645,1662,1562,1576,232500,370661600
2015-09-03,1616,1688,1616,1647,459900,762442100
2015-09-02,1599,1642,1569,1582,487100,778105100
2015-09-01,1699,1702,1630,1631,312800,517889500
2015-08-31,1733,1742,1684,1708,429900,732244400
2015-08-28,1778,1818,1735,1756,562200,993067400
2015-08-27,1709,1745,1688,1706,348900,598165000
2015-08-26,1621,1702,1619,1685,522200,870080100
2015-08-25,1591,1692,1566,1603,453700,740219600
2015-08-24,1781,1816,1684,1686,453000,787320100
2015-08-21,1796,1846,1781,1795,577600,1040131500
2015-08-20,1912,1913,1850,1859,311200,584207300
2015-08-19,1953,1959,1924,1931,224200,434666300
2015-08-18,1925,1967,1922,1959,165000,322261800
2015-08-17,1959,1959,1920,1927,213300,412047300
2015-08-14,1946,1958,1914,1938,237000,457257500
2015-08-13,1900,1960,1900,1953,374000,726046900
2015-08-12,2007,2016,1934,1940,448000,878558300
2015-08-11,2003,2025,2000,2019,357800,721873400
2015-08-10,1960,1995,1937,1991,281300,553967900
2015-08-07,1988,2011,1976,2000,320100,638597900
2015-08-06,2037,2078,2015,2015,260100,528563900
2015-08-05,1989,2047,1983,1995,369800,742247700
2015-08-04,2045,2060,2013,2029,395600,804544800
2015-08-03,2051,2099,2051,2068,371100,770762700
2015-07-31,2047,2086,2029,2045,590800,1212539100
2015-07-30,1980,2045,1957,2007,1330600,2659406400
2015-07-29,2100,2151,2067,2127,495800,1052406900
2015-07-28,2102,2121,2060,2086,496400,1038745000
2015-07-27,2189,2191,2114,2137,222200,475299500
2015-07-24,2177,2213,2169,2196,239900,525644500
2015-07-23,2195,2228,2171,2190,279600,611597100
2015-07-22,2168,2188,2148,2149,201100,433682300
2015-07-21,2182,2216,2173,2211,276800,609592800
2015-07-17,2172,2188,2144,2168,160400,346487100
2015-07-16,2191,2200,2142,2155,320700,691687500
2015-07-15,2200,2238,2154,2167,445500,973674200
2015-07-14,2148,2196,2144,2191,523500,1139602900
2015-07-13,2076,2148,2076,2127,534900,1137104900
2015-07-10,2052,2105,2025,2069,980100,2018716400
2015-07-09,2018,2063,1941,2052,1128700,2264547400
2015-07-08,2235,2239,1914,2059,1526800,3142394300
2015-07-07,2307,2331,2261,2269,475600,1089512600
2015-07-06,2346,2346,2246,2257,435600,992376300
2015-07-03,2440,2452,2346,2356,402900,959635300
2015-07-02,2445,2463,2414,2453,419300,1026213100
2015-07-01,2373,2404,2361,2395,200200,478034800
