6820-T,東証1部,アイコム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2500,2500,2472,2486,7100,17649700
2015-10-01,2497,2533,2463,2513,23600,59227900
2015-09-30,2508,2538,2463,2480,25100,62701400
2015-09-29,2490,2498,2474,2477,11800,29333400
2015-09-28,2500,2532,2479,2523,12700,31755700
2015-09-25,2497,2543,2484,2530,17300,43421400
2015-09-24,2499,2548,2471,2500,21400,53417200
2015-09-18,2571,2572,2514,2540,20200,51421000
2015-09-17,2530,2571,2521,2571,17000,43447100
2015-09-16,2554,2593,2502,2530,19800,50377700
2015-09-15,2552,2569,2531,2538,8500,21710300
2015-09-14,2570,2570,2545,2547,9100,23264700
2015-09-11,2520,2585,2520,2570,30500,77544300
2015-09-10,2500,2539,2488,2509,25500,64015900
2015-09-09,2530,2557,2511,2540,21900,55563200
2015-09-08,2498,2516,2479,2484,14900,37111000
2015-09-07,2457,2532,2457,2498,11900,29591900
2015-09-04,2510,2554,2437,2462,18000,44388700
2015-09-03,2498,2512,2465,2485,15300,38085100
2015-09-02,2455,2544,2455,2465,12400,30842900
2015-09-01,2547,2564,2496,2498,11900,29996000
2015-08-31,2515,2558,2515,2547,8600,21835800
2015-08-28,2500,2529,2480,2513,22000,55220500
2015-08-27,2451,2500,2421,2434,34000,83520600
2015-08-26,2423,2452,2380,2406,31900,77009400
2015-08-25,2511,2608,2410,2410,22800,56763400
2015-08-24,2629,2681,2572,2572,14600,38277200
2015-08-21,2700,2712,2667,2669,13200,35575500
2015-08-20,2780,2780,2739,2739,8600,23748800
2015-08-19,2815,2820,2784,2784,5400,15103100
2015-08-18,2803,2841,2803,2836,5800,16382300
2015-08-17,2831,2858,2811,2811,8500,24040000
2015-08-14,2803,2836,2803,2831,3100,8748400
2015-08-13,2821,2837,2792,2803,9300,26176200
2015-08-12,2800,2850,2800,2824,10500,29524800
2015-08-11,2845,2846,2810,2833,10300,29175800
2015-08-10,2876,2877,2831,2841,14800,42159400
2015-08-07,2892,2909,2873,2876,5700,16439600
2015-08-06,2902,2915,2891,2895,11500,33370300
2015-08-05,2891,2928,2889,2923,6300,18332100
2015-08-04,2925,2925,2892,2916,7600,22093000
2015-08-03,2898,2960,2897,2920,8900,25959700
2015-07-31,2923,2954,2894,2948,9500,27867100
2015-07-30,2890,2917,2881,2886,5700,16491400
2015-07-29,2908,2917,2880,2891,5600,16216200
2015-07-28,2862,2950,2858,2916,9300,26916200
2015-07-27,2916,2934,2886,2886,7300,21225600
2015-07-24,2939,2939,2911,2913,4700,13711800
2015-07-23,2949,2962,2934,2939,5100,14998300
2015-07-22,2975,2975,2949,2949,4000,11832300
2015-07-21,2969,2996,2961,2976,5300,15769500
2015-07-17,2971,2993,2960,2960,5400,16076400
2015-07-16,2929,2998,2915,2990,20800,61532300
2015-07-15,2985,2990,2910,2979,14800,43889200
2015-07-14,3000,3000,2948,2985,9800,29195200
2015-07-13,2959,2980,2923,2947,5400,15928800
2015-07-10,2857,3005,2789,2909,24700,71429700
2015-07-09,2806,2867,2767,2834,12300,34558100
2015-07-08,2925,2955,2850,2852,13700,39662800
2015-07-07,2913,3000,2913,2966,8400,24871300
2015-07-06,3040,3040,2920,2935,15400,45737100
2015-07-03,3090,3095,3055,3055,3400,10442500
2015-07-02,3070,3115,3070,3110,4600,14270500
2015-07-01,3085,3085,3040,3045,6400,19541500
2015-06-30,3085,3115,3050,3085,10100,31164500
2015-06-29,3160,3180,3090,3105,9600,30076500
2015-06-26,3120,3200,3120,3195,9700,30736500
2015-06-25,3155,3165,3080,3100,11100,34583000
2015-06-24,3185,3185,3115,3155,12200,38470000
2015-06-23,3105,3230,3020,3185,23000,72730000
2015-06-22,3025,3105,3025,3105,8700,26780500
2015-06-19,3055,3070,3025,3065,7800,23850000
2015-06-18,3040,3050,3020,3020,5000,15161000
2015-06-17,3040,3060,3025,3025,5600,17014500
2015-06-16,3040,3065,3040,3040,3500,10667500
2015-06-15,3050,3060,3030,3060,2600,7922500
2015-06-12,3065,3065,3020,3050,20200,61848000
2015-06-11,3025,3065,3010,3055,12300,37542000
2015-06-10,3010,3065,3000,3030,8100,24498000
2015-06-09,3040,3065,3010,3010,7100,21484500
2015-06-08,3055,3075,3025,3050,2800,8534000
2015-06-05,3015,3075,3015,3055,6800,20746000
2015-06-04,3055,3090,3025,3070,7100,21750500
2015-06-03,3000,3065,3000,3055,6200,18833000
2015-06-02,3040,3050,2995,3000,9500,28635500
2015-06-01,3035,3065,3010,3025,6700,20299500
2015-05-29,3120,3120,3040,3065,6000,18441500
