6848-T,東証1部,東亜DKK,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,461,465,460,465,4900,2263900
2015-10-01,460,464,456,461,9800,4512100
2015-09-30,461,463,458,459,11100,5108800
2015-09-29,469,470,456,457,23400,10835100
2015-09-28,480,485,470,479,28400,13584800
2015-09-25,489,489,485,488,160300,78325000
2015-09-24,492,495,487,488,31600,15515900
2015-09-18,492,492,488,489,25100,12314200
2015-09-17,497,497,489,491,20300,9977800
2015-09-16,501,501,491,497,4400,2179500
2015-09-15,500,500,494,494,8500,4220400
2015-09-14,500,503,498,498,9200,4603400
2015-09-11,500,504,499,502,21200,10615000
2015-09-10,507,509,504,504,5000,2532500
2015-09-09,501,511,492,507,7500,3768300
2015-09-08,494,495,488,490,6800,3343800
2015-09-07,490,501,490,497,6500,3208700
2015-09-04,510,510,497,497,7600,3804700
2015-09-03,510,512,504,504,3400,1727000
2015-09-02,501,506,495,502,14700,7359500
2015-09-01,518,520,505,507,9200,4724600
2015-08-31,523,523,515,518,8600,4472400
2015-08-28,508,528,508,514,9800,5046900
2015-08-27,510,520,506,506,10900,5601900
2015-08-26,481,500,478,498,11900,5858600
2015-08-25,488,500,476,477,22900,11104100
2015-08-24,500,507,492,492,26600,13248000
2015-08-21,521,523,511,512,16500,8539100
2015-08-20,525,529,522,524,8200,4301300
2015-08-19,527,528,524,526,14700,7726000
2015-08-18,536,540,525,527,11500,6089700
2015-08-17,530,545,526,534,12200,6515700
2015-08-14,528,533,524,529,5000,2643800
2015-08-13,529,538,525,528,14200,7506500
2015-08-12,535,545,530,534,15800,8442100
2015-08-11,546,548,535,542,8500,4609100
2015-08-10,537,541,534,541,8700,4672600
2015-08-07,538,541,534,535,11300,6059200
2015-08-06,536,544,533,538,7100,3824500
2015-08-05,525,535,525,535,8400,4447600
2015-08-04,533,533,522,525,13400,7054900
2015-08-03,534,539,526,534,7900,4188900
2015-07-31,523,542,523,536,14500,7725500
2015-07-30,528,531,522,529,8300,4371200
2015-07-29,530,530,525,527,10900,5749000
2015-07-28,540,540,524,530,17300,9193600
2015-07-27,542,545,533,542,19000,10223800
2015-07-24,555,555,545,545,12200,6719300
2015-07-23,553,555,552,555,5500,3046700
2015-07-22,553,555,551,554,7700,4256400
2015-07-21,559,559,552,554,3900,2163400
2015-07-17,552,555,552,553,3200,1770300
2015-07-16,555,555,552,552,4400,2434000
2015-07-15,561,561,550,551,21600,12004400
2015-07-14,565,565,558,560,7800,4376900
2015-07-13,552,566,552,558,5600,3137800
2015-07-10,549,550,541,546,14600,7989000
2015-07-09,528,536,506,533,20400,10673100
