6855-T,東証1部,電子材料,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,643,649,636,642,24900,16040100
2015-10-01,630,647,630,643,37400,23905700
2015-09-30,635,639,623,629,31800,20099600
2015-09-29,650,650,616,619,47000,29650800
2015-09-28,667,673,650,661,25700,16939900
2015-09-25,663,677,657,667,27300,18138600
2015-09-24,667,676,656,662,45300,30102600
2015-09-18,699,699,683,684,20900,14414900
2015-09-17,691,697,691,693,8300,5762700
2015-09-16,691,694,677,686,28500,19521200
2015-09-15,684,699,680,687,16600,11441200
2015-09-14,700,704,682,683,16600,11458400
2015-09-11,700,704,684,700,29800,20777700
2015-09-10,690,695,683,690,23100,15920300
2015-09-09,690,700,685,700,24500,16966300
2015-09-08,681,685,667,668,15800,10663400
2015-09-07,674,691,662,682,26200,17750100
2015-09-04,690,703,680,684,52300,36108700
2015-09-03,688,707,688,690,36100,25219100
2015-09-02,668,706,664,683,49700,34116300
2015-09-01,712,712,688,688,33400,23402400
2015-08-31,728,729,717,717,28000,20228200
2015-08-28,723,740,715,726,47100,34324900
2015-08-27,716,720,695,702,63400,44737200
2015-08-26,659,689,647,682,78800,52750800
2015-08-25,613,678,601,630,118400,75185600
2015-08-24,673,696,636,653,145800,97622000
2015-08-21,708,708,693,693,114900,80495100
2015-08-20,729,730,720,721,52500,38019600
2015-08-19,748,748,732,736,53100,39301900
2015-08-18,752,761,749,751,69200,52156500
2015-08-17,750,758,745,756,70900,53276100
2015-08-14,753,754,741,748,35000,26231300
2015-08-13,751,754,741,750,38500,28743600
2015-08-12,775,775,745,754,81400,61504200
2015-08-11,789,800,764,776,101500,78987400
2015-08-10,790,790,778,783,46100,36086400
2015-08-07,780,795,776,789,59100,46537600
2015-08-06,809,818,776,785,305900,243906900
2015-08-05,736,765,729,759,59400,44583300
2015-08-04,740,740,724,733,37400,27364800
2015-08-03,741,742,731,741,22900,16899300
2015-07-31,735,745,728,741,28500,21017300
2015-07-30,734,743,723,729,22400,16418100
2015-07-29,744,744,724,728,35000,25501500
2015-07-28,726,750,726,739,25400,18690800
2015-07-27,747,760,726,738,36600,27237800
2015-07-24,756,756,745,747,29000,21776100
2015-07-23,767,767,751,756,16600,12552100
2015-07-22,765,765,754,754,20300,15388700
2015-07-21,765,767,761,765,33900,25934400
2015-07-17,756,756,748,754,28300,21269400
2015-07-16,756,756,745,748,16700,12503900
2015-07-15,759,764,745,747,20600,15505200
2015-07-14,741,755,739,751,31600,23628600
2015-07-13,725,740,722,725,26700,19473800
2015-07-10,711,730,706,714,32100,22977300
2015-07-09,699,723,680,717,80900,56851700
2015-07-08,766,767,729,729,68800,51161300
2015-07-07,767,771,765,765,22500,17267600
2015-07-06,775,775,756,760,39500,30203200
2015-07-03,784,784,775,777,21500,16743000
2015-07-02,794,794,780,786,23800,18751700
2015-07-01,779,790,773,785,42100,32884500
2015-06-30,781,788,778,779,43500,33953900
2015-06-29,785,788,780,784,41300,32375500
2015-06-26,801,810,791,801,39200,31401600
2015-06-25,785,809,785,798,58800,46928600
2015-06-24,794,798,792,795,24900,19807000
2015-06-23,790,797,787,790,45500,36009200
2015-06-22,788,799,781,788,39000,30773100
2015-06-19,790,797,780,787,50300,39658700
2015-06-18,788,797,784,789,34900,27596800
2015-06-17,791,795,786,792,29900,23664000
2015-06-16,798,809,790,791,54700,43678900
2015-06-15,796,818,795,803,97500,78897100
2015-06-12,795,800,783,798,82900,65782900
2015-06-11,774,783,774,781,28200,21943800
2015-06-10,780,788,771,772,68500,53293000
2015-06-09,805,805,788,788,71300,56865400
2015-06-08,809,825,805,809,76100,61968500
2015-06-05,786,808,784,805,69000,55162600
2015-06-04,789,795,786,791,32100,25384500
2015-06-03,783,793,778,789,33100,25986800
2015-06-02,774,783,773,782,78700,61095800
2015-06-01,770,783,770,775,54700,42391000
2015-05-29,778,781,770,779,77600,60096900
2015-05-28,796,802,777,782,114000,89787300
2015-05-27,812,812,794,795,85800,68581100
2015-05-26,811,815,806,806,29400,23783300
2015-05-25,804,817,804,808,47800,38769900
2015-05-22,807,807,797,804,37600,30156500
2015-05-21,819,822,803,803,57500,46706600
2015-05-20,810,817,795,814,94300,75834800
2015-05-19,812,812,803,810,67500,54503800
2015-05-18,811,825,801,805,85800,69587500
2015-05-15,822,831,804,811,88400,72515600
2015-05-14,797,827,790,813,161100,128864200
2015-05-13,807,833,789,827,81000,66157400
2015-05-12,810,815,808,809,30400,24631400
2015-05-11,813,817,810,811,44200,35961100
2015-05-08,780,805,780,799,36400,29035000
2015-05-07,790,792,780,784,26100,20508800
2015-05-01,796,800,779,786,37300,29348800
2015-04-30,814,819,797,799,43100,34592400
2015-04-28,828,829,813,818,41200,33757900
2015-04-27,844,844,820,825,132000,109865500
2015-04-24,810,810,798,803,18000,14460800
2015-04-23,803,810,795,809,25100,20244500
2015-04-22,799,809,795,804,15800,12690800
2015-04-21,800,801,795,799,20600,16433000
2015-04-20,792,803,790,792,31900,25408900
2015-04-17,816,816,808,808,26200,21263400
2015-04-16,838,843,812,826,58800,48469800
2015-04-15,856,870,837,838,148700,126526000
2015-04-14,816,840,816,837,121200,100719200
2015-04-13,802,815,795,808,58500,47096200
2015-04-10,806,807,798,800,20700,16599000
2015-04-09,802,805,795,804,40900,32765300
2015-04-08,792,802,790,795,30200,24029500
2015-04-07,786,794,784,791,26000,20501600
2015-04-06,791,792,773,781,34300,26820200
2015-04-03,805,805,785,792,18500,14637600
2015-04-02,789,800,789,795,22000,17448500
2015-04-01,805,808,786,793,53900,42988700
2015-03-31,806,813,802,810,33500,27030500
2015-03-30,788,804,787,799,68000,54269900
2015-03-27,790,807,772,789,82600,65530200
2015-03-26,810,814,800,803,61900,49915500
2015-03-25,799,829,799,818,90900,74023300
2015-03-24,795,797,789,796,39800,31567200
2015-03-23,792,796,785,793,28900,22862500
2015-03-20,789,791,782,789,24700,19439000
2015-03-19,790,794,777,789,44400,34869900
2015-03-18,795,797,790,792,38600,30599100
2015-03-17,797,804,792,796,41400,33073500
2015-03-16,792,800,792,795,42500,33807900
2015-03-13,807,813,800,801,52400,42184400
2015-03-12,799,809,785,804,79600,63532600
2015-03-11,780,795,775,788,38000,29882100
2015-03-10,790,807,782,788,83200,66058800
2015-03-09,770,791,769,785,58900,46111200
2015-03-06,773,777,763,770,74500,57300100
2015-03-05,781,798,765,774,59900,46614600
2015-03-04,775,792,772,781,76000,59285800
2015-03-03,822,828,789,794,118200,95442900
2015-03-02,814,824,800,818,98000,79778500
2015-02-27,831,839,820,828,164700,136707300
2015-02-26,790,845,780,845,419300,341525300
2015-02-25,745,792,745,770,217600,167066800
2015-02-24,754,758,737,741,52400,39234400
2015-02-23,740,765,730,740,76700,57066100
2015-02-20,731,751,730,747,83800,62046900
2015-02-19,750,760,732,737,77300,57523000
2015-02-18,753,767,745,746,140300,106490200
2015-02-17,737,757,726,745,140300,104244000
2015-02-16,770,784,714,737,534100,401056100
2015-02-13,701,755,693,755,611200,450687800
2015-02-12,664,664,653,655,47200,31038500
2015-02-10,652,664,645,653,40300,26350100
2015-02-09,670,670,645,657,96700,63407300
2015-02-06,637,650,630,640,59400,37887800
2015-02-05,630,636,616,632,30500,19205600
2015-02-04,633,644,628,628,45800,29002300
2015-02-03,647,647,607,635,51700,32736600
2015-02-02,661,661,638,644,48100,31245400
2015-01-30,642,654,635,654,64600,41752400
2015-01-29,648,656,641,641,29800,19320500
2015-01-28,654,654,649,652,37700,24573800
2015-01-27,655,655,646,653,41200,26784600
2015-01-26,640,650,634,643,67100,43070000
2015-01-23,625,630,620,629,34600,21611900
2015-01-22,618,633,608,615,46000,28340200
2015-01-21,604,616,604,616,40700,24873800
2015-01-20,612,612,592,602,104500,62789200
2015-01-19,607,611,601,605,33600,20322200
2015-01-16,618,618,596,605,59500,35985500
2015-01-15,626,629,611,619,78000,48510200
2015-01-14,636,644,624,626,27000,17028200
2015-01-13,640,649,632,642,37200,23745800
2015-01-09,662,663,643,647,36800,24007200
2015-01-08,660,665,655,659,20500,13507800
2015-01-07,655,665,650,655,58600,38482000
2015-01-06,670,675,648,664,74300,49089500
2015-01-05,678,684,668,683,18900,12826000
2014-12-30,685,685,666,668,23800,16032300
2014-12-29,682,688,674,682,22100,15047300
2014-12-26,661,682,661,680,20300,13697700
2014-12-25,675,678,656,662,42400,28335900
2014-12-24,682,682,663,672,49000,32943900
2014-12-22,692,695,678,682,24000,16484200
2014-12-19,697,702,679,691,46700,32230800
2014-12-18,685,697,682,686,41300,28392000
2014-12-17,660,677,660,671,22200,14862800
2014-12-16,691,691,655,659,111000,74420300
2014-12-15,699,708,693,698,30400,21275900
2014-12-12,703,721,701,702,63500,45043000
2014-12-11,695,710,683,704,34000,23650200
2014-12-10,700,720,691,702,71000,50043900
2014-12-09,711,720,702,702,67500,47925500
2014-12-08,730,730,708,718,81200,58313800
2014-12-05,712,730,712,726,55100,39830200
2014-12-04,711,732,708,712,62400,44676000
2014-12-03,735,739,717,723,70300,51187100
2014-12-02,710,735,710,726,95000,69094300
