6866-T,東証1部,日置電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2111,2143,2111,2134,5700,12141200
2015-10-01,2130,2155,2110,2135,7400,15766700
2015-09-30,2050,2123,2050,2104,8500,17716100
2015-09-29,2102,2112,2067,2068,11300,23546200
2015-09-28,2134,2184,2131,2144,8300,17897700
2015-09-25,2132,2155,2081,2155,17300,36687200
2015-09-24,2226,2226,2132,2132,19700,42653000
2015-09-18,2312,2312,2227,2249,15300,34682600
2015-09-17,2235,2265,2225,2262,11300,25392700
2015-09-16,2201,2223,2177,2215,13100,28836900
2015-09-15,2203,2235,2203,2210,8100,17949700
2015-09-14,2294,2300,2202,2206,11200,25175000
2015-09-11,2236,2285,2236,2268,29200,65737600
2015-09-10,2195,2253,2169,2233,13200,29248400
2015-09-09,2228,2245,2204,2245,10600,23679700
2015-09-08,2218,2227,2163,2163,11000,24175500
2015-09-07,2200,2250,2155,2219,14300,31587700
2015-09-04,2319,2319,2192,2209,17700,39531500
2015-09-03,2315,2356,2301,2303,10500,24424600
2015-09-02,2307,2358,2301,2314,14300,33293600
2015-09-01,2467,2472,2350,2357,22500,54161700
2015-08-31,2470,2507,2460,2483,13400,33286200
2015-08-28,2462,2476,2438,2462,10000,24596900
2015-08-27,2459,2459,2391,2401,16600,40293000
2015-08-26,2218,2377,2218,2359,23700,54651800
2015-08-25,2114,2383,2114,2209,41800,93503200
2015-08-24,2409,2442,2311,2314,37000,87909700
2015-08-21,2600,2620,2450,2515,31200,79692300
2015-08-20,2641,2663,2621,2628,12700,33481900
2015-08-19,2709,2709,2640,2649,20400,54480500
2015-08-18,2738,2762,2705,2715,8900,24208800
2015-08-17,2724,2759,2715,2744,12500,34260100
2015-08-14,2690,2730,2690,2718,9800,26608800
2015-08-13,2711,2728,2674,2688,23400,63082200
2015-08-12,2765,2792,2727,2733,22900,62976300
2015-08-11,2780,2792,2751,2777,25800,71690600
2015-08-10,2746,2791,2730,2778,21100,58445500
2015-08-07,2757,2792,2735,2775,24400,67514800
2015-08-06,2755,2825,2746,2778,30800,86005800
2015-08-05,2777,2785,2711,2755,28800,78993800
2015-08-04,2780,2783,2736,2766,22200,61225100
2015-08-03,2752,2772,2719,2769,10800,29693700
2015-07-31,2790,2790,2752,2779,15600,43121100
2015-07-30,2845,2845,2770,2790,35800,100110500
2015-07-29,2772,2822,2742,2819,29600,82453500
2015-07-28,2687,2800,2671,2789,50300,138141500
2015-07-27,2766,2771,2713,2725,35800,98058000
2015-07-24,2807,2819,2782,2799,17200,48122100
2015-07-23,2820,2840,2815,2832,23800,67318400
2015-07-22,2840,2840,2789,2820,35600,100197700
2015-07-21,2927,2933,2861,2874,29000,83954200
2015-07-17,2906,2980,2858,2877,47900,139395600
2015-07-16,2917,2928,2840,2894,106100,306414100
2015-07-15,2802,2938,2802,2917,104400,300587200
2015-07-14,2740,2830,2734,2801,86400,240708100
2015-07-13,2673,2698,2652,2697,23200,62148500
2015-07-10,2742,2742,2626,2647,84300,226761700
2015-07-09,2562,2745,2524,2743,120300,316785000
2015-07-08,2676,2748,2650,2662,140200,377522200
2015-07-07,2601,2685,2590,2673,193600,510898200
2015-07-06,2505,2556,2490,2501,56200,141510600
2015-07-03,2610,2620,2557,2569,76300,196552400
2015-07-02,2603,2660,2603,2660,56800,149624900
2015-07-01,2570,2609,2545,2592,44300,114369100
2015-06-30,2530,2584,2530,2558,37400,95648100
2015-06-29,2522,2580,2522,2534,55000,139868500
2015-06-26,2590,2623,2554,2622,115200,298362600
2015-06-25,2699,2699,2620,2632,152100,405895100
2015-06-24,2700,2729,2699,2704,54200,146730400
2015-06-23,2615,2670,2611,2670,47200,124542600
2015-06-22,2565,2609,2565,2608,41000,106289900
2015-06-19,2552,2564,2532,2556,43700,111599900
2015-06-18,2526,2548,2525,2527,25000,63388900
2015-06-17,2536,2549,2526,2526,17700,44836300
2015-06-16,2556,2560,2520,2536,34600,87803800
2015-06-15,2567,2569,2554,2561,17800,45587900
2015-06-12,2550,2568,2537,2567,29400,75004700
2015-06-11,2575,2580,2535,2544,33200,84704700
2015-06-10,2550,2572,2536,2559,32800,83819900
2015-06-09,2539,2546,2527,2530,38100,96638700
2015-06-08,2510,2550,2510,2539,41100,104096400
2015-06-05,2489,2500,2480,2500,30800,76793200
2015-06-04,2456,2490,2456,2478,28700,70953200
2015-06-03,2434,2458,2423,2456,16000,39137700
2015-06-02,2449,2450,2425,2429,29300,71538500
2015-06-01,2450,2462,2440,2453,19700,48295200
2015-05-29,2477,2480,2450,2450,20100,49502500
2015-05-28,2487,2491,2463,2471,29500,73049700
2015-05-27,2480,2489,2477,2482,16900,41951600
2015-05-26,2460,2488,2448,2479,17000,41917100
2015-05-25,2455,2458,2438,2457,13600,33352400
2015-05-22,2479,2479,2450,2461,13500,33229800
2015-05-21,2447,2480,2447,2480,27900,68710900
2015-05-20,2411,2447,2411,2447,20200,49133800
2015-05-19,2411,2419,2400,2408,14200,34227100
2015-05-18,2400,2414,2392,2411,10700,25741400
2015-05-15,2404,2414,2387,2387,12500,29943500
2015-05-14,2439,2450,2400,2404,21900,52908600
2015-05-13,2450,2450,2414,2439,28200,68666700
2015-05-12,2402,2450,2401,2450,36900,89470100
2015-05-11,2371,2398,2343,2392,18100,43011800
2015-05-08,2287,2349,2260,2321,33900,78092000
2015-05-07,2301,2338,2296,2299,23800,54986300
2015-05-01,2351,2373,2331,2343,38700,90859900
2015-04-30,2420,2425,2345,2372,36100,85946800
2015-04-28,2416,2441,2380,2382,33900,81758100
2015-04-27,2380,2422,2376,2416,22700,54525800
2015-04-24,2380,2395,2330,2373,44300,104552800
2015-04-23,2407,2437,2396,2397,39000,94144600
2015-04-22,2370,2419,2370,2406,62200,149069700
2015-04-21,2360,2380,2354,2367,64400,152416500
2015-04-20,2315,2357,2300,2344,53200,124101100
2015-04-17,2298,2356,2252,2350,105000,241847500
2015-04-16,2302,2380,2251,2318,230500,532322700
2015-04-15,2045,2060,2026,2052,55700,114105900
2015-04-14,2010,2034,1998,2020,27700,55743200
2015-04-13,2049,2049,1998,2000,47100,94792400
2015-04-10,2050,2050,2031,2032,17000,34692500
2015-04-09,2059,2059,2034,2037,23400,47793700
2015-04-08,2041,2054,2030,2032,19700,40235200
2015-04-07,2044,2055,2040,2041,15800,32318600
2015-04-06,2039,2057,2038,2044,13500,27633900
2015-04-03,2039,2039,2023,2038,9000,18319800
2015-04-02,2017,2031,2010,2018,22500,45452700
2015-04-01,2010,2019,2002,2007,19300,38758400
2015-03-31,2010,2030,2007,2009,14300,28878000
2015-03-30,2000,2008,1997,1999,16900,33820400
2015-03-27,1999,2028,1990,1999,21100,42354600
2015-03-26,2008,2018,1983,2001,20400,40787900
2015-03-25,2016,2044,2006,2008,18700,37750400
2015-03-24,2014,2045,2014,2034,12400,25181300
2015-03-23,2017,2049,2013,2045,16400,33324600
2015-03-20,2034,2034,2013,2019,17900,36228800
2015-03-19,2045,2060,2021,2036,13500,27549100
2015-03-18,2067,2070,2041,2043,12100,24818100
2015-03-17,2050,2067,2040,2042,20800,42684400
2015-03-16,2010,2045,2010,2031,16500,33485500
2015-03-13,2021,2021,1997,2005,25600,51605000
2015-03-12,1992,2017,1992,2010,11600,23287000
2015-03-11,2002,2010,1985,1986,10700,21393300
2015-03-10,2025,2029,1976,2001,15700,31513300
2015-03-09,2028,2028,2003,2012,14100,28381700
2015-03-06,1970,2027,1970,2006,16600,33241700
2015-03-05,1960,1977,1959,1969,10700,21066000
2015-03-04,2002,2018,1960,1967,23000,45633200
2015-03-03,2000,2033,1999,2006,27300,54917300
2015-03-02,1961,1992,1960,1988,19300,38205000
2015-02-27,1999,1999,1920,1957,32400,63687600
2015-02-26,1920,1938,1918,1938,24900,47972500
2015-02-25,1910,1920,1910,1910,12300,23546200
2015-02-24,1895,1919,1895,1906,21900,41826100
2015-02-23,1905,1915,1886,1895,15900,30205900
2015-02-20,1880,1920,1880,1905,30900,58572300
2015-02-19,1860,1869,1854,1862,21800,40585000
2015-02-18,1850,1860,1836,1842,20900,38612400
2015-02-17,1830,1835,1818,1823,11000,20095900
2015-02-16,1805,1830,1805,1817,11500,20936100
2015-02-13,1803,1809,1800,1803,13000,23451400
2015-02-12,1800,1818,1799,1803,18300,33092600
2015-02-10,1796,1800,1790,1797,7700,13820400
2015-02-09,1798,1799,1788,1799,7500,13475500
2015-02-06,1799,1799,1785,1787,8400,15031800
2015-02-05,1795,1799,1791,1799,6000,10780300
