6877-T,東証1部,OBARA-G,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4895,4920,4815,4840,29900,145494500
2015-10-01,4735,4810,4675,4755,37500,178032500
2015-09-30,4560,4710,4560,4685,31700,147827500
2015-09-29,4670,4670,4530,4530,43800,200659000
2015-09-28,4820,4830,4695,4730,34800,165214500
2015-09-25,4845,4885,4720,4820,54200,259616000
2015-09-24,4900,4965,4745,4840,93400,451397500
2015-09-18,5010,5080,4925,5030,77400,388730500
2015-09-17,4890,5050,4865,5040,40400,201806000
2015-09-16,4800,4860,4785,4835,46900,226115500
2015-09-15,4795,4895,4755,4760,31900,153374000
2015-09-14,4880,4900,4720,4765,30300,144939500
2015-09-11,4900,4905,4805,4805,45200,220257000
2015-09-10,4750,4845,4705,4820,39500,188868500
2015-09-09,4700,4820,4660,4820,60300,287446500
2015-09-08,4620,4745,4565,4575,45400,210999000
2015-09-07,4635,4710,4560,4625,49300,228453500
2015-09-04,4895,4895,4605,4655,82800,390614500
2015-09-03,4780,4895,4780,4825,69900,338862000
2015-09-02,4820,4825,4690,4710,116200,551009500
2015-09-01,5240,5400,4875,4885,157100,797247500
2015-08-31,5090,5090,4945,4980,32000,159652500
2015-08-28,5000,5160,4990,5080,72700,367938000
2015-08-27,5000,5030,4855,4875,102800,508611000
2015-08-26,4865,5000,4780,4975,81300,396594000
2015-08-25,4745,5060,4675,4865,157500,765504000
2015-08-24,4850,5040,4850,4955,115900,572916500
2015-08-21,5110,5170,4980,4985,74000,374608500
2015-08-20,5550,5550,5300,5310,59100,318306000
2015-08-19,5580,5690,5510,5550,44400,247303000
2015-08-18,5520,5670,5460,5590,53300,297491000
2015-08-17,5550,5600,5500,5520,37100,205373000
2015-08-14,5520,5600,5440,5590,60500,334588000
2015-08-13,5470,5600,5470,5540,37100,205381000
2015-08-12,5640,5650,5510,5540,72800,405229000
2015-08-11,5500,5730,5500,5670,73700,417692000
2015-08-10,5500,5540,5400,5440,61700,337004000
2015-08-07,5430,5620,5370,5600,64300,354880000
2015-08-06,5510,5650,5470,5480,52800,290738000
2015-08-05,5530,5640,5340,5580,102500,563989000
2015-08-04,5860,5860,5400,5480,149000,837570000
2015-08-03,5660,5900,5660,5860,57900,334958000
2015-07-31,5710,5820,5710,5770,32900,189582000
2015-07-30,5700,5930,5700,5770,53200,308168000
2015-07-29,5960,5980,5690,5710,89300,514550000
2015-07-28,6000,6000,5870,5960,43800,259952000
2015-07-27,6070,6070,5890,5930,49800,296001000
2015-07-24,6210,6210,6050,6140,48400,296542000
2015-07-23,6160,6200,6100,6170,38900,239736000
2015-07-22,6260,6260,6120,6140,48200,297442000
2015-07-21,6210,6360,6210,6340,64500,407022000
2015-07-17,6200,6260,6120,6140,29500,182363000
2015-07-16,6120,6160,6080,6150,33000,202319000
2015-07-15,6110,6160,5920,6150,78700,477967000
2015-07-14,6140,6190,6090,6120,35400,217257000
2015-07-13,6110,6130,6050,6060,27400,167001000
2015-07-10,6090,6170,6010,6070,92500,563038000
2015-07-09,5900,6020,5770,6000,99000,585120000
2015-07-08,6210,6240,6080,6100,87400,535151000
2015-07-07,6250,6340,6200,6310,71000,445376000
2015-07-06,6270,6290,6160,6170,42200,261838000
2015-07-03,6390,6400,6290,6360,42800,272079000
2015-07-02,6410,6540,6360,6390,125400,805774000
2015-07-01,6480,6570,6400,6460,102200,659922000
2015-06-30,6590,6630,6530,6580,97800,642681000
2015-06-29,6580,6690,6580,6630,57200,379453000
2015-06-26,6780,6850,6730,6770,70900,480908000
2015-06-25,6960,6960,6780,6780,79400,544395000
2015-06-24,7010,7050,6910,6950,48700,338930000
2015-06-23,7000,7070,6960,7030,56300,394646000
2015-06-22,7050,7140,6950,7000,48600,340731000
2015-06-19,7070,7200,7000,7090,69900,496489000
2015-06-18,7120,7130,6960,6970,82700,580736000
2015-06-17,7170,7310,7060,7160,78200,559690000
2015-06-16,7220,7300,7170,7170,77300,557319000
2015-06-15,7180,7400,7180,7300,91000,664205000
2015-06-12,7360,7430,7190,7210,107800,785584000
2015-06-11,7330,7380,7270,7340,81300,596211000
2015-06-10,7350,7360,7210,7250,108200,787429000
2015-06-09,7550,7550,7300,7390,147400,1092465000
2015-06-08,7760,7860,7590,7590,112600,862823000
2015-06-05,7900,8030,7720,7780,109900,857699000
2015-06-04,8010,8060,7960,7970,32400,259471000
2015-06-03,8150,8150,7970,8010,73800,593739000
2015-06-02,8200,8280,8090,8100,77800,635396000
2015-06-01,8030,8170,8030,8120,56300,456117000
2015-05-29,7770,8070,7750,8030,81200,645432000
2015-05-28,7830,7870,7710,7770,73900,575997000
2015-05-27,7580,7890,7580,7780,113800,884353000
2015-05-26,7380,7550,7380,7500,45500,339617000
2015-05-25,7370,7430,7320,7340,27100,199517000
2015-05-22,7420,7460,7300,7410,40100,295914000
2015-05-21,7530,7560,7440,7490,44500,333410000
2015-05-20,7330,7590,7330,7540,83400,627468000
2015-05-19,7190,7410,7180,7330,57200,418249000
2015-05-18,7010,7240,7010,7190,61400,440251000
2015-05-15,6900,7100,6880,7040,81700,574166000
2015-05-14,7020,7060,6940,6950,85400,596929000
2015-05-13,7090,7130,7050,7080,72400,513169000
2015-05-12,7270,7300,7040,7130,107200,766559000
2015-05-11,7220,7330,7220,7270,82000,596605000
2015-05-08,7320,7350,7090,7210,100900,728133000
2015-05-07,7360,7500,7360,7430,57500,427278000
2015-05-01,7240,7520,7210,7500,111500,820232000
2015-04-30,7180,7200,7010,7090,74500,526390000
2015-04-28,7110,7220,7110,7190,33200,238028000
2015-04-27,7130,7200,7120,7150,32700,233980000
2015-04-24,7180,7230,7120,7220,59500,427763000
2015-04-23,7150,7210,7070,7130,65800,468248000
2015-04-22,7290,7290,7120,7150,92300,663547000
2015-04-21,7220,7300,7210,7250,68800,498383000
2015-04-20,7200,7340,7130,7310,108500,787791000
2015-04-17,7410,7470,7200,7330,131500,959543000
2015-04-16,7560,7670,7390,7510,140100,1052548000
2015-04-15,7470,7740,7450,7550,166600,1260949000
2015-04-14,7530,7530,7340,7420,62000,460224000
2015-04-13,7660,7680,7420,7560,62200,467927000
2015-04-10,7560,7740,7560,7660,92300,706688000
2015-04-09,7370,7590,7300,7560,67100,500079000
2015-04-08,7290,7380,7270,7280,47300,345598000
2015-04-07,7250,7310,7120,7230,48300,348661000
2015-04-06,7100,7300,7080,7240,35800,258906000
2015-04-03,7170,7270,6990,7130,90700,644398000
2015-04-02,6940,7190,6940,7120,62800,445579000
2015-04-01,6800,7020,6760,6960,93600,647117000
2015-03-31,6790,6900,6740,6800,65100,444113000
2015-03-30,6720,6830,6660,6690,34700,232935000
2015-03-27,6790,6950,6670,6720,48000,326809000
2015-03-26,6900,6940,6810,6850,54400,372938000
2015-03-25,7040,7040,6930,6940,35800,249474000
2015-03-24,6930,7020,6920,6950,78000,543867000
2015-03-23,6990,7020,6860,6930,110100,765447000
2015-03-20,6760,7090,6760,7020,174600,1216738000
2015-03-19,6720,6780,6650,6670,29100,194749000
2015-03-18,6780,6890,6760,6770,32100,218395000
2015-03-17,6760,6890,6720,6820,47500,322929000
2015-03-16,6720,6830,6670,6690,43000,289304000
2015-03-13,6850,6940,6800,6820,52300,358408000
2015-03-12,6770,6910,6770,6840,39500,270853000
2015-03-11,6750,6820,6740,6770,29700,201337000
2015-03-10,6750,7000,6750,6850,64600,445167000
2015-03-09,6560,6670,6500,6650,30400,200459000
2015-03-06,6470,6610,6450,6560,30900,202642000
2015-03-05,6510,6510,6450,6480,30200,195781000
2015-03-04,6510,6640,6510,6590,56200,370252000
2015-03-03,6600,6680,6530,6540,47700,314216000
2015-03-02,6690,6820,6610,6610,36200,241489000
2015-02-27,6400,6620,6400,6590,79300,518980000
2015-02-26,6270,6470,6260,6430,70200,450125000
2015-02-25,6480,6490,6240,6270,59200,373168000
2015-02-24,6410,6500,6370,6480,39300,253035000
2015-02-23,6460,6470,6380,6430,51800,332977000
2015-02-20,6420,6500,6380,6480,74700,483408000
2015-02-19,6300,6550,6290,6470,59800,386968000
2015-02-18,6330,6400,6290,6320,80200,508336000
2015-02-17,6090,6360,6090,6300,128100,799479000
2015-02-16,6200,6550,6200,6360,108400,694938000
2015-02-13,6330,6440,6140,6210,255800,1602443000
2015-02-12,5700,5740,5600,5630,65800,372098000
2015-02-10,5600,5650,5490,5620,58500,327687000
2015-02-09,5680,5710,5640,5670,43000,243788000
2015-02-06,5680,5700,5660,5680,36900,209615000
2015-02-05,5730,5750,5610,5660,64900,368346000
2015-02-04,5850,5880,5770,5810,37300,217541000
2015-02-03,5880,5950,5830,5870,37400,220318000
2015-02-02,5850,5920,5740,5880,44600,261191000
2015-01-30,5840,5990,5840,5910,80600,475988000
2015-01-29,5690,5840,5660,5760,51100,294948000
2015-01-28,5710,5770,5700,5720,47100,269781000
2015-01-27,5800,5800,5660,5740,51600,295643000
2015-01-26,5650,5790,5610,5740,68400,391250000
2015-01-23,5480,5660,5480,5650,71400,399632000
2015-01-22,5400,5460,5380,5460,30400,164669000
2015-01-21,5410,5470,5400,5450,34400,187211000
2015-01-20,5280,5490,5260,5480,42200,227990000
2015-01-19,5320,5390,5290,5330,26700,142181000
2015-01-16,5180,5370,5180,5360,77000,406794000
2015-01-15,5040,5340,5040,5320,111700,588781000
2015-01-14,5100,5180,5080,5110,26300,134816000
2015-01-13,5220,5220,5110,5170,30300,156027000
2015-01-09,5280,5290,5180,5230,56600,295795000
2015-01-08,5200,5270,5160,5250,38700,202024000
2015-01-07,5140,5190,5090,5150,54900,282929000
2015-01-06,5300,5400,5230,5230,98500,522705000
2015-01-05,5360,5420,5330,5400,51400,276851000
2014-12-30,5400,5400,5330,5380,28800,154681000
2014-12-29,5480,5510,5350,5400,70500,381744000
2014-12-26,5200,5550,5200,5540,83600,457938000
2014-12-25,5270,5300,5140,5190,50000,260710000
2014-12-24,5320,5400,5300,5370,56900,304303000
2014-12-22,5270,5310,5180,5220,58500,306524000
2014-12-19,5160,5260,5130,5180,64500,333963000
2014-12-18,5060,5210,5060,5160,85700,440178000
2014-12-17,4995,5070,4890,5050,119500,601546000
2014-12-16,5260,5280,5060,5080,73700,378040000
2014-12-15,5410,5410,5320,5370,59600,319947000
2014-12-12,5390,5460,5390,5410,135600,733975000
2014-12-11,5090,5340,5090,5320,118100,622220000
2014-12-10,5100,5140,5050,5120,80700,412975000
2014-12-09,5120,5250,5120,5250,40400,210865000
2014-12-08,5150,5290,5130,5220,73400,383471000
2014-12-05,5110,5170,5110,5140,58700,301557000
2014-12-04,5150,5230,5130,5190,64700,335020000
2014-12-03,5040,5200,5000,5140,93200,477156000
2014-12-02,4990,5040,4945,5030,75900,379284500
2014-12-01,4880,5010,4740,4990,69700,345211500
2014-11-28,4880,4970,4830,4845,81500,396021000
2014-11-27,4835,4890,4800,4850,70100,339745000
2014-11-26,4680,4920,4675,4860,180100,874997000
2014-11-25,4670,4690,4620,4650,72200,335142500
2014-11-21,4600,4690,4580,4665,75200,349280500
2014-11-20,4685,4700,4565,4585,96400,443500500
2014-11-19,4670,4740,4615,4665,124500,582502500
2014-11-18,4570,4635,4525,4615,106300,489194500
2014-11-17,4590,4635,4555,4570,125300,575233000
2014-11-14,4725,4870,4610,4645,185100,865963000
2014-11-13,4510,4695,4510,4670,115700,536130500
2014-11-12,4535,4625,4505,4515,154600,705270500
2014-11-11,4300,4550,4265,4540,311800,1377808000
2014-11-10,4220,4255,4120,4235,92400,389869000
2014-11-07,4195,4250,4145,4210,51000,214145000
2014-11-06,4175,4245,4150,4185,89400,374416000
2014-11-05,4100,4135,4070,4135,43900,180222000
2014-11-04,4150,4175,4080,4135,126800,524766500
2014-10-31,3985,4080,3975,4030,95600,383794500
2014-10-30,3975,3995,3955,3965,39800,158194000
2014-10-29,3970,4000,3950,3995,47600,189581000
2014-10-28,3915,3930,3870,3925,28300,110522000
2014-10-27,3905,3915,3845,3890,22600,87943000
2014-10-24,3840,3875,3810,3835,31500,120731000
2014-10-23,3790,3810,3730,3760,35000,131771000
2014-10-22,3775,3845,3760,3790,85000,322072500
2014-10-21,3840,3845,3725,3735,71600,270390000
2014-10-20,3770,3900,3765,3880,49800,191401500
2014-10-17,3690,3730,3620,3625,52900,193851500
2014-10-16,3630,3705,3630,3685,61100,224353500
2014-10-15,3685,3755,3680,3750,79400,294814000
2014-10-14,3650,3730,3650,3705,123100,454614000
2014-10-10,3805,3825,3745,3790,68900,260475000
2014-10-09,3935,3945,3870,3875,71900,280030000
2014-10-08,3900,3965,3900,3940,67200,264643000
2014-10-07,4005,4020,3970,3985,58400,233320500
2014-10-06,3925,4010,3920,3985,59100,235548500
2014-10-03,3870,3950,3850,3910,84200,328227500
2014-10-02,3925,3935,3860,3875,99200,385777000
2014-10-01,4020,4045,3940,3995,110700,443822500
2014-09-30,3905,4035,3880,4020,232200,924332500
2014-09-29,3870,3890,3850,3885,60200,233299500
2014-09-26,3760,3860,3740,3835,55200,211312000
2014-09-25,3880,3890,3840,3880,81600,315667000
