6924-T,東証1部,岩崎電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,249,250,243,246,213000,52519000
2015-10-01,239,247,236,247,219000,53437000
2015-09-30,234,240,231,239,195000,46102000
2015-09-29,234,237,230,230,185000,43152000
2015-09-28,236,241,234,241,169000,40265000
2015-09-25,241,241,231,233,221000,51754000
2015-09-24,237,237,234,235,161000,37921000
2015-09-18,241,242,239,239,127000,30458000
2015-09-17,244,244,239,244,147000,35496000
2015-09-16,244,244,239,240,137000,33106000
2015-09-15,242,245,240,240,171000,41421000
2015-09-14,242,242,238,240,236000,56676000
2015-09-11,242,242,234,238,252000,60047000
2015-09-10,235,240,234,238,98000,23216000
2015-09-09,237,239,235,239,131000,31130000
2015-09-08,232,233,228,229,123000,28301000
2015-09-07,235,235,227,232,173000,40213000
2015-09-04,239,239,232,235,217000,51169000
2015-09-03,241,244,239,239,197000,47633000
2015-09-02,242,245,238,240,208000,50239000
2015-09-01,257,257,244,245,345000,85754000
2015-08-31,254,255,248,249,160000,40141000
2015-08-28,249,254,248,254,368000,92592000
2015-08-27,253,253,242,243,383000,94486000
2015-08-26,241,251,235,248,418000,101982000
2015-08-25,232,245,223,233,657000,152368000
2015-08-24,242,256,242,244,557000,138287000
2015-08-21,259,263,255,256,520000,135024000
2015-08-20,269,271,265,267,277000,74128000
2015-08-19,275,276,272,272,175000,47818000
2015-08-18,280,281,276,278,131000,36425000
2015-08-17,276,280,275,280,231000,64202000
2015-08-14,281,282,271,277,554000,153153000
2015-08-13,279,286,279,283,447000,126296000
2015-08-12,283,285,275,280,724000,203562000
2015-08-11,284,291,282,287,952000,273331000
2015-08-10,278,282,275,280,483000,134643000
2015-08-07,274,280,271,279,681000,188462000
2015-08-06,271,277,266,274,659000,179878000
2015-08-05,274,279,270,271,1039000,284829000
2015-08-04,265,277,263,275,2266000,614233000
2015-08-03,252,253,250,251,243000,61179000
2015-07-31,252,254,249,252,161000,40460000
2015-07-30,253,256,251,253,240000,60817000
2015-07-29,255,255,250,251,154000,38751000
2015-07-28,251,256,251,252,215000,54447000
2015-07-27,263,264,252,254,332000,84728000
2015-07-24,267,268,258,261,562000,148045000
2015-07-23,262,262,257,259,143000,37003000
2015-07-22,259,262,257,259,213000,55091000
2015-07-21,258,263,256,262,224000,58115000
2015-07-17,258,259,256,258,82000,21103000
2015-07-16,258,259,256,258,164000,42157000
2015-07-15,265,265,257,259,298000,77333000
2015-07-14,267,267,261,265,222000,58635000
2015-07-13,259,262,256,262,222000,57557000
2015-07-10,258,258,253,254,410000,104438000
2015-07-09,250,260,247,260,585000,148032000
2015-07-08,265,265,258,259,278000,72578000
2015-07-07,268,270,264,265,195000,51987000
2015-07-06,268,269,265,268,347000,92732000
2015-07-03,273,273,269,270,266000,71927000
2015-07-02,276,277,272,273,271000,74310000
2015-07-01,273,274,271,273,154000,42017000
2015-06-30,269,274,269,271,349000,94603000
2015-06-29,274,275,270,271,416000,113138000
2015-06-26,282,282,276,278,346000,96617000
2015-06-25,276,284,276,282,453000,127290000
2015-06-24,284,285,276,279,640000,179349000
2015-06-23,279,284,279,283,266000,74978000
2015-06-22,281,282,278,279,341000,95375000
2015-06-19,276,284,276,280,557000,155491000
2015-06-18,280,282,274,277,594000,164725000
2015-06-17,285,285,279,283,705000,198172000
2015-06-16,287,288,282,284,524000,148765000
2015-06-15,288,290,287,289,386000,111400000
2015-06-12,291,293,290,293,482000,140295000
2015-06-11,296,297,291,294,577000,169488000
2015-06-10,294,299,294,296,472000,140156000
2015-06-09,300,300,293,293,711000,210674000
2015-06-08,305,305,301,303,367000,111279000
2015-06-05,301,303,299,302,502000,151143000
2015-06-04,298,305,298,303,951000,286909000
2015-06-03,297,303,294,301,883000,263401000
2015-06-02,302,303,298,298,629000,188716000
2015-06-01,297,308,297,302,636000,193336000
2015-05-29,302,304,297,304,808000,242893000
2015-05-28,305,306,299,302,801000,242084000
2015-05-27,304,307,304,306,697000,212654000
2015-05-26,306,310,303,309,735000,225572000
2015-05-25,312,312,307,307,655000,202187000
2015-05-22,306,311,304,311,997000,308079000
2015-05-21,314,315,304,307,1705000,525479000
2015-05-20,303,315,303,312,2836000,880361000
2015-05-19,290,304,290,303,2363000,705690000
2015-05-18,292,295,290,291,1075000,314027000
2015-05-15,296,297,290,293,768000,225015000
2015-05-14,296,296,288,295,1322000,387327000
2015-05-13,291,299,290,296,2226000,655056000
2015-05-12,274,293,273,292,4851000,1390400000
2015-05-11,279,281,274,276,1359000,377043000
2015-05-08,280,281,272,276,1199000,331107000
2015-05-07,275,280,273,278,1187000,328561000
2015-05-01,280,282,271,274,1886000,518949000
2015-04-30,273,279,272,277,2869000,791897000
2015-04-28,279,280,268,274,4444000,1219975000
2015-04-27,260,266,259,264,1370000,359828000
2015-04-24,259,262,257,258,987000,255601000
2015-04-23,257,262,255,259,1318000,340728000
2015-04-22,261,264,251,259,5056000,1296841000
2015-04-21,268,292,256,260,36981000,10184731000
2015-04-20,238,238,236,236,236000,55917000
2015-04-17,239,240,237,239,479000,114450000
2015-04-16,238,239,236,239,351000,83400000
2015-04-15,235,243,235,238,1462000,348655000
2015-04-14,233,237,232,234,446000,104357000
2015-04-13,234,235,231,233,364000,84913000
2015-04-10,235,236,233,234,452000,106119000
2015-04-09,233,237,233,235,574000,134897000
2015-04-08,234,235,231,233,177000,41286000
2015-04-07,230,234,229,233,268000,62328000
2015-04-06,230,231,228,228,108000,24743000
2015-04-03,228,230,227,229,193000,44028000
2015-04-02,227,229,226,228,227000,51682000
2015-04-01,229,230,224,226,313000,70654000
2015-03-31,227,230,223,228,363000,82342000
2015-03-30,230,230,224,225,313000,70740000
2015-03-27,229,233,228,228,345000,79274000
2015-03-26,234,234,232,232,206000,47979000
2015-03-25,234,235,232,235,323000,75330000
2015-03-24,233,236,232,233,629000,147129000
2015-03-23,232,232,229,232,253000,58338000
2015-03-20,229,231,228,229,157000,36038000
2015-03-19,230,230,228,228,211000,48322000
2015-03-18,230,232,229,231,264000,60804000
2015-03-17,232,232,231,231,150000,34720000
2015-03-16,232,235,230,231,468000,108961000
2015-03-13,230,232,229,230,370000,85346000
2015-03-12,228,230,227,229,171000,39063000
2015-03-11,226,228,225,227,188000,42576000
2015-03-10,229,230,227,227,173000,39515000
2015-03-09,229,230,227,228,268000,61158000
2015-03-06,230,232,229,232,244000,56336000
2015-03-05,231,233,229,229,258000,59395000
2015-03-04,231,232,230,230,172000,39677000
2015-03-03,235,237,231,231,365000,85227000
2015-03-02,235,236,233,234,254000,59641000
2015-02-27,233,236,233,235,379000,88998000
2015-02-26,237,237,232,233,574000,135102000
2015-02-25,231,235,230,233,426000,99097000
2015-02-24,232,232,229,229,265000,61036000
2015-02-23,228,231,228,230,242000,55513000
2015-02-20,228,230,226,228,497000,113091000
2015-02-19,225,229,225,228,326000,74018000
2015-02-18,225,226,224,225,310000,69735000
2015-02-17,224,224,222,224,188000,41958000
2015-02-16,228,228,222,224,665000,149079000
2015-02-13,229,233,227,227,325000,74599000
2015-02-12,230,230,228,229,204000,46773000
2015-02-10,227,229,227,228,168000,38268000
2015-02-09,228,228,224,226,191000,43114000
2015-02-06,228,229,227,227,124000,28296000
2015-02-05,231,231,227,228,184000,42024000
2015-02-04,233,234,230,231,296000,68589000
2015-02-03,235,235,230,232,323000,74887000
2015-02-02,232,238,231,238,364000,85797000
2015-01-30,232,234,231,232,147000,34229000
2015-01-29,233,234,232,232,156000,36326000
2015-01-28,233,234,231,234,301000,70135000
2015-01-27,235,237,234,235,280000,66007000
2015-01-26,232,234,231,233,120000,27819000
2015-01-23,225,232,225,232,347000,78697000
2015-01-22,229,230,228,229,214000,48982000
2015-01-21,231,232,229,229,166000,38241000
2015-01-20,228,232,228,231,229000,52565000
2015-01-19,233,233,229,229,139000,32036000
2015-01-16,233,234,230,231,248000,57547000
2015-01-15,234,237,234,237,182000,42891000
2015-01-14,237,238,233,234,234000,55122000
2015-01-13,239,239,236,237,190000,45131000
2015-01-09,242,243,240,241,252000,60755000
2015-01-08,241,242,239,240,159000,38335000
2015-01-07,239,243,239,240,159000,38259000
2015-01-06,243,243,237,239,333000,80217000
2015-01-05,244,245,243,245,120000,29267000
2014-12-30,245,245,240,241,170000,41206000
2014-12-29,243,243,238,243,192000,46255000
2014-12-26,238,243,238,242,167000,40241000
2014-12-25,240,240,236,237,264000,62739000
2014-12-24,243,243,239,239,357000,85961000
2014-12-22,243,243,240,242,179000,43173000
2014-12-19,245,247,240,243,350000,85106000
2014-12-18,241,241,238,240,329000,78832000
2014-12-17,235,238,235,235,223000,52674000
2014-12-16,241,242,237,239,272000,64965000
2014-12-15,244,245,242,243,166000,40455000
2014-12-12,244,246,243,243,314000,76706000
2014-12-11,246,249,243,245,269000,66166000
2014-12-10,250,251,249,249,182000,45416000
2014-12-09,255,258,253,254,172000,43921000
2014-12-08,256,259,255,259,228000,58641000
2014-12-05,258,260,256,259,284000,73201000
2014-12-04,253,263,253,257,682000,176153000
2014-12-03,248,252,247,252,329000,82172000
2014-12-02,249,250,248,248,513000,127670000
2014-12-01,249,251,245,250,616000,153037000
2014-11-28,247,251,247,250,299000,74598000
2014-11-27,247,249,245,247,191000,47098000
2014-11-26,248,249,247,248,162000,40221000
2014-11-25,249,250,246,248,243000,60312000
2014-11-21,245,249,243,247,131000,32300000
2014-11-20,249,250,245,245,173000,42797000
2014-11-19,247,250,246,246,209000,51799000
2014-11-18,245,251,245,250,252000,62659000
2014-11-17,250,250,243,243,222000,54642000
2014-11-14,247,252,245,251,536000,133139000
2014-11-13,240,246,240,246,184000,44849000
2014-11-12,245,245,239,240,407000,98716000
2014-11-11,247,248,241,244,466000,114099000
2014-11-10,246,247,245,247,238000,58603000
2014-11-07,246,246,242,246,419000,102360000
2014-11-06,245,246,241,245,495000,121086000
2014-11-05,238,243,234,242,378000,90351000
2014-11-04,246,248,239,240,617000,150307000
2014-10-31,242,244,239,244,326000,78982000
2014-10-30,237,240,235,238,604000,143915000
2014-10-29,237,240,236,238,210000,49847000
2014-10-28,226,239,225,238,822000,193106000
2014-10-27,222,224,222,223,96000,21407000
2014-10-24,224,224,222,222,84000,18771000
2014-10-23,222,225,220,220,228000,50556000
2014-10-22,222,225,222,225,164000,36703000
2014-10-21,224,224,218,219,243000,53472000
2014-10-20,230,230,223,225,293000,66162000
2014-10-17,226,227,219,220,232000,51209000
2014-10-16,218,230,216,224,604000,135063000
2014-10-15,220,224,220,223,132000,29281000
2014-10-14,226,227,222,222,245000,55036000
2014-10-10,228,231,225,229,406000,92461000
2014-10-09,239,240,229,231,531000,124865000
2014-10-08,246,250,237,239,2239000,542181000
2014-10-07,238,239,234,234,142000,33523000
2014-10-06,237,239,235,237,164000,38789000
2014-10-03,233,239,233,236,163000,38399000
2014-10-02,234,241,233,235,703000,166442000
2014-10-01,237,238,234,236,312000,73881000
2014-09-30,237,238,235,236,217000,51248000
2014-09-29,241,241,238,239,287000,68693000
2014-09-26,240,241,240,240,140000,33660000
2014-09-25,242,244,240,243,242000,58514000
